"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Branford School District","=""0140011""","Y",60,60,100.0,60,"*","*",8,13.3,19,31.7,24,40.0,"*","*","*","*",243
"Branford School District","=""0140011""","N",164,163,99.4,163,"*","*",13,8.0,31,19.0,82,50.3,"*","*","*","*",267
"Bridgeport Achievement First District","=""2850013""","Y",73,72,98.6,72,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Bridgeport Achievement First District","=""2850013""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1566,1557,99.4,1557,454,29.2,407,26.1,391,25.1,268,17.2,37,2.4,305,19.6,210
"Bristol School District","=""0170011""","Y",311,310,99.7,310,30,9.7,46,14.8,76,24.5,130,41.9,28,9.0,158,51.0,245
"Bristol School District","=""0170011""","N",335,334,99.7,334,13,3.9,33,9.9,55,16.5,168,50.3,65,19.5,233,69.8,264
"Brookfield School District","=""0180011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",174,171,98.3,171,"*","*","*","*","*","*","*","*","*","*","*","*",287
"Brooklyn School District","=""0190011""","Y",24,24,100.0,24,"*","*","*","*","*","*",11,45.8,"*","*","*","*",261
"Brooklyn School District","=""0190011""","N",78,78,100.0,78,0,0.0,"*","*","*","*",36,46.2,"*","*","*","*",281
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",35,34,97.1,34,"*","*","*","*","*","*","*","*","*","*","*","*",261
"Canton School District","=""0230011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",123,123,100.0,123,"*","*","*","*","*","*","*","*","*","*","*","*",290
"Capitol Region Education Council","=""2410014""","Y",170,169,99.4,169,"*","*",37,21.9,50,29.6,48,28.4,"*","*","*","*",225
"Capitol Region Education Council","=""2410014""","N",149,145,97.3,145,"*","*",15,10.3,25,17.2,69,47.6,"*","*","*","*",267
"Chaplin School District","=""0240011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y",29,29,100.0,29,"*","*","*","*",7,24.1,9,31.0,7,24.1,16,55.2,256
"Cheshire School District","=""0250011""","N",318,317,99.7,317,"*","*","*","*",35,11.0,151,47.6,121,38.2,272,85.8,288
"Chester School District","=""0260011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Y",25,25,100.0,25,"*","*","*","*",11,44.0,8,32.0,"*","*","*","*",241
"Clinton School District","=""0270011""","N",151,151,100.0,151,"*","*","*","*",24,15.9,74,49.0,"*","*","*","*",276
"Colchester School District","=""0280011""","Y",36,36,100.0,36,"*","*","*","*",7,19.4,21,58.3,"*","*","*","*",258
"Colchester School District","=""0280011""","N",166,165,99.4,165,"*","*","*","*",26,15.8,84,50.9,"*","*","*","*",283
"Colebrook School District","=""0290011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",49,49,100.0,49,"*","*","*","*","*","*","*","*","*","*","*","*",273
"Cooperative Educational Services","=""2430014""","Y",21,21,100.0,21,"*","*","*","*","*","*",6,28.6,"*","*","*","*",216
"Cooperative Educational Services","=""2430014""","N",31,31,100.0,31,"*","*","*","*","*","*",14,45.2,"*","*","*","*",264
"Cornwall School District","=""0310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",98,97,99.0,97,0,0.0,"*","*","*","*","*","*","*","*","*","*",286
"Cromwell School District","=""0330011""","Y",34,34,100.0,34,"*","*",6,17.6,9,26.5,13,38.2,"*","*","*","*",242
"Cromwell School District","=""0330011""","N",142,142,100.0,142,"*","*",11,7.7,33,23.2,60,42.3,"*","*","*","*",266
"Danbury School District","=""0340011""","Y",501,497,99.2,497,77,15.5,118,23.7,146,29.4,128,25.8,28,5.6,156,31.4,227
"Danbury School District","=""0340011""","N",366,362,98.9,362,23,6.4,41,11.3,75,20.7,167,46.1,56,15.5,223,61.6,255
"Darien School District","=""0350011""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","N",345,344,99.7,344,"*","*","*","*","*","*","*","*","*","*","*","*",287
"Deep River School District","=""0360011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","N",38,38,100.0,38,0,0.0,"*","*","*","*","*","*","*","*","*","*",281
"Derby School District","=""0370011""","Y",68,68,100.0,68,"*","*","*","*",17,25.0,24,35.3,"*","*","*","*",240
"Derby School District","=""0370011""","N",40,40,100.0,40,"*","*","*","*",13,32.5,15,37.5,"*","*","*","*",246
"East Granby School District","=""0400011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",62,62,100.0,62,"*","*","*","*","*","*","*","*","*","*","*","*",290
"East Haddam School District","=""0410011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",63,63,100.0,63,"*","*","*","*","*","*","*","*","*","*","*","*",287
"East Hampton School District","=""0420011""","Y",19,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","N",115,113,98.3,113,"*","*","*","*","*","*","*","*","*","*","*","*",272
"East Hartford School District","=""0430011""","Y",318,318,100.0,318,72,22.6,69,21.7,98,30.8,68,21.4,11,3.5,79,24.8,219
"East Hartford School District","=""0430011""","N",197,197,100.0,197,20,10.2,25,12.7,61,31.0,76,38.6,15,7.6,91,46.2,242
"East Haven School District","=""0440011""","Y",98,98,100.0,98,8,8.2,12,12.2,30,30.6,40,40.8,8,8.2,48,49.0,244
"East Haven School District","=""0440011""","N",107,107,100.0,107,6,5.6,9,8.4,30,28.0,47,43.9,15,14.0,62,57.9,256
"East Lyme School District","=""0450011""","Y",32,32,100.0,32,0,0.0,"*","*","*","*",16,50.0,8,25.0,24,75.0,266
"East Lyme School District","=""0450011""","N",174,173,99.4,173,"*","*","*","*","*","*",79,45.7,66,38.2,145,83.8,288
"East Windsor School District","=""0470011""","Y",42,42,100.0,42,"*","*","*","*",12,28.6,15,35.7,9,21.4,24,57.1,256
"East Windsor School District","=""0470011""","N",39,39,100.0,39,0,0.0,0,0.0,6,15.4,18,46.2,15,38.5,33,84.6,289
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",27,27,100.0,27,"*","*","*","*",8,29.6,13,48.1,"*","*","*","*",248
"Ellington School District","=""0480011""","N",190,190,100.0,190,"*","*","*","*",16,8.4,91,47.9,"*","*","*","*",287
"Elm City College Preparatory School District","=""2890013""","Y",57,57,100.0,57,"*","*","*","*","*","*","*","*",0,0.0,"*","*",210
"Elm City College Preparatory School District","=""2890013""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Y",156,156,100.0,156,"*","*",24,15.4,48,30.8,60,38.5,"*","*","*","*",248
"Enfield School District","=""0490011""","N",238,237,99.6,237,"*","*","*","*",46,19.4,119,50.2,51,21.5,170,71.7,268
"Essex School District","=""0500011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Y",70,70,100.0,70,"*","*",10,14.3,23,32.9,23,32.9,"*","*","*","*",246
"Fairfield School District","=""0510011""","N",698,695,99.6,695,"*","*","*","*",77,11.1,312,44.9,270,38.8,582,83.7,286
"Farmington School District","=""0520011""","Y",33,33,100.0,33,"*","*","*","*","*","*",16,48.5,6,18.2,22,66.7,259
"Farmington School District","=""0520011""","N",280,277,98.9,277,"*","*","*","*","*","*",104,37.5,146,52.7,250,90.3,301
"Franklin School District","=""0530011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Y",56,55,98.2,55,"*","*","*","*",7,12.7,30,54.5,6,10.9,36,65.5,253
"Glastonbury School District","=""0540011""","N",390,389,99.7,389,"*","*","*","*",28,7.2,147,37.8,202,51.9,349,89.7,299
"Granby School District","=""0560011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","N",109,109,100.0,109,"*","*","*","*","*","*","*","*","*","*","*","*",305
"Greenwich School District","=""0570011""","Y",101,100,99.0,100,11,11.0,11,11.0,23,23.0,38,38.0,17,17.0,55,55.0,250
"Greenwich School District","=""0570011""","N",591,587,99.3,587,13,2.2,26,4.4,58,9.9,265,45.1,225,38.3,490,83.5,284
"Griswold School District","=""0580011""","Y",58,58,100.0,58,"*","*","*","*",18,31.0,23,39.7,6,10.3,29,50.0,247
"Griswold School District","=""0580011""","N",67,67,100.0,67,"*","*","*","*",7,10.4,37,55.2,21,31.3,58,86.6,284
"Groton School District","=""0590011""","Y",161,159,98.8,159,"*","*",23,14.5,35,22.0,65,40.9,"*","*","*","*",247
"Groton School District","=""0590011""","N",149,148,99.3,148,"*","*","*","*",23,15.5,74,50.0,37,25.0,111,75.0,274
"Guilford School District","=""0600011""","Y",26,26,100.0,26,"*","*","*","*","*","*",8,30.8,"*","*","*","*",231
"Guilford School District","=""0600011""","N",268,267,99.6,267,"*","*","*","*","*","*",144,53.9,"*","*","*","*",273
"Hamden School District","=""0620011""","Y",168,167,99.4,167,36,21.6,35,21.0,52,31.1,38,22.8,6,3.6,44,26.3,220
"Hamden School District","=""0620011""","N",248,246,99.2,246,21,8.5,13,5.3,29,11.8,130,52.8,53,21.5,183,74.4,265
"Hampton School District","=""0630011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Y",1284,1270,98.9,1270,349,27.5,284,22.4,303,23.9,283,22.3,51,4.0,334,26.3,216
"Hartford School District","=""0640011""","N",186,185,99.5,185,24,13.0,15,8.1,41,22.2,71,38.4,34,18.4,105,56.8,253
"Hartland School District","=""0650011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","N",95,95,100.0,95,"*","*","*","*","*","*","*","*","*","*","*","*",272
"Highville Charter School District","=""2860013""","Y",25,25,100.0,25,"*","*","*","*","*","*","*","*",0,0.0,"*","*",204
"Highville Charter School District","=""2860013""","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","N",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Y",51,51,100.0,51,10,19.6,"*","*",17,33.3,12,23.5,"*","*","*","*",220
"Jumoke Academy District","=""2610013""","N",25,25,100.0,25,6,24.0,"*","*",8,32.0,6,24.0,"*","*","*","*",221
"Kent School District","=""0680011""","N",27,27,100.0,27,0,0.0,0,0.0,"*","*",13,48.1,"*","*","*","*",298
"Killingly School District","=""0690011""","Y",78,75,96.2,75,"*","*",13,17.3,23,30.7,27,36.0,"*","*","*","*",233
"Killingly School District","=""0690011""","N",81,80,98.8,80,"*","*",8,10.0,16,20.0,46,57.5,"*","*","*","*",259
"Learn","=""2450014""","Y",47,45,95.7,45,"*","*","*","*","*","*",26,57.8,"*","*","*","*",256
"Learn","=""2450014""","N",39,39,100.0,39,"*","*",0,0.0,"*","*",20,51.3,"*","*","*","*",278
"Lebanon School District","=""0710011""","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","N",47,47,100.0,47,"*","*","*","*","*","*","*","*","*","*","*","*",262
"Ledyard School District","=""0720011""","Y",37,36,97.3,36,"*","*","*","*",10,27.8,16,44.4,"*","*","*","*",257
"Ledyard School District","=""0720011""","N",131,130,99.2,130,0,0.0,"*","*",15,11.5,59,45.4,"*","*","*","*",286
"Lisbon School District","=""0730011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","N",32,32,100.0,32,"*","*","*","*","*","*","*","*","*","*","*","*",264
"Litchfield School District","=""0740011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","N",56,56,100.0,56,"*","*","*","*","*","*","*","*","*","*","*","*",301
"Madison School District","=""0760011""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","N",194,187,96.4,187,"*","*","*","*","*","*","*","*","*","*","*","*",273
"Manchester School District","=""0770011""","Y",288,284,98.6,284,60,21.1,65,22.9,66,23.2,79,27.8,14,4.9,93,32.7,224
"Manchester School District","=""0770011""","N",187,186,99.5,186,9,4.8,18,9.7,40,21.5,86,46.2,33,17.7,119,64.0,259
"Mansfield School District","=""0780011""","Y",33,33,100.0,33,"*","*","*","*",6,18.2,8,24.2,7,21.2,15,45.5,243
"Mansfield School District","=""0780011""","N",106,103,97.2,103,"*","*","*","*",13,12.6,49,47.6,37,35.9,86,83.5,283
"Marlborough School District","=""0790011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","N",80,80,100.0,80,"*","*","*","*","*","*","*","*","*","*","*","*",289
"Meriden School District","=""0800011""","Y",443,440,99.3,440,91,20.7,111,25.2,126,28.6,99,22.5,13,3.0,112,25.5,219
"Meriden School District","=""0800011""","N",199,198,99.5,198,13,6.6,18,9.1,41,20.7,101,51.0,25,12.6,126,63.6,255
"Middletown School District","=""0830011""","Y",177,176,99.4,176,30,17.0,42,23.9,52,29.5,42,23.9,10,5.7,52,29.5,227
"Middletown School District","=""0830011""","N",183,183,100.0,183,8,4.4,20,10.9,30,16.4,94,51.4,31,16.9,125,68.3,262
"Milford School District","=""0840011""","Y",99,99,100.0,99,"*","*","*","*",18,18.2,53,53.5,13,13.1,66,66.7,259
"Milford School District","=""0840011""","N",358,355,99.2,355,"*","*","*","*",43,12.1,183,51.5,103,29.0,286,80.6,279
"Monroe School District","=""0850011""","Y",20,20,100.0,20,0,0.0,"*","*","*","*",10,50.0,"*","*","*","*",266
"Monroe School District","=""0850011""","N",207,207,100.0,207,"*","*","*","*","*","*",88,42.5,"*","*","*","*",299
"Montville School District","=""0860011""","Y",73,73,100.0,73,"*","*",11,15.1,19,26.0,35,47.9,"*","*","*","*",253
"Montville School District","=""0860011""","N",111,111,100.0,111,"*","*","*","*",17,15.3,54,48.6,32,28.8,86,77.5,277
"Naugatuck School District","=""0880011""","Y",151,151,100.0,151,"*","*",35,23.2,45,29.8,42,27.8,"*","*","*","*",223
"Naugatuck School District","=""0880011""","N",150,150,100.0,150,"*","*",13,8.7,45,30.0,72,48.0,"*","*","*","*",249
"New Beginnings Inc., Family Academy District","=""2800013""","Y",39,39,100.0,39,"*","*","*","*","*","*","*","*",0,0.0,"*","*",216
"New Beginnings Inc., Family Academy District","=""2800013""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Y",644,637,98.9,637,206,32.3,142,22.3,159,25.0,111,17.4,19,3.0,130,20.4,209
"New Britain School District","=""0890011""","N",144,140,97.2,140,32,22.9,22,15.7,34,24.3,45,32.1,7,5.0,52,37.1,226
"New Canaan School District","=""0900011""","N",344,341,99.1,341,"*","*","*","*",27,7.9,133,39.0,174,51.0,307,90.0,300
"New Fairfield School District","=""0910011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","N",134,131,97.8,131,"*","*","*","*","*","*","*","*","*","*","*","*",266
"New Hartford School District","=""0920011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","N",60,60,100.0,60,"*","*","*","*","*","*","*","*","*","*","*","*",274
"New Haven School District","=""0930011""","Y",873,870,99.7,870,271,31.1,252,29.0,208,23.9,120,13.8,19,2.2,139,16.0,208
"New Haven School District","=""0930011""","N",592,589,99.5,589,118,20.0,122,20.7,124,21.1,151,25.6,74,12.6,225,38.2,232
"New London School District","=""0950011""","Y",235,232,98.7,232,42,18.1,"*","*",50,21.6,66,28.4,"*","*","*","*",230
"New London School District","=""0950011""","N",45,45,100.0,45,8,17.8,"*","*","*","*",12,26.7,13,28.9,25,55.6,253
"New Milford School District","=""0960011""","Y",73,72,98.6,72,"*","*",11,15.3,17,23.6,29,40.3,"*","*","*","*",239
"New Milford School District","=""0960011""","N",261,260,99.6,260,"*","*",11,4.2,59,22.7,128,49.2,"*","*","*","*",267
"Newington School District","=""0940011""","Y",71,70,98.6,70,"*","*","*","*",20,28.6,25,35.7,10,14.3,35,50.0,248
"Newington School District","=""0940011""","N",238,238,100.0,238,"*","*","*","*",53,22.3,115,48.3,47,19.7,162,68.1,264
"Newtown School District","=""0970011""","Y",27,27,100.0,27,"*","*","*","*",8,29.6,12,44.4,"*","*","*","*",247
"Newtown School District","=""0970011""","N",313,312,99.7,312,"*","*","*","*",45,14.4,188,60.3,"*","*","*","*",271
"Norfolk School District","=""0980011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Y",25,24,96.0,24,"*","*","*","*","*","*",13,54.2,0,0.0,13,54.2,241
"North Branford School District","=""0990011""","N",119,119,100.0,119,"*","*","*","*","*","*",61,51.3,19,16.0,80,67.2,262
"North Canaan School District","=""1000011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","Y",38,38,100.0,38,6,15.8,"*","*",13,34.2,12,31.6,"*","*","*","*",231
"North Haven School District","=""1010011""","N",191,190,99.5,190,6,3.2,"*","*",38,20.0,94,49.5,"*","*","*","*",265
"North Stonington School District","=""1020011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Norwalk School District","=""1030011""","Y",448,447,99.8,447,71,15.9,74,16.6,127,28.4,148,33.1,27,6.0,175,39.1,232
"Norwalk School District","=""1030011""","N",376,374,99.5,374,20,5.3,32,8.6,62,16.6,156,41.7,104,27.8,260,69.5,267
"Norwich School District","=""1040011""","Y",285,280,98.2,280,"*","*",49,17.5,77,27.5,84,30.0,"*","*","*","*",227
"Norwich School District","=""1040011""","N",75,73,97.3,72,"*","*","*","*",14,19.4,31,43.1,17,23.6,48,66.7,263
"Odyssey Community School District","=""2630013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Odyssey Community School District","=""2630013""","N",27,27,100.0,27,"*","*","*","*","*","*","*","*","*","*","*","*",246
"Old Saybrook School District","=""1060011""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",74,74,100.0,74,0,0.0,"*","*","*","*","*","*","*","*","*","*",278
"Orange School District","=""1070011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","N",162,161,99.4,161,"*","*","*","*","*","*","*","*","*","*","*","*",286
"Oxford School District","=""1080011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",159,159,100.0,159,0,0.0,"*","*","*","*","*","*","*","*","*","*",282
"Park City Prep Charter School District","=""2830013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Park City Prep Charter School District","=""2830013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Y",88,87,98.9,87,"*","*","*","*",22,25.3,29,33.3,7,8.0,36,41.4,237
"Plainfield School District","=""1090011""","N",75,75,100.0,75,"*","*","*","*",21,28.0,41,54.7,9,12.0,50,66.7,261
"Plainville School District","=""1100011""","Y",55,55,100.0,55,"*","*",7,12.7,13,23.6,25,45.5,"*","*","*","*",248
"Plainville School District","=""1100011""","N",113,113,100.0,113,"*","*",9,8.0,16,14.2,65,57.5,"*","*","*","*",266
"Plymouth School District","=""1110011""","Y",29,29,100.0,29,"*","*","*","*",6,20.7,12,41.4,6,20.7,18,62.1,256
"Plymouth School District","=""1110011""","N",77,77,100.0,77,"*","*","*","*",15,19.5,39,50.6,16,20.8,55,71.4,267
"Pomfret School District","=""1120011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Pomfret School District","=""1120011""","N",39,39,100.0,39,0,0.0,"*","*","*","*","*","*","*","*","*","*",284
"Portland School District","=""1130011""","Y",25,24,96.0,24,"*","*","*","*",6,25.0,11,45.8,"*","*","*","*",251
"Portland School District","=""1130011""","N",89,89,100.0,89,"*","*","*","*",11,12.4,50,56.2,"*","*","*","*",275
"Preston School District","=""1140011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","N",33,32,97.0,32,"*","*","*","*","*","*","*","*","*","*","*","*",273
"Putnam School District","=""1160011""","Y",51,50,98.0,50,"*","*","*","*",15,30.0,12,24.0,"*","*","*","*",227
"Putnam School District","=""1160011""","N",42,39,92.9,39,"*","*","*","*",8,20.5,21,53.8,"*","*","*","*",254
"Redding School District","=""1170011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Redding School District","=""1170011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
