"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Colchester School District","=""0280011""",192,191,99.5,191,"*","*","*","*",24,12.6,101,52.9,51,26.7,152,79.6,276
"Columbia School District","=""0300011""",59,59,100.0,59,"*","*","*","*",10,16.9,34,57.6,8,13.6,42,71.2,260
"Cooperative Educational Services","=""2430014""",53,53,100.0,53,14,26.4,"*","*",11,20.8,21,39.6,"*","*","*","*",235
"Cornwall School District","=""0310011""",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",138,136,98.6,136,"*","*",10,7.4,"*","*",86,63.2,30,22.1,116,85.3,275
"Cromwell School District","=""0330011""",143,142,99.3,142,6,4.2,10,7.0,29,20.4,71,50.0,26,18.3,97,68.3,265
"Danbury School District","=""0340011""",805,800,99.4,800,160,20.0,98,12.3,183,22.9,313,39.1,46,5.8,359,44.9,237
"Darien School District","=""0350011""",373,369,98.9,369,"*","*","*","*",20,5.4,161,43.6,176,47.7,337,91.3,294
"Derby School District","=""0370011""",99,98,99.0,98,25,25.5,22,22.4,17,17.3,27,27.6,7,7.1,34,34.7,230
"East Granby School District","=""0400011""",62,62,100.0,62,"*","*","*","*",10,16.1,32,51.6,12,19.4,44,71.0,265
"East Haddam School District","=""0410011""",103,100,97.1,100,"*","*","*","*",19,19.0,62,62.0,10,10.0,72,72.0,260
"East Hampton School District","=""0420011""",148,146,98.6,146,"*","*","*","*",23,15.8,72,49.3,37,25.3,109,74.7,271
"East Hartford School District","=""0430011""",492,484,98.4,484,172,35.5,74,15.3,84,17.4,123,25.4,31,6.4,154,31.8,226
"East Haven School District","=""0440011""",249,244,98.0,244,57,23.4,35,14.3,56,23.0,86,35.2,10,4.1,96,39.3,233
"East Lyme School District","=""0450011""",216,213,98.6,213,9,4.2,8,3.8,32,15.0,121,56.8,43,20.2,164,77.0,270
"East Windsor School District","=""0470011""",75,73,97.3,73,"*","*","*","*",17,23.3,36,49.3,15,20.5,51,69.9,268
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""",107,103,96.3,103,"*","*","*","*",12,11.7,64,62.1,23,22.3,87,84.5,275
"Education Connection","=""2420014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",212,212,100.0,212,13,6.1,12,5.7,28,13.2,115,54.2,44,20.8,159,75.0,268
"Elm City College Preparatory School District","=""2890013""",60,60,100.0,60,14,23.3,13,21.7,20,33.3,"*","*","*","*",13,21.7,223
"Enfield School District","=""0490011""",352,350,99.4,350,24,6.9,42,12.0,56,16.0,170,48.6,58,16.6,228,65.1,259
"Fairfield School District","=""0510011""",793,785,99.0,785,32,4.1,24,3.1,76,9.7,426,54.3,227,28.9,653,83.2,277
"Farmington School District","=""0520011""",292,289,99.0,289,6,2.1,8,2.8,35,12.1,155,53.6,85,29.4,240,83.0,279
"Franklin School District","=""0530011""",21,21,100.0,21,"*","*","*","*","*","*",10,47.6,"*","*","*","*",260
"Glastonbury School District","=""0540011""",516,516,100.0,515,16,3.1,16,3.1,35,6.8,242,47.0,206,40.0,448,87.0,285
"Granby School District","=""0560011""",157,155,98.7,155,"*","*","*","*",16,10.3,93,60.0,39,25.2,132,85.2,279
"Greenwich School District","=""0570011""",634,632,99.7,632,29,4.6,24,3.8,63,10.0,329,52.1,187,29.6,516,81.6,276
"Griswold School District","=""0580011""",137,135,98.5,135,16,11.9,13,9.6,29,21.5,65,48.1,12,8.9,77,57.0,248
"Groton School District","=""0590011""",286,282,98.6,282,25,8.9,28,9.9,45,16.0,140,49.6,44,15.6,184,65.2,257
"Guilford School District","=""0600011""",290,290,100.0,290,11,3.8,15,5.2,31,10.7,184,63.4,49,16.9,233,80.3,270
"Hamden School District","=""0620011""",423,416,98.3,416,79,19.0,49,11.8,88,21.2,167,40.1,33,7.9,200,48.1,241
"Hartford School District","=""0640011""",1573,1553,98.7,1552,598,38.5,230,14.8,291,18.8,347,22.4,86,5.5,433,27.9,220
"Hartland School District","=""0650011""",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""",37,37,100.0,37,12,32.4,"*","*",11,29.7,"*","*",0,0.0,"*","*",225
"Integrated Day Charter School District","=""2640013""",35,35,100.0,35,6,17.1,"*","*","*","*",18,51.4,"*","*","*","*",247
"Interdistrict School for Arts and Comm District","=""2650013""",87,86,98.9,86,23,26.7,16,18.6,"*","*",31,36.0,"*","*","*","*",233
"Jumoke Academy District","=""2610013""",86,85,98.8,85,21,24.7,"*","*",22,25.9,27,31.8,"*","*","*","*",233
"Kent School District","=""0680011""",20,20,100.0,20,0,0.0,0,0.0,"*","*",15,75.0,"*","*","*","*",271
"Killingly School District","=""0690011""",180,174,96.7,174,18,10.3,12,6.9,39,22.4,92,52.9,13,7.5,105,60.3,253
"Learn","=""2450014""",50,49,98.0,49,18,36.7,9,18.4,13,26.5,"*","*","*","*",9,18.4,216
"Lebanon School District","=""0710011""",81,81,100.0,81,"*","*","*","*",16,19.8,44,54.3,14,17.3,58,71.6,268
"Ledyard School District","=""0720011""",159,158,99.4,158,10,6.3,8,5.1,27,17.1,91,57.6,22,13.9,113,71.5,262
"Lisbon School District","=""0730011""",41,41,100.0,41,"*","*","*","*",9,22.0,20,48.8,"*","*","*","*",256
"Litchfield School District","=""0740011""",89,89,100.0,89,"*","*","*","*",8,9.0,47,52.8,25,28.1,72,80.9,274
"Madison School District","=""0760011""",278,267,96.0,267,"*","*","*","*",34,12.7,146,54.7,71,26.6,217,81.3,276
"Manchester School District","=""0770011""",372,366,98.4,366,89,24.3,42,11.5,77,21.0,140,38.3,18,4.9,158,43.2,234
"Mansfield School District","=""0780011""",141,141,100.0,141,"*","*","*","*",13,9.2,63,44.7,60,42.6,123,87.2,292
"Meriden School District","=""0800011""",493,478,97.0,478,152,31.8,75,15.7,92,19.2,142,29.7,17,3.6,159,33.3,225
"Middletown School District","=""0830011""",310,310,100.0,310,57,18.4,43,13.9,63,20.3,123,39.7,24,7.7,147,47.4,241
"Milford School District","=""0840011""",494,486,98.4,486,31,6.4,50,10.3,90,18.5,267,54.9,48,9.9,315,64.8,255
"Monroe School District","=""0850011""",254,254,100.0,254,10,3.9,10,3.9,21,8.3,148,58.3,65,25.6,213,83.9,275
"Montville School District","=""0860011""",185,183,98.9,183,15,8.2,14,7.7,25,13.7,88,48.1,41,22.4,129,70.5,264
"Naugatuck School District","=""0880011""",334,332,99.4,332,49,14.8,55,16.6,59,17.8,142,42.8,27,8.1,169,50.9,242
"New Beginnings Inc., Family Academy District","=""2800013""",29,28,96.6,28,11,39.3,"*","*","*","*",10,35.7,0,0.0,10,35.7,222
"New Britain School District","=""0890011""",618,610,98.7,610,264,43.3,98,16.1,100,16.4,137,22.5,11,1.8,148,24.3,212
"New Canaan School District","=""0900011""",302,301,99.7,301,"*","*","*","*",20,6.6,140,46.5,129,42.9,269,89.4,288
"New Fairfield School District","=""0910011""",195,192,98.5,192,9,4.7,9,4.7,25,13.0,90,46.9,59,30.7,149,77.6,274
"New Haven School District","=""0930011""",1429,1415,99.0,1415,503,35.5,230,16.3,288,20.4,325,23.0,69,4.9,394,27.8,222
"New London School District","=""0950011""",188,180,95.7,180,66,36.7,"*","*",31,17.2,50,27.8,"*","*","*","*",220
"New Milford School District","=""0960011""",356,356,100.0,355,21,5.9,26,7.3,56,15.8,191,53.8,61,17.2,252,71.0,264
"Newington School District","=""0940011""",320,319,99.7,319,18,5.6,18,5.6,57,17.9,163,51.1,63,19.7,226,70.8,266
"Newtown School District","=""0970011""",413,410,99.3,410,"*","*","*","*",42,10.2,227,55.4,119,29.0,346,84.4,280
"North Branford School District","=""0990011""",157,154,98.1,154,14,9.1,9,5.8,23,14.9,82,53.2,26,16.9,108,70.1,262
"North Canaan School District","=""1000011""",21,20,95.2,20,"*","*","*","*","*","*",9,45.0,"*","*","*","*",248
"North Haven School District","=""1010011""",274,273,99.6,273,15,5.5,26,9.5,58,21.2,134,49.1,40,14.7,174,63.7,259
"North Stonington School District","=""1020011""",52,52,100.0,52,0,0.0,"*","*","*","*",25,48.1,18,34.6,43,82.7,282
"Norwalk School District","=""1030011""",803,799,99.5,799,136,17.0,100,12.5,147,18.4,314,39.3,102,12.8,416,52.1,247
"Norwich School District","=""1040011""",382,379,99.2,379,102,26.9,59,15.6,86,22.7,122,32.2,10,2.6,132,34.8,228
"Odyssey Community School District","=""2630013""",38,37,97.4,37,"*","*","*","*",6,16.2,18,48.6,8,21.6,26,70.3,261
"Old Saybrook School District","=""1060011""",121,121,100.0,121,"*","*","*","*",16,13.2,71,58.7,24,19.8,95,78.5,269
"Oxford School District","=""1080011""",167,166,99.4,166,10,6.0,12,7.2,32,19.3,79,47.6,33,19.9,112,67.5,266
"Park City Prep Charter School District","=""2830013""",83,81,97.6,81,13,16.0,8,9.9,20,24.7,34,42.0,6,7.4,40,49.4,243
"Plainfield School District","=""1090011""",187,184,98.4,184,16,8.7,22,12.0,37,20.1,91,49.5,18,9.8,109,59.2,252
"Plainville School District","=""1100011""",172,170,98.8,170,18,10.6,9,5.3,22,12.9,78,45.9,43,25.3,121,71.2,266
"Plymouth School District","=""1110011""",109,107,98.2,107,13,12.1,12,11.2,22,20.6,53,49.5,7,6.5,60,56.1,247
"Pomfret School District","=""1120011""",55,55,100.0,55,"*","*","*","*",7,12.7,33,60.0,12,21.8,45,81.8,269
"Portland School District","=""1130011""",109,109,100.0,109,"*","*","*","*",14,12.8,61,56.0,26,23.9,87,79.8,274
"Preston School District","=""1140011""",55,54,98.2,54,"*","*","*","*",9,16.7,25,46.3,13,24.1,38,70.4,267
"Putnam School District","=""1160011""",95,93,97.9,93,24,25.8,"*","*",19,20.4,37,39.8,"*","*","*","*",230
"Redding School District","=""1170011""",119,117,98.3,117,"*","*","*","*",9,7.7,61,52.1,36,30.8,97,82.9,279
"Regional School District 01","=""2010012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""",162,162,100.0,162,"*","*","*","*",18,11.1,77,47.5,57,35.2,134,82.7,279
"Regional School District 05","=""2050012""",381,377,99.0,377,20,5.3,13,3.4,45,11.9,191,50.7,108,28.6,299,79.3,276
"Regional School District 06","=""2060012""",78,76,97.4,76,"*","*","*","*",9,11.8,45,59.2,14,18.4,59,77.6,266
"Regional School District 07","=""2070012""",146,146,100.0,146,"*","*","*","*",8,5.5,69,47.3,63,43.2,132,90.4,292
"Regional School District 08","=""2080012""",281,281,100.0,281,11,3.9,13,4.6,46,16.4,157,55.9,54,19.2,211,75.1,268
"Regional School District 10","=""2100012""",176,172,97.7,171,"*","*","*","*",29,17.0,99,57.9,30,17.5,129,75.4,267
"Regional School District 11","=""2110012""",41,41,100.0,41,"*","*","*","*","*","*",25,61.0,"*","*","*","*",252
"Regional School District 12","=""2120012""",64,64,100.0,64,"*","*","*","*",6,9.4,32,50.0,23,35.9,55,85.9,284
"Regional School District 13","=""2130012""",156,155,99.4,155,"*","*","*","*",18,11.6,81,52.3,45,29.0,126,81.3,279
"Regional School District 14","=""2140012""",102,101,99.0,101,"*","*","*","*",17,16.8,58,57.4,19,18.8,77,76.2,267
"Regional School District 15","=""2150012""",351,349,99.4,349,10,2.9,10,2.9,47,13.5,187,53.6,95,27.2,282,80.8,277
"Regional School District 16","=""2160012""",194,191,98.5,191,11,5.8,13,6.8,31,16.2,107,56.0,29,15.2,136,71.2,260
"Regional School District 17","=""2170012""",188,185,98.4,185,9,4.9,9,4.9,19,10.3,89,48.1,59,31.9,148,80.0,277
"Regional School District 18","=""2180012""",130,130,100.0,130,0,0.0,6,4.6,15,11.5,62,47.7,47,36.2,109,83.8,284
"Ridgefield School District","=""1180011""",412,411,99.8,411,9,2.2,7,1.7,32,7.8,208,50.6,155,37.7,363,88.3,286
"Rocky Hill School District","=""1190011""",194,193,99.5,193,10,5.2,10,5.2,22,11.4,86,44.6,65,33.7,151,78.2,277
"Salem School District","=""1210011""",36,36,100.0,36,"*","*","*","*",9,25.0,20,55.6,"*","*","*","*",268
"Salisbury School District","=""1220011""",28,28,100.0,28,"*","*",0,0.0,"*","*",15,53.6,11,39.3,26,92.9,287
"Seymour School District","=""1240011""",189,188,99.5,188,20,10.6,21,11.2,37,19.7,90,47.9,20,10.6,110,58.5,252
"Sharon School District","=""1250011""",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""",454,451,99.3,451,29,6.4,34,7.5,61,13.5,217,48.1,110,24.4,327,72.5,269
"Sherman School District","=""1270011""",37,37,100.0,37,"*","*","*","*","*","*",24,64.9,7,18.9,31,83.8,269
"Side By Side Charter School District","=""2700013""",21,21,100.0,21,"*","*","*","*",9,42.9,"*","*","*","*","*","*",238
"Simsbury School District","=""1280011""",359,356,99.2,356,18,5.1,9,2.5,26,7.3,171,48.0,132,37.1,303,85.1,281
"Somers School District","=""1290011""",115,114,99.1,114,"*","*","*","*",20,17.5,59,51.8,24,21.1,83,72.8,267
"South Windsor School District","=""1320011""",343,342,99.7,342,10,2.9,19,5.6,35,10.2,170,49.7,108,31.6,278,81.3,279
"Southington School District","=""1310011""",561,558,99.5,558,37,6.6,28,5.0,84,15.1,329,59.0,80,14.3,409,73.3,262
"Sprague School District","=""1330011""",42,42,100.0,42,0,0.0,"*","*","*","*",27,64.3,9,21.4,36,85.7,270
"Stafford School District","=""1340011""",115,115,100.0,115,"*","*","*","*",20,17.4,58,50.4,29,25.2,87,75.7,272
"Stamford School District","=""1350011""",1114,1096,98.4,1096,208,19.0,95,8.7,177,16.1,460,42.0,156,14.2,616,56.2,248
"Sterling School District","=""1360011""",56,56,100.0,56,12,21.4,"*","*",13,23.2,23,41.1,"*","*","*","*",236
"Stonington School District","=""1370011""",178,176,98.9,176,"*","*","*","*",25,14.2,93,52.8,44,25.0,137,77.8,273
"Stratford School District","=""1380011""",540,536,99.3,536,80,14.9,67,12.5,115,21.5,225,42.0,49,9.1,274,51.1,245
"Suffield School District","=""1390011""",184,183,99.5,183,12,6.6,10,5.5,25,13.7,94,51.4,42,23.0,136,74.3,267
"The Bridge Academy District","=""2690013""",49,49,100.0,49,18,36.7,14,28.6,11,22.4,6,12.2,0,0.0,6,12.2,211
"The Gilbert School District","=""9020022""",89,89,100.0,89,6,6.7,13,14.6,24,27.0,40,44.9,6,6.7,46,51.7,248
"Thomaston School District","=""1400011""",70,70,100.0,70,6,8.6,6,8.6,14,20.0,36,51.4,8,11.4,44,62.9,257
"Thompson School District","=""1410011""",77,77,100.0,77,"*","*","*","*",20,26.0,38,49.4,8,10.4,46,59.7,255
"Tolland School District","=""1420011""",236,236,100.0,236,9,3.8,7,3.0,22,9.3,144,61.0,54,22.9,198,83.9,275
"Torrington School District","=""1430011""",337,332,98.5,332,43,13.0,37,11.1,62,18.7,167,50.3,23,6.9,190,57.2,247
"Trailblazers Academy District","=""2780013""",41,36,87.8,36,17,47.2,11,30.6,"*","*","*","*",0,0.0,"*","*",207
"Trumbull School District","=""1440011""",461,457,99.1,457,16,3.5,18,3.9,66,14.4,215,47.0,142,31.1,357,78.1,277
"Unified School District #2","=""3470015""",21,20,95.2,20,15,75.0,"*","*","*","*",0,0.0,0,0.0,0,0.0,182
"Union School District","=""1450011""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""",207,205,99.0,205,30,14.6,32,15.6,31,15.1,101,49.3,11,5.4,112,54.6,245
"Voluntown School District","=""1470011""",31,31,100.0,31,"*","*","*","*","*","*",24,77.4,"*","*","*","*",263
"Wallingford School District","=""1480011""",475,469,98.7,469,26,5.5,22,4.7,81,17.3,240,51.2,100,21.3,340,72.5,268
"Waterbury School District","=""1510011""",1337,1318,98.6,1317,506,38.4,194,14.7,261,19.8,326,24.8,30,2.3,356,27.0,218
"Waterford School District","=""1520011""",233,233,100.0,233,18,7.7,13,5.6,34,14.6,132,56.7,36,15.5,168,72.1,263
"Watertown School District","=""1530011""",224,224,100.0,224,18,8.0,17,7.6,42,18.8,126,56.3,21,9.4,147,65.6,255
"West Hartford School District","=""1550011""",683,675,98.8,675,45,6.7,45,6.7,89,13.2,311,46.1,185,27.4,496,73.5,271
"West Haven School District","=""1560011""",428,424,99.1,424,103,24.3,56,13.2,90,21.2,143,33.7,32,7.5,175,41.3,236
"Westbrook School District","=""1540011""",53,53,100.0,53,"*","*","*","*","*","*",22,41.5,24,45.3,46,86.8,297
"Weston School District","=""1570011""",184,182,98.9,182,"*","*","*","*",21,11.5,110,60.4,45,24.7,155,85.2,277
"Westport School District","=""1580011""",455,449,98.7,449,9,2.0,9,2.0,46,10.2,232,51.7,153,34.1,385,85.7,284
"Wethersfield School District","=""1590011""",278,277,99.6,277,27,9.7,21,7.6,51,18.4,132,47.7,46,16.6,178,64.3,256
"Willington School District","=""1600011""",53,52,98.1,52,"*","*","*","*",13,25.0,29,55.8,"*","*","*","*",258
"Wilton School District","=""1610011""",342,330,96.5,330,"*","*","*","*",25,7.6,158,47.9,135,40.9,293,88.8,287
"Winchester School District","=""1620011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""",249,246,98.8,246,95,38.6,39,15.9,39,15.9,59,24.0,14,5.7,73,29.7,222
"Windsor Locks School District","=""1650011""",112,111,99.1,111,10,9.0,12,10.8,32,28.8,47,42.3,10,9.0,57,51.4,247
"Windsor School District","=""1640011""",249,247,99.2,247,36,14.6,35,14.2,40,16.2,97,39.3,39,15.8,136,55.1,252
"Wolcott School District","=""1660011""",234,234,100.0,234,14,6.0,11,4.7,26,11.1,127,54.3,56,23.9,183,78.2,269
"Woodstock School District","=""1690011""",100,99,99.0,99,"*","*","*","*",8,8.1,58,58.6,28,28.3,86,86.9,279

