"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Elm City College Preparatory School District","=""2890013""",32,32,100.0,30,8,26.7,8,26.7,10,33.3,"*","*","*","*","*","*",218
"Enfield School District","=""0490011""",369,365,98.9,365,13,3.6,31,8.5,143,39.2,108,29.6,70,19.2,178,48.8,262
"Explorations District","=""2720013""",20,20,100.0,20,"*","*",8,40.0,6,30.0,"*","*","*","*","*","*",223
"Fairfield School District","=""0510011""",769,752,97.8,752,13,1.7,29,3.9,179,23.8,226,30.1,305,40.6,531,70.6,284
"Farmington School District","=""0520011""",294,290,98.6,290,6,2.1,7,2.4,54,18.6,78,26.9,145,50.0,223,76.9,295
"Glastonbury School District","=""0540011""",483,478,99.0,478,7,1.5,20,4.2,102,21.3,106,22.2,243,50.8,349,73.0,294
"Granby School District","=""0560011""",170,168,98.8,167,"*","*","*","*",21,12.6,43,25.7,93,55.7,136,81.4,299
"Greenwich School District","=""0570011""",609,600,98.5,599,17,2.8,23,3.8,122,20.4,137,22.9,300,50.1,437,73.0,292
"Griswold School District","=""0580011""",150,148,98.7,147,12,8.2,21,14.3,50,34.0,38,25.9,26,17.7,64,43.5,253
"Groton School District","=""0590011""",262,240,91.6,240,19,7.9,29,12.1,87,36.3,44,18.3,61,25.4,105,43.8,260
"Guilford School District","=""0600011""",291,289,99.3,289,"*","*","*","*",64,22.1,79,27.3,133,46.0,212,73.4,290
"Hamden School District","=""0620011""",418,391,93.5,388,60,15.5,57,14.7,143,36.9,59,15.2,69,17.8,128,33.0,245
"Hartford School District","=""0640011""",1328,1179,88.8,1164,363,31.2,260,22.3,304,26.1,121,10.4,116,10.0,237,20.4,221
"Highville Charter School District","=""2860013""",20,20,100.0,20,7,35.0,7,35.0,6,30.0,0,0.0,0,0.0,0,0.0,198
"Jumoke Academy District","=""2610013""",14,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""",195,181,92.8,181,23,12.7,34,18.8,59,32.6,44,24.3,21,11.6,65,35.9,242
"Learn","=""2450014""",176,170,96.6,169,37,21.9,30,17.8,42,24.9,22,13.0,38,22.5,60,35.5,243
"Lebanon School District","=""0710011""",95,94,98.9,94,"*","*","*","*",28,29.8,30,31.9,22,23.4,52,55.3,264
"Ledyard School District","=""0720011""",193,188,97.4,188,"*","*","*","*",53,28.2,41,21.8,76,40.4,117,62.2,281
"Litchfield School District","=""0740011""",63,63,100.0,63,"*","*","*","*",18,28.6,18,28.6,24,38.1,42,66.7,286
"Madison School District","=""0760011""",295,286,96.9,286,"*","*","*","*",60,21.0,84,29.4,121,42.3,205,71.7,285
"Manchester School District","=""0770011""",388,372,95.9,372,86,23.1,73,19.6,113,30.4,53,14.2,47,12.6,100,26.9,231
"Meriden School District","=""0800011""",586,551,94.0,544,175,32.2,148,27.2,153,28.1,40,7.4,28,5.1,68,12.5,213
"Middletown School District","=""0830011""",313,307,98.1,307,50,16.3,49,16.0,106,34.5,47,15.3,55,17.9,102,33.2,244
"Milford School District","=""0840011""",448,440,98.2,437,26,5.9,49,11.2,176,40.3,102,23.3,84,19.2,186,42.6,258
"Monroe School District","=""0850011""",299,297,99.3,295,"*","*","*","*",55,18.6,77,26.1,150,50.8,227,76.9,295
"Montville School District","=""0860011""",187,182,97.3,182,11,6.0,12,6.6,57,31.3,41,22.5,61,33.5,102,56.0,273
"Naugatuck School District","=""0880011""",298,285,95.6,284,37,13.0,66,23.2,110,38.7,39,13.7,32,11.3,71,25.0,235
"New Britain School District","=""0890011""",542,498,91.9,491,193,39.3,117,23.8,115,23.4,44,9.0,22,4.5,66,13.4,209
"New Canaan School District","=""0900011""",319,314,98.4,313,"*","*","*","*",57,18.2,86,27.5,162,51.8,248,79.2,296
"New Fairfield School District","=""0910011""",218,216,99.1,216,"*","*","*","*",69,31.9,60,27.8,71,32.9,131,60.6,276
"New Haven School District","=""0930011""",1490,1308,87.8,1276,333,26.1,310,24.3,372,29.2,144,11.3,117,9.2,261,20.5,223
"New London School District","=""0950011""",241,220,91.3,218,56,25.7,43,19.7,65,29.8,24,11.0,30,13.8,54,24.8,228
"New Milford School District","=""0960011""",361,343,95.0,342,12,3.5,21,6.1,110,32.2,86,25.1,113,33.0,199,58.2,275
"Newington School District","=""0940011""",298,295,99.0,295,22,7.5,29,9.8,108,36.6,70,23.7,66,22.4,136,46.1,259
"Newtown School District","=""0970011""",416,412,99.0,412,6,1.5,12,2.9,70,17.0,91,22.1,233,56.6,324,78.6,297
"North Branford School District","=""0990011""",150,147,98.0,147,"*","*","*","*",36,24.5,41,27.9,54,36.7,95,64.6,281
"North Haven School District","=""1010011""",252,244,96.8,243,10,4.1,19,7.8,74,30.5,54,22.2,86,35.4,140,57.6,275
"North Stonington School District","=""1020011""",46,46,100.0,46,"*","*","*","*",14,30.4,10,21.7,18,39.1,28,60.9,277
"Norwalk School District","=""1030011""",863,833,96.5,830,114,13.7,129,15.5,294,35.4,159,19.2,134,16.1,293,35.3,245
"Norwich Free Academy District","=""9010022""",558,544,97.5,542,86,15.9,83,15.3,163,30.1,96,17.7,114,21.0,210,38.7,248
"Norwich School District","=""1040011""",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""",110,108,98.2,108,"*","*","*","*",25,23.1,33,30.6,41,38.0,74,68.5,280
"Oxford School District","=""1080011""",141,141,100.0,139,6,4.3,6,4.3,37,26.6,29,20.9,61,43.9,90,64.7,284
"Path Academy District","=""2930013""",45,22,48.9,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""",170,163,95.9,162,31,19.1,31,19.1,62,38.3,23,14.2,15,9.3,38,23.5,233
"Plainville School District","=""1100011""",169,163,96.4,163,18,11.0,20,12.3,44,27.0,46,28.2,35,21.5,81,49.7,254
"Plymouth School District","=""1110011""",130,126,96.9,126,15,11.9,27,21.4,39,31.0,29,23.0,16,12.7,45,35.7,241
"Portland School District","=""1130011""",92,92,100.0,92,"*","*","*","*",29,31.5,24,26.1,29,31.5,53,57.6,275
"Putnam School District","=""1160011""",70,69,98.6,68,12,17.6,12,17.6,29,42.6,8,11.8,7,10.3,15,22.1,233
"Regional School District 01","=""2010012""",92,90,97.8,90,"*","*",14,15.6,38,42.2,20,22.2,"*","*","*","*",252
"Regional School District 04","=""2040012""",155,154,99.4,154,"*","*","*","*",41,26.6,36,23.4,69,44.8,105,68.2,288
"Regional School District 05","=""2050012""",360,359,99.7,358,"*","*","*","*",69,19.3,85,23.7,189,52.8,274,76.5,296
"Regional School District 06","=""2060012""",117,116,99.1,116,6,5.2,16,13.8,39,33.6,30,25.9,25,21.6,55,47.4,261
"Regional School District 07","=""2070012""",176,176,100.0,175,"*","*","*","*",45,25.7,47,26.9,71,40.6,118,67.4,283
"Regional School District 08","=""2080012""",276,271,98.2,271,6,2.2,9,3.3,71,26.2,86,31.7,99,36.5,185,68.3,283
"Regional School District 09","=""2090012""",245,235,95.9,233,0,0.0,"*","*","*","*",58,24.9,123,52.8,181,77.7,297
"Regional School District 10","=""2100012""",201,201,100.0,201,"*","*","*","*",43,21.4,49,24.4,92,45.8,141,70.1,286
"Regional School District 11","=""2110012""",29,29,100.0,29,"*","*","*","*",7,24.1,7,24.1,10,34.5,17,58.6,267
"Regional School District 12","=""2120012""",62,62,100.0,62,"*","*","*","*",9,14.5,17,27.4,26,41.9,43,69.4,283
"Regional School District 13","=""2130012""",126,123,97.6,123,"*","*","*","*",24,19.5,32,26.0,61,49.6,93,75.6,298
"Regional School District 14","=""2140012""",193,192,99.5,192,"*","*","*","*",60,31.3,49,25.5,65,33.9,114,59.4,276
"Regional School District 15","=""2150012""",292,283,96.9,283,"*","*","*","*",46,16.3,90,31.8,136,48.1,226,79.9,294
"Regional School District 16","=""2160012""",172,172,100.0,172,17,9.9,16,9.3,60,34.9,39,22.7,40,23.3,79,45.9,258
"Regional School District 17","=""2170012""",167,164,98.2,164,"*","*","*","*",38,23.2,41,25.0,77,47.0,118,72.0,292
"Regional School District 18","=""2180012""",118,118,100.0,117,"*","*","*","*",27,23.1,29,24.8,49,41.9,78,66.7,282
"Regional School District 19","=""2190012""",300,296,98.7,296,13,4.4,24,8.1,88,29.7,64,21.6,107,36.1,171,57.8,276
"Ridgefield School District","=""1180011""",430,406,94.4,406,0,0.0,10,2.5,66,16.3,103,25.4,227,55.9,330,81.3,300
"Rocky Hill School District","=""1190011""",178,176,98.9,176,13,7.4,10,5.7,53,30.1,35,19.9,65,36.9,100,56.8,276
"Seymour School District","=""1240011""",155,152,98.1,152,16,10.5,14,9.2,55,36.2,37,24.3,30,19.7,67,44.1,254
"Shelton School District","=""1260011""",352,342,97.2,341,16,4.7,30,8.8,104,30.5,103,30.2,88,25.8,191,56.0,267
"Sherman School District","=""1270011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Simsbury School District","=""1280011""",331,329,99.4,328,6,1.8,7,2.1,38,11.6,61,18.6,216,65.9,277,84.5,308
"Somers School District","=""1290011""",122,120,98.4,120,"*","*","*","*",35,29.2,19,15.8,54,45.0,73,60.8,284
"South Windsor School District","=""1320011""",332,326,98.2,326,"*","*","*","*",52,16.0,69,21.2,186,57.1,255,78.2,302
"Southington School District","=""1310011""",539,527,97.8,526,14,2.7,39,7.4,131,24.9,125,23.8,217,41.3,342,65.0,282
"Stafford School District","=""1340011""",94,89,94.7,89,"*","*","*","*",24,27.0,20,22.5,35,39.3,55,61.8,276
"Stamford Academy District","=""2820013""",44,39,88.6,39,25,64.1,"*","*","*","*",0,0.0,0,0.0,0,0.0,184
"Stamford School District","=""1350011""",1112,1077,96.9,1073,231,21.5,182,17.0,327,30.5,165,15.4,168,15.7,333,31.0,236
"Sterling School District","=""1360011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""",182,180,98.9,180,"*","*","*","*",56,31.1,48,26.7,59,32.8,107,59.4,275
"Stratford School District","=""1380011""",522,503,96.4,500,42,8.4,71,14.2,189,37.8,113,22.6,85,17.0,198,39.6,251
"Suffield School District","=""1390011""",203,197,97.0,197,"*","*","*","*",43,21.8,47,23.9,95,48.2,142,72.1,290
"The Bridge Academy District","=""2690013""",45,45,100.0,45,14,31.1,13,28.9,12,26.7,6,13.3,0,0.0,6,13.3,211
"The Gilbert School District","=""9020022""",81,80,98.8,80,19,23.8,15,18.8,22,27.5,10,12.5,14,17.5,24,30.0,235
"Thomaston School District","=""1400011""",57,57,100.0,57,"*","*","*","*",23,40.4,14,24.6,11,19.3,25,43.9,256
"Thompson School District","=""1410011""",72,68,94.4,68,13,19.1,"*","*",32,47.1,10,14.7,"*","*","*","*",235
"Tolland School District","=""1420011""",215,215,100.0,215,6,2.8,12,5.6,44,20.5,64,29.8,89,41.4,153,71.2,286
"Torrington School District","=""1430011""",265,232,87.5,231,35,15.2,45,19.5,81,35.1,37,16.0,33,14.3,70,30.3,239
"Trumbull School District","=""1440011""",561,551,98.2,551,9,1.6,14,2.5,107,19.4,123,22.3,298,54.1,421,76.4,297
"Unified School District #2","=""3470015""",42,35,83.3,34,16,47.1,8,23.5,10,29.4,0,0.0,0,0.0,0,0.0,190
"Vernon School District","=""1460011""",199,196,98.5,195,22,11.3,38,19.5,66,33.8,35,17.9,34,17.4,69,35.4,245
"Voluntown School District","=""1470011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""",471,465,98.7,465,19,4.1,35,7.5,163,35.1,129,27.7,119,25.6,248,53.3,267
"Waterbury School District","=""1510011""",1252,1205,96.2,1191,403,33.8,291,24.4,335,28.1,98,8.2,64,5.4,162,13.6,212
"Waterford School District","=""1520011""",212,205,96.7,205,11,5.4,12,5.9,70,34.1,47,22.9,65,31.7,112,54.6,270
"Watertown School District","=""1530011""",209,200,95.7,200,6,3.0,18,9.0,73,36.5,54,27.0,49,24.5,103,51.5,265
"West Hartford School District","=""1550011""",734,723,98.5,723,20,2.8,29,4.0,119,16.5,147,20.3,408,56.4,555,76.8,297
"West Haven School District","=""1560011""",399,379,95.0,377,51,13.5,57,15.1,131,34.7,66,17.5,72,19.1,138,36.6,248
"Westbrook School District","=""1540011""",92,91,98.9,90,"*","*","*","*",37,41.1,24,26.7,20,22.2,44,48.9,264
"Weston School District","=""1570011""",206,201,97.6,201,"*","*","*","*",42,20.9,51,25.4,102,50.7,153,76.1,295
"Westport School District","=""1580011""",477,468,98.1,468,"*","*","*","*",99,21.2,102,21.8,253,54.1,355,75.9,297
"Wethersfield School District","=""1590011""",315,301,95.6,301,11,3.7,21,7.0,98,32.6,80,26.6,91,30.2,171,56.8,269
"Wilton School District","=""1610011""",341,333,97.7,330,"*","*","*","*",54,16.4,89,27.0,180,54.5,269,81.5,302
"Winchester School District","=""1620011""",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""",140,129,92.1,129,44,34.1,29,22.5,33,25.6,14,10.9,9,7.0,23,17.8,216
"Windsor Locks School District","=""1650011""",113,107,94.7,107,10,9.3,12,11.2,44,41.1,27,25.2,14,13.1,41,38.3,250
"Windsor School District","=""1640011""",302,288,95.4,288,23,8.0,47,16.3,99,34.4,53,18.4,66,22.9,119,41.3,255
"Wolcott School District","=""1660011""",188,187,99.5,187,8,4.3,12,6.4,73,39.0,44,23.5,50,26.7,94,50.3,265
"Woodstock Academy District","=""9030022""",245,244,99.6,244,11,4.5,20,8.2,65,26.6,55,22.5,93,38.1,148,60.7,276

