"Educator Race/Ethnicity Report for 2007-08"

"District","Race","Count","% of Total"
="Naugatuck School District",="Hispanic or Latino",5,1.2
="New Britain School District",="Hispanic or Latino",93,10.7
="New Canaan School District",="Hispanic or Latino",5,1.2
="New Fairfield School District",="Hispanic or Latino",1,0.4
="New Hartford School District",="Hispanic or Latino",1,1.7
="New Haven School District",="Hispanic or Latino",136,7.3
="New London School District",="Hispanic or Latino",25,8.7
="New Milford School District",="Hispanic or Latino",4,1.0
="Newington School District",="Hispanic or Latino",5,1.3
="Newtown School District",="Hispanic or Latino",3,0.7
="North Branford School District",="Hispanic or Latino",1,0.5
="North Haven School District",="Hispanic or Latino",4,1.2
="Norwalk School District",="Hispanic or Latino",56,5.9
="Norwich Free Academy District",="Hispanic or Latino",4,2.1
="Norwich School District",="Hispanic or Latino",3,0.9
="Old Saybrook School District",="Hispanic or Latino",1,0.6
="Oxford School District",="Hispanic or Latino",1,0.7
="Plainville School District",="Hispanic or Latino",2,0.8
="Plymouth School District",="Hispanic or Latino",2,1.3
="Redding School District",="Hispanic or Latino",1,0.8
="Regional School District 04",="Hispanic or Latino",2,1.9
="Regional School District 05",="Hispanic or Latino",7,2.9
="Regional School District 06",="Hispanic or Latino",2,1.8
="Regional School District 07",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",2,1.2
="Regional School District 09",="Hispanic or Latino",1,1.0
="Regional School District 10",="Hispanic or Latino",4,1.6
="Regional School District 11",="Hispanic or Latino",1,2.4
="Regional School District 12",="Hispanic or Latino",2,1.7
="Regional School District 13",="Hispanic or Latino",3,1.5
="Regional School District 14",="Hispanic or Latino",2,1.0
="Regional School District 15",="Hispanic or Latino",2,0.5
="Regional School District 16",="Hispanic or Latino",2,0.9
="Regional School District 17",="Hispanic or Latino",2,0.9
="Regional School District 19",="Hispanic or Latino",2,1.6
="Ridgefield School District",="Hispanic or Latino",5,1.1
="Rocky Hill School District",="Hispanic or Latino",4,1.7
="Salem School District",="Hispanic or Latino",1,1.8
="Seymour School District",="Hispanic or Latino",1,0.5
="Shelton School District",="Hispanic or Latino",3,0.7
="Sherman School District",="Hispanic or Latino",1,2.1
="Simsbury School District",="Hispanic or Latino",4,0.9
="Somers School District",="Hispanic or Latino",2,1.2
="South Windsor School District",="Hispanic or Latino",9,2.2
="Southington School District",="Hispanic or Latino",3,0.5
="Sprague School District",="Hispanic or Latino",2,6.1
="Stafford School District",="Hispanic or Latino",1,0.6
="Stamford School District",="Hispanic or Latino",73,4.9
="Stonington School District",="Hispanic or Latino",1,0.4
="Stratford School District",="Hispanic or Latino",9,1.4
="Suffield School District",="Hispanic or Latino",5,2.2
="The Bridge Academy District",="Hispanic or Latino",2,9.1
="Thomaston School District",="Hispanic or Latino",2,1.8
="Tolland School District",="Hispanic or Latino",7,2.7
="Torrington School District",="Hispanic or Latino",9,2.2
="Trumbull School District",="Hispanic or Latino",13,2.2
="Unified School District #1",="Hispanic or Latino",6,2.8
="Unified School District #2",="Hispanic or Latino",2,1.7
="Vernon School District",="Hispanic or Latino",7,2.0
="Wallingford School District",="Hispanic or Latino",3,0.5
="Waterbury School District",="Hispanic or Latino",113,7.2
="Waterford School District",="Hispanic or Latino",6,2.2
="Watertown School District",="Hispanic or Latino",1,0.4
="West Hartford School District",="Hispanic or Latino",21,2.2
="West Haven School District",="Hispanic or Latino",11,1.9
="Weston School District",="Hispanic or Latino",2,0.8
="Westport School District",="Hispanic or Latino",15,2.4
="Wethersfield School District",="Hispanic or Latino",5,1.5
="Willington School District",="Hispanic or Latino",2,3.1
="Wilton School District",="Hispanic or Latino",5,1.3
="Winchester School District",="Hispanic or Latino",1,1.0
="Windham School District",="Hispanic or Latino",31,8.3
="Windsor Locks School District",="Hispanic or Latino",4,2.1
="Windsor School District",="Hispanic or Latino",6,1.4
="Wolcott School District",="Hispanic or Latino",4,1.6
="Woodbridge School District",="Hispanic or Latino",1,1.2
="Woodstock Academy District",="Hispanic or Latino",1,1.0

