"Physical Fitness Tests: Students Reaching Health Standard, 2010-11"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"East Lyme School District","=""0450011""","All Grades","Push Up",83.0
"East Windsor School District","=""0470011""","All Grades","Push Up",55.1
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Push Up",64.3
"Eastford School District","=""0390011""","All Grades","Push Up",100.0
"Easton School District","=""0460011""","All Grades","Push Up",81.9
"Ellington School District","=""0480011""","All Grades","Push Up",72.2
"Elm City College Preparatory School District","=""2890013""","All Grades","Push Up",62.5
"Enfield School District","=""0490011""","All Grades","Push Up",82.1
"Essex School District","=""0500011""","All Grades","Push Up",74.7
"Explorations District","=""2720013""","All Grades","Push Up",52.2
"Fairfield School District","=""0510011""","All Grades","Push Up",80.2
"Farmington School District","=""0520011""","All Grades","Push Up",79.1
"Franklin School District","=""0530011""","All Grades","Push Up",77.4
"Glastonbury School District","=""0540011""","All Grades","Push Up",79.0
"Granby School District","=""0560011""","All Grades","Push Up",75.5
"Greenwich School District","=""0570011""","All Grades","Push Up",76.6
"Griswold School District","=""0580011""","All Grades","Push Up",81.7
"Groton School District","=""0590011""","All Grades","Push Up",71.4
"Guilford School District","=""0600011""","All Grades","Push Up",89.3
"Hamden School District","=""0620011""","All Grades","Push Up",78.2
"Hampton School District","=""0630011""","All Grades","Push Up",85.2
"Hartford School District","=""0640011""","All Grades","Push Up",60.1
"Hartland School District","=""0650011""","All Grades","Push Up",87.5
"Hebron School District","=""0670011""","All Grades","Push Up",89.2
"Highville Charter School District","=""2860013""","All Grades","Push Up",84.1
"Integrated Day Charter School District","=""2640013""","All Grades","Push Up",91.5
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Push Up",68.1
"Jumoke Academy District","=""2610013""","All Grades","Push Up",58.8
"Kent School District","=""0680011""","All Grades","Push Up",86.4
"Killingly School District","=""0690011""","All Grades","Push Up",65.7
"Learn","=""2450014""","All Grades","Push Up",68.8
"Lebanon School District","=""0710011""","All Grades","Push Up",78.1
"Ledyard School District","=""0720011""","All Grades","Push Up",74.9
"Lisbon School District","=""0730011""","All Grades","Push Up",66.1
"Litchfield School District","=""0740011""","All Grades","Push Up",83.4
"Madison School District","=""0760011""","All Grades","Push Up",87.5
"Manchester School District","=""0770011""","All Grades","Push Up",71.1
"Mansfield School District","=""0780011""","All Grades","Push Up",76.9
"Marlborough School District","=""0790011""","All Grades","Push Up",75.5
"Meriden School District","=""0800011""","All Grades","Push Up",59.9
"Middletown School District","=""0830011""","All Grades","Push Up",61.2
"Milford School District","=""0840011""","All Grades","Push Up",78.2
"Monroe School District","=""0850011""","All Grades","Push Up",80.3
"Montville School District","=""0860011""","All Grades","Push Up",64.4
"Naugatuck School District","=""0880011""","All Grades","Push Up",66.1
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Push Up",41.3
"New Britain School District","=""0890011""","All Grades","Push Up",58.9
"New Canaan School District","=""0900011""","All Grades","Push Up",90.3
"New Fairfield School District","=""0910011""","All Grades","Push Up",89.6
"New Hartford School District","=""0920011""","All Grades","Push Up",60.2
"New Haven School District","=""0930011""","All Grades","Push Up",63.6
"New London School District","=""0950011""","All Grades","Push Up",61.9
"New Milford School District","=""0960011""","All Grades","Push Up",69.4
"Newington School District","=""0940011""","All Grades","Push Up",75.8
"Newtown School District","=""0970011""","All Grades","Push Up",86.1
"Norfolk School District","=""0980011""","All Grades","Push Up",70.2
"North Branford School District","=""0990011""","All Grades","Push Up",87.8
"North Canaan School District","=""1000011""","All Grades","Push Up",42.6
"North Haven School District","=""1010011""","All Grades","Push Up",72.7
"North Stonington School District","=""1020011""","All Grades","Push Up",79.7
"Norwalk School District","=""1030011""","All Grades","Push Up",71.4
"Norwich Free Academy District","=""9010022""","All Grades","Push Up",68.9
"Norwich School District","=""1040011""","All Grades","Push Up",58.5
"Odyssey Community School District","=""2630013""","All Grades","Push Up",57.0
"Old Saybrook School District","=""1060011""","All Grades","Push Up",71.8
"Orange School District","=""1070011""","All Grades","Push Up",71.2
"Oxford School District","=""1080011""","All Grades","Push Up",78.9
"Park City Prep Charter School District","=""2830013""","All Grades","Push Up",58.7
"Plainfield School District","=""1090011""","All Grades","Push Up",56.4
"Plainville School District","=""1100011""","All Grades","Push Up",71.5
"Plymouth School District","=""1110011""","All Grades","Push Up",80.2
"Pomfret School District","=""1120011""","All Grades","Push Up",55.9
"Portland School District","=""1130011""","All Grades","Push Up",68.9
"Preston School District","=""1140011""","All Grades","Push Up",58.1
"Putnam School District","=""1160011""","All Grades","Push Up",64.1
"Redding School District","=""1170011""","All Grades","Push Up",88.6
"Regional School District 01","=""2010012""","All Grades","Push Up",67.5
"Regional School District 04","=""2040012""","All Grades","Push Up",55.8
"Regional School District 05","=""2050012""","All Grades","Push Up",90.3
"Regional School District 06","=""2060012""","All Grades","Push Up",93.6
"Regional School District 07","=""2070012""","All Grades","Push Up",70.4
"Regional School District 08","=""2080012""","All Grades","Push Up",77.9
"Regional School District 10","=""2100012""","All Grades","Push Up",86.3
"Regional School District 11","=""2110012""","All Grades","Push Up",87.5
"Regional School District 12","=""2120012""","All Grades","Push Up",89.0
"Regional School District 13","=""2130012""","All Grades","Push Up",81.6
"Regional School District 14","=""2140012""","All Grades","Push Up",79.2
"Regional School District 15","=""2150012""","All Grades","Push Up",79.1
"Regional School District 16","=""2160012""","All Grades","Push Up",82.1
"Regional School District 17","=""2170012""","All Grades","Push Up",84.0
"Regional School District 18","=""2180012""","All Grades","Push Up",73.5
"Regional School District 19","=""2190012""","All Grades","Push Up",89.3
"Ridgefield School District","=""1180011""","All Grades","Push Up",83.6
"Rocky Hill School District","=""1190011""","All Grades","Push Up",83.3
"Salem School District","=""1210011""","All Grades","Push Up",69.2
"Salisbury School District","=""1220011""","All Grades","Push Up",78.8
"Scotland School District","=""1230011""","All Grades","Push Up",61.1
"Seymour School District","=""1240011""","All Grades","Push Up",59.6
"Sharon School District","=""1250011""","All Grades","Push Up",74.2
"Shelton School District","=""1260011""","All Grades","Push Up",78.3
"Sherman School District","=""1270011""","All Grades","Push Up",80.6
"Side By Side Charter School District","=""2700013""","All Grades","Push Up",82.3
"Simsbury School District","=""1280011""","All Grades","Push Up",81.9
"Somers School District","=""1290011""","All Grades","Push Up",83.2
"South Windsor School District","=""1320011""","All Grades","Push Up",75.0
"Southington School District","=""1310011""","All Grades","Push Up",78.1
"Sprague School District","=""1330011""","All Grades","Push Up",81.6
"Stafford School District","=""1340011""","All Grades","Push Up",61.2
"Stamford School District","=""1350011""","All Grades","Push Up",76.8
"Sterling School District","=""1360011""","All Grades","Push Up",83.3
"Stonington School District","=""1370011""","All Grades","Push Up",82.8
"Stratford School District","=""1380011""","All Grades","Push Up",81.4
"Suffield School District","=""1390011""","All Grades","Push Up",73.7
"The Bridge Academy District","=""2690013""","All Grades","Push Up",78.4
"The Gilbert School District","=""9020022""","All Grades","Push Up",58.3
"Thomaston School District","=""1400011""","All Grades","Push Up",57.7
"Thompson School District","=""1410011""","All Grades","Push Up",51.9
"Tolland School District","=""1420011""","All Grades","Push Up",77.6
"Torrington School District","=""1430011""","All Grades","Push Up",64.8
"Trailblazers Academy District","=""2780013""","All Grades","Push Up",50.9
"Trumbull School District","=""1440011""","All Grades","Push Up",86.3
"Union School District","=""1450011""","All Grades","Push Up",91.7
"Vernon School District","=""1460011""","All Grades","Push Up",81.2
"Voluntown School District","=""1470011""","All Grades","Push Up",78.8
"Wallingford School District","=""1480011""","All Grades","Push Up",75.6
"Waterbury School District","=""1510011""","All Grades","Push Up",65.3
"Waterford School District","=""1520011""","All Grades","Push Up",73.1
"Watertown School District","=""1530011""","All Grades","Push Up",72.9
"West Hartford School District","=""1550011""","All Grades","Push Up",83.6
"West Haven School District","=""1560011""","All Grades","Push Up",57.9
"Westbrook School District","=""1540011""","All Grades","Push Up",78.0
"Weston School District","=""1570011""","All Grades","Push Up",86.2
"Westport School District","=""1580011""","All Grades","Push Up",81.6
"Wethersfield School District","=""1590011""","All Grades","Push Up",65.1
"Willington School District","=""1600011""","All Grades","Push Up",76.6
"Wilton School District","=""1610011""","All Grades","Push Up",90.5
"Winchester School District","=""1620011""","All Grades","Push Up",82.4
"Windham School District","=""1630011""","All Grades","Push Up",70.1
"Windsor Locks School District","=""1650011""","All Grades","Push Up",53.5
"Windsor School District","=""1640011""","All Grades","Push Up",62.4
"Wolcott School District","=""1660011""","All Grades","Push Up",84.4
"Woodbridge School District","=""1670011""","All Grades","Push Up",81.1
"Woodstock Academy District","=""9030022""","All Grades","Push Up",89.5
"Woodstock School District","=""1690011""","All Grades","Push Up",70.3

