"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"Derby School District","=""0370011""","All Grades","Curl Up",75.4,77.6,77.1,74.7,74.6
"East Granby School District","=""0400011""","All Grades","Curl Up",91.7,86.0,91.2,86.8,87.8
"East Haddam School District","=""0410011""","All Grades","Curl Up",78.3,79.7,81.4,89.2,87.5
"East Hampton School District","=""0420011""","All Grades","Curl Up",83.8,82.1,76.0,65.4,80.2
"East Hartford School District","=""0430011""","All Grades","Curl Up",81.6,84.2,81.5,71.7,73.0
"East Haven School District","=""0440011""","All Grades","Curl Up",67.0,87.2,72.3,82.3,90.4
"East Lyme School District","=""0450011""","All Grades","Curl Up",87.8,85.1,86.8,87.1,88.1
"East Windsor School District","=""0470011""","All Grades","Curl Up",77.4,73.6,79.9,69.1,74.3
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Curl Up",65.0,68.2,80.3,82.9,86.9
"Eastford School District","=""0390011""","All Grades","Curl Up",79.1,98.1,87.5,95.6,94.7
"Easton School District","=""0460011""","All Grades","Curl Up",90.7,89.2,83.1,89.8,89.4
"Ellington School District","=""0480011""","All Grades","Curl Up",83.4,81.5,81.6,85.8,83.7
"Elm City College Preparatory School District","=""2890013""","All Grades","Curl Up",48.4,38.4,52.5,76.1,72.2
"Enfield School District","=""0490011""","All Grades","Curl Up",93.5,93.2,91.3,88.9,91.0
"Essex School District","=""0500011""","All Grades","Curl Up",95.2,98.7,98.1,96.9,93.3
"Explorations District","=""2720013""","All Grades","Curl Up","*","*","*",65.0,"*"
"Fairfield School District","=""0510011""","All Grades","Curl Up",87.1,89.0,89.9,91.2,90.0
"Farmington School District","=""0520011""","All Grades","Curl Up",86.9,84.5,86.6,85.8,86.0
"Franklin School District","=""0530011""","All Grades","Curl Up",78.1,80.0,89.3,92.0,90.2
"Glastonbury School District","=""0540011""","All Grades","Curl Up",85.7,88.4,83.9,88.5,85.0
"Granby School District","=""0560011""","All Grades","Curl Up",87.6,91.2,90.0,87.7,86.7
"Great Oaks Charter School District","=""2940013""","All Grades","Curl Up","N/A","N/A","N/A",46.6,79.6
"Greenwich School District","=""0570011""","All Grades","Curl Up",94.5,94.0,93.0,95.8,94.4
"Griswold School District","=""0580011""","All Grades","Curl Up",87.2,81.2,80.4,80.0,83.6
"Groton School District","=""0590011""","All Grades","Curl Up",80.7,84.2,81.3,84.0,80.3
"Guilford School District","=""0600011""","All Grades","Curl Up",88.4,91.3,93.3,94.9,94.4
"Hamden School District","=""0620011""","All Grades","Curl Up",84.2,84.5,78.0,83.9,73.1
"Hampton School District","=""0630011""","All Grades","Curl Up",100.0,72.0,65.5,81.5,100.0
"Hartford School District","=""0640011""","All Grades","Curl Up",76.6,75.4,74.5,78.2,75.5
"Hartland School District","=""0650011""","All Grades","Curl Up",100.0,100.0,100.0,100.0,100.0
"Hebron School District","=""0670011""","All Grades","Curl Up",75.3,82.3,76.7,73.6,71.0
"Highville Charter School District","=""2860013""","All Grades","Curl Up",43.8,91.8,90.3,70.4,76.6
"Integrated Day Charter School District","=""2640013""","All Grades","Curl Up",89.9,94.7,89.1,74.5,69.4
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Curl Up",87.1,60.8,62.7,66.5,78.2
"Jumoke Academy District","=""2610013""","All Grades","Curl Up",39.9,44.8,35.5,44.4,62.2
"Kent School District","=""0680011""","All Grades","Curl Up",71.1,78.7,81.8,84.6,81.3
"Killingly School District","=""0690011""","All Grades","Curl Up",80.0,84.1,87.4,83.6,79.3
"Learn","=""2450014""","All Grades","Curl Up",66.7,84.5,83.3,79.1,77.9
"Lebanon School District","=""0710011""","All Grades","Curl Up",87.2,89.7,93.3,90.4,89.5
"Ledyard School District","=""0720011""","All Grades","Curl Up",83.4,85.5,85.6,83.0,76.7
"Lisbon School District","=""0730011""","All Grades","Curl Up",76.1,67.5,88.4,72.9,90.8
"Litchfield School District","=""0740011""","All Grades","Curl Up",95.1,90.6,92.8,94.2,82.4
"Madison School District","=""0760011""","All Grades","Curl Up",91.2,87.9,92.3,92.3,88.9
"Manchester School District","=""0770011""","All Grades","Curl Up",85.5,89.4,85.7,82.1,79.2
"Mansfield School District","=""0780011""","All Grades","Curl Up",94.6,95.3,93.6,88.8,91.2
"Marlborough School District","=""0790011""","All Grades","Curl Up",84.2,84.8,79.2,94.8,84.7
"Meriden School District","=""0800011""","All Grades","Curl Up",74.6,74.5,72.6,76.6,77.8
"Middletown School District","=""0830011""","All Grades","Curl Up",74.9,75.3,78.0,79.8,81.2
"Milford School District","=""0840011""","All Grades","Curl Up",93.4,93.0,87.4,92.1,92.3
"Monroe School District","=""0850011""","All Grades","Curl Up",91.2,86.7,91.7,89.0,87.9
"Montville School District","=""0860011""","All Grades","Curl Up",74.2,75.0,83.1,76.5,81.2
"Naugatuck School District","=""0880011""","All Grades","Curl Up",74.9,83.9,83.8,82.0,83.0
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Curl Up","N/A","N/A","N/A",80.3,70.3
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Curl Up",69.1,80.3,75.0,"N/A","N/A"
"New Britain School District","=""0890011""","All Grades","Curl Up",64.1,70.2,73.2,75.9,74.1
"New Canaan School District","=""0900011""","All Grades","Curl Up",95.1,95.9,96.9,94.2,93.5
"New Fairfield School District","=""0910011""","All Grades","Curl Up",91.9,95.4,90.5,91.5,88.9
"New Hartford School District","=""0920011""","All Grades","Curl Up",93.8,97.6,94.5,90.6,93.9
"New Haven School District","=""0930011""","All Grades","Curl Up",75.6,77.2,82.0,80.3,77.9
"New London School District","=""0950011""","All Grades","Curl Up",68.6,73.4,71.2,71.2,58.4
"New Milford School District","=""0960011""","All Grades","Curl Up",81.5,75.1,75.7,78.8,72.9
"Newington School District","=""0940011""","All Grades","Curl Up",90.6,91.5,90.0,86.0,84.7
"Newtown School District","=""0970011""","All Grades","Curl Up",91.0,95.3,94.9,94.0,95.4
"Norfolk School District","=""0980011""","All Grades","Curl Up",96.4,97.4,70.6,96.2,97.1
"North Branford School District","=""0990011""","All Grades","Curl Up",89.4,92.8,91.4,85.5,83.1
"North Canaan School District","=""1000011""","All Grades","Curl Up",89.9,88.1,91.6,54.0,83.6
"North Haven School District","=""1010011""","All Grades","Curl Up",87.2,85.0,85.8,79.3,79.1
"North Stonington School District","=""1020011""","All Grades","Curl Up",93.6,95.9,86.5,93.0,91.8
"Norwalk School District","=""1030011""","All Grades","Curl Up",85.0,82.7,86.8,85.0,84.3
"Norwich Free Academy District","=""9010022""","All Grades","Curl Up",79.8,84.5,85.1,83.1,82.1
"Norwich School District","=""1040011""","All Grades","Curl Up",82.5,76.7,76.0,75.2,82.5
"Odyssey Community School District","=""2630013""","All Grades","Curl Up",58.1,86.3,84.8,59.4,92.4
"Old Saybrook School District","=""1060011""","All Grades","Curl Up",85.3,90.2,90.9,89.6,88.9
"Orange School District","=""1070011""","All Grades","Curl Up",81.0,84.4,82.9,73.4,73.1
"Oxford School District","=""1080011""","All Grades","Curl Up",91.7,92.4,93.9,88.1,80.2
"Park City Prep Charter School District","=""2830013""","All Grades","Curl Up",73.8,59.9,64.3,81.1,83.8
"Plainfield School District","=""1090011""","All Grades","Curl Up",86.8,89.9,86.6,89.7,87.7
"Plainville School District","=""1100011""","All Grades","Curl Up",82.4,91.3,93.0,88.7,82.2
"Plymouth School District","=""1110011""","All Grades","Curl Up",88.0,88.2,79.3,87.7,85.7
"Pomfret School District","=""1120011""","All Grades","Curl Up",64.7,76.9,82.6,81.8,83.6
"Portland School District","=""1130011""","All Grades","Curl Up",64.9,76.0,75.5,77.0,79.8
"Preston School District","=""1140011""","All Grades","Curl Up",94.5,89.5,62.4,89.3,60.0
"Putnam School District","=""1160011""","All Grades","Curl Up",84.1,74.9,81.2,71.5,72.3
"Redding School District","=""1170011""","All Grades","Curl Up",89.3,93.1,94.2,96.1,93.1
"Regional School District 01","=""2010012""","All Grades","Curl Up",73.0,46.9,58.0,70.0,83.5
"Regional School District 04","=""2040012""","All Grades","Curl Up",80.6,76.7,82.7,87.5,91.6
"Regional School District 05","=""2050012""","All Grades","Curl Up",93.3,96.4,85.8,94.9,89.7
"Regional School District 06","=""2060012""","All Grades","Curl Up",88.3,86.4,92.9,95.0,92.4
"Regional School District 07","=""2070012""","All Grades","Curl Up",91.6,82.2,78.4,78.5,70.0
"Regional School District 08","=""2080012""","All Grades","Curl Up",90.8,92.8,90.7,88.8,95.8
"Regional School District 10","=""2100012""","All Grades","Curl Up",92.5,90.7,90.1,93.1,93.0
"Regional School District 11","=""2110012""","All Grades","Curl Up",97.6,93.1,97.4,93.7,88.2
"Regional School District 12","=""2120012""","All Grades","Curl Up",91.4,91.7,93.2,87.9,94.9
"Regional School District 13","=""2130012""","All Grades","Curl Up",92.4,91.0,89.7,91.0,89.6
"Regional School District 14","=""2140012""","All Grades","Curl Up",92.9,93.3,90.5,82.8,81.5
"Regional School District 15","=""2150012""","All Grades","Curl Up",86.1,84.4,84.2,86.9,87.0
"Regional School District 16","=""2160012""","All Grades","Curl Up",88.3,89.8,85.2,90.7,84.4
"Regional School District 17","=""2170012""","All Grades","Curl Up",90.7,83.9,93.0,92.6,93.3
"Regional School District 18","=""2180012""","All Grades","Curl Up",90.2,91.3,95.7,92.6,97.2
"Regional School District 19","=""2190012""","All Grades","Curl Up",90.2,74.1,61.6,81.1,83.6
"Ridgefield School District","=""1180011""","All Grades","Curl Up",93.3,90.5,93.9,92.6,94.4
"Rocky Hill School District","=""1190011""","All Grades","Curl Up",83.6,89.3,91.7,88.9,88.6
"Salem School District","=""1210011""","All Grades","Curl Up",89.0,96.4,85.2,79.6,83.0
"Salisbury School District","=""1220011""","All Grades","Curl Up",72.8,73.5,63.2,75.4,69.9
"Scotland School District","=""1230011""","All Grades","Curl Up",96.8,94.7,82.8,77.1,85.3
"Seymour School District","=""1240011""","All Grades","Curl Up",95.8,86.6,92.7,91.1,83.2
"Sharon School District","=""1250011""","All Grades","Curl Up",90.7,87.3,98.0,68.3,40.0
"Shelton School District","=""1260011""","All Grades","Curl Up",89.9,91.9,91.5,86.5,87.4
"Sherman School District","=""1270011""","All Grades","Curl Up",66.4,76.7,80.6,83.8,77.1
"Side By Side Charter School District","=""2700013""","All Grades","Curl Up",92.4,91.9,92.4,88.7,81.5
"Simsbury School District","=""1280011""","All Grades","Curl Up",87.8,87.3,90.2,93.6,79.0
"Somers School District","=""1290011""","All Grades","Curl Up",81.8,83.0,65.4,74.8,80.3
"South Windsor School District","=""1320011""","All Grades","Curl Up",87.7,91.5,84.3,89.9,86.9
"Southington School District","=""1310011""","All Grades","Curl Up",84.2,86.2,82.9,87.2,85.3
"Sprague School District","=""1330011""","All Grades","Curl Up",56.0,70.3,66.4,69.1,70.9
"Stafford School District","=""1340011""","All Grades","Curl Up",80.7,76.8,82.7,72.9,79.7
"Stamford Academy District","=""2820013""","All Grades","Curl Up",76.9,88.5,83.3,81.0,51.6
"Stamford School District","=""1350011""","All Grades","Curl Up",84.7,84.7,81.9,77.9,78.5
"Sterling School District","=""1360011""","All Grades","Curl Up",96.1,93.1,93.1,78.0,97.0
"Stonington School District","=""1370011""","All Grades","Curl Up",94.5,90.8,91.6,92.9,93.3
"Stratford School District","=""1380011""","All Grades","Curl Up",90.2,91.7,90.6,88.8,85.3
"Suffield School District","=""1390011""","All Grades","Curl Up",81.9,74.1,78.6,80.9,80.4
"The Bridge Academy District","=""2690013""","All Grades","Curl Up",91.6,46.8,62.9,73.4,86.0
"The Gilbert School District","=""9020022""","All Grades","Curl Up",74.0,76.3,82.1,48.9,81.4
"Thomaston School District","=""1400011""","All Grades","Curl Up",81.5,90.1,82.1,71.5,81.8
"Thompson School District","=""1410011""","All Grades","Curl Up",75.4,79.8,63.7,79.2,82.3
"Tolland School District","=""1420011""","All Grades","Curl Up",96.0,95.5,97.0,96.2,94.1
"Torrington School District","=""1430011""","All Grades","Curl Up",84.8,56.1,64.3,85.3,72.6
"Trailblazers Academy District","=""2780013""","All Grades","Curl Up",76.6,79.7,77.0,77.0,88.5
"Trumbull School District","=""1440011""","All Grades","Curl Up",90.7,91.1,89.9,87.3,88.3
"Union School District","=""1450011""","All Grades","Curl Up",92.9,100.0,95.7,100.0,100.0
"Vernon School District","=""1460011""","All Grades","Curl Up",79.6,82.0,83.1,88.6,83.9
"Voluntown School District","=""1470011""","All Grades","Curl Up",94.2,93.8,91.4,91.9,92.9
"Wallingford School District","=""1480011""","All Grades","Curl Up",83.2,86.9,83.0,81.2,87.4
"Waterbury School District","=""1510011""","All Grades","Curl Up",83.4,83.3,78.4,81.9,79.4
"Waterford School District","=""1520011""","All Grades","Curl Up",74.9,80.5,75.2,75.3,76.0
"Watertown School District","=""1530011""","All Grades","Curl Up",80.3,80.9,81.2,84.9,85.7
"West Hartford School District","=""1550011""","All Grades","Curl Up",89.5,89.2,91.2,87.5,86.7
"West Haven School District","=""1560011""","All Grades","Curl Up",69.2,70.2,72.7,62.9,67.6
"Westbrook School District","=""1540011""","All Grades","Curl Up",90.0,92.9,89.9,93.6,88.8
"Weston School District","=""1570011""","All Grades","Curl Up",85.3,92.0,86.3,79.5,89.1
"Westport School District","=""1580011""","All Grades","Curl Up",89.4,88.5,93.3,87.4,86.4
"Wethersfield School District","=""1590011""","All Grades","Curl Up",76.4,76.4,80.2,80.9,78.4
"Willington School District","=""1600011""","All Grades","Curl Up",83.6,90.9,84.6,81.1,81.2
"Wilton School District","=""1610011""","All Grades","Curl Up",96.1,97.4,96.9,94.9,96.0
"Winchester School District","=""1620011""","All Grades","Curl Up",79.3,72.3,76.7,82.5,89.8
"Windham School District","=""1630011""","All Grades","Curl Up",82.5,87.5,86.8,84.7,81.8
"Windsor Locks School District","=""1650011""","All Grades","Curl Up",73.0,79.8,83.4,83.0,87.6
"Windsor School District","=""1640011""","All Grades","Curl Up",74.9,75.5,78.5,76.0,75.1
"Wolcott School District","=""1660011""","All Grades","Curl Up",90.6,92.3,86.6,89.0,88.2
"Woodbridge School District","=""1670011""","All Grades","Curl Up",91.4,89.1,90.6,92.9,87.5
"Woodstock Academy District","=""9030022""","All Grades","Curl Up",87.4,81.5,81.7,82.6,97.0
"Woodstock School District","=""1690011""","All Grades","Curl Up",82.0,82.6,82.8,85.2,86.1

