"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",64.9,63.2,67.3,62.1,45.1
"Cornwall School District","=""0310011""","All Grades","Mile Run",97.6,94.3,94.4,91.7,92.6
"Coventry School District","=""0320011""","All Grades","Mile Run",75.0,77.0,77.2,81.1,80.2
"Cromwell School District","=""0330011""","All Grades","Mile Run",70.3,75.4,79.4,73.2,74.5
"Danbury School District","=""0340011""","All Grades","Mile Run",61.0,62.9,64.0,66.2,66.3
"Darien School District","=""0350011""","All Grades","Mile Run",88.3,89.7,92.0,91.0,91.6
"Deep River School District","=""0360011""","All Grades","Mile Run",89.9,95.7,88.5,89.5,93.4
"Derby School District","=""0370011""","All Grades","Mile Run",54.1,54.9,57.9,61.4,71.9
"East Granby School District","=""0400011""","All Grades","Mile Run",64.2,65.8,68.7,71.1,66.5
"East Haddam School District","=""0410011""","All Grades","Mile Run",75.4,77.0,81.7,85.3,84.5
"East Hampton School District","=""0420011""","All Grades","Mile Run",74.8,74.9,71.9,68.3,74.4
"East Hartford School District","=""0430011""","All Grades","Mile Run",66.1,64.9,61.1,70.3,75.2
"East Haven School District","=""0440011""","All Grades","Mile Run",75.8,52.8,66.7,63.9,74.6
"East Lyme School District","=""0450011""","All Grades","Mile Run",79.9,82.0,82.8,82.0,78.6
"East Windsor School District","=""0470011""","All Grades","Mile Run",66.4,73.0,78.1,73.0,68.6
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Mile Run","*",50.0,31.1,25.7,21.3
"Eastford School District","=""0390011""","All Grades","Mile Run",88.4,92.3,85.0,91.1,92.1
"Easton School District","=""0460011""","All Grades","Mile Run",82.7,87.5,86.6,69.0,78.5
"Ellington School District","=""0480011""","All Grades","Mile Run",77.2,78.5,78.0,77.7,78.5
"Elm City College Preparatory School District","=""2890013""","All Grades","Mile Run",59.3,46.4,59.9,63.7,63.6
"Enfield School District","=""0490011""","All Grades","Mile Run",74.2,71.6,75.0,71.1,75.9
"Essex School District","=""0500011""","All Grades","Mile Run",75.9,68.8,75.6,78.7,72.4
"Explorations District","=""2720013""","All Grades","Mile Run","*","*","*",0.0,"*"
"Fairfield School District","=""0510011""","All Grades","Mile Run",85.8,85.6,89.6,88.5,89.4
"Farmington School District","=""0520011""","All Grades","Mile Run",80.2,80.9,82.7,82.2,82.5
"Franklin School District","=""0530011""","All Grades","Mile Run",89.1,81.7,71.4,82.0,74.5
"Glastonbury School District","=""0540011""","All Grades","Mile Run",79.1,83.8,84.7,81.5,80.6
"Granby School District","=""0560011""","All Grades","Mile Run",88.1,85.3,85.8,85.1,82.2
"Great Oaks Charter School District","=""2940013""","All Grades","Mile Run","N/A","N/A","N/A",60.2,53.4
"Greenwich School District","=""0570011""","All Grades","Mile Run",91.2,93.0,93.0,95.6,91.7
"Griswold School District","=""0580011""","All Grades","Mile Run",56.6,56.5,58.3,70.8,74.3
"Groton School District","=""0590011""","All Grades","Mile Run",60.2,64.1,70.0,65.1,59.8
"Guilford School District","=""0600011""","All Grades","Mile Run",72.1,86.6,86.7,87.8,84.5
"Hamden School District","=""0620011""","All Grades","Mile Run",66.0,67.7,72.9,71.7,65.9
"Hampton School District","=""0630011""","All Grades","Mile Run",74.4,84.0,89.7,77.8,69.6
"Hartford School District","=""0640011""","All Grades","Mile Run",59.8,61.8,63.4,64.4,66.3
"Hartland School District","=""0650011""","All Grades","Mile Run",84.5,91.5,88.2,90.7,93.0
"Hebron School District","=""0670011""","All Grades","Mile Run",73.5,76.5,82.2,80.0,76.9
"Highville Charter School District","=""2860013""","All Grades","Mile Run",68.5,38.8,60.2,61.7,54.0
"Integrated Day Charter School District","=""2640013""","All Grades","Mile Run",75.8,84.2,78.2,63.3,61.2
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Mile Run",36.3,28.0,56.3,41.6,54.7
"Jumoke Academy District","=""2610013""","All Grades","Mile Run",39.2,63.8,52.0,45.1,71.6
"Kent School District","=""0680011""","All Grades","Mile Run",76.3,70.8,60.2,81.3,70.0
"Killingly School District","=""0690011""","All Grades","Mile Run",52.6,34.5,55.9,35.7,41.5
"Learn","=""2450014""","All Grades","Mile Run",59.3,76.8,70.2,71.3,70.5
"Lebanon School District","=""0710011""","All Grades","Mile Run",76.1,69.0,75.4,71.2,82.6
"Ledyard School District","=""0720011""","All Grades","Mile Run",72.0,74.5,77.9,72.8,72.2
"Lisbon School District","=""0730011""","All Grades","Mile Run",74.8,65.1,83.5,72.9,79.8
"Litchfield School District","=""0740011""","All Grades","Mile Run",72.6,80.6,79.3,83.4,79.1
"Madison School District","=""0760011""","All Grades","Mile Run",81.9,84.1,81.6,83.3,83.8
"Manchester School District","=""0770011""","All Grades","Mile Run",77.8,76.5,73.6,73.1,70.0
"Mansfield School District","=""0780011""","All Grades","Mile Run",81.0,85.7,83.1,79.2,81.7
"Marlborough School District","=""0790011""","All Grades","Mile Run",75.3,67.0,59.7,68.8,64.1
"Meriden School District","=""0800011""","All Grades","Mile Run",58.3,53.3,54.7,55.8,56.7
"Middletown School District","=""0830011""","All Grades","Mile Run",63.7,58.9,67.2,63.7,67.7
"Milford School District","=""0840011""","All Grades","Mile Run",65.4,67.3,69.8,72.7,72.6
"Monroe School District","=""0850011""","All Grades","Mile Run",69.8,74.4,80.1,76.3,83.7
"Montville School District","=""0860011""","All Grades","Mile Run",70.9,69.8,68.0,68.4,68.6
"Naugatuck School District","=""0880011""","All Grades","Mile Run",62.9,68.0,69.9,69.5,70.5
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Mile Run","N/A","N/A","N/A",84.4,53.1
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Mile Run",64.9,50.4,61.2,"N/A","N/A"
"New Britain School District","=""0890011""","All Grades","Mile Run",49.7,49.9,61.1,63.9,64.6
"New Canaan School District","=""0900011""","All Grades","Mile Run",87.4,91.2,93.4,90.8,89.7
"New Fairfield School District","=""0910011""","All Grades","Mile Run",75.5,75.6,72.5,72.7,71.8
"New Hartford School District","=""0920011""","All Grades","Mile Run",94.3,97.6,97.0,96.6,96.6
"New Haven School District","=""0930011""","All Grades","Mile Run",64.7,66.0,64.1,63.2,65.2
"New London School District","=""0950011""","All Grades","Mile Run",49.6,59.1,59.9,65.4,58.9
"New Milford School District","=""0960011""","All Grades","Mile Run",63.6,63.7,69.5,69.0,59.2
"Newington School District","=""0940011""","All Grades","Mile Run",78.8,77.3,79.6,81.6,79.3
"Newtown School District","=""0970011""","All Grades","Mile Run",87.1,86.1,85.1,87.4,84.1
"Norfolk School District","=""0980011""","All Grades","Mile Run",57.1,60.5,64.7,76.9,55.9
"North Branford School District","=""0990011""","All Grades","Mile Run",67.8,73.5,72.8,69.1,62.8
"North Canaan School District","=""1000011""","All Grades","Mile Run",49.4,57.8,59.0,92.0,54.8
"North Haven School District","=""1010011""","All Grades","Mile Run",71.1,83.2,74.4,78.0,89.7
"North Stonington School District","=""1020011""","All Grades","Mile Run",55.7,63.2,65.0,63.8,60.3
"Norwalk School District","=""1030011""","All Grades","Mile Run",69.7,68.5,70.8,70.7,69.2
"Norwich Free Academy District","=""9010022""","All Grades","Mile Run",51.6,50.9,56.5,54.8,55.0
"Norwich School District","=""1040011""","All Grades","Mile Run",56.7,57.4,53.2,54.1,54.2
"Odyssey Community School District","=""2630013""","All Grades","Mile Run",33.3,50.5,59.0,53.1,47.6
"Old Saybrook School District","=""1060011""","All Grades","Mile Run",80.5,80.6,82.7,79.0,82.1
"Orange School District","=""1070011""","All Grades","Mile Run",76.9,78.5,79.9,79.8,80.3
"Oxford School District","=""1080011""","All Grades","Mile Run",82.4,78.4,70.2,78.2,71.7
"Park City Prep Charter School District","=""2830013""","All Grades","Mile Run",16.4,16.7,61.1,33.1,31.7
"Plainfield School District","=""1090011""","All Grades","Mile Run",64.1,61.9,72.9,63.9,68.5
"Plainville School District","=""1100011""","All Grades","Mile Run",71.1,71.4,72.6,65.7,69.8
"Plymouth School District","=""1110011""","All Grades","Mile Run",78.1,78.2,69.1,74.1,67.0
"Pomfret School District","=""1120011""","All Grades","Mile Run",76.9,76.9,74.8,75.7,75.0
"Portland School District","=""1130011""","All Grades","Mile Run",70.2,72.3,73.9,73.9,71.4
"Preston School District","=""1140011""","All Grades","Mile Run",73.4,67.7,67.9,82.5,85.5
"Putnam School District","=""1160011""","All Grades","Mile Run",59.9,50.1,54.8,67.5,77.4
"Redding School District","=""1170011""","All Grades","Mile Run",89.5,86.0,97.2,89.6,90.4
"Regional School District 01","=""2010012""","All Grades","Mile Run",74.8,96.9,82.0,81.0,52.7
"Regional School District 04","=""2040012""","All Grades","Mile Run",87.3,87.3,80.7,75.1,86.0
"Regional School District 05","=""2050012""","All Grades","Mile Run",85.3,81.6,85.0,84.5,86.6
"Regional School District 06","=""2060012""","All Grades","Mile Run",73.9,67.0,61.2,64.7,67.4
"Regional School District 07","=""2070012""","All Grades","Mile Run",64.6,66.8,68.7,68.5,63.7
"Regional School District 08","=""2080012""","All Grades","Mile Run",84.8,80.7,74.9,74.8,80.2
"Regional School District 10","=""2100012""","All Grades","Mile Run",72.9,73.7,71.2,75.4,77.2
"Regional School District 11","=""2110012""","All Grades","Mile Run",67.9,71.3,73.7,70.9,82.4
"Regional School District 12","=""2120012""","All Grades","Mile Run",78.2,81.3,71.9,79.2,77.8
"Regional School District 13","=""2130012""","All Grades","Mile Run",77.0,83.4,86.0,83.8,85.4
"Regional School District 14","=""2140012""","All Grades","Mile Run",74.3,78.5,80.7,77.7,82.7
"Regional School District 15","=""2150012""","All Grades","Mile Run",77.6,75.2,78.1,77.4,74.7
"Regional School District 16","=""2160012""","All Grades","Mile Run",70.5,73.2,73.5,73.7,69.6
"Regional School District 17","=""2170012""","All Grades","Mile Run",81.9,80.1,85.0,81.0,87.3
"Regional School District 18","=""2180012""","All Grades","Mile Run",80.4,77.5,78.0,73.7,81.2
"Regional School District 19","=""2190012""","All Grades","Mile Run",67.9,60.9,86.4,63.6,73.3
"Ridgefield School District","=""1180011""","All Grades","Mile Run",81.0,79.4,78.1,82.5,82.5
"Rocky Hill School District","=""1190011""","All Grades","Mile Run",84.5,81.9,87.3,83.9,80.2
"Salem School District","=""1210011""","All Grades","Mile Run",68.0,76.1,71.1,62.6,73.6
"Salisbury School District","=""1220011""","All Grades","Mile Run",93.5,82.7,84.9,71.0,74.7
"Scotland School District","=""1230011""","All Grades","Mile Run",87.1,89.5,89.7,80.0,94.1
"Seymour School District","=""1240011""","All Grades","Mile Run",67.1,75.6,79.3,78.8,80.3
"Sharon School District","=""1250011""","All Grades","Mile Run",50.0,76.1,54.9,66.7,68.9
"Shelton School District","=""1260011""","All Grades","Mile Run",79.1,79.3,80.2,80.9,82.7
"Sherman School District","=""1270011""","All Grades","Mile Run",85.4,83.7,85.3,89.5,76.3
"Side By Side Charter School District","=""2700013""","All Grades","Mile Run",56.1,75.8,74.2,85.5,60.0
"Simsbury School District","=""1280011""","All Grades","Mile Run",82.9,84.5,80.5,73.7,83.1
"Somers School District","=""1290011""","All Grades","Mile Run",78.0,75.2,76.1,80.3,76.2
"South Windsor School District","=""1320011""","All Grades","Mile Run",75.5,79.5,80.1,78.1,82.6
"Southington School District","=""1310011""","All Grades","Mile Run",74.0,74.9,66.2,71.6,71.6
"Sprague School District","=""1330011""","All Grades","Mile Run",98.9,91.0,90.7,82.7,90.0
"Stafford School District","=""1340011""","All Grades","Mile Run",64.0,71.6,69.7,70.7,67.0
"Stamford Academy District","=""2820013""","All Grades","Mile Run","*","*",30.0,"*",32.3
"Stamford School District","=""1350011""","All Grades","Mile Run",49.8,56.6,57.0,90.3,68.4
"Sterling School District","=""1360011""","All Grades","Mile Run",94.1,88.1,88.1,88.1,90.4
"Stonington School District","=""1370011""","All Grades","Mile Run",88.0,87.9,84.9,81.2,84.8
"Stratford School District","=""1380011""","All Grades","Mile Run",63.4,65.4,76.2,78.2,75.1
"Suffield School District","=""1390011""","All Grades","Mile Run",80.7,79.6,83.1,75.5,81.1
"The Bridge Academy District","=""2690013""","All Grades","Mile Run",89.2,43.6,37.1,46.8,36.6
"The Gilbert School District","=""9020022""","All Grades","Mile Run",60.1,51.9,50.0,71.0,60.0
"Thomaston School District","=""1400011""","All Grades","Mile Run",82.8,85.7,77.5,76.8,80.2
"Thompson School District","=""1410011""","All Grades","Mile Run",52.0,56.1,65.7,60.9,63.2
"Tolland School District","=""1420011""","All Grades","Mile Run",76.8,82.6,80.4,78.1,78.4
"Torrington School District","=""1430011""","All Grades","Mile Run",60.4,71.7,77.5,55.8,68.9
"Trailblazers Academy District","=""2780013""","All Grades","Mile Run",76.6,82.2,62.0,62.0,52.9
"Trumbull School District","=""1440011""","All Grades","Mile Run",82.0,82.4,83.5,82.7,83.8
"Union School District","=""1450011""","All Grades","Mile Run",100.0,100.0,91.3,91.4,90.0
"Vernon School District","=""1460011""","All Grades","Mile Run",76.1,70.6,68.3,66.1,58.1
"Voluntown School District","=""1470011""","All Grades","Mile Run",47.7,96.3,82.7,79.8,55.3
"Wallingford School District","=""1480011""","All Grades","Mile Run",61.7,62.5,69.9,67.5,67.0
"Waterbury School District","=""1510011""","All Grades","Mile Run",67.9,66.3,64.5,68.0,63.4
"Waterford School District","=""1520011""","All Grades","Mile Run",72.2,77.4,75.9,72.8,73.2
"Watertown School District","=""1530011""","All Grades","Mile Run",68.1,71.2,73.6,67.5,74.5
"West Hartford School District","=""1550011""","All Grades","Mile Run",78.6,78.3,82.2,77.9,77.5
"West Haven School District","=""1560011""","All Grades","Mile Run",45.7,53.2,56.5,54.6,54.1
"Westbrook School District","=""1540011""","All Grades","Mile Run",91.9,87.6,84.8,83.0,89.7
"Weston School District","=""1570011""","All Grades","Mile Run",90.3,91.5,84.9,83.2,88.5
"Westport School District","=""1580011""","All Grades","Mile Run",86.1,89.6,87.6,82.0,80.7
"Wethersfield School District","=""1590011""","All Grades","Mile Run",75.0,73.3,67.2,69.2,69.9
"Willington School District","=""1600011""","All Grades","Mile Run",78.2,79.9,85.3,85.6,85.2
"Wilton School District","=""1610011""","All Grades","Mile Run",91.2,87.4,91.1,88.0,86.7
"Winchester School District","=""1620011""","All Grades","Mile Run",47.5,40.6,46.6,39.0,50.0
"Windham School District","=""1630011""","All Grades","Mile Run",56.7,53.4,55.6,57.5,52.0
"Windsor Locks School District","=""1650011""","All Grades","Mile Run",54.2,68.5,67.4,71.1,70.3
"Windsor School District","=""1640011""","All Grades","Mile Run",55.8,57.2,57.7,53.5,56.9
"Wolcott School District","=""1660011""","All Grades","Mile Run",81.3,83.8,84.9,87.1,83.6
"Woodbridge School District","=""1670011""","All Grades","Mile Run",73.7,100.0,88.7,82.9,91.5
"Woodstock Academy District","=""9030022""","All Grades","Mile Run",86.9,85.0,94.4,96.9,83.0
"Woodstock School District","=""1690011""","All Grades","Mile Run",75.0,76.0,74.6,73.6,75.6

