"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"Hartland School District","=""0650011""","All Grades","Sit and Reach",82.8,93.0,95.6,93.3,93.0
"Hebron School District","=""0670011""","All Grades","Sit and Reach",100.0,100.0,92.6,96.4,87.0
"Highville Charter School District","=""2860013""","All Grades","Sit and Reach",76.4,72.9,70.9,80.0,86.9
"Integrated Day Charter School District","=""2640013""","All Grades","Sit and Reach",97.0,86.3,96.0,72.4,73.5
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Sit and Reach",65.3,49.6,65.1,78.6,77.7
"Jumoke Academy District","=""2610013""","All Grades","Sit and Reach",43.9,50.0,34.2,45.1,54.7
"Kent School District","=""0680011""","All Grades","Sit and Reach",72.4,68.5,71.6,79.1,75.0
"Killingly School District","=""0690011""","All Grades","Sit and Reach",73.0,79.1,81.0,81.4,72.8
"Learn","=""2450014""","All Grades","Sit and Reach",73.7,77.3,84.1,76.9,85.1
"Lebanon School District","=""0710011""","All Grades","Sit and Reach",76.7,84.5,86.7,80.0,89.1
"Ledyard School District","=""0720011""","All Grades","Sit and Reach",82.3,88.7,89.9,85.0,82.1
"Lisbon School District","=""0730011""","All Grades","Sit and Reach",82.6,87.3,80.2,81.4,92.4
"Litchfield School District","=""0740011""","All Grades","Sit and Reach",88.3,90.6,91.3,91.6,82.4
"Madison School District","=""0760011""","All Grades","Sit and Reach",86.7,85.9,87.8,87.9,84.1
"Manchester School District","=""0770011""","All Grades","Sit and Reach",86.4,84.5,85.7,81.3,81.6
"Mansfield School District","=""0780011""","All Grades","Sit and Reach",89.4,87.7,83.4,81.8,80.9
"Marlborough School District","=""0790011""","All Grades","Sit and Reach",78.9,82.2,84.3,75.5,77.1
"Meriden School District","=""0800011""","All Grades","Sit and Reach",79.2,76.8,78.1,77.4,78.4
"Middletown School District","=""0830011""","All Grades","Sit and Reach",79.7,83.0,82.3,83.2,82.2
"Milford School District","=""0840011""","All Grades","Sit and Reach",81.5,76.7,74.4,84.1,84.0
"Monroe School District","=""0850011""","All Grades","Sit and Reach",83.8,85.2,86.5,79.6,79.9
"Montville School District","=""0860011""","All Grades","Sit and Reach",80.1,75.7,80.0,81.5,82.2
"Naugatuck School District","=""0880011""","All Grades","Sit and Reach",80.4,80.0,83.5,82.1,81.4
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Sit and Reach","N/A","N/A","N/A",76.2,68.8
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Sit and Reach",63.8,38.5,73.3,"N/A","N/A"
"New Britain School District","=""0890011""","All Grades","Sit and Reach",75.3,75.6,76.4,77.3,79.7
"New Canaan School District","=""0900011""","All Grades","Sit and Reach",89.6,90.9,92.0,88.7,90.0
"New Fairfield School District","=""0910011""","All Grades","Sit and Reach",81.1,86.9,83.0,84.2,86.6
"New Hartford School District","=""0920011""","All Grades","Sit and Reach",71.6,76.8,78.8,83.9,75.5
"New Haven School District","=""0930011""","All Grades","Sit and Reach",76.1,76.5,74.4,75.1,73.5
"New London School District","=""0950011""","All Grades","Sit and Reach",61.5,62.6,67.6,71.9,79.6
"New Milford School District","=""0960011""","All Grades","Sit and Reach",76.3,72.3,76.1,70.0,69.2
"Newington School District","=""0940011""","All Grades","Sit and Reach",80.9,83.0,82.5,81.7,83.1
"Newtown School District","=""0970011""","All Grades","Sit and Reach",90.2,89.8,89.4,91.0,89.6
"Norfolk School District","=""0980011""","All Grades","Sit and Reach",92.9,84.2,82.4,92.3,85.3
"North Branford School District","=""0990011""","All Grades","Sit and Reach",83.5,88.9,87.7,89.7,88.5
"North Canaan School District","=""1000011""","All Grades","Sit and Reach",91.0,92.7,80.7,87.4,93.2
"North Haven School District","=""1010011""","All Grades","Sit and Reach",85.5,90.0,91.6,90.8,82.3
"North Stonington School District","=""1020011""","All Grades","Sit and Reach",81.8,85.9,81.5,85.0,80.9
"Norwalk School District","=""1030011""","All Grades","Sit and Reach",79.4,80.6,80.5,83.2,78.8
"Norwich Free Academy District","=""9010022""","All Grades","Sit and Reach",83.7,84.1,88.3,81.4,88.6
"Norwich School District","=""1040011""","All Grades","Sit and Reach",77.1,73.1,78.6,68.2,75.4
"Odyssey Community School District","=""2630013""","All Grades","Sit and Reach",69.5,85.3,90.5,88.5,90.5
"Old Saybrook School District","=""1060011""","All Grades","Sit and Reach",85.1,81.1,86.0,84.2,85.6
"Orange School District","=""1070011""","All Grades","Sit and Reach",81.0,82.7,89.0,85.4,79.8
"Oxford School District","=""1080011""","All Grades","Sit and Reach",81.1,74.8,78.5,72.2,62.4
"Park City Prep Charter School District","=""2830013""","All Grades","Sit and Reach",100.0,86.4,80.9,83.4,78.4
"Plainfield School District","=""1090011""","All Grades","Sit and Reach",75.1,80.9,82.5,81.5,83.5
"Plainville School District","=""1100011""","All Grades","Sit and Reach",83.2,83.4,81.5,78.4,76.4
"Plymouth School District","=""1110011""","All Grades","Sit and Reach",81.2,88.7,81.9,88.6,83.9
"Pomfret School District","=""1120011""","All Grades","Sit and Reach",74.6,81.3,67.7,84.5,71.4
"Portland School District","=""1130011""","All Grades","Sit and Reach",66.8,71.3,69.0,82.2,80.6
"Preston School District","=""1140011""","All Grades","Sit and Reach",76.6,80.6,66.1,93.2,88.2
"Putnam School District","=""1160011""","All Grades","Sit and Reach",85.3,76.1,83.9,80.5,86.3
"Redding School District","=""1170011""","All Grades","Sit and Reach",92.3,91.1,92.8,90.5,90.7
"Regional School District 01","=""2010012""","All Grades","Sit and Reach",90.1,84.4,92.0,94.0,71.4
"Regional School District 04","=""2040012""","All Grades","Sit and Reach",92.8,91.2,77.3,84.3,89.2
"Regional School District 05","=""2050012""","All Grades","Sit and Reach",89.8,92.2,89.7,93.9,92.7
"Regional School District 06","=""2060012""","All Grades","Sit and Reach",78.8,66.3,67.9,71.0,65.2
"Regional School District 07","=""2070012""","All Grades","Sit and Reach",77.6,85.2,71.8,80.6,79.3
"Regional School District 08","=""2080012""","All Grades","Sit and Reach",86.9,86.1,84.0,81.5,86.0
"Regional School District 10","=""2100012""","All Grades","Sit and Reach",83.7,85.2,81.3,80.5,83.7
"Regional School District 11","=""2110012""","All Grades","Sit and Reach",95.2,92.0,92.1,94.9,88.2
"Regional School District 12","=""2120012""","All Grades","Sit and Reach",89.5,91.0,83.3,86.0,88.9
"Regional School District 13","=""2130012""","All Grades","Sit and Reach",81.8,79.7,81.6,86.3,81.2
"Regional School District 14","=""2140012""","All Grades","Sit and Reach",80.2,78.7,78.2,82.3,76.4
"Regional School District 15","=""2150012""","All Grades","Sit and Reach",84.9,82.4,85.0,87.1,88.4
"Regional School District 16","=""2160012""","All Grades","Sit and Reach",85.1,84.2,86.7,85.9,78.7
"Regional School District 17","=""2170012""","All Grades","Sit and Reach",88.6,89.0,83.1,86.9,82.9
"Regional School District 18","=""2180012""","All Grades","Sit and Reach",77.4,73.7,81.0,78.8,68.6
"Regional School District 19","=""2190012""","All Grades","Sit and Reach",89.3,67.0,88.4,87.7,86.3
"Ridgefield School District","=""1180011""","All Grades","Sit and Reach",85.0,83.2,82.9,84.9,85.1
"Rocky Hill School District","=""1190011""","All Grades","Sit and Reach",92.2,92.4,93.7,89.7,89.3
"Salem School District","=""1210011""","All Grades","Sit and Reach",87.2,87.7,85.9,91.2,88.7
"Salisbury School District","=""1220011""","All Grades","Sit and Reach",85.9,91.8,87.7,42.0,51.8
"Scotland School District","=""1230011""","All Grades","Sit and Reach",87.1,92.1,86.2,85.7,88.2
"Seymour School District","=""1240011""","All Grades","Sit and Reach",83.9,78.6,74.9,76.2,71.5
"Sharon School District","=""1250011""","All Grades","Sit and Reach",77.8,87.3,92.2,84.1,51.1
"Shelton School District","=""1260011""","All Grades","Sit and Reach",83.9,84.2,86.3,81.3,88.2
"Sherman School District","=""1270011""","All Grades","Sit and Reach",84.7,82.9,90.7,87.6,82.2
"Side By Side Charter School District","=""2700013""","All Grades","Sit and Reach",90.9,95.2,92.4,95.2,90.8
"Simsbury School District","=""1280011""","All Grades","Sit and Reach",90.1,87.1,85.2,81.7,85.7
"Somers School District","=""1290011""","All Grades","Sit and Reach",86.6,86.2,81.6,87.1,89.1
"South Windsor School District","=""1320011""","All Grades","Sit and Reach",75.5,81.7,78.8,75.3,82.3
"Southington School District","=""1310011""","All Grades","Sit and Reach",85.9,84.7,83.1,87.4,82.6
"Sprague School District","=""1330011""","All Grades","Sit and Reach",98.9,87.4,82.2,87.3,85.5
"Stafford School District","=""1340011""","All Grades","Sit and Reach",81.7,82.5,81.8,81.2,80.0
"Stamford Academy District","=""2820013""","All Grades","Sit and Reach",69.2,80.8,86.7,61.9,41.9
"Stamford School District","=""1350011""","All Grades","Sit and Reach",83.3,85.3,83.1,84.5,85.8
"Sterling School District","=""1360011""","All Grades","Sit and Reach",99.3,100.0,100.0,87.4,99.3
"Stonington School District","=""1370011""","All Grades","Sit and Reach",90.4,91.5,91.9,88.6,86.3
"Stratford School District","=""1380011""","All Grades","Sit and Reach",85.2,88.8,86.8,84.3,86.5
"Suffield School District","=""1390011""","All Grades","Sit and Reach",85.4,81.7,80.3,83.3,82.6
"The Bridge Academy District","=""2690013""","All Grades","Sit and Reach",81.9,72.3,77.3,88.3,97.8
"The Gilbert School District","=""9020022""","All Grades","Sit and Reach",71.1,75.6,66.1,76.1,71.0
"Thomaston School District","=""1400011""","All Grades","Sit and Reach",93.8,78.9,88.2,78.4,77.5
"Thompson School District","=""1410011""","All Grades","Sit and Reach",77.5,82.6,84.0,84.7,89.2
"Tolland School District","=""1420011""","All Grades","Sit and Reach",81.3,84.4,85.6,82.2,82.3
"Torrington School District","=""1430011""","All Grades","Sit and Reach",81.8,83.7,84.5,80.7,88.3
"Trailblazers Academy District","=""2780013""","All Grades","Sit and Reach",75.7,79.7,98.0,98.0,86.2
"Trumbull School District","=""1440011""","All Grades","Sit and Reach",82.9,86.5,88.2,87.7,85.8
"Union School District","=""1450011""","All Grades","Sit and Reach",100.0,100.0,95.7,100.0,95.0
"Vernon School District","=""1460011""","All Grades","Sit and Reach",89.6,90.6,89.4,91.9,84.0
"Voluntown School District","=""1470011""","All Grades","Sit and Reach",96.5,97.5,95.1,92.9,97.6
"Wallingford School District","=""1480011""","All Grades","Sit and Reach",80.7,72.9,79.8,79.8,77.1
"Waterbury School District","=""1510011""","All Grades","Sit and Reach",84.3,84.2,81.1,85.4,83.2
"Waterford School District","=""1520011""","All Grades","Sit and Reach",78.3,76.0,73.2,78.5,77.4
"Watertown School District","=""1530011""","All Grades","Sit and Reach",91.2,89.3,92.3,89.3,89.1
"West Hartford School District","=""1550011""","All Grades","Sit and Reach",85.4,80.9,84.1,79.7,78.2
"West Haven School District","=""1560011""","All Grades","Sit and Reach",73.3,70.3,72.0,75.5,79.0
"Westbrook School District","=""1540011""","All Grades","Sit and Reach",78.8,77.6,78.2,81.3,83.9
"Weston School District","=""1570011""","All Grades","Sit and Reach",82.9,86.4,73.1,79.9,77.9
"Westport School District","=""1580011""","All Grades","Sit and Reach",83.9,87.7,86.2,80.0,76.1
"Wethersfield School District","=""1590011""","All Grades","Sit and Reach",84.4,82.1,80.4,82.6,81.8
"Willington School District","=""1600011""","All Grades","Sit and Reach",90.9,94.2,94.2,90.9,96.0
"Wilton School District","=""1610011""","All Grades","Sit and Reach",84.6,83.7,81.9,79.1,81.6
"Winchester School District","=""1620011""","All Grades","Sit and Reach",81.6,68.3,89.7,87.7,93.2
"Windham School District","=""1630011""","All Grades","Sit and Reach",79.5,78.2,83.1,85.4,79.2
"Windsor Locks School District","=""1650011""","All Grades","Sit and Reach",72.0,71.5,77.2,84.8,85.5
"Windsor School District","=""1640011""","All Grades","Sit and Reach",70.6,76.0,76.0,73.6,71.3
"Wolcott School District","=""1660011""","All Grades","Sit and Reach",92.8,92.2,88.4,85.6,85.4
"Woodbridge School District","=""1670011""","All Grades","Sit and Reach",78.5,82.7,80.7,83.9,83.0
"Woodstock Academy District","=""9030022""","All Grades","Sit and Reach",93.7,100.0,99.4,97.9,97.8
"Woodstock School District","=""1690011""","All Grades","Sit and Reach",82.3,79.9,84.5,83.3,80.5

