"Physical Fitness Tests: Students Reaching Health Standard, 2014-15"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"Marlborough School District","=""0790011""","All Grades","Sit and Reach",75.5
"Meriden School District","=""0800011""","All Grades","Sit and Reach",77.4
"Middletown School District","=""0830011""","All Grades","Sit and Reach",83.2
"Milford School District","=""0840011""","All Grades","Sit and Reach",84.1
"Monroe School District","=""0850011""","All Grades","Sit and Reach",79.6
"Montville School District","=""0860011""","All Grades","Sit and Reach",81.5
"Naugatuck School District","=""0880011""","All Grades","Sit and Reach",82.1
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Sit and Reach",76.2
"New Britain School District","=""0890011""","All Grades","Sit and Reach",77.3
"New Canaan School District","=""0900011""","All Grades","Sit and Reach",88.7
"New Fairfield School District","=""0910011""","All Grades","Sit and Reach",84.2
"New Hartford School District","=""0920011""","All Grades","Sit and Reach",83.9
"New Haven School District","=""0930011""","All Grades","Sit and Reach",75.1
"New London School District","=""0950011""","All Grades","Sit and Reach",71.9
"New Milford School District","=""0960011""","All Grades","Sit and Reach",70.0
"Newington School District","=""0940011""","All Grades","Sit and Reach",81.7
"Newtown School District","=""0970011""","All Grades","Sit and Reach",91.0
"Norfolk School District","=""0980011""","All Grades","Sit and Reach",92.3
"North Branford School District","=""0990011""","All Grades","Sit and Reach",89.7
"North Canaan School District","=""1000011""","All Grades","Sit and Reach",87.4
"North Haven School District","=""1010011""","All Grades","Sit and Reach",90.8
"North Stonington School District","=""1020011""","All Grades","Sit and Reach",85.0
"Norwalk School District","=""1030011""","All Grades","Sit and Reach",83.2
"Norwich Free Academy District","=""9010022""","All Grades","Sit and Reach",81.4
"Norwich School District","=""1040011""","All Grades","Sit and Reach",68.2
"Odyssey Community School District","=""2630013""","All Grades","Sit and Reach",88.5
"Old Saybrook School District","=""1060011""","All Grades","Sit and Reach",84.2
"Orange School District","=""1070011""","All Grades","Sit and Reach",85.4
"Oxford School District","=""1080011""","All Grades","Sit and Reach",72.2
"Park City Prep Charter School District","=""2830013""","All Grades","Sit and Reach",83.4
"Plainfield School District","=""1090011""","All Grades","Sit and Reach",81.5
"Plainville School District","=""1100011""","All Grades","Sit and Reach",78.4
"Plymouth School District","=""1110011""","All Grades","Sit and Reach",88.6
"Pomfret School District","=""1120011""","All Grades","Sit and Reach",84.5
"Portland School District","=""1130011""","All Grades","Sit and Reach",82.2
"Preston School District","=""1140011""","All Grades","Sit and Reach",93.2
"Putnam School District","=""1160011""","All Grades","Sit and Reach",80.5
"Redding School District","=""1170011""","All Grades","Sit and Reach",90.5
"Regional School District 01","=""2010012""","All Grades","Sit and Reach",94.0
"Regional School District 04","=""2040012""","All Grades","Sit and Reach",84.3
"Regional School District 05","=""2050012""","All Grades","Sit and Reach",93.9
"Regional School District 06","=""2060012""","All Grades","Sit and Reach",71.0
"Regional School District 07","=""2070012""","All Grades","Sit and Reach",80.6
"Regional School District 08","=""2080012""","All Grades","Sit and Reach",81.5
"Regional School District 10","=""2100012""","All Grades","Sit and Reach",80.5
"Regional School District 11","=""2110012""","All Grades","Sit and Reach",94.9
"Regional School District 12","=""2120012""","All Grades","Sit and Reach",86.0
"Regional School District 13","=""2130012""","All Grades","Sit and Reach",86.3
"Regional School District 14","=""2140012""","All Grades","Sit and Reach",82.3
"Regional School District 15","=""2150012""","All Grades","Sit and Reach",87.1
"Regional School District 16","=""2160012""","All Grades","Sit and Reach",85.9
"Regional School District 17","=""2170012""","All Grades","Sit and Reach",86.9
"Regional School District 18","=""2180012""","All Grades","Sit and Reach",78.8
"Regional School District 19","=""2190012""","All Grades","Sit and Reach",87.7
"Ridgefield School District","=""1180011""","All Grades","Sit and Reach",84.9
"Rocky Hill School District","=""1190011""","All Grades","Sit and Reach",89.7
"Salem School District","=""1210011""","All Grades","Sit and Reach",91.2
"Salisbury School District","=""1220011""","All Grades","Sit and Reach",42.0
"Scotland School District","=""1230011""","All Grades","Sit and Reach",85.7
"Seymour School District","=""1240011""","All Grades","Sit and Reach",76.2
"Sharon School District","=""1250011""","All Grades","Sit and Reach",84.1
"Shelton School District","=""1260011""","All Grades","Sit and Reach",81.3
"Sherman School District","=""1270011""","All Grades","Sit and Reach",87.6
"Side By Side Charter School District","=""2700013""","All Grades","Sit and Reach",95.2
"Simsbury School District","=""1280011""","All Grades","Sit and Reach",81.7
"Somers School District","=""1290011""","All Grades","Sit and Reach",87.1
"South Windsor School District","=""1320011""","All Grades","Sit and Reach",75.3
"Southington School District","=""1310011""","All Grades","Sit and Reach",87.4
"Sprague School District","=""1330011""","All Grades","Sit and Reach",87.3
"Stafford School District","=""1340011""","All Grades","Sit and Reach",81.2
"Stamford Academy District","=""2820013""","All Grades","Sit and Reach",61.9
"Stamford School District","=""1350011""","All Grades","Sit and Reach",84.5
"Sterling School District","=""1360011""","All Grades","Sit and Reach",87.4
"Stonington School District","=""1370011""","All Grades","Sit and Reach",88.6
"Stratford School District","=""1380011""","All Grades","Sit and Reach",84.3
"Suffield School District","=""1390011""","All Grades","Sit and Reach",83.3
"The Bridge Academy District","=""2690013""","All Grades","Sit and Reach",88.3
"The Gilbert School District","=""9020022""","All Grades","Sit and Reach",76.1
"Thomaston School District","=""1400011""","All Grades","Sit and Reach",78.4
"Thompson School District","=""1410011""","All Grades","Sit and Reach",84.7
"Tolland School District","=""1420011""","All Grades","Sit and Reach",82.2
"Torrington School District","=""1430011""","All Grades","Sit and Reach",80.7
"Trailblazers Academy District","=""2780013""","All Grades","Sit and Reach",98.0
"Trumbull School District","=""1440011""","All Grades","Sit and Reach",87.7
"Union School District","=""1450011""","All Grades","Sit and Reach",100.0
"Vernon School District","=""1460011""","All Grades","Sit and Reach",91.9
"Voluntown School District","=""1470011""","All Grades","Sit and Reach",92.9
"Wallingford School District","=""1480011""","All Grades","Sit and Reach",79.8
"Waterbury School District","=""1510011""","All Grades","Sit and Reach",85.4
"Waterford School District","=""1520011""","All Grades","Sit and Reach",78.5
"Watertown School District","=""1530011""","All Grades","Sit and Reach",89.3
"West Hartford School District","=""1550011""","All Grades","Sit and Reach",79.7
"West Haven School District","=""1560011""","All Grades","Sit and Reach",75.5
"Westbrook School District","=""1540011""","All Grades","Sit and Reach",81.3
"Weston School District","=""1570011""","All Grades","Sit and Reach",79.9
"Westport School District","=""1580011""","All Grades","Sit and Reach",80.0
"Wethersfield School District","=""1590011""","All Grades","Sit and Reach",82.6
"Willington School District","=""1600011""","All Grades","Sit and Reach",90.9
"Wilton School District","=""1610011""","All Grades","Sit and Reach",79.1
"Winchester School District","=""1620011""","All Grades","Sit and Reach",87.7
"Windham School District","=""1630011""","All Grades","Sit and Reach",85.4
"Windsor Locks School District","=""1650011""","All Grades","Sit and Reach",84.8
"Windsor School District","=""1640011""","All Grades","Sit and Reach",73.6
"Wolcott School District","=""1660011""","All Grades","Sit and Reach",85.6
"Woodbridge School District","=""1670011""","All Grades","Sit and Reach",83.9
"Woodstock Academy District","=""9030022""","All Grades","Sit and Reach",97.9
"Woodstock School District","=""1690011""","All Grades","Sit and Reach",83.3

