"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"Madison School District","=""0760011""","All Grades","Mile Run",81.9
"Manchester School District","=""0770011""","All Grades","Mile Run",77.8
"Mansfield School District","=""0780011""","All Grades","Mile Run",81.0
"Marlborough School District","=""0790011""","All Grades","Mile Run",75.3
"Meriden School District","=""0800011""","All Grades","Mile Run",58.3
"Middletown School District","=""0830011""","All Grades","Mile Run",63.7
"Milford School District","=""0840011""","All Grades","Mile Run",65.4
"Monroe School District","=""0850011""","All Grades","Mile Run",69.8
"Montville School District","=""0860011""","All Grades","Mile Run",70.9
"Naugatuck School District","=""0880011""","All Grades","Mile Run",62.9
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Mile Run",64.9
"New Britain School District","=""0890011""","All Grades","Mile Run",49.7
"New Canaan School District","=""0900011""","All Grades","Mile Run",87.4
"New Fairfield School District","=""0910011""","All Grades","Mile Run",75.5
"New Hartford School District","=""0920011""","All Grades","Mile Run",94.3
"New Haven School District","=""0930011""","All Grades","Mile Run",64.7
"New London School District","=""0950011""","All Grades","Mile Run",49.6
"New Milford School District","=""0960011""","All Grades","Mile Run",63.6
"Newington School District","=""0940011""","All Grades","Mile Run",78.8
"Newtown School District","=""0970011""","All Grades","Mile Run",87.1
"Norfolk School District","=""0980011""","All Grades","Mile Run",57.1
"North Branford School District","=""0990011""","All Grades","Mile Run",67.8
"North Canaan School District","=""1000011""","All Grades","Mile Run",49.4
"North Haven School District","=""1010011""","All Grades","Mile Run",71.1
"North Stonington School District","=""1020011""","All Grades","Mile Run",55.7
"Norwalk School District","=""1030011""","All Grades","Mile Run",69.7
"Norwich Free Academy District","=""9010022""","All Grades","Mile Run",51.6
"Norwich School District","=""1040011""","All Grades","Mile Run",56.7
"Odyssey Community School District","=""2630013""","All Grades","Mile Run",33.3
"Old Saybrook School District","=""1060011""","All Grades","Mile Run",80.5
"Orange School District","=""1070011""","All Grades","Mile Run",76.9
"Oxford School District","=""1080011""","All Grades","Mile Run",82.4
"Park City Prep Charter School District","=""2830013""","All Grades","Mile Run",16.4
"Plainfield School District","=""1090011""","All Grades","Mile Run",64.1
"Plainville School District","=""1100011""","All Grades","Mile Run",71.1
"Plymouth School District","=""1110011""","All Grades","Mile Run",78.1
"Pomfret School District","=""1120011""","All Grades","Mile Run",76.9
"Portland School District","=""1130011""","All Grades","Mile Run",70.2
"Preston School District","=""1140011""","All Grades","Mile Run",73.4
"Putnam School District","=""1160011""","All Grades","Mile Run",59.9
"Redding School District","=""1170011""","All Grades","Mile Run",89.5
"Regional School District 01","=""2010012""","All Grades","Mile Run",74.8
"Regional School District 04","=""2040012""","All Grades","Mile Run",87.3
"Regional School District 05","=""2050012""","All Grades","Mile Run",85.3
"Regional School District 06","=""2060012""","All Grades","Mile Run",73.9
"Regional School District 07","=""2070012""","All Grades","Mile Run",64.6
"Regional School District 08","=""2080012""","All Grades","Mile Run",84.8
"Regional School District 10","=""2100012""","All Grades","Mile Run",72.9
"Regional School District 11","=""2110012""","All Grades","Mile Run",67.9
"Regional School District 12","=""2120012""","All Grades","Mile Run",78.2
"Regional School District 13","=""2130012""","All Grades","Mile Run",77.0
"Regional School District 14","=""2140012""","All Grades","Mile Run",74.3
"Regional School District 15","=""2150012""","All Grades","Mile Run",77.6
"Regional School District 16","=""2160012""","All Grades","Mile Run",70.5
"Regional School District 17","=""2170012""","All Grades","Mile Run",81.9
"Regional School District 18","=""2180012""","All Grades","Mile Run",80.4
"Regional School District 19","=""2190012""","All Grades","Mile Run",67.9
"Ridgefield School District","=""1180011""","All Grades","Mile Run",81.0
"Rocky Hill School District","=""1190011""","All Grades","Mile Run",84.5
"Salem School District","=""1210011""","All Grades","Mile Run",68.0
"Salisbury School District","=""1220011""","All Grades","Mile Run",93.5
"Scotland School District","=""1230011""","All Grades","Mile Run",87.1
"Seymour School District","=""1240011""","All Grades","Mile Run",67.1
"Sharon School District","=""1250011""","All Grades","Mile Run",50.0
"Shelton School District","=""1260011""","All Grades","Mile Run",79.1
"Sherman School District","=""1270011""","All Grades","Mile Run",85.4
"Side By Side Charter School District","=""2700013""","All Grades","Mile Run",56.1
"Simsbury School District","=""1280011""","All Grades","Mile Run",82.9
"Somers School District","=""1290011""","All Grades","Mile Run",78.0
"South Windsor School District","=""1320011""","All Grades","Mile Run",75.5
"Southington School District","=""1310011""","All Grades","Mile Run",74.0
"Sprague School District","=""1330011""","All Grades","Mile Run",98.9
"Stafford School District","=""1340011""","All Grades","Mile Run",64.0
"Stamford Academy District","=""2820013""","All Grades","Mile Run","*"
"Stamford School District","=""1350011""","All Grades","Mile Run",49.8
"Sterling School District","=""1360011""","All Grades","Mile Run",94.1
"Stonington School District","=""1370011""","All Grades","Mile Run",88.0
"Stratford School District","=""1380011""","All Grades","Mile Run",63.4
"Suffield School District","=""1390011""","All Grades","Mile Run",80.7
"The Bridge Academy District","=""2690013""","All Grades","Mile Run",89.2
"The Gilbert School District","=""9020022""","All Grades","Mile Run",60.1
"Thomaston School District","=""1400011""","All Grades","Mile Run",82.8
"Thompson School District","=""1410011""","All Grades","Mile Run",52.0
"Tolland School District","=""1420011""","All Grades","Mile Run",76.8
"Torrington School District","=""1430011""","All Grades","Mile Run",60.4
"Trailblazers Academy District","=""2780013""","All Grades","Mile Run",76.6
"Trumbull School District","=""1440011""","All Grades","Mile Run",82.0
"Union School District","=""1450011""","All Grades","Mile Run",100.0
"Vernon School District","=""1460011""","All Grades","Mile Run",76.1
"Voluntown School District","=""1470011""","All Grades","Mile Run",47.7
"Wallingford School District","=""1480011""","All Grades","Mile Run",61.7
"Waterbury School District","=""1510011""","All Grades","Mile Run",67.9
"Waterford School District","=""1520011""","All Grades","Mile Run",72.2
"Watertown School District","=""1530011""","All Grades","Mile Run",68.1
"West Hartford School District","=""1550011""","All Grades","Mile Run",78.6
"West Haven School District","=""1560011""","All Grades","Mile Run",45.7
"Westbrook School District","=""1540011""","All Grades","Mile Run",91.9
"Weston School District","=""1570011""","All Grades","Mile Run",90.3
"Westport School District","=""1580011""","All Grades","Mile Run",86.1
"Wethersfield School District","=""1590011""","All Grades","Mile Run",75.0
"Willington School District","=""1600011""","All Grades","Mile Run",78.2
"Wilton School District","=""1610011""","All Grades","Mile Run",91.2
"Winchester School District","=""1620011""","All Grades","Mile Run",47.5
"Windham School District","=""1630011""","All Grades","Mile Run",56.7
"Windsor Locks School District","=""1650011""","All Grades","Mile Run",54.2
"Windsor School District","=""1640011""","All Grades","Mile Run",55.8
"Wolcott School District","=""1660011""","All Grades","Mile Run",81.3
"Woodbridge School District","=""1670011""","All Grades","Mile Run",73.7
"Woodstock Academy District","=""9030022""","All Grades","Mile Run",86.9
"Woodstock School District","=""1690011""","All Grades","Mile Run",75.0

