"Physical Fitness Tests: Students Reaching Health Standard, 2015-16"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"Eastford School District","=""0390011""","All Grades","Push Up",84.2
"Easton School District","=""0460011""","All Grades","Push Up",70.9
"Ellington School District","=""0480011""","All Grades","Push Up",68.1
"Elm City College Preparatory School District","=""2890013""","All Grades","Push Up",59.3
"Enfield School District","=""0490011""","All Grades","Push Up",84.9
"Essex School District","=""0500011""","All Grades","Push Up",74.6
"Explorations District","=""2720013""","All Grades","Push Up","*"
"Fairfield School District","=""0510011""","All Grades","Push Up",82.3
"Farmington School District","=""0520011""","All Grades","Push Up",79.7
"Franklin School District","=""0530011""","All Grades","Push Up",84.3
"Glastonbury School District","=""0540011""","All Grades","Push Up",76.3
"Granby School District","=""0560011""","All Grades","Push Up",75.7
"Great Oaks Charter School District","=""2940013""","All Grades","Push Up",60.2
"Greenwich School District","=""0570011""","All Grades","Push Up",81.0
"Griswold School District","=""0580011""","All Grades","Push Up",70.3
"Groton School District","=""0590011""","All Grades","Push Up",68.8
"Guilford School District","=""0600011""","All Grades","Push Up",88.9
"Hamden School District","=""0620011""","All Grades","Push Up",69.7
"Hampton School District","=""0630011""","All Grades","Push Up",87.0
"Hartford School District","=""0640011""","All Grades","Push Up",61.6
"Hartland School District","=""0650011""","All Grades","Push Up",87.7
"Hebron School District","=""0670011""","All Grades","Push Up",68.5
"Highville Charter School District","=""2860013""","All Grades","Push Up",93.4
"Integrated Day Charter School District","=""2640013""","All Grades","Push Up",59.2
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Push Up",79.3
"Jumoke Academy District","=""2610013""","All Grades","Push Up",52.0
"Kent School District","=""0680011""","All Grades","Push Up",70.0
"Killingly School District","=""0690011""","All Grades","Push Up",63.2
"Learn","=""2450014""","All Grades","Push Up",75.8
"Lebanon School District","=""0710011""","All Grades","Push Up",76.9
"Ledyard School District","=""0720011""","All Grades","Push Up",67.5
"Lisbon School District","=""0730011""","All Grades","Push Up",76.5
"Litchfield School District","=""0740011""","All Grades","Push Up",81.1
"Madison School District","=""0760011""","All Grades","Push Up",76.0
"Manchester School District","=""0770011""","All Grades","Push Up",65.0
"Mansfield School District","=""0780011""","All Grades","Push Up",73.4
"Marlborough School District","=""0790011""","All Grades","Push Up",95.3
"Meriden School District","=""0800011""","All Grades","Push Up",61.1
"Middletown School District","=""0830011""","All Grades","Push Up",58.1
"Milford School District","=""0840011""","All Grades","Push Up",82.8
"Monroe School District","=""0850011""","All Grades","Push Up",78.9
"Montville School District","=""0860011""","All Grades","Push Up",68.1
"Naugatuck School District","=""0880011""","All Grades","Push Up",71.7
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Push Up",45.3
"New Britain School District","=""0890011""","All Grades","Push Up",65.3
"New Canaan School District","=""0900011""","All Grades","Push Up",91.1
"New Fairfield School District","=""0910011""","All Grades","Push Up",78.6
"New Hartford School District","=""0920011""","All Grades","Push Up",76.9
"New Haven School District","=""0930011""","All Grades","Push Up",58.9
"New London School District","=""0950011""","All Grades","Push Up",55.6
"New Milford School District","=""0960011""","All Grades","Push Up",61.7
"Newington School District","=""0940011""","All Grades","Push Up",65.9
"Newtown School District","=""0970011""","All Grades","Push Up",86.5
"Norfolk School District","=""0980011""","All Grades","Push Up",73.5
"North Branford School District","=""0990011""","All Grades","Push Up",75.4
"North Canaan School District","=""1000011""","All Grades","Push Up",65.8
"North Haven School District","=""1010011""","All Grades","Push Up",73.8
"North Stonington School District","=""1020011""","All Grades","Push Up",72.2
"Norwalk School District","=""1030011""","All Grades","Push Up",71.7
"Norwich Free Academy District","=""9010022""","All Grades","Push Up",71.7
"Norwich School District","=""1040011""","All Grades","Push Up",64.5
"Odyssey Community School District","=""2630013""","All Grades","Push Up",80.0
"Old Saybrook School District","=""1060011""","All Grades","Push Up",84.9
"Orange School District","=""1070011""","All Grades","Push Up",68.1
"Oxford School District","=""1080011""","All Grades","Push Up",67.6
"Park City Prep Charter School District","=""2830013""","All Grades","Push Up",46.1
"Plainfield School District","=""1090011""","All Grades","Push Up",76.0
"Plainville School District","=""1100011""","All Grades","Push Up",75.1
"Plymouth School District","=""1110011""","All Grades","Push Up",69.8
"Pomfret School District","=""1120011""","All Grades","Push Up",76.4
"Portland School District","=""1130011""","All Grades","Push Up",72.4
"Preston School District","=""1140011""","All Grades","Push Up",69.1
"Putnam School District","=""1160011""","All Grades","Push Up",70.9
"Redding School District","=""1170011""","All Grades","Push Up",88.9
"Regional School District 01","=""2010012""","All Grades","Push Up",57.1
"Regional School District 04","=""2040012""","All Grades","Push Up",72.0
"Regional School District 05","=""2050012""","All Grades","Push Up",91.3
"Regional School District 06","=""2060012""","All Grades","Push Up",87.1
"Regional School District 07","=""2070012""","All Grades","Push Up",60.0
"Regional School District 08","=""2080012""","All Grades","Push Up",86.8
"Regional School District 10","=""2100012""","All Grades","Push Up",84.2
"Regional School District 11","=""2110012""","All Grades","Push Up",66.7
"Regional School District 12","=""2120012""","All Grades","Push Up",73.9
"Regional School District 13","=""2130012""","All Grades","Push Up",79.4
"Regional School District 14","=""2140012""","All Grades","Push Up",71.7
"Regional School District 15","=""2150012""","All Grades","Push Up",82.8
"Regional School District 16","=""2160012""","All Grades","Push Up",80.4
"Regional School District 17","=""2170012""","All Grades","Push Up",84.0
"Regional School District 18","=""2180012""","All Grades","Push Up",75.6
"Regional School District 19","=""2190012""","All Grades","Push Up",82.4
"Ridgefield School District","=""1180011""","All Grades","Push Up",81.6
"Rocky Hill School District","=""1190011""","All Grades","Push Up",79.5
"Salem School District","=""1210011""","All Grades","Push Up",61.3
"Salisbury School District","=""1220011""","All Grades","Push Up",77.1
"Scotland School District","=""1230011""","All Grades","Push Up",44.1
"Seymour School District","=""1240011""","All Grades","Push Up",74.4
"Sharon School District","=""1250011""","All Grades","Push Up",68.9
"Shelton School District","=""1260011""","All Grades","Push Up",74.4
"Sherman School District","=""1270011""","All Grades","Push Up",68.6
"Side By Side Charter School District","=""2700013""","All Grades","Push Up",73.8
"Simsbury School District","=""1280011""","All Grades","Push Up",81.3
"Somers School District","=""1290011""","All Grades","Push Up",74.6
"South Windsor School District","=""1320011""","All Grades","Push Up",81.4
"Southington School District","=""1310011""","All Grades","Push Up",80.3
"Sprague School District","=""1330011""","All Grades","Push Up",73.6
"Stafford School District","=""1340011""","All Grades","Push Up",56.4
"Stamford Academy District","=""2820013""","All Grades","Push Up",45.2
"Stamford School District","=""1350011""","All Grades","Push Up",67.9
"Sterling School District","=""1360011""","All Grades","Push Up",83.0
"Stonington School District","=""1370011""","All Grades","Push Up",76.2
"Stratford School District","=""1380011""","All Grades","Push Up",78.7
"Suffield School District","=""1390011""","All Grades","Push Up",63.8
"The Bridge Academy District","=""2690013""","All Grades","Push Up",77.4
"The Gilbert School District","=""9020022""","All Grades","Push Up",67.6
"Thomaston School District","=""1400011""","All Grades","Push Up",45.5
"Thompson School District","=""1410011""","All Grades","Push Up",59.7
"Tolland School District","=""1420011""","All Grades","Push Up",74.7
"Torrington School District","=""1430011""","All Grades","Push Up",70.7
"Trailblazers Academy District","=""2780013""","All Grades","Push Up",58.6
"Trumbull School District","=""1440011""","All Grades","Push Up",80.5
"Union School District","=""1450011""","All Grades","Push Up",100.0
"Vernon School District","=""1460011""","All Grades","Push Up",76.2
"Voluntown School District","=""1470011""","All Grades","Push Up",82.4
"Wallingford School District","=""1480011""","All Grades","Push Up",68.4
"Waterbury School District","=""1510011""","All Grades","Push Up",66.3
"Waterford School District","=""1520011""","All Grades","Push Up",66.2
"Watertown School District","=""1530011""","All Grades","Push Up",81.3
"West Hartford School District","=""1550011""","All Grades","Push Up",79.0
"West Haven School District","=""1560011""","All Grades","Push Up",54.6
"Westbrook School District","=""1540011""","All Grades","Push Up",77.7
"Weston School District","=""1570011""","All Grades","Push Up",85.2
"Westport School District","=""1580011""","All Grades","Push Up",76.7
"Wethersfield School District","=""1590011""","All Grades","Push Up",70.5
"Willington School District","=""1600011""","All Grades","Push Up",77.9
"Wilton School District","=""1610011""","All Grades","Push Up",93.0
"Winchester School District","=""1620011""","All Grades","Push Up",86.4
"Windham School District","=""1630011""","All Grades","Push Up",61.4
"Windsor Locks School District","=""1650011""","All Grades","Push Up",63.8
"Windsor School District","=""1640011""","All Grades","Push Up",61.5
"Wolcott School District","=""1660011""","All Grades","Push Up",83.2
"Woodbridge School District","=""1670011""","All Grades","Push Up",71.0
"Woodstock Academy District","=""9030022""","All Grades","Push Up",86.7
"Woodstock School District","=""1690011""","All Grades","Push Up",71.8

