"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"New Hartford School District","=""0920011""","All Grades","Push Up",63.6,81.5,75.2,79.9,76.9
"New Haven School District","=""0930011""","All Grades","Push Up",59.1,64.7,60.4,64.5,58.9
"New London School District","=""0950011""","All Grades","Push Up",53.4,56.4,58.0,56.5,55.6
"New Milford School District","=""0960011""","All Grades","Push Up",65.6,56.3,61.8,63.5,61.7
"Newington School District","=""0940011""","All Grades","Push Up",65.7,68.1,67.6,64.5,65.9
"Newtown School District","=""0970011""","All Grades","Push Up",89.9,86.6,86.7,84.9,86.5
"Norfolk School District","=""0980011""","All Grades","Push Up",60.7,81.6,47.1,76.9,73.5
"North Branford School District","=""0990011""","All Grades","Push Up",83.5,88.2,84.9,77.1,75.4
"North Canaan School District","=""1000011""","All Grades","Push Up",51.7,50.5,53.0,42.5,65.8
"North Haven School District","=""1010011""","All Grades","Push Up",74.3,75.2,71.1,70.2,73.8
"North Stonington School District","=""1020011""","All Grades","Push Up",79.3,76.4,64.5,70.9,72.2
"Norwalk School District","=""1030011""","All Grades","Push Up",73.2,73.1,74.2,73.4,71.7
"Norwich Free Academy District","=""9010022""","All Grades","Push Up",71.2,70.1,66.1,67.9,71.7
"Norwich School District","=""1040011""","All Grades","Push Up",62.3,62.0,57.2,58.7,64.5
"Odyssey Community School District","=""2630013""","All Grades","Push Up",46.7,68.4,51.4,60.4,80.0
"Old Saybrook School District","=""1060011""","All Grades","Push Up",75.3,75.1,77.8,80.3,84.9
"Orange School District","=""1070011""","All Grades","Push Up",66.0,70.9,67.9,69.3,68.1
"Oxford School District","=""1080011""","All Grades","Push Up",82.4,77.8,74.3,71.1,67.6
"Park City Prep Charter School District","=""2830013""","All Grades","Push Up",54.1,54.3,65.6,66.9,46.1
"Plainfield School District","=""1090011""","All Grades","Push Up",71.9,72.4,74.0,69.5,76.0
"Plainville School District","=""1100011""","All Grades","Push Up",71.2,77.4,79.4,72.2,75.1
"Plymouth School District","=""1110011""","All Grades","Push Up",70.9,72.5,68.1,74.3,69.8
"Pomfret School District","=""1120011""","All Grades","Push Up",54.9,65.9,63.9,66.9,76.4
"Portland School District","=""1130011""","All Grades","Push Up",62.5,68.6,69.5,62.5,72.4
"Preston School District","=""1140011""","All Grades","Push Up",70.3,71.0,70.6,44.7,69.1
"Putnam School District","=""1160011""","All Grades","Push Up",68.9,66.1,72.1,68.4,70.9
"Redding School District","=""1170011""","All Grades","Push Up",88.5,88.0,90.8,85.8,88.9
"Regional School District 01","=""2010012""","All Grades","Push Up",80.2,64.1,78.0,80.0,57.1
"Regional School District 04","=""2040012""","All Grades","Push Up",72.2,72.3,69.0,70.5,72.0
"Regional School District 05","=""2050012""","All Grades","Push Up",90.1,92.8,90.8,90.2,91.3
"Regional School District 06","=""2060012""","All Grades","Push Up",79.7,80.6,85.3,89.2,87.1
"Regional School District 07","=""2070012""","All Grades","Push Up",65.9,60.0,56.9,66.1,60.0
"Regional School District 08","=""2080012""","All Grades","Push Up",90.0,81.9,82.7,79.0,86.8
"Regional School District 10","=""2100012""","All Grades","Push Up",84.9,83.8,83.2,84.4,84.2
"Regional School District 11","=""2110012""","All Grades","Push Up",82.1,73.6,81.6,75.9,66.7
"Regional School District 12","=""2120012""","All Grades","Push Up",82.0,85.3,83.7,83.1,73.9
"Regional School District 13","=""2130012""","All Grades","Push Up",79.0,82.0,78.8,79.4,79.4
"Regional School District 14","=""2140012""","All Grades","Push Up",77.8,76.1,73.3,77.5,71.7
"Regional School District 15","=""2150012""","All Grades","Push Up",80.9,79.5,78.1,81.6,82.8
"Regional School District 16","=""2160012""","All Grades","Push Up",77.0,76.2,79.5,76.4,80.4
"Regional School District 17","=""2170012""","All Grades","Push Up",83.9,80.3,83.6,87.3,84.0
"Regional School District 18","=""2180012""","All Grades","Push Up",76.5,75.6,76.8,75.3,75.6
"Regional School District 19","=""2190012""","All Grades","Push Up",85.0,73.8,82.3,78.9,82.4
"Ridgefield School District","=""1180011""","All Grades","Push Up",85.2,83.0,84.8,80.3,81.6
"Rocky Hill School District","=""1190011""","All Grades","Push Up",82.3,81.1,79.8,83.8,79.5
"Salem School District","=""1210011""","All Grades","Push Up",64.0,65.2,60.0,54.4,61.3
"Salisbury School District","=""1220011""","All Grades","Push Up",72.8,80.6,67.0,81.2,77.1
"Scotland School District","=""1230011""","All Grades","Push Up",61.3,57.9,48.3,45.7,44.1
"Seymour School District","=""1240011""","All Grades","Push Up",68.3,64.6,72.2,73.4,74.4
"Sharon School District","=""1250011""","All Grades","Push Up",57.4,71.8,54.9,65.1,68.9
"Shelton School District","=""1260011""","All Grades","Push Up",78.0,79.3,77.9,73.5,74.4
"Sherman School District","=""1270011""","All Grades","Push Up",70.8,79.1,82.9,85.7,68.6
"Side By Side Charter School District","=""2700013""","All Grades","Push Up",83.3,91.9,77.3,88.7,73.8
"Simsbury School District","=""1280011""","All Grades","Push Up",84.8,82.8,84.3,84.7,81.3
"Somers School District","=""1290011""","All Grades","Push Up",79.0,78.3,72.1,68.3,74.6
"South Windsor School District","=""1320011""","All Grades","Push Up",74.3,82.4,78.7,79.0,81.4
"Southington School District","=""1310011""","All Grades","Push Up",81.1,79.3,75.8,82.2,80.3
"Sprague School District","=""1330011""","All Grades","Push Up",81.3,65.8,72.9,71.8,73.6
"Stafford School District","=""1340011""","All Grades","Push Up",56.5,58.4,63.8,54.0,56.4
"Stamford Academy District","=""2820013""","All Grades","Push Up",26.9,50.0,30.0,90.5,45.2
"Stamford School District","=""1350011""","All Grades","Push Up",71.8,74.9,71.0,63.6,67.9
"Sterling School District","=""1360011""","All Grades","Push Up",80.3,79.9,79.9,73.0,83.0
"Stonington School District","=""1370011""","All Grades","Push Up",77.9,78.7,78.7,78.8,76.2
"Stratford School District","=""1380011""","All Grades","Push Up",81.3,81.7,82.4,79.4,78.7
"Suffield School District","=""1390011""","All Grades","Push Up",76.1,68.5,70.1,67.6,63.8
"The Bridge Academy District","=""2690013""","All Grades","Push Up",84.3,63.8,56.7,73.4,77.4
"The Gilbert School District","=""9020022""","All Grades","Push Up",65.9,58.8,61.3,63.6,67.6
"Thomaston School District","=""1400011""","All Grades","Push Up",59.7,65.2,61.8,53.6,45.5
"Thompson School District","=""1410011""","All Grades","Push Up",55.6,56.4,76.3,54.0,59.7
"Tolland School District","=""1420011""","All Grades","Push Up",74.0,80.0,74.4,72.2,74.7
"Torrington School District","=""1430011""","All Grades","Push Up",71.8,62.6,69.0,67.1,70.7
"Trailblazers Academy District","=""2780013""","All Grades","Push Up",82.9,73.7,61.0,61.0,58.6
"Trumbull School District","=""1440011""","All Grades","Push Up",79.8,85.0,82.0,85.4,80.5
"Union School District","=""1450011""","All Grades","Push Up",100.0,100.0,100.0,100.0,100.0
"Vernon School District","=""1460011""","All Grades","Push Up",79.8,80.7,77.8,78.0,76.2
"Voluntown School District","=""1470011""","All Grades","Push Up",82.6,78.8,76.5,81.8,82.4
"Wallingford School District","=""1480011""","All Grades","Push Up",72.4,70.1,69.0,63.1,68.4
"Waterbury School District","=""1510011""","All Grades","Push Up",64.8,67.5,65.6,66.6,66.3
"Waterford School District","=""1520011""","All Grades","Push Up",68.6,73.2,75.2,71.4,66.2
"Watertown School District","=""1530011""","All Grades","Push Up",74.7,72.1,78.5,78.7,81.3
"West Hartford School District","=""1550011""","All Grades","Push Up",80.7,79.8,82.2,80.0,79.0
"West Haven School District","=""1560011""","All Grades","Push Up",55.3,53.5,50.1,45.6,54.6
"Westbrook School District","=""1540011""","All Grades","Push Up",78.0,77.2,74.7,75.3,77.7
"Weston School District","=""1570011""","All Grades","Push Up",85.5,81.9,75.0,84.1,85.2
"Westport School District","=""1580011""","All Grades","Push Up",78.7,82.3,84.2,77.4,76.7
"Wethersfield School District","=""1590011""","All Grades","Push Up",64.5,67.0,64.2,71.5,70.5
"Willington School District","=""1600011""","All Grades","Push Up",76.4,76.0,72.4,67.4,77.9
"Wilton School District","=""1610011""","All Grades","Push Up",95.8,91.4,94.1,93.1,93.0
"Winchester School District","=""1620011""","All Grades","Push Up",67.0,67.3,78.1,85.7,86.4
"Windham School District","=""1630011""","All Grades","Push Up",63.8,73.9,73.7,68.6,61.4
"Windsor Locks School District","=""1650011""","All Grades","Push Up",56.4,60.6,59.0,59.3,63.8
"Windsor School District","=""1640011""","All Grades","Push Up",60.3,60.6,60.5,64.2,61.5
"Wolcott School District","=""1660011""","All Grades","Push Up",83.0,83.4,82.3,83.5,83.2
"Woodbridge School District","=""1670011""","All Grades","Push Up",70.8,72.3,69.8,77.3,71.0
"Woodstock Academy District","=""9030022""","All Grades","Push Up",89.0,87.0,81.1,86.2,86.7
"Woodstock School District","=""1690011""","All Grades","Push Up",70.3,68.8,72.6,77.8,71.8

