"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"Capitol Region Education Council","=""2410014""","All Grades","All Tests - District",34.2,38.9,38.1,36.1,43.7
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",77.0,79.2,80.4,79.3,81.1
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",52.5,54.2,56.8,52.0,61.8
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",68.5,71.7,69.8,67.2,66.5
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",72.5,79.2,75.6,76.6,77.3
"Chaplin School District","=""0240011""","All Grades","All Tests - District",56.5,52.6,58.1,48.8,55.9
"Chaplin School District","=""0240011""","All Grades","Curl Up",63.0,63.2,65.1,95.1,97.1
"Chaplin School District","=""0240011""","All Grades","Mile Run",100.0,100.0,100.0,51.2,64.7
"Chaplin School District","=""0240011""","All Grades","Push Up",71.7,68.4,72.1,70.7,67.6
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",95.7,100.0,97.7,97.6,97.1
"Cheshire School District","=""0250011""","All Grades","All Tests - District",58.2,61.9,60.5,58.2,55.6
"Cheshire School District","=""0250011""","All Grades","Curl Up",92.7,93.1,92.0,92.8,90.7
"Cheshire School District","=""0250011""","All Grades","Mile Run",78.7,81.5,82.9,84.7,80.2
"Cheshire School District","=""0250011""","All Grades","Push Up",82.7,84.2,82.4,80.6,79.8
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",76.8,78.4,76.3,77.0,71.8
"Chester School District","=""0260011""","All Grades","All Tests - District",43.1,44.3,48.6,47.0,35.2
"Chester School District","=""0260011""","All Grades","Curl Up",87.5,79.7,73.6,69.7,67.6
"Chester School District","=""0260011""","All Grades","Mile Run",70.8,69.6,75.0,71.2,84.5
"Chester School District","=""0260011""","All Grades","Push Up",76.4,75.9,66.7,71.2,71.8
"Chester School District","=""0260011""","All Grades","Sit and Reach",77.8,73.4,83.3,80.3,69.0
"Clinton School District","=""0270011""","All Grades","All Tests - District",50.2,53.2,56.1,51.8,51.2
"Clinton School District","=""0270011""","All Grades","Curl Up",95.9,94.4,94.7,96.2,91.3
"Clinton School District","=""0270011""","All Grades","Mile Run",73.9,77.0,80.4,79.0,76.6
"Clinton School District","=""0270011""","All Grades","Push Up",72.0,70.0,70.7,69.7,71.9
"Clinton School District","=""0270011""","All Grades","Sit and Reach",83.9,86.0,81.1,81.7,78.0
"Colchester School District","=""0280011""","All Grades","All Tests - District",51.6,55.8,50.1,46.4,63.5
"Colchester School District","=""0280011""","All Grades","Curl Up",83.6,76.3,82.6,80.2,86.8
"Colchester School District","=""0280011""","All Grades","Mile Run",76.3,83.2,75.7,70.0,79.2
"Colchester School District","=""0280011""","All Grades","Push Up",67.0,71.7,68.4,71.2,81.6
"Colchester School District","=""0280011""","All Grades","Sit and Reach",82.3,80.4,80.3,75.2,89.3
"Colebrook School District","=""0290011""","All Grades","All Tests - District",65.4,38.9,56.0,55.6,64.0
"Colebrook School District","=""0290011""","All Grades","Curl Up",100.0,86.1,92.0,96.3,96.0
"Colebrook School District","=""0290011""","All Grades","Mile Run",92.3,52.8,84.0,81.5,80.0
"Colebrook School District","=""0290011""","All Grades","Push Up",73.1,52.8,80.0,70.4,84.0
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",76.9,63.9,88.0,70.4,84.0
"Columbia School District","=""0300011""","All Grades","All Tests - District",75.1,82.5,78.5,81.0,80.3
"Columbia School District","=""0300011""","All Grades","Curl Up",92.1,95.8,94.3,93.7,90.9
"Columbia School District","=""0300011""","All Grades","Mile Run",81.9,86.7,83.5,88.6,84.8
"Columbia School District","=""0300011""","All Grades","Push Up",92.1,95.2,94.9,90.5,96.2
"Columbia School District","=""0300011""","All Grades","Sit and Reach",94.9,97.0,97.5,98.1,99.2
"Common Ground High School District","=""2680013""","All Grades","All Tests - District","*","*","*",17.6,"*"
"Common Ground High School District","=""2680013""","All Grades","Curl Up",30.0,71.4,69.4,80.4,67.3
"Common Ground High School District","=""2680013""","All Grades","Mile Run","*","*","*",27.5,"*"
"Common Ground High School District","=""2680013""","All Grades","Push Up",63.3,47.6,47.2,62.7,38.8
"Common Ground High School District","=""2680013""","All Grades","Sit and Reach",63.3,61.9,50.0,72.5,49.0
"Connecticut Technical High School System","=""9000016""","All Grades","All Tests - District",36.2,35.1,37.5,34.6,37.8
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",89.4,89.9,87.1,86.8,88.7
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",46.9,45.4,46.6,44.9,48.7
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",69.4,68.6,68.4,67.4,68.7
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",79.2,83.4,81.3,81.3,83.6
"Cooperative Educational Services","=""2430014""","All Grades","All Tests - District",41.2,43.6,38.3,49.1,30.5
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",86.8,85.5,89.7,87.1,65.3
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",64.9,63.2,67.3,62.1,45.1
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",88.6,85.5,78.5,78.4,55.4
"Cooperative Educational Services","=""2430014""","All Grades","Sit and Reach",68.4,80.3,70.1,92.2,77.9
"Cornwall School District","=""0310011""","All Grades","All Tests - District",69.0,71.4,69.4,83.3,63.0
"Cornwall School District","=""0310011""","All Grades","Curl Up",90.5,97.1,83.3,97.2,81.5
"Cornwall School District","=""0310011""","All Grades","Mile Run",97.6,94.3,94.4,91.7,92.6
"Cornwall School District","=""0310011""","All Grades","Push Up",78.6,71.4,80.6,94.4,85.2
"Cornwall School District","=""0310011""","All Grades","Sit and Reach",88.1,91.4,91.7,97.2,85.2
"Coventry School District","=""0320011""","All Grades","All Tests - District",49.2,47.7,50.9,51.8,49.3
"Coventry School District","=""0320011""","All Grades","Curl Up",86.3,87.7,88.2,84.4,78.7
"Coventry School District","=""0320011""","All Grades","Mile Run",75.0,77.0,77.2,81.1,80.2
"Coventry School District","=""0320011""","All Grades","Push Up",71.8,75.1,71.9,74.4,77.4
"Coventry School District","=""0320011""","All Grades","Sit and Reach",80.0,76.1,78.4,79.1,81.1
"Cromwell School District","=""0330011""","All Grades","All Tests - District",55.7,58.3,62.9,59.4,58.8
"Cromwell School District","=""0330011""","All Grades","Curl Up",87.4,87.6,94.3,91.1,83.2
"Cromwell School District","=""0330011""","All Grades","Mile Run",70.3,75.4,79.4,73.2,74.5
"Cromwell School District","=""0330011""","All Grades","Push Up",86.7,80.9,88.4,82.2,81.5
"Cromwell School District","=""0330011""","All Grades","Sit and Reach",89.4,87.4,80.9,80.4,84.5
"Danbury School District","=""0340011""","All Grades","All Tests - District",36.5,34.3,31.6,37.0,33.9
"Danbury School District","=""0340011""","All Grades","Curl Up",75.3,74.3,69.1,75.9,69.3
"Danbury School District","=""0340011""","All Grades","Mile Run",61.0,62.9,64.0,66.2,66.3
"Danbury School District","=""0340011""","All Grades","Push Up",62.8,63.4,60.0,62.5,60.9
"Danbury School District","=""0340011""","All Grades","Sit and Reach",71.2,72.5,70.0,76.6,76.8
"Darien School District","=""0350011""","All Grades","All Tests - District",75.9,71.6,76.6,73.0,77.4
"Darien School District","=""0350011""","All Grades","Curl Up",95.1,95.1,94.8,96.4,95.9
"Darien School District","=""0350011""","All Grades","Mile Run",88.3,89.7,92.0,91.0,91.6
"Darien School District","=""0350011""","All Grades","Push Up",88.4,85.5,90.4,90.3,91.8
"Darien School District","=""0350011""","All Grades","Sit and Reach",87.9,84.3,88.8,83.6,86.5
"Deep River School District","=""0360011""","All Grades","All Tests - District",83.8,75.5,67.3,82.6,80.2
"Deep River School District","=""0360011""","All Grades","Curl Up",93.9,95.7,85.6,94.2,92.5
"Deep River School District","=""0360011""","All Grades","Mile Run",89.9,95.7,88.5,89.5,93.4
"Deep River School District","=""0360011""","All Grades","Push Up",90.9,81.9,80.8,87.2,86.8
"Deep River School District","=""0360011""","All Grades","Sit and Reach",88.9,84.0,83.7,96.5,91.5
"Derby School District","=""0370011""","All Grades","All Tests - District",34.6,30.6,36.9,36.1,42.5
"Derby School District","=""0370011""","All Grades","Curl Up",75.4,77.6,77.1,74.7,74.6
"Derby School District","=""0370011""","All Grades","Mile Run",54.1,54.9,57.9,61.4,71.9
"Derby School District","=""0370011""","All Grades","Push Up",64.6,53.3,73.2,70.5,69.8
"Derby School District","=""0370011""","All Grades","Sit and Reach",71.7,66.9,78.2,69.3,72.6
"East Granby School District","=""0400011""","All Grades","All Tests - District",49.8,41.4,42.2,43.9,50.2
"East Granby School District","=""0400011""","All Grades","Curl Up",91.7,86.0,91.2,86.8,87.8
"East Granby School District","=""0400011""","All Grades","Mile Run",64.2,65.8,68.7,71.1,66.5
"East Granby School District","=""0400011""","All Grades","Push Up",78.5,69.1,70.7,72.9,79.2
"East Granby School District","=""0400011""","All Grades","Sit and Reach",84.2,76.6,72.7,71.1,81.0
"East Haddam School District","=""0410011""","All Grades","All Tests - District",38.3,37.5,44.8,58.4,54.2
"East Haddam School District","=""0410011""","All Grades","Curl Up",78.3,79.7,81.4,89.2,87.5
"East Haddam School District","=""0410011""","All Grades","Mile Run",75.4,77.0,81.7,85.3,84.5
"East Haddam School District","=""0410011""","All Grades","Push Up",49.0,51.7,57.7,67.5,63.5
"East Haddam School District","=""0410011""","All Grades","Sit and Reach",78.3,72.3,79.2,82.9,84.9
"East Hampton School District","=""0420011""","All Grades","All Tests - District",56.2,54.8,45.8,40.1,60.1
"East Hampton School District","=""0420011""","All Grades","Curl Up",83.8,82.1,76.0,65.4,80.2
"East Hampton School District","=""0420011""","All Grades","Mile Run",74.8,74.9,71.9,68.3,74.4
"East Hampton School District","=""0420011""","All Grades","Push Up",76.6,71.1,72.6,69.4,73.9
"East Hampton School District","=""0420011""","All Grades","Sit and Reach",87.3,87.8,79.1,80.1,90.9
"East Hartford School District","=""0430011""","All Grades","All Tests - District",48.7,47.7,39.1,45.5,43.0
"East Hartford School District","=""0430011""","All Grades","Curl Up",81.6,84.2,81.5,71.7,73.0
"East Hartford School District","=""0430011""","All Grades","Mile Run",66.1,64.9,61.1,70.3,75.2
"East Hartford School District","=""0430011""","All Grades","Push Up",72.3,74.5,65.8,66.3,68.1
"East Hartford School District","=""0430011""","All Grades","Sit and Reach",82.8,82.8,73.9,78.5,75.9
"East Haven School District","=""0440011""","All Grades","All Tests - District",41.0,41.5,40.8,54.2,54.7
"East Haven School District","=""0440011""","All Grades","Curl Up",67.0,87.2,72.3,82.3,90.4
"East Haven School District","=""0440011""","All Grades","Mile Run",75.8,52.8,66.7,63.9,74.6
"East Haven School District","=""0440011""","All Grades","Push Up",64.6,71.1,66.5,71.8,72.5
"East Haven School District","=""0440011""","All Grades","Sit and Reach",89.9,87.8,86.8,90.4,90.4
"East Lyme School District","=""0450011""","All Grades","All Tests - District",62.2,64.4,67.1,65.9,63.7
"East Lyme School District","=""0450011""","All Grades","Curl Up",87.8,85.1,86.8,87.1,88.1
"East Lyme School District","=""0450011""","All Grades","Mile Run",79.9,82.0,82.8,82.0,78.6
"East Lyme School District","=""0450011""","All Grades","Push Up",87.2,85.8,83.9,83.8,87.8
"East Lyme School District","=""0450011""","All Grades","Sit and Reach",86.6,86.4,88.8,84.1,86.6
"East Windsor School District","=""0470011""","All Grades","All Tests - District",42.8,42.3,49.7,37.2,45.9
"East Windsor School District","=""0470011""","All Grades","Curl Up",77.4,73.6,79.9,69.1,74.3
"East Windsor School District","=""0470011""","All Grades","Mile Run",66.4,73.0,78.1,73.0,68.6
"East Windsor School District","=""0470011""","All Grades","Push Up",56.4,53.3,61.4,58.2,61.1
"East Windsor School District","=""0470011""","All Grades","Sit and Reach",73.0,82.0,80.8,76.2,76.9
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","All Tests - District","*",22.7,18.0,25.7,18.0
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Curl Up",65.0,68.2,80.3,82.9,86.9
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Mile Run","*",50.0,31.1,25.7,21.3
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Push Up",57.5,77.3,68.9,71.4,67.2
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Sit and Reach",47.5,70.5,77.0,77.1,75.4
"Eastford School District","=""0390011""","All Grades","All Tests - District",76.7,84.6,72.5,75.6,84.2
"Eastford School District","=""0390011""","All Grades","Curl Up",79.1,98.1,87.5,95.6,94.7
"Eastford School District","=""0390011""","All Grades","Mile Run",88.4,92.3,85.0,91.1,92.1
"Eastford School District","=""0390011""","All Grades","Push Up",83.7,86.5,75.0,75.6,84.2
"Eastford School District","=""0390011""","All Grades","Sit and Reach",83.7,98.1,87.5,95.6,97.4
"Easton School District","=""0460011""","All Grades","All Tests - District",51.0,61.5,43.3,47.6,50.0
"Easton School District","=""0460011""","All Grades","Curl Up",90.7,89.2,83.1,89.8,89.4
"Easton School District","=""0460011""","All Grades","Mile Run",82.7,87.5,86.6,69.0,78.5
"Easton School District","=""0460011""","All Grades","Push Up",73.1,82.7,60.2,77.3,70.9
"Easton School District","=""0460011""","All Grades","Sit and Reach",73.4,81.8,73.2,74.4,72.8
"Ellington School District","=""0480011""","All Grades","All Tests - District",51.3,52.7,53.1,52.1,52.0
"Ellington School District","=""0480011""","All Grades","Curl Up",83.4,81.5,81.6,85.8,83.7
"Ellington School District","=""0480011""","All Grades","Mile Run",77.2,78.5,78.0,77.7,78.5
"Ellington School District","=""0480011""","All Grades","Push Up",66.3,69.2,69.1,70.5,68.1
"Ellington School District","=""0480011""","All Grades","Sit and Reach",81.2,86.7,88.4,84.6,83.7
"Elm City College Preparatory School District","=""2890013""","All Grades","All Tests - District",19.8,17.9,29.4,41.3,44.5
"Elm City College Preparatory School District","=""2890013""","All Grades","Curl Up",48.4,38.4,52.5,76.1,72.2
"Elm City College Preparatory School District","=""2890013""","All Grades","Mile Run",59.3,46.4,59.9,63.7,63.6
"Elm City College Preparatory School District","=""2890013""","All Grades","Push Up",57.7,39.7,54.2,65.2,59.3
"Elm City College Preparatory School District","=""2890013""","All Grades","Sit and Reach",61.0,42.4,55.4,66.2,70.8
"Enfield School District","=""0490011""","All Grades","All Tests - District",60.8,58.3,59.8,56.5,64.9
"Enfield School District","=""0490011""","All Grades","Curl Up",93.5,93.2,91.3,88.9,91.0
"Enfield School District","=""0490011""","All Grades","Mile Run",74.2,71.6,75.0,71.1,75.9
"Enfield School District","=""0490011""","All Grades","Push Up",80.1,81.6,80.8,80.7,84.9
"Enfield School District","=""0490011""","All Grades","Sit and Reach",87.8,84.6,87.2,85.0,89.8
"Essex School District","=""0500011""","All Grades","All Tests - District",47.0,44.8,58.3,58.3,50.0
"Essex School District","=""0500011""","All Grades","Curl Up",95.2,98.7,98.1,96.9,93.3
"Essex School District","=""0500011""","All Grades","Mile Run",75.9,68.8,75.6,78.7,72.4
"Essex School District","=""0500011""","All Grades","Push Up",62.7,72.1,76.3,81.9,74.6
"Essex School District","=""0500011""","All Grades","Sit and Reach",83.7,78.6,82.1,78.7,69.4
"Explorations District","=""2720013""","All Grades","All Tests - District",0.0,"*","*",0.0,"*"
"Explorations District","=""2720013""","All Grades","Curl Up","*","*","*",65.0,"*"
"Explorations District","=""2720013""","All Grades","Mile Run","*","*","*",0.0,"*"
"Explorations District","=""2720013""","All Grades","Push Up",73.9,"*","*",30.0,"*"
"Explorations District","=""2720013""","All Grades","Sit and Reach",34.8,"*","*",80.0,"*"
"Fairfield School District","=""0510011""","All Grades","All Tests - District",62.0,64.5,68.5,66.9,66.4
"Fairfield School District","=""0510011""","All Grades","Curl Up",87.1,89.0,89.9,91.2,90.0
"Fairfield School District","=""0510011""","All Grades","Mile Run",85.8,85.6,89.6,88.5,89.4
"Fairfield School District","=""0510011""","All Grades","Push Up",77.8,79.9,84.2,81.1,82.3
"Fairfield School District","=""0510011""","All Grades","Sit and Reach",81.6,83.0,84.8,86.1,84.9
"Farmington School District","=""0520011""","All Grades","All Tests - District",57.9,59.9,61.3,57.8,61.0
"Farmington School District","=""0520011""","All Grades","Curl Up",86.9,84.5,86.6,85.8,86.0
