"Physical Fitness Tests: Students Reaching Health Standard, 2008-09"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"East Windsor School District","=""0470011""","All Grades","Sit and Reach",81.0
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Sit and Reach","*"
"Eastford School District","=""0390011""","All Grades","Sit and Reach",88.7
"Easton School District","=""0460011""","All Grades","Sit and Reach",69.6
"Ellington School District","=""0480011""","All Grades","Sit and Reach",78.6
"Elm City College Preparatory School","=""2810013""","All Grades","Sit and Reach",60.9
"Enfield School District","=""0490011""","All Grades","Sit and Reach",85.2
"Essex School District","=""0500011""","All Grades","Sit and Reach",66.1
"Explorations District","=""2720013""","All Grades","Sit and Reach","*"
"Fairfield School District","=""0510011""","All Grades","Sit and Reach",75.3
"Farmington School District","=""0520011""","All Grades","Sit and Reach",79.4
"Franklin School District","=""0530011""","All Grades","Sit and Reach",77.9
"Glastonbury School District","=""0540011""","All Grades","Sit and Reach",76.7
"Granby School District","=""0560011""","All Grades","Sit and Reach",81.2
"Greenwich School District","=""0570011""","All Grades","Sit and Reach",76.5
"Griswold School District","=""0580011""","All Grades","Sit and Reach",70.0
"Groton School District","=""0590011""","All Grades","Sit and Reach",78.0
"Guilford School District","=""0600011""","All Grades","Sit and Reach",81.9
"Hamden School District","=""0620011""","All Grades","Sit and Reach",74.1
"Hampton School District","=""0630011""","All Grades","Sit and Reach",88.2
"Hartford School District","=""0640011""","All Grades","Sit and Reach",75.4
"Hartland School District","=""0650011""","All Grades","Sit and Reach",91.4
"Hebron School District","=""0670011""","All Grades","Sit and Reach",95.0
"Highville Charter School District","=""2860013""","All Grades","Sit and Reach",64.2
"Integrated Day Charter School District","=""2640013""","All Grades","Sit and Reach",93.7
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Sit and Reach",61.7
"Jumoke Academy District","=""2610013""","All Grades","Sit and Reach",73.5
"Kent School District","=""0680011""","All Grades","Sit and Reach",71.6
"Killingly School District","=""0690011""","All Grades","Sit and Reach",79.4
"Learn","=""2450014""","All Grades","Sit and Reach",73.2
"Lebanon School District","=""0710011""","All Grades","Sit and Reach",74.9
"Ledyard School District","=""0720011""","All Grades","Sit and Reach",79.6
"Lisbon School District","=""0730011""","All Grades","Sit and Reach",64.4
"Litchfield School District","=""0740011""","All Grades","Sit and Reach",78.3
"Madison School District","=""0760011""","All Grades","Sit and Reach",77.9
"Manchester School District","=""0770011""","All Grades","Sit and Reach",69.1
"Mansfield School District","=""0780011""","All Grades","Sit and Reach",81.5
"Marlborough School District","=""0790011""","All Grades","Sit and Reach",58.7
"Meriden School District","=""0800011""","All Grades","Sit and Reach",72.2
"Middletown School District","=""0830011""","All Grades","Sit and Reach",71.4
"Milford School District","=""0840011""","All Grades","Sit and Reach",75.4
"Monroe School District","=""0850011""","All Grades","Sit and Reach",78.6
"Montville School District","=""0860011""","All Grades","Sit and Reach",70.9
"Naugatuck School District","=""0880011""","All Grades","Sit and Reach",73.6
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Sit and Reach",74.3
"New Britain School District","=""0890011""","All Grades","Sit and Reach",67.9
"New Canaan School District","=""0900011""","All Grades","Sit and Reach",79.5
"New Fairfield School District","=""0910011""","All Grades","Sit and Reach",75.2
"New Hartford School District","=""0920011""","All Grades","Sit and Reach",41.3
"New Haven School District","=""0930011""","All Grades","Sit and Reach",72.4
"New London School District","=""0950011""","All Grades","Sit and Reach",70.8
"New Milford School District","=""0960011""","All Grades","Sit and Reach",71.8
"Newington School District","=""0940011""","All Grades","Sit and Reach",71.3
"Newtown School District","=""0970011""","All Grades","Sit and Reach",80.8
"Norfolk School District","=""0980011""","All Grades","Sit and Reach",94.1
"North Branford School District","=""0990011""","All Grades","Sit and Reach",83.2
"North Canaan School District","=""1000011""","All Grades","Sit and Reach",70.1
"North Haven School District","=""1010011""","All Grades","Sit and Reach",84.2
"North Stonington School District","=""1020011""","All Grades","Sit and Reach",69.6
"Norwalk School District","=""1030011""","All Grades","Sit and Reach",73.0
"Norwich Free Academy District","=""9010022""","All Grades","Sit and Reach",83.0
"Norwich School District","=""1040011""","All Grades","Sit and Reach",71.1
"Odyssey Community School District","=""2630013""","All Grades","Sit and Reach",65.9
"Old Saybrook School District","=""1060011""","All Grades","Sit and Reach",75.0
"Orange School District","=""1070011""","All Grades","Sit and Reach",80.4
"Oxford School District","=""1080011""","All Grades","Sit and Reach",75.9
"Park City Prep Charter School District","=""2830013""","All Grades","Sit and Reach",87.4
"Plainfield School District","=""1090011""","All Grades","Sit and Reach",72.8
"Plainville School District","=""1100011""","All Grades","Sit and Reach",76.3
"Plymouth School District","=""1110011""","All Grades","Sit and Reach",83.6
"Pomfret School District","=""1120011""","All Grades","Sit and Reach",69.5
"Portland School District","=""1130011""","All Grades","Sit and Reach",61.9
"Preston School District","=""1140011""","All Grades","Sit and Reach",63.3
"Putnam School District","=""1160011""","All Grades","Sit and Reach",77.5
"Redding School District","=""1170011""","All Grades","Sit and Reach",84.4
"Regional School District 01","=""2010012""","All Grades","Sit and Reach",68.3
"Regional School District 04","=""2040012""","All Grades","Sit and Reach",86.3
"Regional School District 05","=""2050012""","All Grades","Sit and Reach",82.5
"Regional School District 06","=""2060012""","All Grades","Sit and Reach",77.0
"Regional School District 07","=""2070012""","All Grades","Sit and Reach",83.5
"Regional School District 08","=""2080012""","All Grades","Sit and Reach",81.9
"Regional School District 10","=""2100012""","All Grades","Sit and Reach",69.9
"Regional School District 11","=""2110012""","All Grades","Sit and Reach",59.2
"Regional School District 12","=""2120012""","All Grades","Sit and Reach",83.3
"Regional School District 13","=""2130012""","All Grades","Sit and Reach",78.4
"Regional School District 14","=""2140012""","All Grades","Sit and Reach",75.8
"Regional School District 15","=""2150012""","All Grades","Sit and Reach",81.4
"Regional School District 16","=""2160012""","All Grades","Sit and Reach",75.8
"Regional School District 17","=""2170012""","All Grades","Sit and Reach",61.9
"Regional School District 18","=""2180012""","All Grades","Sit and Reach",70.6
"Regional School District 19","=""2190012""","All Grades","Sit and Reach",86.7
"Ridgefield School District","=""1180011""","All Grades","Sit and Reach",65.3
"Rocky Hill School District","=""1190011""","All Grades","Sit and Reach",84.3
"Salem School District","=""1210011""","All Grades","Sit and Reach",76.4
"Salisbury School District","=""1220011""","All Grades","Sit and Reach",84.7
"Scotland School District","=""1230011""","All Grades","Sit and Reach",84.0
"Seymour School District","=""1240011""","All Grades","Sit and Reach",75.2
"Sharon School District","=""1250011""","All Grades","Sit and Reach",71.9
"Shelton School District","=""1260011""","All Grades","Sit and Reach",81.0
"Sherman School District","=""1270011""","All Grades","Sit and Reach",77.2
"Side By Side Charter School District","=""2700013""","All Grades","Sit and Reach",80.7
"Simsbury School District","=""1280011""","All Grades","Sit and Reach",79.5
"Somers School District","=""1290011""","All Grades","Sit and Reach",75.2
"South Windsor School District","=""1320011""","All Grades","Sit and Reach",67.3
"Southington School District","=""1310011""","All Grades","Sit and Reach",73.4
"Sprague School District","=""1330011""","All Grades","Sit and Reach",90.4
"Stafford School District","=""1340011""","All Grades","Sit and Reach",70.0
"Stamford Academy District","=""2820013""","All Grades","Sit and Reach",18.4
"Stamford School District","=""1350011""","All Grades","Sit and Reach",81.1
"Sterling School District","=""1360011""","All Grades","Sit and Reach",94.8
"Stonington School District","=""1370011""","All Grades","Sit and Reach",83.4
"Stratford School District","=""1380011""","All Grades","Sit and Reach",80.5
"Suffield School District","=""1390011""","All Grades","Sit and Reach",82.9
"The Bridge Academy District","=""2690013""","All Grades","Sit and Reach",52.4
"The Gilbert School District","=""9020022""","All Grades","Sit and Reach",91.2
"Thomaston School District","=""1400011""","All Grades","Sit and Reach",76.9
"Thompson School District","=""1410011""","All Grades","Sit and Reach",72.3
"Tolland School District","=""1420011""","All Grades","Sit and Reach",73.8
"Torrington School District","=""1430011""","All Grades","Sit and Reach",68.4
"Trailblazers Academy District","=""2780013""","All Grades","Sit and Reach",70.6
"Trumbull School District","=""1440011""","All Grades","Sit and Reach",79.7
"Union School District","=""1450011""","All Grades","Sit and Reach",85.7
"Vernon School District","=""1460011""","All Grades","Sit and Reach",84.8
"Voluntown School District","=""1470011""","All Grades","Sit and Reach",68.6
"Wallingford School District","=""1480011""","All Grades","Sit and Reach",67.6
"Waterbury School District","=""1510011""","All Grades","Sit and Reach",75.3
"Waterford School District","=""1520011""","All Grades","Sit and Reach",77.4
"Watertown School District","=""1530011""","All Grades","Sit and Reach",80.2
"West Hartford School District","=""1550011""","All Grades","Sit and Reach",71.7
"West Haven School District","=""1560011""","All Grades","Sit and Reach",68.2
"Westbrook School District","=""1540011""","All Grades","Sit and Reach",65.3
"Weston School District","=""1570011""","All Grades","Sit and Reach",64.9
"Westport School District","=""1580011""","All Grades","Sit and Reach",74.7
"Wethersfield School District","=""1590011""","All Grades","Sit and Reach",73.8
"Willington School District","=""1600011""","All Grades","Sit and Reach",83.6
"Wilton School District","=""1610011""","All Grades","Sit and Reach",71.9
"Winchester School District","=""1620011""","All Grades","Sit and Reach",74.7
"Windham School District","=""1630011""","All Grades","Sit and Reach",71.3
"Windsor Locks School District","=""1650011""","All Grades","Sit and Reach",66.7
"Windsor School District","=""1640011""","All Grades","Sit and Reach",70.2
"Wolcott School District","=""1660011""","All Grades","Sit and Reach",82.5
"Woodbridge School District","=""1670011""","All Grades","Sit and Reach",78.7
"Woodstock Academy District","=""9030022""","All Grades","Sit and Reach",90.3
"Woodstock School District","=""1690011""","All Grades","Sit and Reach",66.0

