"Chronic Absenteeism, 2013-14"
", All Schools, Race/Ethnicity"

"District","District Code","School","School Code","Race/Ethnicity","% Chronically Absent"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","White",70.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Black or African American","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Hispanic/Latino of any race","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","White","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Black or African American",9.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Hispanic/Latino of any race",14.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","White",10.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Asian","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Hispanic/Latino of any race","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Two or More Races","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","White","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","American Indian or Alaska Native","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Asian","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Black or African American",17.6
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hispanic/Latino of any race","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Native Hawaiian or Other Pacific Islander","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Two or More Races","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","White",3.3
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","American Indian or Alaska Native","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Asian","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Black or African American","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Hispanic/Latino of any race","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Two or More Races","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","White",5.3
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","American Indian or Alaska Native","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Asian",7.2
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Black or African American","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Hispanic/Latino of any race","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Native Hawaiian or Other Pacific Islander","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Two or More Races","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","White",2.7
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","American Indian or Alaska Native","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Asian","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Black or African American","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Hispanic/Latino of any race",14.3
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Two or More Races",0.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","White",4.7
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","American Indian or Alaska Native","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Asian","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Black or African American","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Hispanic/Latino of any race",0.0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Two or More Races","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","White",4.8
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Asian","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Black or African American","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Hispanic/Latino of any race","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Two or More Races","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","White","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","American Indian or Alaska Native","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Asian","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Black or African American","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Hispanic/Latino of any race",23.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Native Hawaiian or Other Pacific Islander","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Two or More Races","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","White",7.9
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","American Indian or Alaska Native","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Asian",0.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Black or African American",0.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Hispanic/Latino of any race","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Two or More Races","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","White",3.4
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Asian","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Black or African American","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Hispanic/Latino of any race","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Two or More Races","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","White",1.6
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","American Indian or Alaska Native","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Asian","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Black or African American","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Hispanic/Latino of any race","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Two or More Races",0.0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","White","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Asian","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Black or African American","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Hispanic/Latino of any race","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Two or More Races","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","White","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","American Indian or Alaska Native","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Asian","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Black or African American","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Hispanic/Latino of any race","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Two or More Races","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","White",4.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Asian","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Black or African American","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Hispanic/Latino of any race","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Two or More Races","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","White",3.3
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Asian","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Black or African American","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Hispanic/Latino of any race",12.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Two or More Races","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","White",9.7
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Asian","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Black or African American","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Hispanic/Latino of any race","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Two or More Races","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","White",5.0
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Asian","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Black or African American","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Hispanic/Latino of any race","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Native Hawaiian or Other Pacific Islander","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Two or More Races","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","White","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Asian","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Black or African American","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Hispanic/Latino of any race",16.4
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Native Hawaiian or Other Pacific Islander","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Two or More Races","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","White",15.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","American Indian or Alaska Native","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Asian","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Black or African American",7.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Two or More Races","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","White","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Asian","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Black or African American","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Two or More Races","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","White","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Asian","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Black or African American",5.1
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Two or More Races","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","White","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Asian","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Black or African American",8.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Two or More Races","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","White",10.3
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","American Indian or Alaska Native","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Asian","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Black or African American",4.0
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Two or More Races","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","White","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Black or African American","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Asian","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Black or African American","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Native Hawaiian or Other Pacific Islander","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Two or More Races","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","White","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Asian","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Black or African American",18.4
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Hispanic/Latino of any race","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Two or More Races","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","White","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Asian","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Black or African American",25.0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Hispanic/Latino of any race","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Two or More Races","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","White",3.9
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Asian","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Black or African American","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Hispanic/Latino of any race","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Two or More Races","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","White",2.4
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","American Indian or Alaska Native","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Asian","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Black or African American","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Hispanic/Latino of any race","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","White",7.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","American Indian or Alaska Native","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Asian","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Black or African American",20.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","Hispanic/Latino of any race",18.8
"Branford School District","=""0140011""","Branford High School","=""0146111""","Two or More Races","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","White",14.3
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","American Indian or Alaska Native","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Asian",0.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Black or African American","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Hispanic/Latino of any race","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Two or More Races","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","White",7.5
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","American Indian or Alaska Native","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Asian","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Black or African American","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Hispanic/Latino of any race","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Two or More Races","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","White","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Asian","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Black or African American","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Hispanic/Latino of any race","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Two or More Races","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","White",4.4
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Asian","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Black or African American","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Hispanic/Latino of any race","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Two or More Races","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","White",8.0
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Black or African American","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Hispanic/Latino of any race","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Two or More Races","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","White","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","American Indian or Alaska Native","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Asian","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Black or African American",2.7
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Hispanic/Latino of any race",3.4
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Two or More Races","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","White","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","American Indian or Alaska Native","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Asian","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Black or African American",6.7
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Hispanic/Latino of any race",16.9
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Two or More Races","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","White",14.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Asian","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Black or African American",24.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Hispanic/Latino of any race",27.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Two or More Races","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","White","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Asian",40.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Black or African American",38.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Hispanic/Latino of any race",44.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Two or More Races","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","White",45.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","American Indian or Alaska Native","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Asian","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Black or African American","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Hispanic/Latino of any race",24.9
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Two or More Races","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","White","*"
