"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, Gender"

"Organization","School","School Code","Gender","% Chronically Absent"
"Avon School District","Thompson Brook School","=""0040511""","Male",4.7
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Female","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Male","*"
"Berlin School District","Berlin High School","=""0076111""","Female",9.6
"Berlin School District","Berlin High School","=""0076111""","Male",6.0
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Female",8.9
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Male",6.8
"Berlin School District","Emma Hart Willard School","=""0070411""","Female",3.6
"Berlin School District","Emma Hart Willard School","=""0070411""","Male",2.3
"Berlin School District","Mary E. Griswold School","=""0070511""","Female",3.3
"Berlin School District","Mary E. Griswold School","=""0070511""","Male",2.9
"Berlin School District","Richard D. Hubbard School","=""0070111""","Female","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Male","*"
"Bethany School District","Bethany Community School","=""0080111""","Female",3.9
"Bethany School District","Bethany Community School","=""0080111""","Male",2.5
"Bethel School District","Anna H. Rockwell School","=""0090411""","Female",7.7
"Bethel School District","Anna H. Rockwell School","=""0090411""","Male",4.8
"Bethel School District","Bethel High School","=""0096111""","Female",9.3
"Bethel School District","Bethel High School","=""0096111""","Male",6.2
"Bethel School District","Bethel Middle School","=""0095111""","Female",6.8
"Bethel School District","Bethel Middle School","=""0095111""","Male",7.9
"Bethel School District","Frank A. Berry School","=""0090111""","Female","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Male","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Female",3.3
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Male",4.2
"Bloomfield School District","Bloomfield High School","=""0116111""","Female",11.1
"Bloomfield School District","Bloomfield High School","=""0116111""","Male",9.2
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Female","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Male","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Female",8.8
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Male",9.3
"Bloomfield School District","J. P. Vincent School","=""0110311""","Female",9.0
"Bloomfield School District","J. P. Vincent School","=""0110311""","Male",6.4
"Bloomfield School District","Metacomet School","=""0110511""","Female","*"
"Bloomfield School District","Metacomet School","=""0110511""","Male","*"
"Bloomfield School District","The Big Picture High School","=""0116211""","Female","*"
"Bloomfield School District","The Big Picture High School","=""0116211""","Male","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Female","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Male","*"
"Bolton School District","Bolton Center School","=""0120111""","Female","*"
"Bolton School District","Bolton Center School","=""0120111""","Male","*"
"Bolton School District","Bolton High School","=""0126111""","Female","*"
"Bolton School District","Bolton High School","=""0126111""","Male","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Female","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Male","*"
"Branford School District","Branford High School","=""0146111""","Female",11.2
"Branford School District","Branford High School","=""0146111""","Male",8.8
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Female",6.5
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Male",8.8
"Branford School District","John B. Sliney School","=""0141611""","Female","*"
"Branford School District","John B. Sliney School","=""0141611""","Male","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Female",4.0
"Branford School District","Mary R. Tisko School","=""0141511""","Male",4.4
"Branford School District","Mary T. Murphy School","=""0141411""","Female",4.9
"Branford School District","Mary T. Murphy School","=""0141411""","Male",5.5
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Female","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Male","*"
"Bridgeport School District","Barnum School","=""0150111""","Female",20.8
"Bridgeport School District","Barnum School","=""0150111""","Male",24.1
"Bridgeport School District","Bassick High School","=""0156111""","Female",41.8
"Bridgeport School District","Bassick High School","=""0156111""","Male",36.3
"Bridgeport School District","Beardsley School","=""0150211""","Female",16.8
"Bridgeport School District","Beardsley School","=""0150211""","Male",20.4
"Bridgeport School District","Black Rock School","=""0150311""","Female",15.4
"Bridgeport School District","Black Rock School","=""0150311""","Male",11.0
"Bridgeport School District","Blackham School","=""0154011""","Female",12.3
"Bridgeport School District","Blackham School","=""0154011""","Male",14.9
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Female","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Male","*"
"Bridgeport School District","Bryant School","=""0150411""","Female",19.1
"Bridgeport School District","Bryant School","=""0150411""","Male",14.5
"Bridgeport School District","Central High School","=""0156211""","Female",22.6
"Bridgeport School District","Central High School","=""0156211""","Male",22.1
"Bridgeport School District","Cesar Batalla School","=""0151411""","Female",14.1
"Bridgeport School District","Cesar Batalla School","=""0151411""","Male",16.9
"Bridgeport School District","Classical Studies Academy","=""0152111""","Female",7.1
"Bridgeport School District","Classical Studies Academy","=""0152111""","Male",5.0
"Bridgeport School District","Columbus School","=""0150511""","Female",19.7
"Bridgeport School District","Columbus School","=""0150511""","Male",23.4
"Bridgeport School District","Cross School","=""0153911""","Female",28.4
"Bridgeport School District","Cross School","=""0153911""","Male",26.1
"Bridgeport School District","Curiale School","=""0154211""","Female",20.9
"Bridgeport School District","Curiale School","=""0154211""","Male",24.3
"Bridgeport School District","Dunbar School","=""0154111""","Female",25.6
"Bridgeport School District","Dunbar School","=""0154111""","Male",29.7
"Bridgeport School District","Edison School","=""0150711""","Female",10.8
"Bridgeport School District","Edison School","=""0150711""","Male",11.4
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Female",8.1
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Male",8.9
"Bridgeport School District","Hall School","=""0151111""","Female",15.0
"Bridgeport School District","Hall School","=""0151111""","Male",10.6
"Bridgeport School District","Hallen School","=""0151211""","Female",14.5
"Bridgeport School District","Hallen School","=""0151211""","Male",16.1
"Bridgeport School District","Harding High School","=""0156311""","Female",41.1
"Bridgeport School District","Harding High School","=""0156311""","Male",48.9
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Female","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Male","*"
"Bridgeport School District","Hooker School","=""0151311""","Female",4.7
"Bridgeport School District","Hooker School","=""0151311""","Male",8.9
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Female","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Male","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Female",23.7
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Male",23.9
"Bridgeport School District","Longfellow School","=""0151911""","Female",23.5
"Bridgeport School District","Longfellow School","=""0151911""","Male",30.6
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Female",25.5
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Male",26.5
"Bridgeport School District","Madison School","=""0152011""","Female",9.0
"Bridgeport School District","Madison School","=""0152011""","Male",12.5
"Bridgeport School District","Make The Grade","=""0159511""","Female","*"
"Bridgeport School District","Make The Grade","=""0159511""","Male","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Female","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Male","*"
"Bridgeport School District","Park City Academy","=""0159211""","Female","*"
"Bridgeport School District","Park City Academy","=""0159211""","Male","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Female",2.7
"Bridgeport School District","Park City Magnet School","=""0151711""","Male",4.0
"Bridgeport School District","Read School","=""0152511""","Female",12.8
"Bridgeport School District","Read School","=""0152511""","Male",17.0
"Bridgeport School District","Roosevelt School","=""0152611""","Female",25.0
"Bridgeport School District","Roosevelt School","=""0152611""","Male",33.7
"Bridgeport School District","Skane Center","=""0154411""","Female","*"
"Bridgeport School District","Skane Center","=""0154411""","Male","*"
"Bridgeport School District","Waltersville School","=""0153011""","Female",21.9
"Bridgeport School District","Waltersville School","=""0153011""","Male",14.5
"Bridgeport School District","Winthrop School","=""0153611""","Female",7.4
"Bridgeport School District","Winthrop School","=""0153611""","Male",11.2
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Female","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Male","*"
"Bristol School District","Bristol Central High School","=""0176111""","Female",14.9
"Bristol School District","Bristol Central High School","=""0176111""","Male",17.9
"Bristol School District","Bristol Eastern High School","=""0176211""","Female",13.5
"Bristol School District","Bristol Eastern High School","=""0176211""","Male",20.4
"Bristol School District","Chippens Hill Middle School","=""0175111""","Female",11.3
"Bristol School District","Chippens Hill Middle School","=""0175111""","Male",10.0
"Bristol School District","Clara T. O'Connell School","=""0170711""","Female",15.1
"Bristol School District","Clara T. O'Connell School","=""0170711""","Male",19.2
"Bristol School District","Community/Vocational Program","=""0179211""","Female","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Male","*"
"Bristol School District","Edgewood School","=""0170311""","Female",11.5
"Bristol School District","Edgewood School","=""0170311""","Male",7.8
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Female",7.3
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Male",9.1
"Bristol School District","Greene-Hills School","=""0170511""","Female",4.9
"Bristol School District","Greene-Hills School","=""0170511""","Male",5.8
"Bristol School District","Ivy Drive School","=""0171911""","Female",3.7
"Bristol School District","Ivy Drive School","=""0171911""","Male",9.1
"Bristol School District","John J. Jennings School","=""0170611""","Female",6.6
"Bristol School District","John J. Jennings School","=""0170611""","Male",5.0
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Female",6.9
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Male",7.6
"Bristol School District","Mountain View School","=""0171711""","Female",7.0
"Bristol School District","Mountain View School","=""0171711""","Male",5.6
"Bristol School District","Northeast Middle School","=""0175211""","Female",4.2
"Bristol School District","Northeast Middle School","=""0175211""","Male",8.8
"Bristol School District","South Side School","=""0171111""","Female",8.2
"Bristol School District","South Side School","=""0171111""","Male",9.1
"Bristol School District","Stafford School","=""0171211""","Female",12.9
"Bristol School District","Stafford School","=""0171211""","Male",15.3
"Brookfield School District","Brookfield High School","=""0186111""","Female",7.3
"Brookfield School District","Brookfield High School","=""0186111""","Male",6.2
"Brookfield School District","Center Elementary School","=""0180311""","Female",3.7
"Brookfield School District","Center Elementary School","=""0180311""","Male",5.8
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Female",2.2
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Male",3.8
"Brookfield School District","Whisconier Middle School","=""0185311""","Female",3.6
"Brookfield School District","Whisconier Middle School","=""0185311""","Male",4.2
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Female",3.2
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Male",6.4
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Female",8.2
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Male",9.9
"Canaan School District","Lee H. Kellogg School","=""0210111""","Female","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Male","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Female","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Male","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Female","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Male","*"
"Canton School District","Canton High School","=""0236111""","Female",5.6
"Canton School District","Canton High School","=""0236111""","Male",3.8
"Canton School District","Canton Intermediate School","=""0230311""","Female",5.4
"Canton School District","Canton Intermediate School","=""0230311""","Male",4.3
"Canton School District","Canton Middle School","=""0235111""","Female","*"
"Canton School District","Canton Middle School","=""0235111""","Male","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Female",4.4
"Canton School District","Cherry Brook Primary School","=""0230211""","Male",5.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Female",23.7
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Male",14.1
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Female","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Male","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Female","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Male","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Female",8.5
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Male",5.7
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""","Female",14.1
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""","Male",15.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",55.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",51.7
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Female","*"
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Male","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Female",8.9
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Male",9.5
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Female","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Male","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Female","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Male","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","Female","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","Male","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",7.3
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",7.9
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Female","*"
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Male","*"
"Capitol Region Education Council","Museum Academy","=""2410514""","Female",7.3
"Capitol Region Education Council","Museum Academy","=""2410514""","Male",10.0
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Female",30.4
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Male",20.1
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Female",9.0
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Male",19.2
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","Female","*"
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","Male","*"
"Capitol Region Education Council","River Street School","=""2419314""","Female","*"
"Capitol Region Education Council","River Street School","=""2419314""","Male","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","Female","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","Male","*"
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Female",5.4
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Male",4.2
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Female",0.0
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Male","*"
"Chaplin School District","Chaplin Elementary School","=""0240211""","Female",8.9
"Chaplin School District","Chaplin Elementary School","=""0240211""","Male",10.3
"Cheshire School District","Chapman School","=""0250111""","Female","*"
"Cheshire School District","Chapman School","=""0250111""","Male","*"
"Cheshire School District","Cheshire High School","=""0256111""","Female",8.7
"Cheshire School District","Cheshire High School","=""0256111""","Male",7.1
"Cheshire School District","Darcey School","=""0250211""","Female",8.5
"Cheshire School District","Darcey School","=""0250211""","Male",10.0
"Cheshire School District","Dodd Middle School","=""0255111""","Female",5.0
"Cheshire School District","Dodd Middle School","=""0255111""","Male",6.1
"Cheshire School District","Doolittle School","=""0250611""","Female",2.6
"Cheshire School District","Doolittle School","=""0250611""","Male",4.2
"Cheshire School District","Highland School","=""0250411""","Female",2.1
"Cheshire School District","Highland School","=""0250411""","Male",3.4
"Cheshire School District","Humiston School","=""0259011""","Female","*"
"Cheshire School District","Humiston School","=""0259011""","Male","*"
"Cheshire School District","Norton School","=""0250511""","Female","*"
"Cheshire School District","Norton School","=""0250511""","Male","*"
"Chester School District","Chester Elementary School","=""0260111""","Female","*"
"Chester School District","Chester Elementary School","=""0260111""","Male","*"
"Clinton School District","Abraham Pierson School","=""0270111""","Female","*"
"Clinton School District","Abraham Pierson School","=""0270111""","Male","*"
"Clinton School District","Jared Eliot School","=""0275111""","Female",8.3
"Clinton School District","Jared Eliot School","=""0275111""","Male",7.6
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Female",4.8
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Male",7.8
"Clinton School District","The Morgan School","=""0276111""","Female",22.6
"Clinton School District","The Morgan School","=""0276111""","Male",20.4
"Colchester School District","Bacon Academy","=""0286111""","Female","*"
"Colchester School District","Bacon Academy","=""0286111""","Male","*"
"Colchester School District","Colchester Elementary School","=""0280411""","Female",2.8
"Colchester School District","Colchester Elementary School","=""0280411""","Male",1.9
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Female","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Male","*"
"Colchester School District","William J. Johnston Middle School","=""0285111""","Female",5.6
"Colchester School District","William J. Johnston Middle School","=""0285111""","Male",5.0
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Female",0.0
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Male","*"
"Columbia School District","Horace W. Porter School","=""0300111""","Female",7.3
"Columbia School District","Horace W. Porter School","=""0300111""","Male",6.5
"Common Ground High School District","Common Ground High School","=""2686113""","Female",13.6
"Common Ground High School District","Common Ground High School","=""2686113""","Male",12.2
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Female",22.4
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Male",12.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Female",14.1
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Male",14.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Female",11.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Male",7.3
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Female",22.5
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Male",15.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",10.3
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",8.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Female",25.7
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Male",14.2
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Female",8.7
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Male",5.4
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Female",18.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Male",8.6
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Female",3.7
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Male",1.7
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Female",18.5
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Male",9.3
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","Female",7.1
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","Male",4.6
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""","Female",14.9
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""","Male",11.8
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","Female",11.7
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","Male",5.4
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""","Female",13.5
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""","Male",10.9
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","Female",6.6
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","Male",3.1
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","Female",8.0
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","Male",4.9
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""","Female","*"
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""","Male","*"
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""","Female","*"
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""","Male","*"
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","Female","*"
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","Male","*"
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""","Female",9.3
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""","Male",9.1
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""","Female",63.3
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""","Male",34.6
"Cornwall School District","Cornwall Consolidated School","=""0310111""","Female",12.0
"Cornwall School District","Cornwall Consolidated School","=""0310111""","Male",0.0
"Coventry School District","Capt. Nathan Hale School","=""0325111""","Female",5.7
"Coventry School District","Capt. Nathan Hale School","=""0325111""","Male",3.9
"Coventry School District","Coventry Grammar School","=""0320211""","Female",5.8
"Coventry School District","Coventry Grammar School","=""0320211""","Male",5.1
"Coventry School District","Coventry High School","=""0326111""","Female",11.9
"Coventry School District","Coventry High School","=""0326111""","Male",8.6
"Coventry School District","George Hersey Robertson School","=""0320411""","Female",2.9
"Coventry School District","George Hersey Robertson School","=""0320411""","Male",3.2
"Cromwell School District","Cromwell High School","=""0336111""","Female",10.0
"Cromwell School District","Cromwell High School","=""0336111""","Male",5.6
"Cromwell School District","Cromwell Middle School","=""0335111""","Female",4.2
"Cromwell School District","Cromwell Middle School","=""0335111""","Male",7.9
"Cromwell School District","Edna C. Stevens School","=""0330211""","Female",5.0
"Cromwell School District","Edna C. Stevens School","=""0330211""","Male",5.7
"Cromwell School District","Woodside Intermediate School","=""0330311""","Female",4.3
"Cromwell School District","Woodside Intermediate School","=""0330311""","Male",5.6
"Danbury School District","Alternative Center For Excellence","=""0346211""","Female",67.6
"Danbury School District","Alternative Center For Excellence","=""0346211""","Male",65.1
"Danbury School District","Broadview Middle School","=""0345111""","Female",9.6
"Danbury School District","Broadview Middle School","=""0345111""","Male",11.0
"Danbury School District","Danbury High School","=""0346111""","Female",22.9
"Danbury School District","Danbury High School","=""0346111""","Male",27.5
"Danbury School District","Ellsworth Avenue School","=""0341411""","Female","*"
"Danbury School District","Ellsworth Avenue School","=""0341411""","Male","*"
"Danbury School District","Great Plain School","=""0341111""","Female","*"
"Danbury School District","Great Plain School","=""0341111""","Male","*"
"Danbury School District","Hayestown Avenue School","=""0340211""","Female",8.0
"Danbury School District","Hayestown Avenue School","=""0340211""","Male",7.8
"Danbury School District","King Street Intermediate School","=""0341711""","Female",3.2
"Danbury School District","King Street Intermediate School","=""0341711""","Male",3.2
"Danbury School District","King Street Primary School","=""0341311""","Female",5.8
"Danbury School District","King Street Primary School","=""0341311""","Male",4.0
"Danbury School District","Mill Ridge Primary School","=""0340511""","Female",5.7
"Danbury School District","Mill Ridge Primary School","=""0340511""","Male",8.3
"Danbury School District","Morris Street School","=""0340611""","Female",4.4
"Danbury School District","Morris Street School","=""0340611""","Male",4.5
"Danbury School District","Park Avenue School","=""0340811""","Female",7.2
"Danbury School District","Park Avenue School","=""0340811""","Male",8.5
"Danbury School District","Pembroke School","=""0341511""","Female",4.3
"Danbury School District","Pembroke School","=""0341511""","Male",8.8
"Danbury School District","Rogers Park Middle School","=""0345211""","Female",10.2
"Danbury School District","Rogers Park Middle School","=""0345211""","Male",11.8
"Danbury School District","Shelter Rock School","=""0341211""","Female",8.3
"Danbury School District","Shelter Rock School","=""0341211""","Male",6.5
"Danbury School District","South Street School","=""0341011""","Female",3.6
"Danbury School District","South Street School","=""0341011""","Male",6.4
"Danbury School District","Stadley Rough School","=""0341611""","Female",6.9
"Danbury School District","Stadley Rough School","=""0341611""","Male",5.7
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Female",4.3
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Male",3.0
"Darien School District","Darien High School","=""0356111""","Female",7.5
"Darien School District","Darien High School","=""0356111""","Male",5.0
"Darien School District","Hindley Elementary School","=""0350211""","Female","*"
"Darien School District","Hindley Elementary School","=""0350211""","Male","*"
"Darien School District","Holmes Elementary School","=""0350711""","Female",0.0
"Darien School District","Holmes Elementary School","=""0350711""","Male","*"
"Darien School District","Middlesex Middle School","=""0355111""","Female",4.5
