"Chronic Absenteeism, Trend"
", All Schools, English Learner Status"

"",,,,,"% Chronically Absent",,,,
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","White","N/A","N/A","N/A","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 12","N/A","N/A","N/A","N/A","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Kindergarten",0.0,"*","*",7.6,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","American Indian or Alaska Native","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black or African American",2.9,1.8,2.8,4.0,4.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELL","*","*","*",10.3,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",3.0,3.7,4.8,6.7,7.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",1.9,1.8,2.9,6.4,5.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   1","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   2","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   3",0.0,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   4","*",0.0,"*",0.0,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   5","*","*","*",10.0,7.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   6","*","*","*",6.9,8.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   7","*","*",0.0,"*",8.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   8","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic/Latino of any race",2.4,3.5,4.5,7.2,5.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",3.3,3.3,4.2,4.3,5.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",2.9,2.6,3.7,4.7,5.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education",2.4,2.4,3.1,4.1,4.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","School",2.6,2.6,3.5,5.3,5.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*",10.9,23.3,25.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Two or More Races","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   9","*","*","*","*",9.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","*","*","*",13.2,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 11",0.0,"*","*",0.0,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*","*",0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","White","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 12","*",0.0,"*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*",0.0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Kindergarten",0.0,"*","*",0.0,0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Asian","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Black or African American","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELL","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Free Lunch","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Female","*","*",0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   1",0.0,"*","*",0.0,0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   2",0.0,"*",0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   3","*","*",0.0,0.0,"*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   4",0.0,"*","*","*",0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   5","*","*",0.0,0.0,"*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   6",0.0,"*",0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Male",0.0,3.9,"*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-ELL","*",3.9,"*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-Special Education","*",4.1,"*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","School","*",3.8,"*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Special Education","*","*",0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Two or More Races","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Not Eligible For Lunch",0.0,3.3,"*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","White","*",3.4,"*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","American Indian or Alaska Native","N/A","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black or African American",18.4,23.6,22.5,26.7,18.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",17.8,22.1,23.6,27.7,22.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",11.8,17.4,14.1,19.2,16.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic/Latino of any race",13.3,17.2,18.2,23.8,20.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",11.7,20.9,16.3,23.7,14.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL",11.8,19.3,15.3,21.6,15.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",10.6,18.3,13.2,20.4,15.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","School",11.8,19.2,15.3,21.6,15.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",20.5,27.9,31.3,28.9,14.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Two or More Races","N/A","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade   9",16.6,15.5,22.8,24.4,13.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10",13.1,18.6,16.0,16.1,14.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 11",8.6,28.6,11.5,16.7,14.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",5.8,18.6,8.8,16.0,9.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",8.5,18.8,10.8,19.3,12.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 12",8.5,16.7,7.3,28.4,22.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",7.5,11.3,"*",14.3,"*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","American Indian or Alaska Native","*","N/A","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Black or African American",19.0,18.6,14.3,21.2,18.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Free Lunch",21.7,20.2,16.6,21.1,17.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Female",13.5,17.3,12.8,12.3,13.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade   7",17.3,12.8,11.2,13.1,16.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade   8",14.8,17.1,16.6,20.5,12.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Hispanic/Latino of any race",16.1,"*",16.8,18.0,12.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Male",18.2,12.8,14.6,21.3,15.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Non-ELL",16.0,15.2,14.2,17.2,14.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Non-Special Education",15.7,13.4,12.5,15.1,14.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","School",16.1,14.9,13.8,17.0,14.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Special Education",20.0,26.1,21.3,26.1,15.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Two or More Races","N/A","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Not Eligible For Lunch",8.8,9.9,8.8,12.0,6.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","White",15.3,16.3,12.4,15.7,14.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Kindergarten",23.5,17.1,19.7,21.2,18.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","American Indian or Alaska Native","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Black or African American",13.2,7.5,8.3,19.2,15.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELL",25.9,"*","*",30.8,"*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Free Lunch",15.9,16.1,12.9,20.2,19.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Female",12.4,10.4,8.2,11.9,12.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   1",17.4,12.6,13.0,15.4,21.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   2",9.2,14.8,8.0,13.0,14.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   3",13.8,"*","*",10.1,16.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   4",14.1,12.1,"*",16.8,9.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   5",6.4,10.3,9.0,6.7,17.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   6",7.0,15.8,"*",18.7,11.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Hispanic/Latino of any race",17.8,19.1,12.5,16.4,16.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Male",13.4,14.3,9.6,17.1,18.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Non-ELL",12.3,11.9,8.2,13.8,15.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Non-Special Education",11.3,11.5,8.4,13.9,14.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","School",12.9,12.4,8.9,14.5,15.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Special Education",24.7,18.1,11.2,17.6,19.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Two or More Races","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Not Eligible For Lunch",9.1,7.9,"*",3.4,8.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","White",9.5,10.0,7.1,11.5,15.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Reduced Lunch","*","*",0.0,"*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Black or African American","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELL","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Free Lunch","N/A","N/A","N/A",80.0,76.0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","N/A","N/A","N/A",75.0,78.3
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Non-ELL","N/A","N/A","N/A",80.0,75.0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Non-Special Education","N/A","N/A","N/A",83.3,75.9
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","School","N/A","N/A","N/A",80.6,75.8
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Special Education","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade   9","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 10","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 11","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","White","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 12","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Kindergarten",23.2,19.8,10.0,16.8,15.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","American Indian or Alaska Native","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Black or African American",16.3,20.0,7.0,9.8,15.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Free Lunch",12.7,14.4,11.2,14.3,12.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Female",10.0,9.5,6.6,8.6,9.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   1",8.8,14.2,13.0,7.6,7.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   2",6.6,"*","*",7.2,12.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   3",7.6,7.6,6.4,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   4",10.4,12.0,"*",8.7,8.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   5",7.7,"*",9.0,9.3,"*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   6",9.2,10.5,9.0,9.1,9.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Hispanic/Latino of any race",10.9,10.6,11.1,9.6,7.9
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Male",10.6,12.3,9.6,10.0,8.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Non-ELL",10.4,10.9,8.2,9.6,8.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Non-Special Education",9.7,10.2,8.4,9.2,8.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","School",10.3,11.0,8.2,9.4,9.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Special Education",14.6,16.3,6.9,10.0,11.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Two or More Races","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Not Eligible For Lunch",6.2,9.5,3.7,"*",4.1
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","White",8.0,7.6,6.8,8.8,7.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Reduced Lunch",10.2,"*","*","*",7.6
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Asian","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Black or African American","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Free Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   5","*","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   6","*","*","*","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   7","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   8","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Hispanic/Latino of any race","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Male",23.1,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Non-ELL",17.6,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","School",17.6,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Special Education",17.6,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   9","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 10","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 11","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","White","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 12","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Reduced Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Kindergarten","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Asian","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Black or African American",39.4,39.7,37.8,37.9,34.8
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELL","N/A","N/A","*","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Free Lunch",41.5,45.1,47.1,44.3,33.5
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Female",30.4,47.8,46.2,46.2,40.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   1","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   2","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   3",27.3,"*",35.0,29.6,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   4",36.0,40.7,37.5,42.3,27.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   5",46.2,39.3,39.3,33.3,48.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   6","*","*",59.3,37.0,39.1
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   7",48.1,40.0,52.4,42.9,55.2
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   8","*",52.0,50.0,66.7,44.4
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Hispanic/Latino of any race",45.3,42.6,46.8,42.9,35.7
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Male",40.3,38.7,40.4,37.1,33.1
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Non-ELL",39.0,39.9,40.9,38.3,34.2
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Non-Special Education","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","School",39.0,39.9,41.2,38.3,34.2
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Special Education",38.7,40.6,40.4,38.0,33.9
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Not Eligible For Lunch",33.3,19.4,18.8,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","White",31.4,37.8,36.1,24.2,26.5
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","American Indian or Alaska Native","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Asian","*",0.0,"*","*","*"
