"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, Special Education Status"

"Organization","School","School Code","Special Education Status","% Chronically Absent"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Special Education",10.5
"Bloomfield School District","Bloomfield High School","=""0116111""","Non-Special Education",7.2
"Bloomfield School District","Bloomfield High School","=""0116111""","Special Education",16.2
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Non-Special Education","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Special Education","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Non-Special Education","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Special Education","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Non-Special Education","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Special Education","*"
"Bloomfield School District","Laurel School","=""0110611""","Non-Special Education","*"
"Bloomfield School District","Laurel School","=""0110611""","Special Education","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Special Education","*"
"Bloomfield School District","Metacomet School","=""0110511""","Non-Special Education",3.3
"Bloomfield School District","Metacomet School","=""0110511""","Special Education",0.0
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Non-Special Education","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Special Education","*"
"Bolton School District","Bolton Center School","=""0120111""","Non-Special Education","*"
"Bolton School District","Bolton Center School","=""0120111""","Special Education","*"
"Bolton School District","Bolton High School","=""0126111""","Non-Special Education","*"
"Bolton School District","Bolton High School","=""0126111""","Special Education","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Non-Special Education","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Special Education","*"
"Branford School District","Branford High School","=""0146111""","Non-Special Education",9.5
"Branford School District","Branford High School","=""0146111""","Special Education",21.6
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Non-Special Education",5.9
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Special Education",12.7
"Branford School District","John B. Sliney School","=""0141611""","Non-Special Education","*"
"Branford School District","John B. Sliney School","=""0141611""","Special Education","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Non-Special Education","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Special Education","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Non-Special Education","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Special Education","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Non-Special Education",1.8
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Special Education",10.5
"Bridgeport School District","Barnum School","=""0150111""","Non-Special Education",23.7
"Bridgeport School District","Barnum School","=""0150111""","Special Education",25.3
"Bridgeport School District","Bassick High School","=""0156111""","Non-Special Education",40.9
"Bridgeport School District","Bassick High School","=""0156111""","Special Education",30.7
"Bridgeport School District","Beardsley School","=""0150211""","Non-Special Education",16.2
"Bridgeport School District","Beardsley School","=""0150211""","Special Education",15.4
"Bridgeport School District","Black Rock School","=""0150311""","Non-Special Education",17.1
"Bridgeport School District","Black Rock School","=""0150311""","Special Education","*"
"Bridgeport School District","Blackham School","=""0154011""","Non-Special Education",14.9
"Bridgeport School District","Blackham School","=""0154011""","Special Education",22.2
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Non-Special Education","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Special Education","*"
"Bridgeport School District","Bryant School","=""0150411""","Non-Special Education","*"
"Bridgeport School District","Bryant School","=""0150411""","Special Education","*"
"Bridgeport School District","Central High School","=""0156211""","Non-Special Education",54.6
"Bridgeport School District","Central High School","=""0156211""","Special Education",60.4
"Bridgeport School District","Cesar Batalla School","=""0151411""","Non-Special Education",17.0
"Bridgeport School District","Cesar Batalla School","=""0151411""","Special Education",22.0
"Bridgeport School District","Classical Studies Academy","=""0152111""","Non-Special Education","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Special Education","*"
"Bridgeport School District","Columbus School","=""0150511""","Non-Special Education",32.6
"Bridgeport School District","Columbus School","=""0150511""","Special Education",37.8
"Bridgeport School District","Cross School","=""0153911""","Non-Special Education",25.2
"Bridgeport School District","Cross School","=""0153911""","Special Education",39.7
"Bridgeport School District","Curiale School","=""0154211""","Non-Special Education",27.8
"Bridgeport School District","Curiale School","=""0154211""","Special Education",33.3
"Bridgeport School District","Dunbar School","=""0154111""","Non-Special Education",25.1
"Bridgeport School District","Dunbar School","=""0154111""","Special Education",27.8
"Bridgeport School District","Edison School","=""0150711""","Non-Special Education",15.2
"Bridgeport School District","Edison School","=""0150711""","Special Education",26.3
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Non-Special Education",9.4
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Special Education",13.9
"Bridgeport School District","Hall School","=""0151111""","Non-Special Education",17.7
"Bridgeport School District","Hall School","=""0151111""","Special Education",24.1
"Bridgeport School District","Hallen School","=""0151211""","Non-Special Education",9.9
"Bridgeport School District","Hallen School","=""0151211""","Special Education",23.3
"Bridgeport School District","Harding High School","=""0156311""","Non-Special Education",48.8
"Bridgeport School District","Harding High School","=""0156311""","Special Education",52.8
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Non-Special Education",5.2
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Special Education",0.0
"Bridgeport School District","Hooker School","=""0151311""","Non-Special Education",12.6
"Bridgeport School District","Hooker School","=""0151311""","Special Education",26.1
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Non-Special Education","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Special Education","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Non-Special Education",23.1
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Special Education",45.0
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Non-Special Education",27.7
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Special Education",38.8
"Bridgeport School District","Madison School","=""0152011""","Non-Special Education",14.0
"Bridgeport School District","Madison School","=""0152011""","Special Education",18.8
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Non-Special Education","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Special Education","*"
"Bridgeport School District","Park City Academy","=""0159211""","Non-Special Education","*"
"Bridgeport School District","Park City Academy","=""0159211""","Special Education","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Non-Special Education",3.0
"Bridgeport School District","Park City Magnet School","=""0151711""","Special Education",18.9
"Bridgeport School District","Read School","=""0152511""","Non-Special Education",12.4
"Bridgeport School District","Read School","=""0152511""","Special Education",19.0
"Bridgeport School District","Roosevelt School","=""0152611""","Non-Special Education",27.5
"Bridgeport School District","Roosevelt School","=""0152611""","Special Education",21.0
"Bridgeport School District","Waltersville School","=""0153011""","Non-Special Education",25.4
"Bridgeport School District","Waltersville School","=""0153011""","Special Education",25.0
"Bridgeport School District","Winthrop School","=""0153611""","Non-Special Education",8.5
"Bridgeport School District","Winthrop School","=""0153611""","Special Education",18.2
"Bristol School District","Bristol Central High School","=""0176111""","Non-Special Education",11.9
"Bristol School District","Bristol Central High School","=""0176111""","Special Education",26.2
"Bristol School District","Bristol Eastern High School","=""0176211""","Non-Special Education",13.1
"Bristol School District","Bristol Eastern High School","=""0176211""","Special Education",26.5
"Bristol School District","Chippens Hill Middle School","=""0175111""","Non-Special Education",5.7
"Bristol School District","Chippens Hill Middle School","=""0175111""","Special Education",13.8
"Bristol School District","Edgewood School","=""0170311""","Non-Special Education",9.3
"Bristol School District","Edgewood School","=""0170311""","Special Education","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Non-Special Education","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Special Education","*"
"Bristol School District","Greene-Hills School","=""0170511""","Non-Special Education",6.6
"Bristol School District","Greene-Hills School","=""0170511""","Special Education",21.7
"Bristol School District","Ivy Drive School","=""0171911""","Non-Special Education",3.8
"Bristol School District","Ivy Drive School","=""0171911""","Special Education",21.4
"Bristol School District","Mountain View School","=""0171711""","Non-Special Education",4.2
"Bristol School District","Mountain View School","=""0171711""","Special Education",16.1
"Bristol School District","Northeast Middle School","=""0175211""","Non-Special Education","*"
"Bristol School District","Northeast Middle School","=""0175211""","Special Education","*"
"Bristol School District","South Side School","=""0171111""","Non-Special Education",4.4
"Bristol School District","South Side School","=""0171111""","Special Education",9.9
"Bristol School District","Stafford School","=""0171211""","Non-Special Education",8.7
"Bristol School District","Stafford School","=""0171211""","Special Education",18.4
"Bristol School District","West Bristol School","=""0172011""","Non-Special Education",10.2
"Bristol School District","West Bristol School","=""0172011""","Special Education",10.0
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Special Education",47.6
"Bristol School District","Community/Vocational Program","=""0179211""","Special Education","*"
"Brookfield School District","Brookfield High School","=""0186111""","Non-Special Education","*"
"Brookfield School District","Brookfield High School","=""0186111""","Special Education","*"
"Brookfield School District","Center Elementary School","=""0180311""","Non-Special Education",2.9
"Brookfield School District","Center Elementary School","=""0180311""","Special Education",0.0
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Non-Special Education","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Special Education","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Non-Special Education",2.6
"Brookfield School District","Whisconier Middle School","=""0185311""","Special Education",6.3
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Non-Special Education","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Special Education","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Non-Special Education",4.7
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Special Education",14.5
"Canaan School District","Lee H. Kellogg School","=""0210111""","Non-Special Education","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Special Education","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Non-Special Education","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Special Education","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Non-Special Education","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Special Education","*"
"Canton School District","Canton High School","=""0236111""","Non-Special Education",2.4
"Canton School District","Canton High School","=""0236111""","Special Education",18.4
"Canton School District","Canton Intermediate School","=""0230311""","Non-Special Education",3.1
"Canton School District","Canton Intermediate School","=""0230311""","Special Education",13.3
"Canton School District","Canton Middle School","=""0235111""","Non-Special Education","*"
"Canton School District","Canton Middle School","=""0235111""","Special Education","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Non-Special Education","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Special Education","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education",10.1
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Special Education",20.4
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Non-Special Education","*"
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Special Education","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Non-Special Education","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Special Education","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Non-Special Education","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Special Education","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Non-Special Education","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Special Education","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",51.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",58.6
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Non-Special Education","*"
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Special Education","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Non-Special Education","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Special Education","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Non-Special Education","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Special Education","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","Non-Special Education","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","Special Education","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education","*"
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Non-Special Education",9.3
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Special Education",11.8
"Capitol Region Education Council","Museum Academy","=""2410514""","Non-Special Education",9.7
"Capitol Region Education Council","Museum Academy","=""2410514""","Special Education",28.6
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Non-Special Education",21.0
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Special Education",24.6
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Non-Special Education",12.3
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Special Education",15.0
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""","Non-Special Education","*"
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""","Special Education","*"
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Non-Special Education",5.4
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Special Education",14.9
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Non-Special Education","*"
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Special Education","*"
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Special Education","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Special Education","*"
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","Special Education","*"
"Capitol Region Education Council","River Street School","=""2419314""","Special Education",17.6
"Capitol Region Education Council","Soundbridge","=""2419114""","Special Education",25.0
"Chaplin School District","Chaplin Elementary School","=""0240211""","Non-Special Education","*"
"Chaplin School District","Chaplin Elementary School","=""0240211""","Special Education","*"
"Cheshire School District","Chapman School","=""0250111""","Non-Special Education","*"
"Cheshire School District","Chapman School","=""0250111""","Special Education","*"
"Cheshire School District","Cheshire High School","=""0256111""","Non-Special Education",7.8
"Cheshire School District","Cheshire High School","=""0256111""","Special Education",20.1
"Cheshire School District","Darcey School","=""0250211""","Non-Special Education",0.0
"Cheshire School District","Darcey School","=""0250211""","Special Education",0.0
"Cheshire School District","Dodd Middle School","=""0255111""","Non-Special Education",5.5
"Cheshire School District","Dodd Middle School","=""0255111""","Special Education",10.0
"Cheshire School District","Doolittle School","=""0250611""","Non-Special Education",0.0
"Cheshire School District","Doolittle School","=""0250611""","Special Education",0.0
"Cheshire School District","Highland School","=""0250411""","Non-Special Education",0.0
"Cheshire School District","Highland School","=""0250411""","Special Education",0.0
"Cheshire School District","Humiston School","=""0259011""","Non-Special Education","*"
"Cheshire School District","Humiston School","=""0259011""","Special Education","*"
"Cheshire School District","Norton School","=""0250511""","Non-Special Education",0.0
"Cheshire School District","Norton School","=""0250511""","Special Education",0.0
"Chester School District","Chester Elementary School","=""0260111""","Non-Special Education","*"
"Chester School District","Chester Elementary School","=""0260111""","Special Education","*"
"Clinton School District","Abraham Pierson School","=""0270111""","Non-Special Education",4.0
"Clinton School District","Abraham Pierson School","=""0270111""","Special Education",0.0
"Clinton School District","Jared Eliot School","=""0275111""","Non-Special Education",4.5
"Clinton School District","Jared Eliot School","=""0275111""","Special Education",13.0
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Non-Special Education","*"
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Special Education","*"
"Clinton School District","The Morgan School","=""0276111""","Non-Special Education",13.3
"Clinton School District","The Morgan School","=""0276111""","Special Education",28.6
"Colchester School District","Bacon Academy","=""0286111""","Non-Special Education",8.0
"Colchester School District","Bacon Academy","=""0286111""","Special Education",27.1
"Colchester School District","Colchester Elementary School","=""0280411""","Non-Special Education","*"
"Colchester School District","Colchester Elementary School","=""0280411""","Special Education","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Non-Special Education","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Special Education","*"
"Colchester School District","William J. Johnston Middle School","=""0285111""","Non-Special Education",5.2
"Colchester School District","William J. Johnston Middle School","=""0285111""","Special Education",12.8
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Non-Special Education","*"
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Special Education","*"
"Columbia School District","Horace W. Porter School","=""0300111""","Non-Special Education","*"
"Columbia School District","Horace W. Porter School","=""0300111""","Special Education","*"
"Common Ground High School District","Common Ground High School","=""2686113""","Non-Special Education","*"
"Common Ground High School District","Common Ground High School","=""2686113""","Special Education","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Non-Special Education",11.7
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Special Education",10.0
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Non-Special Education","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Special Education","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Non-Special Education","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Special Education","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Non-Special Education","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Special Education","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-Special Education","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Special Education","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Non-Special Education","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Special Education","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Non-Special Education","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Special Education","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Non-Special Education","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Special Education","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Non-Special Education","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Special Education","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Non-Special Education",12.2
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Special Education",12.2
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","Non-Special Education","*"
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","Special Education","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""","Non-Special Education","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""","Special Education","*"
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","Non-Special Education","*"
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","Special Education","*"
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""","Non-Special Education",12.3
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""","Special Education",21.6
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","Non-Special Education","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","Special Education","*"
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","Non-Special Education","*"
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","Special Education","*"
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""","Non-Special Education","*"
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""","Special Education","*"
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""","Special Education",22.8
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""","Special Education",21.8
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","Special Education","*"
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""","Special Education",42.6
"Cornwall School District","Cornwall Consolidated School","=""0310111""","Non-Special Education","*"
"Cornwall School District","Cornwall Consolidated School","=""0310111""","Special Education","*"
"Coventry School District","Capt. Nathan Hale School","=""0325111""","Non-Special Education","*"
"Coventry School District","Capt. Nathan Hale School","=""0325111""","Special Education","*"
"Coventry School District","Coventry Grammar School","=""0320211""","Non-Special Education","*"
"Coventry School District","Coventry Grammar School","=""0320211""","Special Education","*"
"Coventry School District","Coventry High School","=""0326111""","Non-Special Education",11.2
"Coventry School District","Coventry High School","=""0326111""","Special Education",31.6
"Coventry School District","George Hersey Robertson School","=""0320411""","Non-Special Education","*"
"Coventry School District","George Hersey Robertson School","=""0320411""","Special Education","*"
"Cromwell School District","Cromwell High School","=""0336111""","Non-Special Education",9.4
"Cromwell School District","Cromwell High School","=""0336111""","Special Education",19.2
"Cromwell School District","Cromwell Middle School","=""0335111""","Non-Special Education",5.8
"Cromwell School District","Cromwell Middle School","=""0335111""","Special Education",11.9
"Cromwell School District","Edna C. Stevens School","=""0330211""","Non-Special Education",0.0
"Cromwell School District","Edna C. Stevens School","=""0330211""","Special Education",0.0
"Cromwell School District","Woodside Intermediate School","=""0330311""","Non-Special Education",0.0
"Cromwell School District","Woodside Intermediate School","=""0330311""","Special Education",0.0
"Danbury School District","Alternative Center For Excellence","=""0346211""","Non-Special Education",74.2
"Danbury School District","Alternative Center For Excellence","=""0346211""","Special Education",80.0
"Danbury School District","Broadview Middle School","=""0345111""","Non-Special Education",6.6
"Danbury School District","Broadview Middle School","=""0345111""","Special Education",21.3
"Danbury School District","Danbury High School","=""0346111""","Non-Special Education",16.8
"Danbury School District","Danbury High School","=""0346111""","Special Education",32.4
"Danbury School District","Ellsworth Avenue School","=""0341411""","Non-Special Education","*"
"Danbury School District","Ellsworth Avenue School","=""0341411""","Special Education","*"
"Danbury School District","Great Plain School","=""0341111""","Non-Special Education",3.4
"Danbury School District","Great Plain School","=""0341111""","Special Education",15.4
"Danbury School District","Hayestown Avenue School","=""0340211""","Non-Special Education",9.9
"Danbury School District","Hayestown Avenue School","=""0340211""","Special Education",17.2
"Danbury School District","King Street Intermediate School","=""0341711""","Non-Special Education","*"
"Danbury School District","King Street Intermediate School","=""0341711""","Special Education","*"
"Danbury School District","King Street Primary School","=""0341311""","Non-Special Education","*"
"Danbury School District","King Street Primary School","=""0341311""","Special Education","*"
"Danbury School District","Mill Ridge Primary School","=""0340511""","Non-Special Education",6.2
"Danbury School District","Mill Ridge Primary School","=""0340511""","Special Education",15.4
"Danbury School District","Morris Street School","=""0340611""","Non-Special Education","*"
"Danbury School District","Morris Street School","=""0340611""","Special Education","*"
"Danbury School District","Park Avenue School","=""0340811""","Non-Special Education",7.2
"Danbury School District","Park Avenue School","=""0340811""","Special Education",13.6
"Danbury School District","Pembroke School","=""0341511""","Non-Special Education",5.0
