"Chronic Absenteeism, 2014-15"
", All Schools, Gender"

"District","District Code","School","School Code","Gender","% Chronically Absent"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",10.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Female",7.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Male",6.8
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",6.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",2.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Female",0.0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Male","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Female",0.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Male",0.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Female",4.2
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Male",5.0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Female",4.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Male",4.5
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Female","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Male","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",13.5
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",13.1
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Female",2.9
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Male",3.1
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Female","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Male","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Female","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Male","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Female","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Male","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Female",4.4
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Male",5.6
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Female",3.8
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Male",7.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",4.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",3.7
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Female",5.8
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Male",6.7
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Female","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Male","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Female","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Male","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",8.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",11.5
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Female","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Male","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Female",8.8
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Male",5.7
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female",10.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male",11.4
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Female",4.3
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Male",9.9
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Female","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Female","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Male","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Female","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Male","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Female",5.9
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Male",5.9
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",6.4
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",4.3
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Female",38.9
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Male",25.0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Female","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Male","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",13.4
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",14.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Female","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Male","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Female",8.4
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Male",8.1
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Female","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Male","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Female","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Male","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Female",5.1
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Male",6.4
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Female",8.8
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Male",13.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Female",4.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Male",2.3
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Female",19.7
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Male",13.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Female",19.9
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Male",23.1
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",46.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",40.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Female",21.2
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Male",14.5
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Female",3.0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Male",6.6
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Female",7.9
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Male",13.6
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Female",9.8
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Male",17.4
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Female","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Male","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Female",13.8
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Male",22.3
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Female",10.6
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Male",16.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",21.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",16.8
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Female",13.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Male",14.6
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Female","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Male","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Female",23.0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Male",25.6
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Female",28.7
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Male",27.7
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Female",22.8
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Male",30.4
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Female",26.3
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Male",31.0
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Female",13.7
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Male",14.3
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Female",8.2
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Male",9.4
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Female",15.3
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Male",12.2
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Female",11.9
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Male",12.7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",53.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",48.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Female",4.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Male",3.6
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Female",12.6
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Male",13.1
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Female","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Male","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Female",4.0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Male",5.2
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Female",29.5
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Male",30.6
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Female",23.4
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Male",28.1
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Female",9.7
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Male",13.9
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Female","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Male","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Female",3.3
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Male",8.6
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Female",13.0
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Male",16.2
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Female",27.3
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Male",22.7
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Female",23.0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Male",16.3
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Female",4.2
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Male",5.4
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Female","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Male","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",15.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",15.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",13.3
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",12.1
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Female","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Male","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Female","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Male","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Female",9.6
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Male",9.7
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Female","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Male","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Female","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Male","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Female",10.2
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Male",6.0
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Female",4.3
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Male",7.4
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Male","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Female",7.3
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Male",7.6
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Female","*"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Male","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Female","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Male","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Female","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Male","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Female",4.5
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Male",5.3
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Female","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Male","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Female","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Male","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Male","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Female","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Male","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Female",5.6
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Male",6.3
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","Male","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Male","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Female",9.7
"Bristol School District","=""0170011""","South Side School","=""0171111""","Male",7.8
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Female","*"
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Male","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Female",15.9
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Male",21.9
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Female",10.9
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Male",10.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",6.7
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",5.3
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Female","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Male","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Female","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Male","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Female",2.5
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Male",3.9
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Female",4.1
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Male",5.1
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Female",5.0
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Male",6.3
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Female","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Male","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Female","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Male","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Female","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Male","*"
"Canton School District","=""0230011""","Canton Academy","=""0230411""","Female","*"
"Canton School District","=""0230011""","Canton Academy","=""0230411""","Male","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Female",16.5
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Male",13.0
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Female","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Male","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Female",13.7
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Male",15.1
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Female",16.8
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Male",14.6
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","Female",23.8
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","Male",26.4
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Female",15.9
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Male",11.1
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","Female",13.1
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","Male",15.6
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","Female",8.2
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","Male",9.7
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Female","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Male","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Female",9.5
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Male",5.4
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",47.2
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",37.5
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Female",17.9
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Male",15.9
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","Female","*"
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","Male","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Female",13.5
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Male",11.2
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Female","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Male","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Female","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Male","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",9.4
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",8.2
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","Female",10.9
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","Male",10.2
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","Female",9.0
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","Male",8.5
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Female",29.0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Male",27.5
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","Female",18.8
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","Male",11.6
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","Female","*"
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","Male","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","Female","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","Male","*"
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","Male","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","Female","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","Male","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","Female","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","Male","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","Male","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Female","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Male","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","Female","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","Male","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Female",7.9
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Male",9.2
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","Female",10.8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","Male",7.6
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","Female",10.7
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","Male",8.0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Female","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Male","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Female","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Male","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",8.8
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",7.7
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","Female","*"
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","Male","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","Female",0.0
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","Male",0.0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Female",0.0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Male",0.0
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Female","*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Male","*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Female",2.4
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Male","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Female","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Male","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Female","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Male","*"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Female","*"
