"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, Gender"

"Organization","School","School Code","Gender","% Chronically Absent"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Male","*"
"Bristol School District","Bristol Central High School","=""0176111""","Female",12.9
"Bristol School District","Bristol Central High School","=""0176111""","Male",15.0
"Bristol School District","Bristol Eastern High School","=""0176211""","Female",13.8
"Bristol School District","Bristol Eastern High School","=""0176211""","Male",16.7
"Bristol School District","Chippens Hill Middle School","=""0175111""","Female",6.9
"Bristol School District","Chippens Hill Middle School","=""0175111""","Male",7.1
"Bristol School District","Community/Vocational Program","=""0179211""","Female","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Male","*"
"Bristol School District","Edgewood School","=""0170311""","Female",7.8
"Bristol School District","Edgewood School","=""0170311""","Male",9.0
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Female",9.1
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Male",8.0
"Bristol School District","Greene-Hills School","=""0170511""","Female",8.2
"Bristol School District","Greene-Hills School","=""0170511""","Male",9.0
"Bristol School District","Ivy Drive School","=""0171911""","Female",5.2
"Bristol School District","Ivy Drive School","=""0171911""","Male",7.2
"Bristol School District","Mountain View School","=""0171711""","Female",6.0
"Bristol School District","Mountain View School","=""0171711""","Male",6.4
"Bristol School District","Northeast Middle School","=""0175211""","Female",6.2
"Bristol School District","Northeast Middle School","=""0175211""","Male",4.2
"Bristol School District","South Side School","=""0171111""","Female",6.3
"Bristol School District","South Side School","=""0171111""","Male",4.3
"Bristol School District","Stafford School","=""0171211""","Female",9.3
"Bristol School District","Stafford School","=""0171211""","Male",11.3
"Bristol School District","West Bristol School","=""0172011""","Female",10.5
"Bristol School District","West Bristol School","=""0172011""","Male",9.8
"Brookfield School District","Brookfield High School","=""0186111""","Female","*"
"Brookfield School District","Brookfield High School","=""0186111""","Male","*"
"Brookfield School District","Center Elementary School","=""0180311""","Female","*"
"Brookfield School District","Center Elementary School","=""0180311""","Male","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Female","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Male","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Female",2.6
"Brookfield School District","Whisconier Middle School","=""0185311""","Male",3.5
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Female",7.1
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Male",7.9
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Female",5.2
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Male",6.8
"Canaan School District","Lee H. Kellogg School","=""0210111""","Female","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Male","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Female",5.8
"Canterbury School District","Canterbury Elementary School","=""0220211""","Male",6.3
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Female",8.6
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Male",5.6
"Canton School District","Canton High School","=""0236111""","Female",4.7
"Canton School District","Canton High School","=""0236111""","Male",3.4
"Canton School District","Canton Intermediate School","=""0230311""","Female",3.9
"Canton School District","Canton Intermediate School","=""0230311""","Male",4.5
"Canton School District","Canton Middle School","=""0235111""","Female",5.8
"Canton School District","Canton Middle School","=""0235111""","Male",6.2
"Canton School District","Cherry Brook Primary School","=""0230211""","Female",4.0
"Canton School District","Cherry Brook Primary School","=""0230211""","Male",5.2
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Female",14.4
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Male",10.0
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Female","*"
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Male","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Female","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Male","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Female","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Male","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Female",8.0
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Male",6.1
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",57.7
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",37.7
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Female",7.4
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Male",10.3
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Female","*"
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Male","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Female",12.3
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Male",11.8
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Female","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Male","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Female","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Male","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","Female","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","Male","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",8.2
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",7.8
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Female",8.0
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Male",11.5
"Capitol Region Education Council","Museum Academy","=""2410514""","Female",8.4
"Capitol Region Education Council","Museum Academy","=""2410514""","Male",15.3
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Female",26.3
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Male",18.9
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Female",10.0
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Male",15.1
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","Female","*"
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","Male","*"
"Capitol Region Education Council","River Street School","=""2419314""","Female","*"
"Capitol Region Education Council","River Street School","=""2419314""","Male","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","Female","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","Male","*"
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""","Female","*"
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""","Male","*"
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Female",6.4
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Male",6.3
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Female",6.5
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Male",6.3
"Chaplin School District","Chaplin Elementary School","=""0240211""","Female","*"
"Chaplin School District","Chaplin Elementary School","=""0240211""","Male","*"
"Cheshire School District","Chapman School","=""0250111""","Female","*"
"Cheshire School District","Chapman School","=""0250111""","Male",0.0
"Cheshire School District","Cheshire High School","=""0256111""","Female",9.5
"Cheshire School District","Cheshire High School","=""0256111""","Male",8.5
"Cheshire School District","Darcey School","=""0250211""","Female",0.0
"Cheshire School District","Darcey School","=""0250211""","Male",0.0
"Cheshire School District","Dodd Middle School","=""0255111""","Female",6.0
"Cheshire School District","Dodd Middle School","=""0255111""","Male",5.9
"Cheshire School District","Doolittle School","=""0250611""","Female",0.0
"Cheshire School District","Doolittle School","=""0250611""","Male",0.0
"Cheshire School District","Highland School","=""0250411""","Female",0.0
"Cheshire School District","Highland School","=""0250411""","Male",0.0
"Cheshire School District","Humiston School","=""0259011""","Female","*"
"Cheshire School District","Humiston School","=""0259011""","Male","*"
"Cheshire School District","Norton School","=""0250511""","Female",0.0
"Cheshire School District","Norton School","=""0250511""","Male",0.0
"Chester School District","Chester Elementary School","=""0260111""","Female",7.4
"Chester School District","Chester Elementary School","=""0260111""","Male",11.3
"Clinton School District","Abraham Pierson School","=""0270111""","Female","*"
"Clinton School District","Abraham Pierson School","=""0270111""","Male","*"
"Clinton School District","Jared Eliot School","=""0275111""","Female",5.6
"Clinton School District","Jared Eliot School","=""0275111""","Male",5.2
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Female",3.7
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Male",6.1
"Clinton School District","The Morgan School","=""0276111""","Female",16.0
"Clinton School District","The Morgan School","=""0276111""","Male",13.7
"Colchester School District","Bacon Academy","=""0286111""","Female",10.3
"Colchester School District","Bacon Academy","=""0286111""","Male",10.0
"Colchester School District","Colchester Elementary School","=""0280411""","Female",3.8
"Colchester School District","Colchester Elementary School","=""0280411""","Male",3.3
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Female","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Male","*"
"Colchester School District","William J. Johnston Middle School","=""0285111""","Female",7.4
"Colchester School District","William J. Johnston Middle School","=""0285111""","Male",4.8
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Female","*"
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Male","*"
"Columbia School District","Horace W. Porter School","=""0300111""","Female",5.2
"Columbia School District","Horace W. Porter School","=""0300111""","Male",3.0
"Common Ground High School District","Common Ground High School","=""2686113""","Female",18.8
"Common Ground High School District","Common Ground High School","=""2686113""","Male",10.6
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Female",13.6
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Male",9.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Female",15.7
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Male",12.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Female",11.5
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Male",5.8
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Female",30.7
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Male",19.8
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",18.8
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",16.8
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Female",27.4
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Male",15.5
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Female",15.1
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Male",7.8
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Female",17.3
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Male",12.3
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Female",10.9
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Male",5.9
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Female",18.8
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Male",10.3
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","Female",10.7
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","Male",5.2
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""","Female",14.3
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""","Male",9.8
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","Female",12.4
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","Male",9.1
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""","Female",12.8
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""","Male",14.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","Female",9.5
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","Male",3.9
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","Female",12.1
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","Male",10.1
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""","Female",32.0
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""","Male",19.4
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""","Female","*"
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""","Male","*"
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","Female","*"
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","Male","*"
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""","Female",7.3
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""","Male",6.7
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""","Female",65.2
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""","Male",38.8
"Cornwall School District","Cornwall Consolidated School","=""0310111""","Female","*"
"Cornwall School District","Cornwall Consolidated School","=""0310111""","Male","*"
"Coventry School District","Capt. Nathan Hale School","=""0325111""","Female","*"
"Coventry School District","Capt. Nathan Hale School","=""0325111""","Male","*"
"Coventry School District","Coventry Grammar School","=""0320211""","Female",4.5
"Coventry School District","Coventry Grammar School","=""0320211""","Male",5.8
"Coventry School District","Coventry High School","=""0326111""","Female",13.2
"Coventry School District","Coventry High School","=""0326111""","Male",15.3
"Coventry School District","George Hersey Robertson School","=""0320411""","Female","*"
"Coventry School District","George Hersey Robertson School","=""0320411""","Male","*"
"Cromwell School District","Cromwell High School","=""0336111""","Female",11.5
"Cromwell School District","Cromwell High School","=""0336111""","Male",9.1
"Cromwell School District","Cromwell Middle School","=""0335111""","Female",7.0
"Cromwell School District","Cromwell Middle School","=""0335111""","Male",6.0
"Cromwell School District","Edna C. Stevens School","=""0330211""","Female",0.0
"Cromwell School District","Edna C. Stevens School","=""0330211""","Male",0.0
"Cromwell School District","Woodside Intermediate School","=""0330311""","Female",0.0
"Cromwell School District","Woodside Intermediate School","=""0330311""","Male",0.0
"Danbury School District","Alternative Center For Excellence","=""0346211""","Female",84.2
"Danbury School District","Alternative Center For Excellence","=""0346211""","Male",68.2
"Danbury School District","Broadview Middle School","=""0345111""","Female",8.9
"Danbury School District","Broadview Middle School","=""0345111""","Male",9.1
"Danbury School District","Danbury High School","=""0346111""","Female",15.7
"Danbury School District","Danbury High School","=""0346111""","Male",21.0
"Danbury School District","Ellsworth Avenue School","=""0341411""","Female","*"
"Danbury School District","Ellsworth Avenue School","=""0341411""","Male","*"
"Danbury School District","Great Plain School","=""0341111""","Female","*"
"Danbury School District","Great Plain School","=""0341111""","Male","*"
"Danbury School District","Hayestown Avenue School","=""0340211""","Female",10.7
"Danbury School District","Hayestown Avenue School","=""0340211""","Male",11.2
"Danbury School District","King Street Intermediate School","=""0341711""","Female",4.5
"Danbury School District","King Street Intermediate School","=""0341711""","Male",5.0
"Danbury School District","King Street Primary School","=""0341311""","Female",4.0
"Danbury School District","King Street Primary School","=""0341311""","Male",6.5
"Danbury School District","Mill Ridge Primary School","=""0340511""","Female",6.3
"Danbury School District","Mill Ridge Primary School","=""0340511""","Male",8.4
"Danbury School District","Morris Street School","=""0340611""","Female",4.2
"Danbury School District","Morris Street School","=""0340611""","Male",8.1
"Danbury School District","Park Avenue School","=""0340811""","Female",8.7
"Danbury School District","Park Avenue School","=""0340811""","Male",7.0
"Danbury School District","Pembroke School","=""0341511""","Female",6.2
"Danbury School District","Pembroke School","=""0341511""","Male",9.9
"Danbury School District","Rogers Park Middle School","=""0345211""","Female",9.1
"Danbury School District","Rogers Park Middle School","=""0345211""","Male",12.4
"Danbury School District","Shelter Rock School","=""0341211""","Female",8.2
"Danbury School District","Shelter Rock School","=""0341211""","Male",3.6
"Danbury School District","South Street School","=""0341011""","Female",4.4
"Danbury School District","South Street School","=""0341011""","Male",5.7
"Danbury School District","Stadley Rough School","=""0341611""","Female",9.9
"Danbury School District","Stadley Rough School","=""0341611""","Male",4.7
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Female",6.5
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Male",5.7
"Darien School District","Darien High School","=""0356111""","Female",3.5
"Darien School District","Darien High School","=""0356111""","Male",3.8
"Darien School District","Hindley Elementary School","=""0350211""","Female","*"
"Darien School District","Hindley Elementary School","=""0350211""","Male","*"
"Darien School District","Holmes Elementary School","=""0350711""","Female","*"
"Darien School District","Holmes Elementary School","=""0350711""","Male","*"
"Darien School District","Middlesex Middle School","=""0355111""","Female",5.4
"Darien School District","Middlesex Middle School","=""0355111""","Male",4.5
