"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Special Education Status"

"Organization","School","School Code","Special Education Status","% Chronically Absent"
"Berlin School District","Berlin High School","=""0076111""","Non-Special Education",3.8
"Berlin School District","Berlin High School","=""0076111""","Special Education",25.2
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Non-Special Education","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Special Education","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Non-Special Education",2.1
"Berlin School District","Emma Hart Willard School","=""0070411""","Special Education",12.1
"Berlin School District","Mary E. Griswold School","=""0070511""","Non-Special Education","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Special Education","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Non-Special Education","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Special Education","*"
"Bethany School District","Bethany Community School","=""0080111""","Non-Special Education",3.5
"Bethany School District","Bethany Community School","=""0080111""","Special Education",14.8
"Bethel School District","Anna H. Rockwell School","=""0090411""","Non-Special Education","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Special Education","*"
"Bethel School District","Bethel High School","=""0096111""","Non-Special Education",6.8
"Bethel School District","Bethel High School","=""0096111""","Special Education",31.1
"Bethel School District","Bethel Middle School","=""0095111""","Non-Special Education","*"
"Bethel School District","Bethel Middle School","=""0095111""","Special Education","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Non-Special Education","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Special Education","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Non-Special Education",13.9
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Special Education",14.9
"Bloomfield School District","Bloomfield High School","=""0116111""","Non-Special Education",8.2
"Bloomfield School District","Bloomfield High School","=""0116111""","Special Education",13.5
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Non-Special Education","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Special Education","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Non-Special Education","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Special Education","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Non-Special Education","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Special Education","*"
"Bloomfield School District","Laurel School","=""0110611""","Non-Special Education",8.8
"Bloomfield School District","Laurel School","=""0110611""","Special Education",14.6
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Special Education","*"
"Bloomfield School District","Metacomet School","=""0110511""","Non-Special Education","*"
"Bloomfield School District","Metacomet School","=""0110511""","Special Education","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Non-Special Education","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Special Education","*"
"Bloomfield School District","SAGE","=""3480415""","Special Education","*"
"Bolton School District","Bolton Center School","=""0120111""","Non-Special Education","*"
"Bolton School District","Bolton Center School","=""0120111""","Special Education","*"
"Bolton School District","Bolton High School","=""0126111""","Non-Special Education","*"
"Bolton School District","Bolton High School","=""0126111""","Special Education","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Non-Special Education","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Special Education","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Non-Special Education","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Special Education","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Non-Special Education","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Special Education","*"
"Branford School District","Branford High School","=""0146111""","Non-Special Education",9.9
"Branford School District","Branford High School","=""0146111""","Special Education",15.6
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Non-Special Education",6.4
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Special Education",12.2
"Branford School District","John B. Sliney School","=""0141611""","Non-Special Education","*"
"Branford School District","John B. Sliney School","=""0141611""","Special Education","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Non-Special Education","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Special Education","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Non-Special Education","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Special Education","*"
"Branford School District","Bridgeport Detention Center","=""3480115""","Special Education","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Non-Special Education","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Special Education","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Non-Special Education",3.8
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Special Education",13.5
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Non-Special Education",16.4
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Special Education",25.0
"Bridgeport School District","Barnum School","=""0150111""","Non-Special Education",24.4
"Bridgeport School District","Barnum School","=""0150111""","Special Education",25.3
"Bridgeport School District","Bassick High School","=""0156111""","Non-Special Education",41.3
"Bridgeport School District","Bassick High School","=""0156111""","Special Education",45.1
"Bridgeport School District","Beardsley School","=""0150211""","Non-Special Education",12.9
"Bridgeport School District","Beardsley School","=""0150211""","Special Education",21.2
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Non-Special Education",10.7
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Special Education",19.4
"Bridgeport School District","Black Rock School","=""0150311""","Non-Special Education",4.7
"Bridgeport School District","Black Rock School","=""0150311""","Special Education",15.6
"Bridgeport School District","Blackham School","=""0154011""","Non-Special Education",11.1
"Bridgeport School District","Blackham School","=""0154011""","Special Education",20.4
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Non-Special Education","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Special Education","*"
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Non-Special Education",18.7
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Special Education",37.2
"Bridgeport School District","Bryant School","=""0150411""","Non-Special Education",12.2
"Bridgeport School District","Bryant School","=""0150411""","Special Education",24.5
"Bridgeport School District","Career and Craftsmanship","=""0152711""","Non-Special Education","*"
"Bridgeport School District","Career and Craftsmanship","=""0152711""","Special Education","*"
"Bridgeport School District","Central High School","=""0156211""","Non-Special Education",13.3
"Bridgeport School District","Central High School","=""0156211""","Special Education",33.5
"Bridgeport School District","Cesar Batalla School","=""0151411""","Non-Special Education",10.8
"Bridgeport School District","Cesar Batalla School","=""0151411""","Special Education",20.6
"Bridgeport School District","Classical Studies Academy","=""0152111""","Non-Special Education","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Special Education","*"
"Bridgeport School District","Columbus School","=""0150511""","Non-Special Education",23.4
"Bridgeport School District","Columbus School","=""0150511""","Special Education",32.9
"Bridgeport School District","Cross School","=""0153911""","Non-Special Education",27.5
"Bridgeport School District","Cross School","=""0153911""","Special Education",40.5
"Bridgeport School District","Curiale School","=""0154211""","Non-Special Education",18.9
"Bridgeport School District","Curiale School","=""0154211""","Special Education",25.0
"Bridgeport School District","Dunbar School","=""0154111""","Non-Special Education",25.2
"Bridgeport School District","Dunbar School","=""0154111""","Special Education",37.8
"Bridgeport School District","Edison School","=""0150711""","Non-Special Education",14.6
"Bridgeport School District","Edison School","=""0150711""","Special Education",16.0
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Non-Special Education",1.9
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Special Education",11.6
"Bridgeport School District","Hall School","=""0151111""","Non-Special Education",6.0
"Bridgeport School District","Hall School","=""0151111""","Special Education",18.4
"Bridgeport School District","Hallen School","=""0151211""","Non-Special Education",9.3
"Bridgeport School District","Hallen School","=""0151211""","Special Education",12.2
"Bridgeport School District","Harding High School","=""0156311""","Non-Special Education",42.7
"Bridgeport School District","Harding High School","=""0156311""","Special Education",54.6
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Non-Special Education","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Special Education","*"
"Bridgeport School District","Hooker School","=""0151311""","Non-Special Education",10.4
"Bridgeport School District","Hooker School","=""0151311""","Special Education",22.6
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Non-Special Education","*"
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Special Education","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Non-Special Education","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Special Education","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Non-Special Education",25.5
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Special Education",36.0
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Non-Special Education",23.0
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Special Education",33.3
"Bridgeport School District","Madison School","=""0152011""","Non-Special Education",9.7
"Bridgeport School District","Madison School","=""0152011""","Special Education",11.7
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Non-Special Education","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Special Education","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Non-Special Education",2.0
"Bridgeport School District","Park City Magnet School","=""0151711""","Special Education",16.1
"Bridgeport School District","Read School","=""0152511""","Non-Special Education",13.3
"Bridgeport School District","Read School","=""0152511""","Special Education",25.6
"Bridgeport School District","Roosevelt School","=""0152611""","Non-Special Education",15.7
"Bridgeport School District","Roosevelt School","=""0152611""","Special Education",27.3
"Bridgeport School District","Waltersville School","=""0153011""","Non-Special Education",19.8
"Bridgeport School District","Waltersville School","=""0153011""","Special Education",33.0
"Bridgeport School District","Winthrop School","=""0153611""","Non-Special Education",4.1
"Bridgeport School District","Winthrop School","=""0153611""","Special Education",7.8
"Bridgeport School District","Opportunities for Self-Discovery Community Partnership","=""0152811""","Special Education","*"
"Bristol School District","Bristol Central High School","=""0176111""","Non-Special Education",10.2
"Bristol School District","Bristol Central High School","=""0176111""","Special Education",19.4
"Bristol School District","Bristol Eastern High School","=""0176211""","Non-Special Education",9.8
"Bristol School District","Bristol Eastern High School","=""0176211""","Special Education",20.0
"Bristol School District","Bristol Preparatory Academy","=""0173311""","Non-Special Education","*"
"Bristol School District","Bristol Preparatory Academy","=""0173311""","Special Education","*"
"Bristol School District","Chippens Hill Middle School","=""0175111""","Non-Special Education",7.1
"Bristol School District","Chippens Hill Middle School","=""0175111""","Special Education",19.2
"Bristol School District","Edgewood School","=""0170311""","Non-Special Education","*"
"Bristol School District","Edgewood School","=""0170311""","Special Education","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Non-Special Education","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Special Education","*"
"Bristol School District","Greene-Hills School","=""0170511""","Non-Special Education",7.3
"Bristol School District","Greene-Hills School","=""0170511""","Special Education",11.7
"Bristol School District","Ivy Drive School","=""0171911""","Non-Special Education","*"
"Bristol School District","Ivy Drive School","=""0171911""","Special Education","*"
"Bristol School District","Mountain View School","=""0171711""","Non-Special Education","*"
"Bristol School District","Mountain View School","=""0171711""","Special Education","*"
"Bristol School District","Northeast Middle School","=""0175211""","Non-Special Education","*"
"Bristol School District","Northeast Middle School","=""0175211""","Special Education","*"
"Bristol School District","South Side School","=""0171111""","Non-Special Education",3.8
"Bristol School District","South Side School","=""0171111""","Special Education",16.7
"Bristol School District","Stafford School","=""0171211""","Non-Special Education",4.9
"Bristol School District","Stafford School","=""0171211""","Special Education",12.3
"Bristol School District","West Bristol School","=""0172011""","Non-Special Education",6.7
"Bristol School District","West Bristol School","=""0172011""","Special Education",14.7
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Special Education","*"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","Special Education","*"
"Bristol School District","Chms Goal","=""0173411""","Special Education","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Special Education","*"
"Bristol School District","Extended Resource Self-Contained","=""0173611""","Special Education","*"
"Bristol School District","Greene-Hills GOAL","=""0170911""","Special Education","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","Special Education","*"
"Bristol School District","Ivy Drive GOAL","=""0172611""","Special Education","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","Special Education","*"
"Bristol School District","Mt. View GOAL","=""0172511""","Special Education","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","Special Education","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","Special Education","*"
"Bristol School District","South Side Extended Resource","=""0173011""","Special Education","*"
"Bristol School District","South Side GOAL","=""0173111""","Special Education","*"
"Bristol School District","Stafford Autism","=""0173211""","Special Education","*"
"Brookfield School District","Brookfield High School","=""0186111""","Non-Special Education",1.1
"Brookfield School District","Brookfield High School","=""0186111""","Special Education",0.0
"Brookfield School District","Center Elementary School","=""0180311""","Non-Special Education","*"
"Brookfield School District","Center Elementary School","=""0180311""","Special Education","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Non-Special Education",1.9
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Special Education",0.0
"Brookfield School District","Whisconier Middle School","=""0185311""","Non-Special Education",2.6
"Brookfield School District","Whisconier Middle School","=""0185311""","Special Education",5.8
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Non-Special Education",2.3
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Special Education",0.0
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Non-Special Education","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Special Education","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Non-Special Education","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Special Education","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Non-Special Education","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Special Education","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Non-Special Education","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Special Education","*"
"Canton School District","Canton Academy","=""0230411""","Non-Special Education","*"
"Canton School District","Canton Academy","=""0230411""","Special Education","*"
"Canton School District","Canton High School","=""0236111""","Non-Special Education",4.4
"Canton School District","Canton High School","=""0236111""","Special Education",17.5
"Canton School District","Canton Intermediate School","=""0230311""","Non-Special Education","*"
"Canton School District","Canton Intermediate School","=""0230311""","Special Education","*"
"Canton School District","Canton Middle School","=""0235111""","Non-Special Education","*"
"Canton School District","Canton Middle School","=""0235111""","Special Education","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Non-Special Education",6.5
"Canton School District","Cherry Brook Primary School","=""0230211""","Special Education",20.7
"Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","=""2970113""","Non-Special Education","*"
"Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","=""2970113""","Special Education","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""","Non-Special Education",13.3
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""","Special Education",26.5
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education",6.5
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Special Education",11.2
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""","Non-Special Education",13.4
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""","Special Education",17.9
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Non-Special Education",5.5
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Special Education",17.6
"Capitol Region Education Council","Discovery Academy","=""2418114""","Non-Special Education","*"
"Capitol Region Education Council","Discovery Academy","=""2418114""","Special Education","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Non-Special Education","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Special Education","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Non-Special Education","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Special Education","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",27.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",39.1
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Non-Special Education",16.2
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Special Education",28.6
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Non-Special Education","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Special Education","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Non-Special Education","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Special Education","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Non-Special Education","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Special Education","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education",6.0
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education",18.6
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Non-Special Education",5.4
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Special Education",16.4
"Capitol Region Education Council","Museum Academy","=""2410514""","Non-Special Education","*"
"Capitol Region Education Council","Museum Academy","=""2410514""","Special Education","*"
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Non-Special Education",20.8
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Special Education",31.2
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Non-Special Education",8.9
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Special Education",8.9
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""","Non-Special Education",13.3
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""","Special Education",32.3
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Non-Special Education",5.7
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Special Education",9.0
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Non-Special Education",4.8
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Special Education",10.5
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Special Education","*"
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","Special Education",12.7
"Capitol Region Education Council","River Street School","=""2419314""","Special Education",15.8
"Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","Special Education","*"
"Capitol Region Education Council","Soundbridge @ Museum Academy","=""2411214""","Special Education","*"
"Capitol Region Education Council","Soundbridge @ Wethersfield High School","=""2411014""","Special Education","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","Special Education","*"
"Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","Special Education","*"
"Chaplin School District","Chaplin Elementary School","=""0240211""","Non-Special Education","*"
"Chaplin School District","Chaplin Elementary School","=""0240211""","Special Education","*"
"Cheshire School District","Chapman School","=""0250111""","Non-Special Education","*"
"Cheshire School District","Chapman School","=""0250111""","Special Education","*"
"Cheshire School District","Cheshire High School","=""0256111""","Non-Special Education",4.0
"Cheshire School District","Cheshire High School","=""0256111""","Special Education",20.8
"Cheshire School District","Darcey School","=""0250211""","Non-Special Education","*"
"Cheshire School District","Darcey School","=""0250211""","Special Education","*"
"Cheshire School District","Dodd Middle School","=""0255111""","Non-Special Education",4.3
"Cheshire School District","Dodd Middle School","=""0255111""","Special Education",13.9
"Cheshire School District","Doolittle School","=""0250611""","Non-Special Education","*"
"Cheshire School District","Doolittle School","=""0250611""","Special Education","*"
"Cheshire School District","Highland School","=""0250411""","Non-Special Education",3.5
"Cheshire School District","Highland School","=""0250411""","Special Education",12.2
"Cheshire School District","Humiston Alternative School","=""0250911""","Non-Special Education","*"
"Cheshire School District","Humiston Alternative School","=""0250911""","Special Education","*"
"Cheshire School District","Norton School","=""0250511""","Non-Special Education","*"
"Cheshire School District","Norton School","=""0250511""","Special Education","*"
"Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","Special Education","*"
"Chester School District","Chester Elementary School","=""0260111""","Non-Special Education",3.3
"Chester School District","Chester Elementary School","=""0260111""","Special Education",0.0
"Clinton School District","Abraham Pierson School","=""0270111""","Non-Special Education","*"
"Clinton School District","Abraham Pierson School","=""0270111""","Special Education",0.0
"Clinton School District","Jared Eliot School","=""0275111""","Non-Special Education","*"
"Clinton School District","Jared Eliot School","=""0275111""","Special Education","*"
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Non-Special Education",2.5
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Special Education",12.8
"Clinton School District","The Morgan School","=""0276111""","Non-Special Education",9.2
"Clinton School District","The Morgan School","=""0276111""","Special Education",20.0
"Colchester School District","Bacon Academy Alternative Education","=""0280511""","Non-Special Education","*"
"Colchester School District","Bacon Academy Alternative Education","=""0280511""","Special Education","*"
"Colchester School District","Bacon Academy","=""0286111""","Non-Special Education",7.5
"Colchester School District","Bacon Academy","=""0286111""","Special Education",21.7
"Colchester School District","Colchester Elementary School","=""0280411""","Non-Special Education","*"
"Colchester School District","Colchester Elementary School","=""0280411""","Special Education","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Non-Special Education","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Special Education","*"
"Colchester School District","William J. Johnston Middle School","=""0285111""","Non-Special Education","*"
"Colchester School District","William J. Johnston Middle School","=""0285111""","Special Education","*"
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Non-Special Education","*"
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Special Education","*"
"Columbia School District","Horace W. Porter School","=""0300111""","Non-Special Education","*"
"Columbia School District","Horace W. Porter School","=""0300111""","Special Education","*"
"Common Ground High School District","Common Ground High School","=""2686113""","Non-Special Education",9.2
"Common Ground High School District","Common Ground High School","=""2686113""","Special Education",21.2
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Non-Special Education",18.6
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Special Education",12.5
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Non-Special Education",21.0
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Special Education",19.4
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Non-Special Education",10.5
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Special Education",14.0
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Non-Special Education",29.2
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Special Education",29.6
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-Special Education",14.3
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Special Education",13.3
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Non-Special Education","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Special Education","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Non-Special Education","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Special Education","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Non-Special Education","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Special Education","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Non-Special Education",7.9
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Special Education",8.6
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Non-Special Education",11.1
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Special Education",17.9
"Connecticut Technical High School System","J. M. Wright Technical High School","=""9002116""","Non-Special Education","*"
