"Chronic Absenteeism, 2014-15"
", All Schools, Race/Ethnicity"

"District","District Code","School","School Code","Category","% Chronically Absent"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   1",0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   2","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   3",0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   4","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   5",0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   6","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Male","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-ELL","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-Special Education","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Not Eligible For Lunch","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","School","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Special Education","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Two or More Races","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","White","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black or African American",26.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",27.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",19.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade   9",24.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10",16.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 11",16.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic/Latino of any race",23.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",23.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL",21.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",20.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",16.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","School",21.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",28.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Two or More Races","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",19.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",14.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 12",28.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Asian","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Black or African American",21.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELL","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Free Lunch",21.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Female",12.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade   7",13.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade   8",20.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Hispanic/Latino of any race",18.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Male",21.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Non-ELL",17.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Non-Special Education",15.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Not Eligible For Lunch",12.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","School",17.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Special Education",26.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Two or More Races","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","White",15.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Kindergarten",21.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Asian","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Black or African American",19.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELL",30.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Free Lunch",20.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Female",11.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   1",15.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   2",13.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   3",10.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   4",16.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   5",6.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   6",18.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Hispanic/Latino of any race",16.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Male",17.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Non-ELL",13.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Non-Special Education",13.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Not Eligible For Lunch",3.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""","School",14.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Special Education",17.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Two or More Races","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","White",11.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Black or African American","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELL","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Free Lunch",80.0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade   9","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 10","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 11","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Hispanic/Latino of any race","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male",75.0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Non-ELL",80.0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Non-Special Education",83.3
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","School",80.6
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Special Education","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","White","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 12","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Kindergarten",16.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Asian","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Black or African American",9.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELL","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Free Lunch",14.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Female",8.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   1",7.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   2",7.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   3","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   4",8.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   5",9.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   6",9.1
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Hispanic/Latino of any race",9.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Male",10.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Non-ELL",9.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Non-Special Education",9.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","School",9.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Special Education",10.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Two or More Races","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","White",8.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Black or African American","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   7","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 10","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 11","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Hispanic/Latino of any race","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Non-ELL","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","School","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Special Education","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","White","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 12","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Kindergarten","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Black or African American",37.9
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Free Lunch",44.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Female",46.2
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   1","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   2","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   3",29.6
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   4",42.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   5",33.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   6",37.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   7",42.9
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   8",66.7
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Hispanic/Latino of any race",42.9
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Male",37.1
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Non-ELL",38.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Non-Special Education","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","School",38.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Special Education",38.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","White",24.2
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Black or African American",14.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELL",11.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Free Lunch",19.6
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Female",13.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   6",6.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   7",20.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   8",13.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Hispanic/Latino of any race",15.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Male",13.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Native Hawaiian or Other Pacific Islander","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Non-ELL",13.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Non-Special Education",12.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Not Eligible For Lunch",6.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","School",13.4
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Special Education",22.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","White",11.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Kindergarten","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Black or African American",37.9
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Free Lunch",40.6
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Female",45.7
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   1","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   2","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   3","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   4","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   5","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   6","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   7",38.5
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Hispanic/Latino of any race",50.0
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Male",27.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Native Hawaiian or Other Pacific Islander","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Non-ELL",32.9
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Not Eligible For Lunch",28.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","School",32.9
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Special Education",32.9
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","White",22.9
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade 12","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Black or African American",43.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Free Lunch",50.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Female",52.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 10",28.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 11","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Hispanic/Latino of any race",56.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Male",40.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Non-ELL",44.4
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Not Eligible For Lunch",30.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","School",44.4
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Special Education",44.4
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","White",32.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 12",46.2
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Black or African American",68.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible For Free Lunch",77.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Female",78.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade   9",63.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 10",73.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 11","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Hispanic/Latino of any race",77.8
