"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, Gender"

"",,,,"% Chronically Absent",,,,
"Bridgeport School District","Park City Magnet School","=""0151711""","Female",2.7,3.3,5.3,3.3,3.8
"Bridgeport School District","Park City Magnet School","=""0151711""","Male",4.0,6.4,5.7,8.6,4.1
"Bridgeport School District","Read School","=""0152511""","Female",12.8,9.2,13.5,13.0,13.5
"Bridgeport School District","Read School","=""0152511""","Male",17.0,16.2,16.4,16.2,16.4
"Bridgeport School District","Roosevelt School","=""0152611""","Female",25.0,25.1,26.7,27.3,16.5
"Bridgeport School District","Roosevelt School","=""0152611""","Male",33.7,28.4,30.1,22.7,18.4
"Bridgeport School District","Skane Center","=""0154411""","Female","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","Skane Center","=""0154411""","Male","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","Waltersville School","=""0153011""","Female",21.9,29.2,29.5,23.0,24.2
"Bridgeport School District","Waltersville School","=""0153011""","Male",14.5,21.4,23.4,16.3,20.2
"Bridgeport School District","Winthrop School","=""0153611""","Female",7.4,7.6,6.4,4.2,3.8
"Bridgeport School District","Winthrop School","=""0153611""","Male",11.2,10.6,7.2,5.4,5.1
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Female","N/A","N/A",14.0,19.7,22.1
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Male","N/A","N/A",11.0,13.3,14.6
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Female","N/A","N/A",9.4,3.0,10.6
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Male","N/A","N/A",19.0,6.6,12.9
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Female","N/A","N/A",0.0,13.8,24.0
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Male","N/A","N/A",0.0,22.3,20.4
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Female","N/A","N/A",0.0,"*",10.4
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Male","N/A","N/A",0.0,"*",6.3
"Bridgeport School District","Pride Academy","=""0151811""","Female","N/A","N/A",0.0,"N/A","N/A"
"Bridgeport School District","Pride Academy","=""0151811""","Male","N/A","N/A",0.0,"N/A","N/A"
"Bridgeport School District","Career and Craftsmanship","=""0152711""","Female","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Career and Craftsmanship","=""0152711""","Male","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Opportunities for Self-Discovery Community Partnership","=""0152811""","Female","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Opportunities for Self-Discovery Community Partnership","=""0152811""","Male","N/A","N/A","N/A","N/A","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Female","*","*","*","*","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Male","*","*","*","*","*"
"Bristol School District","Bristol Central High School","=""0176111""","Female",14.9,12.9,16.0,15.2,12.4
"Bristol School District","Bristol Central High School","=""0176111""","Male",17.9,15.0,15.9,15.7,11.6
"Bristol School District","Bristol Eastern High School","=""0176211""","Female",13.5,13.8,13.3,13.3,12.9
"Bristol School District","Bristol Eastern High School","=""0176211""","Male",20.4,16.7,16.2,12.1,10.3
"Bristol School District","Chippens Hill Middle School","=""0175111""","Female",11.3,6.9,11.3,9.6,9.8
"Bristol School District","Chippens Hill Middle School","=""0175111""","Male",10.0,7.1,10.3,9.7,8.8
"Bristol School District","Clara T. O'Connell School","=""0170711""","Female",15.1,"N/A","N/A","N/A","N/A"
"Bristol School District","Clara T. O'Connell School","=""0170711""","Male",19.2,"N/A","N/A","N/A","N/A"
"Bristol School District","Community/Vocational Program","=""0179211""","Female","*","*","*","*","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Male","*","*","*","*","*"
"Bristol School District","Edgewood School","=""0170311""","Female",11.5,7.8,7.0,10.2,"*"
"Bristol School District","Edgewood School","=""0170311""","Male",7.8,9.0,8.6,6.0,"*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Female",7.3,9.1,4.9,4.3,4.1
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Male",9.1,8.0,5.9,7.4,6.2
"Bristol School District","Greene-Hills School","=""0170511""","Female",4.9,8.2,9.1,7.3,7.9
"Bristol School District","Greene-Hills School","=""0170511""","Male",5.8,9.0,8.3,7.6,8.0
"Bristol School District","Ivy Drive School","=""0171911""","Female",3.7,5.2,7.5,4.5,3.4
"Bristol School District","Ivy Drive School","=""0171911""","Male",9.1,7.2,7.1,5.3,5.2
"Bristol School District","John J. Jennings School","=""0170611""","Female",6.6,"N/A","N/A","N/A","N/A"
"Bristol School District","John J. Jennings School","=""0170611""","Male",5.0,"N/A","N/A","N/A","N/A"
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Female",6.9,"N/A","N/A","N/A","N/A"
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Male",7.6,"N/A","N/A","N/A","N/A"
"Bristol School District","Mountain View School","=""0171711""","Female",7.0,6.0,3.9,"*","*"
"Bristol School District","Mountain View School","=""0171711""","Male",5.6,6.4,4.8,"*","*"
"Bristol School District","Northeast Middle School","=""0175211""","Female",4.2,6.2,6.7,5.6,3.4
"Bristol School District","Northeast Middle School","=""0175211""","Male",8.8,4.2,7.3,6.3,3.3
"Bristol School District","South Side School","=""0171111""","Female",8.2,6.3,9.8,9.7,6.1
"Bristol School District","South Side School","=""0171111""","Male",9.1,4.3,7.9,7.8,5.1
"Bristol School District","Stafford School","=""0171211""","Female",12.9,9.3,19.3,15.9,8.6
"Bristol School District","Stafford School","=""0171211""","Male",15.3,11.3,17.0,21.9,3.2
"Bristol School District","West Bristol School","=""0172011""","Female","N/A",10.5,13.4,10.9,6.5
"Bristol School District","West Bristol School","=""0172011""","Male","N/A",9.8,11.3,10.0,9.5
"Bristol School District","Bristol Preparatory Academy","=""0173311""","Female","N/A","N/A","N/A","*",50.0
"Bristol School District","Bristol Preparatory Academy","=""0173311""","Male","N/A","N/A","N/A","*",48.1
"Bristol School District","CHMS GOAL","=""0173411""","Female","N/A","N/A","N/A","*","N/A"
"Bristol School District","CHMS GOAL","=""0173411""","Male","N/A","N/A","N/A","*","N/A"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","Female","N/A","N/A","N/A","*","*"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","Female","N/A","N/A","N/A","*","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Ivy Drive GOAL","=""0172611""","Female","N/A","N/A","N/A","*","*"
"Bristol School District","Ivy Drive GOAL","=""0172611""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","Female","N/A","N/A","N/A","*","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Mt. View GOAL","=""0172511""","Female","N/A","N/A","N/A","*","*"
"Bristol School District","Mt. View GOAL","=""0172511""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","Female","N/A","N/A","N/A","*","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Stafford Autism","=""0173211""","Female","N/A","N/A","N/A","*","*"
"Bristol School District","Stafford Autism","=""0173211""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Greene-Hills GOAL","=""0170911""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","Female","N/A","N/A","N/A","N/A","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","South Side Extended Resource","=""0173011""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","South Side GOAL","=""0173111""","Male","N/A","N/A","N/A","*","*"
"Bristol School District","Extended Resource Self-Contained","=""0173611""","Female","N/A","N/A","N/A","N/A","*"
"Bristol School District","Extended Resource Self-Contained","=""0173611""","Male","N/A","N/A","N/A","N/A","*"
"Bristol School District","Chms Goal","=""0173411""","Male","N/A","N/A","N/A","N/A","*"
"Brookfield School District","Brookfield High School","=""0186111""","Female",7.3,"*",5.6,6.7,"*"
"Brookfield School District","Brookfield High School","=""0186111""","Male",6.2,"*",4.5,5.3,"*"
"Brookfield School District","Center Elementary School","=""0180311""","Female",3.7,"*","*","*",3.6
"Brookfield School District","Center Elementary School","=""0180311""","Male",5.8,"*","*","*",3.6
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Female",2.2,"*",3.0,"*","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Male",3.8,"*",2.5,"*","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Female",3.6,2.6,4.0,2.5,3.3
"Brookfield School District","Whisconier Middle School","=""0185311""","Male",4.2,3.5,5.0,3.9,2.7
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Female",3.2,7.1,4.5,4.1,"*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Male",6.4,7.9,3.2,5.1,"*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Female",8.2,5.2,3.5,5.0,"*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Male",9.9,6.8,5.4,6.3,"*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Female","*","*","*","*","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Male","*","*","*","*","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Female","*",5.8,"*","*","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Male","*",6.3,"*","*","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Female","*",8.6,"*","*","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Male","*",5.6,"*","*","*"
"Canton School District","Canton High School","=""0236111""","Female",5.6,4.7,5.9,"*",9.5
"Canton School District","Canton High School","=""0236111""","Male",3.8,3.4,4.5,"*",2.6
"Canton School District","Canton Intermediate School","=""0230311""","Female",5.4,3.9,13.6,16.5,5.2
"Canton School District","Canton Intermediate School","=""0230311""","Male",4.3,4.5,11.1,13.0,3.0
"Canton School District","Canton Middle School","=""0235111""","Female","*",5.8,"*","*","*"
"Canton School District","Canton Middle School","=""0235111""","Male","*",6.2,"*","*","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Female",4.4,4.0,10.4,13.7,6.4
"Canton School District","Cherry Brook Primary School","=""0230211""","Male",5.0,5.2,13.2,15.1,8.6
