"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","*"
"Enfield School District","Nathan Hale School","=""0491111""",7.2
"Enfield School District","Hazardville Memorial School","=""0490411""",10.2
"Enfield School District","Enfield Street School","=""0490211""",6.4
"Enfield School District","Edgar H. Parkman School","=""0491311""",5.2
"Enfield School District","Henry Barnard School","=""0491811""",12.0
"Enfield School District","Eli Whitney School","=""0491611""",6.5
"Enfield School District","Prudence Crandall School","=""0491511""",6.4
"Enfield School District","Enfield High School","=""0496111""",17.2
"Enfield School District","Enrico Fermi High School","=""0496211""",14.2
"Enfield School District","John F. Kennedy Middle School","=""0495211""",14.7
"Essex School District","Essex Elementary School","=""0500111""",3.0
"Explorations District","Explorations","=""2726113""",30.6
"Fairfield School District","Fairfield School/Community Partnership","=""0510511""","*"
"Fairfield School District","Walter Fitzgerald Campus","=""0510311""",55.2
"Fairfield School District","Dwight Elementary School","=""0510111""",3.9
"Fairfield School District","Jennings School","=""0511711""","*"
"Fairfield School District","Mill Hill School","=""0510711""",1.6
"Fairfield School District","Burr Elementary School","=""0510211""",4.3
"Fairfield School District","Holland Hill School","=""0510411""",3.7
"Fairfield School District","Riverfield School","=""0511211""",2.9
"Fairfield School District","North Stratfield School","=""0511611""",2.9
"Fairfield School District","McKinley School","=""0510611""",2.1
"Fairfield School District","Stratfield School","=""0511411""",2.0
"Fairfield School District","Sherman School","=""0511311""",3.1
"Fairfield School District","Osborn Hill School","=""0511811""",3.7
"Fairfield School District","Tomlinson Middle School","=""0515111""",5.2
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""",2.1
"Fairfield School District","Fairfield Woods Middle School","=""0515211""",2.5
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""",5.5
"Fairfield School District","Fairfield Warde High School","=""0516211""",4.8
"Farmington School District","Farmington Alternative High School","=""0520611""","*"
"Farmington School District","West District School","=""0520311""",2.6
"Farmington School District","Union School","=""0520111""",4.1
"Farmington School District","Noah Wallace School","=""0520211""",2.2
"Farmington School District","East Farms School","=""0520411""",3.3
"Farmington School District","Irving A. Robbins Middle School","=""0525111""",4.5
"Farmington School District","West Woods Upper Elementary School","=""0520511""",3.2
"Farmington School District","Farmington High School","=""0526111""",5.5
"Franklin School District","Franklin Elementary School","=""0530111""","*"
"Glastonbury School District","Links Transition","=""0541411""","*"
"Glastonbury School District","Links Academy","=""0540111""",40.6
"Glastonbury School District","Eastbury School","=""0540311""","*"
"Glastonbury School District","Naubuc School","=""0540711""",2.9
"Glastonbury School District","Hopewell School","=""0540611""",1.8
"Glastonbury School District","Hebron Avenue School","=""0540411""","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""",2.6
"Glastonbury School District","Gideon Welles School","=""0540811""",1.9
"Glastonbury School District","Nayaug Elementary School","=""0540911""",1.6
"Glastonbury School District","Smith Middle School","=""0545211""",1.8
"Glastonbury School District","Glastonbury High School","=""0546111""",3.6
"Granby School District","Wells Road Intermediate School","=""0560311""",4.2
"Granby School District","Kelly Lane Primary School","=""0560411""",3.3
"Granby School District","Granby Memorial Middle School","=""0565111""",5.8
"Granby School District","Frank M. Kearns Primary School","=""0560111""",5.6
"Granby School District","Granby Memorial High School","=""0566111""",5.5
"Great Oaks Charter School District","Great Oaks Charter School","=""2940113""",15.1
"Greenwich School District","Community Connections","=""0571211""","*"
"Greenwich School District","Greenwich Alternative High School","=""0571411""",82.9
"Greenwich School District","Parkway School","=""0571111""","*"
"Greenwich School District","New Lebanon School","=""0570611""",2.2
"Greenwich School District","Hamilton Avenue School","=""0570511""",6.4
"Greenwich School District","Julian Curtiss School","=""0570311""",3.4
"Greenwich School District","North Street School","=""0570811""","*"
"Greenwich School District","International School At Dundee","=""0571311""",2.2
"Greenwich School District","Old Greenwich School","=""0570911""",1.7
"Greenwich School District","Glenville School","=""0570411""",2.5
"Greenwich School District","Cos Cob School","=""0570211""",2.2
"Greenwich School District","Riverside School","=""0571011""","*"
"Greenwich School District","North Mianus School","=""0570711""","*"
"Greenwich School District","Western Middle School","=""0575311""",3.3
"Greenwich School District","Central Middle School","=""0575111""",2.0
"Greenwich School District","Eastern Middle School","=""0575211""",1.8
"Greenwich School District","Greenwich High School","=""0576111""",6.2
"Griswold School District","Griswold Alternative School","=""0580111""","*"
"Griswold School District","Griswold Middle School","=""0585111""",8.8
"Griswold School District","Griswold High School","=""0586211""",13.0
"Griswold School District","Griswold Elementary School","=""0580311""",4.4
"Groton School District","Virtual Learning Academy","=""0590611""","*"
"Groton School District","New Beginnings Alternative Program","=""0590211""",65.2
"Groton School District","S. B. Butler School","=""0590111""","*"
"Groton School District","Charles Barnum School","=""0591811""",5.8
"Groton School District","Pleasant Valley School","=""0591211""",8.9
"Groton School District","Mary Morrisson School","=""0591711""",10.4
"Groton School District","Claude Chester School","=""0590311""",8.9
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""",9.8
"Groton School District","Northeast Academy Elementary School","=""0591911""",2.9
"Groton School District","West Side Middle School","=""0595211""",13.5
"Groton School District","Carl C. Cutler Middle School","=""0595311""",7.8
"Groton School District","Robert E. Fitch High School","=""0596111""",18.6
"Guilford School District","Calvin Leete School","=""0600411""",2.7
"Guilford School District","Guilford Lakes School","=""0600211""",2.4
"Guilford School District","A. W. Cox School","=""0600611""",5.6
"Guilford School District","Melissa Jones School","=""0600311""",3.2
"Guilford School District","E. C. Adams Middle School","=""0605111""",6.2
"Guilford School District","A. Baldwin Middle School","=""0600711""",5.8
"Guilford School District","Guilford High School","=""0606111""",4.0
"Hamden School District","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","*"
"Hamden School District","Alice Peck Learning Center","=""0628011""","*"
"Hamden School District","Hamden Collaborative Learning Center","=""0620511""",90.0
"Hamden School District","Dunbar Hill School","=""0620311""",7.1
"Hamden School District","Helen Street School","=""0620411""",10.0
"Hamden School District","Church Street School","=""0620211""",10.5
"Hamden School District","Shepherd Glen School","=""0620111""",10.7
"Hamden School District","Ridge Hill School","=""0621111""",12.7
"Hamden School District","West Woods School","=""0621411""",1.8
"Hamden School District","Spring Glen School","=""0621011""",7.2
"Hamden School District","Bear Path School","=""0621211""",5.4
"Hamden School District","Hamden Middle School","=""0625211""",16.2
"Hamden School District","Hamden High School","=""0626111""",34.4
"Hampton School District","Hampton Elementary School","=""0630111""",7.9
"Hartford School District","LC - Breakthrough II","=""0649511""","*"
"Hartford School District","LC - Moylan","=""0649811""","*"
"Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","*"
"Hartford School District","LC - Burns","=""0649611""","*"
"Hartford School District","Autism Program-Burr School","=""0648611""","*"
"Hartford School District","EDP - McDonough Expeditionary Learning School","=""0648111""","*"
"Hartford School District","MDP - Moylan School","=""0648511""","*"
"Hartford School District","EDP - Bulkeley High School","=""0648311""","*"
"Hartford School District","High Step Transition","=""0648411""","*"
"Hartford School District","EDP - Betances Early Reading Lab","=""0645811""","*"
"Hartford School District","Autism Program - Simpson-Waverly","=""0649311""","*"
"Hartford School District","MDP - Batchelder School","=""0644811""","*"
"Hartford School District","MDP - Bulkeley High School","=""0645011""","*"
