"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, Free/Reduced Price Meal Eligibility"

"Organization","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Avon School District","Thompson Brook School","=""0040511""","Eligible For Reduced Lunch","*"
"Avon School District","Thompson Brook School","=""0040511""","Not Eligible For Lunch",5.6
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Eligible For Free Lunch","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Not Eligible For Lunch",4.3
"Berlin School District","Berlin High School","=""0076111""","Eligible For Free Lunch","*"
"Berlin School District","Berlin High School","=""0076111""","Eligible For Reduced Lunch","*"
"Berlin School District","Berlin High School","=""0076111""","Not Eligible For Lunch",5.0
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Eligible For Free Lunch","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Eligible For Reduced Lunch","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Not Eligible For Lunch",6.0
"Berlin School District","Emma Hart Willard School","=""0070411""","Eligible For Free Lunch","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Eligible For Reduced Lunch","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Not Eligible For Lunch",2.5
"Berlin School District","Mary E. Griswold School","=""0070511""","Eligible For Free Lunch","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Eligible For Reduced Lunch","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Not Eligible For Lunch","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Eligible For Free Lunch","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Eligible For Reduced Lunch","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Not Eligible For Lunch","*"
"Bethany School District","Bethany Community School","=""0080111""","Eligible For Free Lunch","*"
"Bethany School District","Bethany Community School","=""0080111""","Eligible For Reduced Lunch","*"
"Bethany School District","Bethany Community School","=""0080111""","Not Eligible For Lunch",4.8
"Bethel School District","Anna H. Rockwell School","=""0090411""","Eligible For Free Lunch","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Eligible For Reduced Lunch",0.0
"Bethel School District","Anna H. Rockwell School","=""0090411""","Not Eligible For Lunch","*"
"Bethel School District","Bethel High School","=""0096111""","Eligible For Free Lunch","*"
"Bethel School District","Bethel High School","=""0096111""","Eligible For Reduced Lunch","*"
"Bethel School District","Bethel High School","=""0096111""","Not Eligible For Lunch",6.5
"Bethel School District","Bethel Middle School","=""0095111""","Eligible For Free Lunch","*"
"Bethel School District","Bethel Middle School","=""0095111""","Eligible For Reduced Lunch","*"
"Bethel School District","Bethel Middle School","=""0095111""","Not Eligible For Lunch",6.3
"Bethel School District","Frank A. Berry School","=""0090111""","Eligible For Free Lunch","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Eligible For Reduced Lunch","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Not Eligible For Lunch","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Eligible For Free Lunch","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Eligible For Reduced Lunch","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Not Eligible For Lunch",5.1
"Bloomfield School District","Bloomfield High School","=""0116111""","Eligible For Free Lunch",9.6
"Bloomfield School District","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Not Eligible For Lunch","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Eligible For Free Lunch",5.7
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Not Eligible For Lunch","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Eligible For Free Lunch",10.3
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Not Eligible For Lunch","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Eligible For Free Lunch","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Not Eligible For Lunch",14.3
"Bloomfield School District","Laurel School","=""0110611""","Eligible For Free Lunch",11.4
"Bloomfield School District","Laurel School","=""0110611""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Laurel School","=""0110611""","Not Eligible For Lunch","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Eligible For Free Lunch","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Not Eligible For Lunch","*"
"Bloomfield School District","Metacomet School","=""0110511""","Eligible For Free Lunch","*"
"Bloomfield School District","Metacomet School","=""0110511""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Metacomet School","=""0110511""","Not Eligible For Lunch","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Free Lunch","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Not Eligible For Lunch","*"
"Bolton School District","Bolton Center School","=""0120111""","Eligible For Free Lunch","*"
"Bolton School District","Bolton Center School","=""0120111""","Eligible For Reduced Lunch","*"
"Bolton School District","Bolton Center School","=""0120111""","Not Eligible For Lunch",3.1
"Bolton School District","Bolton High School","=""0126111""","Eligible For Free Lunch","*"
"Bolton School District","Bolton High School","=""0126111""","Eligible For Reduced Lunch","*"
"Bolton School District","Bolton High School","=""0126111""","Not Eligible For Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Eligible For Free Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Eligible For Reduced Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Not Eligible For Lunch",5.9
"Branford School District","Branford High School","=""0146111""","Eligible For Free Lunch","*"
"Branford School District","Branford High School","=""0146111""","Eligible For Reduced Lunch","*"
"Branford School District","Branford High School","=""0146111""","Not Eligible For Lunch",8.5
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Eligible For Free Lunch",18.5
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Eligible For Reduced Lunch","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Not Eligible For Lunch","*"
"Branford School District","John B. Sliney School","=""0141611""","Eligible For Free Lunch","*"
"Branford School District","John B. Sliney School","=""0141611""","Eligible For Reduced Lunch","*"
"Branford School District","John B. Sliney School","=""0141611""","Not Eligible For Lunch",4.4
"Branford School District","Mary R. Tisko School","=""0141511""","Eligible For Free Lunch","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Eligible For Reduced Lunch","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Not Eligible For Lunch","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Eligible For Free Lunch","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Eligible For Reduced Lunch","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Not Eligible For Lunch",4.0
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Eligible For Free Lunch",3.3
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Eligible For Reduced Lunch","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Not Eligible For Lunch","*"
"Bridgeport School District","Barnum School","=""0150111""","Eligible For Free Lunch",23.9
"Bridgeport School District","Bassick High School","=""0156111""","Eligible For Free Lunch",39.3
"Bridgeport School District","Bassick High School","=""0156111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Bassick High School","=""0156111""","Not Eligible For Lunch","*"
"Bridgeport School District","Beardsley School","=""0150211""","Eligible For Free Lunch",16.1
"Bridgeport School District","Black Rock School","=""0150311""","Eligible For Free Lunch",18.8
"Bridgeport School District","Blackham School","=""0154011""","Eligible For Free Lunch","*"
"Bridgeport School District","Blackham School","=""0154011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Eligible For Free Lunch","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Not Eligible For Lunch","*"
"Bridgeport School District","Bryant School","=""0150411""","Eligible For Free Lunch",21.5
"Bridgeport School District","Central High School","=""0156211""","Eligible For Free Lunch",55.5
"Bridgeport School District","Central High School","=""0156211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Central High School","=""0156211""","Not Eligible For Lunch","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","Eligible For Free Lunch","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","Not Eligible For Lunch","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Eligible For Free Lunch","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Columbus School","=""0150511""","Eligible For Free Lunch",33.2
"Bridgeport School District","Columbus School","=""0150511""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Columbus School","=""0150511""","Not Eligible For Lunch","*"
"Bridgeport School District","Cross School","=""0153911""","Eligible For Free Lunch","*"
"Bridgeport School District","Cross School","=""0153911""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Curiale School","=""0154211""","Eligible For Free Lunch","*"
"Bridgeport School District","Curiale School","=""0154211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Dunbar School","=""0154111""","Eligible For Free Lunch","*"
"Bridgeport School District","Dunbar School","=""0154111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Dunbar School","=""0154111""","Not Eligible For Lunch","*"
"Bridgeport School District","Edison School","=""0150711""","Eligible For Free Lunch",16.9
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Eligible For Free Lunch","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Not Eligible For Lunch","*"
"Bridgeport School District","Hall School","=""0151111""","Eligible For Free Lunch","*"
"Bridgeport School District","Hall School","=""0151111""","Not Eligible For Lunch","*"
"Bridgeport School District","Hallen School","=""0151211""","Eligible For Free Lunch",11.2
"Bridgeport School District","Harding High School","=""0156311""","Eligible For Free Lunch",49.3
"Bridgeport School District","Harding High School","=""0156311""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Harding High School","=""0156311""","Not Eligible For Lunch","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Eligible For Free Lunch","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Hooker School","=""0151311""","Eligible For Free Lunch",14.1
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Eligible For Free Lunch",4.9
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Eligible For Free Lunch",27.3
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Not Eligible For Lunch","*"
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Eligible For Free Lunch","*"
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Not Eligible For Lunch","*"
"Bridgeport School District","Madison School","=""0152011""","Eligible For Free Lunch",14.7
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Eligible For Free Lunch","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Not Eligible For Lunch","*"
"Bridgeport School District","Park City Academy","=""0159211""","Eligible For Free Lunch","*"
"Bridgeport School District","Park City Academy","=""0159211""","Not Eligible For Lunch","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Eligible For Free Lunch","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Read School","=""0152511""","Eligible For Free Lunch","*"
"Bridgeport School District","Read School","=""0152511""","Not Eligible For Lunch","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Eligible For Free Lunch",26.9
"Bridgeport School District","Roosevelt School","=""0152611""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Not Eligible For Lunch","*"
"Bridgeport School District","Waltersville School","=""0153011""","Eligible For Free Lunch","*"
"Bridgeport School District","Waltersville School","=""0153011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Waltersville School","=""0153011""","Not Eligible For Lunch","*"
"Bridgeport School District","Winthrop School","=""0153611""","Eligible For Free Lunch","*"
"Bridgeport School District","Winthrop School","=""0153611""","Eligible For Reduced Lunch","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Free Lunch","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Reduced Lunch","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Not Eligible For Lunch","*"
"Bristol School District","Bristol Central High School","=""0176111""","Eligible For Free Lunch",29.0
"Bristol School District","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",18.9
"Bristol School District","Bristol Central High School","=""0176111""","Not Eligible For Lunch",4.8
"Bristol School District","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",30.6
"Bristol School District","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",15.5
"Bristol School District","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",9.6
"Bristol School District","Chippens Hill Middle School","=""0175111""","Eligible For Free Lunch",14.7
"Bristol School District","Chippens Hill Middle School","=""0175111""","Eligible For Reduced Lunch","*"
"Bristol School District","Chippens Hill Middle School","=""0175111""","Not Eligible For Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Eligible For Free Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Eligible For Reduced Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Not Eligible For Lunch","*"
"Bristol School District","Edgewood School","=""0170311""","Eligible For Free Lunch",20.2
"Bristol School District","Edgewood School","=""0170311""","Eligible For Reduced Lunch","*"
"Bristol School District","Edgewood School","=""0170311""","Not Eligible For Lunch","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Eligible For Free Lunch",13.8
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Eligible For Reduced Lunch","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Not Eligible For Lunch","*"
"Bristol School District","Greene-Hills School","=""0170511""","Eligible For Free Lunch",15.1
"Bristol School District","Greene-Hills School","=""0170511""","Eligible For Reduced Lunch",9.7
"Bristol School District","Greene-Hills School","=""0170511""","Not Eligible For Lunch",2.8
"Bristol School District","Ivy Drive School","=""0171911""","Eligible For Free Lunch","*"
"Bristol School District","Ivy Drive School","=""0171911""","Eligible For Reduced Lunch","*"
"Bristol School District","Ivy Drive School","=""0171911""","Not Eligible For Lunch",4.2
"Bristol School District","Mountain View School","=""0171711""","Eligible For Free Lunch",13.0
"Bristol School District","Mountain View School","=""0171711""","Eligible For Reduced Lunch","*"
"Bristol School District","Mountain View School","=""0171711""","Not Eligible For Lunch","*"
"Bristol School District","Northeast Middle School","=""0175211""","Eligible For Free Lunch",9.2
"Bristol School District","Northeast Middle School","=""0175211""","Eligible For Reduced Lunch","*"
"Bristol School District","Northeast Middle School","=""0175211""","Not Eligible For Lunch","*"
"Bristol School District","South Side School","=""0171111""","Eligible For Free Lunch",9.6
"Bristol School District","South Side School","=""0171111""","Eligible For Reduced Lunch","*"
"Bristol School District","South Side School","=""0171111""","Not Eligible For Lunch","*"
"Bristol School District","Stafford School","=""0171211""","Eligible For Free Lunch",14.4
"Bristol School District","Stafford School","=""0171211""","Eligible For Reduced Lunch","*"
"Bristol School District","Stafford School","=""0171211""","Not Eligible For Lunch","*"
"Bristol School District","West Bristol School","=""0172011""","Eligible For Free Lunch",16.7
"Bristol School District","West Bristol School","=""0172011""","Eligible For Reduced Lunch","*"
"Bristol School District","West Bristol School","=""0172011""","Not Eligible For Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Eligible For Free Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Eligible For Reduced Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Not Eligible For Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Eligible For Free Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Eligible For Reduced Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Not Eligible For Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Eligible For Free Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Eligible For Reduced Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Not Eligible For Lunch",1.4
"Brookfield School District","Whisconier Middle School","=""0185311""","Eligible For Free Lunch","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Eligible For Reduced Lunch","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Not Eligible For Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Eligible For Free Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Eligible For Reduced Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Not Eligible For Lunch",4.5
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Eligible For Free Lunch",14.3
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Eligible For Reduced Lunch","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Not Eligible For Lunch","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Eligible For Free Lunch","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Not Eligible For Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Eligible For Free Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Eligible For Reduced Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Not Eligible For Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Eligible For Free Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Eligible For Reduced Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Not Eligible For Lunch",6.0
"Canton School District","Canton High School","=""0236111""","Eligible For Free Lunch","*"
"Canton School District","Canton High School","=""0236111""","Eligible For Reduced Lunch","*"
"Canton School District","Canton High School","=""0236111""","Not Eligible For Lunch",3.0
"Canton School District","Canton Intermediate School","=""0230311""","Eligible For Free Lunch","*"
"Canton School District","Canton Intermediate School","=""0230311""","Eligible For Reduced Lunch","*"
"Canton School District","Canton Intermediate School","=""0230311""","Not Eligible For Lunch",3.3
"Canton School District","Canton Middle School","=""0235111""","Eligible For Free Lunch","*"
"Canton School District","Canton Middle School","=""0235111""","Eligible For Reduced Lunch","*"
"Canton School District","Canton Middle School","=""0235111""","Not Eligible For Lunch",4.5
"Canton School District","Cherry Brook Primary School","=""0230211""","Eligible For Free Lunch","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Eligible For Reduced Lunch","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Not Eligible For Lunch",3.2
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Eligible For Free Lunch",15.7
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Eligible For Reduced Lunch",16.7
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Not Eligible For Lunch",7.5
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Not Eligible For Lunch","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Eligible For Free Lunch","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Not Eligible For Lunch",10.7
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Eligible For Free Lunch",67.5
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Eligible For Reduced Lunch",50.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Not Eligible For Lunch",39.8
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Eligible For Free Lunch",13.8
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Not Eligible For Lunch","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Eligible For Free Lunch","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Not Eligible For Lunch",7.8
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Eligible For Free Lunch",31.0
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Eligible For Reduced Lunch","*"
