"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, All Students"

"",,,"% Chronically Absent",,,,
"Bristol School District","Ivy Drive GOAL","=""0172611""","N/A","N/A","N/A","*","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","N/A","N/A","N/A","*","*"
"Bristol School District","South Side GOAL","=""0173111""","N/A","N/A","N/A","*","*"
"Bristol School District","Mt. View GOAL","=""0172511""","N/A","N/A","N/A","*","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","N/A","N/A","N/A","*","*"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","N/A","N/A","N/A","*","*"
"Bristol School District","CHMS GOAL","=""0173411""","N/A","N/A","N/A","*","N/A"
"Bristol School District","Stafford Autism","=""0173211""","N/A","N/A","N/A","*","*"
"Bristol School District","Bristol Preparatory Academy","=""0173311""","N/A","N/A","N/A",44.7,49.0
"Bristol School District","Extended Resource Self-Contained","=""0173611""","N/A","N/A","N/A","N/A","*"
"Bristol School District","Chms Goal","=""0173411""","N/A","N/A","N/A","N/A","*"
"Brookfield School District","Center Elementary School","=""0180311""",4.7,2.6,2.9,2.3,3.6
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""",3.1,1.3,2.7,2.7,1.7
"Brookfield School District","Whisconier Middle School","=""0185311""",3.9,3.1,4.5,3.3,3.0
"Brookfield School District","Brookfield High School","=""0186111""",6.8,0.9,5.1,6.0,1.0
"Brooklyn School District","Brooklyn Middle School","=""0195111""",9.1,6.1,4.5,5.7,2.9
"Brooklyn School District","Brooklyn Elementary School","=""0190111""",4.8,7.5,3.8,4.6,2.0
"Canaan School District","Lee H. Kellogg School","=""0210111""",10.7,"*",10.1,"*",9.2
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""",4.2,7.0,5.1,3.5,4.3
"Canterbury School District","Canterbury Elementary School","=""0220211""",3.4,6.1,3.6,3.3,3.0
"Canton School District","Canton Middle School","=""0235111""",3.1,5.9,5.7,5.1,3.9
"Canton School District","Canton Intermediate School","=""0230311""",4.9,4.2,12.4,14.7,4.1
"Canton School District","Canton High School","=""0236111""",4.7,4.0,5.1,2.3,6.1
"Canton School District","Cherry Brook Primary School","=""0230211""",4.7,4.6,11.8,14.4,7.4
"Canton School District","Canton Academy","=""0230411""","N/A","N/A","N/A","*","*"
"Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","=""2970113""","N/A","N/A","N/A","N/A",13.7
"Capitol Region Education Council","Integrated Program Models","=""2419414""","*","*","*","*","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*","*","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","*",25.0,23.3,"*","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""",60.6,55.3,"*","*",40.0
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","*",14.7,"N/A","N/A","N/A"
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","*","*","*",24.1,12.7
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""",56.7,27.6,0.0,0.0,"*"
"Capitol Region Education Council","River Street School","=""2419314""",14.7,17.6,17.8,17.0,15.8
"Capitol Region Education Council","Museum Academy","=""2410514""",8.4,11.5,9.7,8.8,9.6
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""",14.7,12.8,15.2,15.1,8.9
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""",9.2,12.0,13.5,12.3,8.9
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""",14.5,"N/A","N/A","N/A","N/A"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""",9.3,13.4,17.0,"N/A","N/A"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""",6.9,7.0,8.3,7.3,6.3
"Capitol Region Education Council","Montessori Magnet School","=""2413114""",3.8,9.8,10.0,10.6,7.8
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","*",6.4,6.3,9.4,6.0
"Capitol Region Education Council","Public Safety Academy","=""2415214""",23.6,21.6,18.1,28.0,23.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""",17.2,11.3,13.9,15.1,7.2
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",53.9,52.3,47.9,44.7,29.0
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""",4.8,6.4,6.4,8.9,6.1
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""",7.6,8.0,8.2,8.9,7.6
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","N/A",18.0,14.8,14.3,7.1
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""","N/A",6.5,7.0,8.6,16.3
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","N/A",8.5,14.0,17.2,18.4
"Capitol Region Education Council","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","N/A","N/A","*","N/A","N/A"
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""","N/A","N/A",18.9,25.3,15.3
"Capitol Region Education Council","Discovery Academy","=""2418114""","N/A","N/A",12.4,9.1,5.7
"Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","=""2410914""","N/A","N/A","N/A","*","N/A"
"Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","Soundbridge @ Wethersfield High School","=""2411014""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","Soundbridge @ Museum Academy","=""2411214""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""","N/A","N/A","N/A",14.9,13.8
"Chaplin School District","Chaplin Elementary School","=""0240211""",9.6,8.3,8.0,11.4,10.1
"Cheshire School District","Humiston School","=""0259011""",29.6,25.9,"*","N/A","N/A"
"Cheshire School District","Darcey School","=""0250211""",9.2,0.0,"*",0.0,"*"
"Cheshire School District","Chapman School","=""0250111""",2.0,"*",2.3,"*",4.3
"Cheshire School District","Norton School","=""0250511""",2.3,0.0,1.9,"*",3.1
"Cheshire School District","Doolittle School","=""0250611""",3.3,0.0,2.8,1.8,3.3
"Cheshire School District","Dodd Middle School","=""0255111""",5.6,5.9,4.3,0.0,5.2
"Cheshire School District","Highland School","=""0250411""",2.8,0.0,3.5,1.8,4.4
"Cheshire School District","Cheshire High School","=""0256111""",7.9,9.0,8.6,8.2,5.9
"Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","N/A","N/A","N/A","*","*"
"Cheshire School District","Humiston Alternative School","=""0250911""","N/A","N/A","N/A",90.3,68.0
"Chester School District","Chester Elementary School","=""0260111""",5.8,9.2,3.2,"*",2.8
"Clinton School District","Abraham Pierson School","=""0270111""",3.2,3.6,5.4,1.9,"*"
"Clinton School District","Jared Eliot School","=""0275111""",7.9,5.4,5.7,4.7,4.5
"Clinton School District","The Morgan School","=""0276111""",21.4,14.8,11.7,14.7,10.1
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""",6.4,5.0,3.8,3.1,3.5
"Colchester School District","Colchester Elementary School","=""0280411""",2.3,3.6,3.6,4.8,3.9
"Colchester School District","Jack Jackter Intermediate School","=""0280211""",0.9,1.8,3.0,1.9,2.3
"Colchester School District","William J. Johnston Middle School","=""0285111""",5.3,6.1,6.0,6.7,4.7
"Colchester School District","Bacon Academy","=""0286111""",1.3,10.2,6.9,2.6,9.3
"Colchester School District","Bacon Academy Alternative Education","=""0280511""","N/A","N/A","N/A","*","*"
"Colebrook School District","Colebrook Consolidated School","=""0290111""","*","*","*","*","*"
"Columbia School District","Horace W. Porter School","=""0300111""",6.9,4.1,0.0,4.8,3.4
"Common Ground High School District","Common Ground High School","=""2686113""",12.8,14.5,16.6,15.3,11.5
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""",18.6,24.8,30.9,31.9,29.2
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""",17.3,19.1,19.4,19.3,17.7
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""",10.6,13.4,13.3,13.7,10.2
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""",8.9,17.6,19.9,19.6,14.2
"Connecticut Technical High School System","Windham Technical High School","=""9002416""",6.0,10.8,9.1,6.5,6.7
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""",11.6,13.6,12.0,15.9,14.1
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""",9.0,8.1,12.8,15.6,10.8
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""",2.4,7.6,9.3,9.7,8.0
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""",5.5,7.2,4.8,4.1,4.3
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""",11.5,12.2,11.6,12.0,11.8
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""",12.9,11.4,13.7,14.9,13.7
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""",17.9,11.6,11.8,15.4,18.1
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""",4.7,6.4,7.9,7.6,7.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""",6.7,10.9,13.1,12.2,8.7
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""",14.3,14.2,14.7,14.4,20.9
"Connecticut Technical High School System","Platt Technical High School","=""9002616""",7.6,10.2,9.0,11.5,9.4
"Connecticut Technical High School System","J. M. Wright Technical High School","=""9002116""","N/A","N/A","N/A",11.4,13.9
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","*","*","*","*","*"
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""","*",21.8,21.8,24.1,17.5
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""",13.2,22.8,17.2,18.7,20.9
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""",39.8,42.6,39.4,41.9,36.0
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""",9.2,7.0,5.0,7.2,6.8
"Cornwall School District","Cornwall Consolidated School","=""0310111""",5.7,"*","*","*","*"
"Coventry School District","Coventry Grammar School","=""0320211""",5.5,5.1,3.8,4.6,3.7
"Coventry School District","George Hersey Robertson School","=""0320411""",3.0,3.0,3.1,4.4,2.2
"Coventry School District","Capt. Nathan Hale School","=""0325111""",4.8,2.9,5.9,6.2,6.8
"Coventry School District","Coventry High School","=""0326111""",10.3,14.2,7.3,9.7,7.3
"Coventry School District","Coventry Academy","=""0320111""","N/A","N/A","N/A","*","*"
"Cromwell School District","Woodside Intermediate School","=""0330311""",5.0,0.0,1.9,2.7,"*"
"Cromwell School District","Edna C. Stevens School","=""0330211""",5.4,0.0,2.7,3.0,1.8
"Cromwell School District","Cromwell Middle School","=""0335111""",6.2,6.5,4.1,3.3,2.5
"Cromwell School District","Cromwell High School","=""0336111""",7.8,10.3,11.1,1.4,2.3
"Danbury School District","Alternative Center For Excellence","=""0346211""",66.2,75.6,21.4,62.4,60.2
"Danbury School District","Great Plain School","=""0341111""",5.3,4.8,3.6,5.2,6.9
"Danbury School District","South Street School","=""0341011""",5.1,5.0,5.7,7.1,2.6
"Danbury School District","Pembroke School","=""0341511""",6.5,8.1,7.5,5.6,7.4
"Danbury School District","King Street Intermediate School","=""0341711""",3.2,4.7,6.4,7.0,7.4
"Danbury School District","Ellsworth Avenue School","=""0341411""","*",3.2,3.8,4.1,1.6
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",3.6,6.1,2.2,4.2,3.4
"Danbury School District","Hayestown Avenue School","=""0340211""",7.9,11.0,8.2,5.5,8.6
"Danbury School District","Morris Street School","=""0340611""",4.4,6.3,5.6,2.7,2.2
"Danbury School District","King Street Primary School","=""0341311""",4.9,5.3,4.9,5.2,6.5
"Danbury School District","Shelter Rock School","=""0341211""",7.4,5.8,6.3,4.7,6.3
"Danbury School District","Mill Ridge Primary School","=""0340511""",7.0,7.4,6.3,5.1,2.0
"Danbury School District","Park Avenue School","=""0340811""",7.9,7.9,6.2,6.4,8.4
"Danbury School District","Stadley Rough School","=""0341611""",6.3,7.5,7.0,7.0,7.1
"Danbury School District","Broadview Middle School","=""0345111""",10.4,9.0,6.4,5.1,3.8
"Danbury School District","Rogers Park Middle School","=""0345211""",11.0,10.8,8.1,3.0,4.9
"Danbury School District","Danbury High School","=""0346111""",25.2,18.4,5.1,11.4,11.9
"Danbury School District","Westside Middle School Academy","=""0340311""","N/A","N/A","N/A",1.5,2.6
"Darien School District","Royle Elementary School","=""0350511""",3.4,4.4,2.1,4.7,2.7
"Darien School District","Holmes Elementary School","=""0350711""","*",1.6,"*","*","*"
"Darien School District","Tokeneke Elementary School","=""0350611""",2.9,3.1,2.5,1.6,1.8
"Darien School District","Ox Ridge Elementary School","=""0351311""",3.0,2.3,3.3,2.9,2.3
"Darien School District","Hindley Elementary School","=""0350211""",2.8,3.1,1.8,3.2,2.0
"Darien School District","Middlesex Middle School","=""0355111""",4.6,4.9,5.3,5.0,3.0
"Darien School District","Darien High School","=""0356111""",6.3,3.6,4.5,6.0,4.4
"Deep River School District","Deep River Elementary School","=""0360111""",5.3,3.4,2.2,"*","*"
"Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","=""3370515""","*","*","*","N/A","N/A"
"Department of Mental Health and Addiction Services","Connecticut Valley Hospital","=""3370215""","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Connecticut Mental Health Center","=""3370415""","N/A","N/A","N/A","*","N/A"
"Derby School District","Derby Middle School","=""0375011""",13.3,13.9,18.2,17.0,13.2
"Derby School District","Bradley School","=""0370611""",7.2,9.7,7.4,4.6,7.0
"Derby School District","Derby High School","=""0376111""",18.6,20.8,23.1,25.1,22.1
"Derby School District","Irving School","=""0370411""",12.4,12.6,16.1,19.9,8.5
"Derby School District","Derby Alternative Education Center","=""0370511""","N/A","N/A","N/A","N/A","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","*",4.0,5.9,6.0,5.6
"East Granby School District","East Granby Middle School","=""0405111""","*",3.7,4.3,5.7,"*"
"East Granby School District","Allgrove School","=""0400111""",4.8,7.0,5.7,6.3,7.1
"East Granby School District","East Granby High School","=""0406111""",9.4,11.1,5.0,10.2,8.7
"East Haddam School District","East Haddam Elementary School","=""0410111""",6.5,5.9,3.9,4.7,4.7
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""",11.1,10.2,10.6,10.8,8.3
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""",5.8,5.7,4.3,3.9,5.1
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","*","*","*","*","*"
"East Hampton School District","Center School","=""0420311""",3.6,5.6,7.0,4.6,3.1
"East Hampton School District","East Hampton Middle School","=""0425111""",6.2,7.4,6.6,6.3,7.4
"East Hampton School District","East Hampton High School","=""0426111""",6.9,5.0,6.9,8.8,12.2
"East Hampton School District","Memorial School","=""0420111""",5.2,5.0,6.4,8.0,4.3
"East Hartford School District","Stevens Alternate High school","=""0436411""",13.5,49.2,63.3,88.5,87.6
"East Hartford School District","Connecticut IB Academy","=""0436311""","*",4.3,0.0,3.5,4.2
"East Hartford School District","Woodland School","=""0439011""",6.1,59.1,54.2,59.7,61.3
"East Hartford School District","Silver Lane School","=""0431211""",2.4,19.9,20.0,21.1,12.4
"East Hartford School District","Hockanum School","=""0430511""",16.2,16.2,13.8,5.8,6.6
"East Hartford School District","Anna E. Norris School","=""0430911""",12.5,21.2,17.1,20.5,12.5
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""",2.9,8.1,7.0,8.9,6.1
"East Hartford School District","Joseph O. Goodwin School","=""0430411""",6.5,12.5,11.4,13.9,9.0
"East Hartford School District","Governor William Pitkin School","=""0432011""",6.1,6.7,6.9,9.0,7.0
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",2.3,7.0,5.3,7.1,8.6
