"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Grade   6",7.7
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Grade   7",8.6
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Grade   8",14.9
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   7","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   8","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   9","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 10","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 11","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 12","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Grade   9","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Grade 10","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Grade 11",36.4
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Grade 12",49.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Grade   9","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Grade 10",76.9
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Grade 11",66.7
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Grade 12","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Grade   9","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Grade 10","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Grade 11","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Grade 12","*"
"Ashford School District","Ashford School","=""0030111""","Kindergarten","*"
"Ashford School District","Ashford School","=""0030111""","Grade   1","*"
"Ashford School District","Ashford School","=""0030111""","Grade   2",14.0
"Ashford School District","Ashford School","=""0030111""","Grade   3","*"
"Ashford School District","Ashford School","=""0030111""","Grade   4","*"
"Ashford School District","Ashford School","=""0030111""","Grade   5",0.0
"Ashford School District","Ashford School","=""0030111""","Grade   6","*"
"Ashford School District","Ashford School","=""0030111""","Grade   7","*"
"Ashford School District","Ashford School","=""0030111""","Grade   8",0.0
"Avon School District","Pine Grove School","=""0040411""","Kindergarten",8.0
"Avon School District","Pine Grove School","=""0040411""","Grade   1",6.0
"Avon School District","Pine Grove School","=""0040411""","Grade   2","*"
"Avon School District","Pine Grove School","=""0040411""","Grade   3","*"
"Avon School District","Pine Grove School","=""0040411""","Grade   4","*"
"Avon School District","Roaring Brook School","=""0040311""","Kindergarten",18.4
"Avon School District","Roaring Brook School","=""0040311""","Grade   1",7.2
"Avon School District","Roaring Brook School","=""0040311""","Grade   2","*"
"Avon School District","Roaring Brook School","=""0040311""","Grade   3","*"
"Avon School District","Roaring Brook School","=""0040311""","Grade   4","*"
"Avon School District","Thompson Brook School","=""0040511""","Grade   5",3.3
"Avon School District","Thompson Brook School","=""0040511""","Grade   6",2.9
"Avon School District","Avon Middle School","=""0045111""","Grade   7",2.2
"Avon School District","Avon Middle School","=""0045111""","Grade   8",4.3
"Avon School District","Avon High School","=""0046111""","Grade   9",5.5
"Avon School District","Avon High School","=""0046111""","Grade 10",5.7
"Avon School District","Avon High School","=""0046111""","Grade 11",5.2
"Avon School District","Avon High School","=""0046111""","Grade 12",4.5
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Kindergarten","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Grade   1","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Grade   2","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Grade   3","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Grade   4","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Grade   5","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Grade   6",0.0
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","Grade   4","*"
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","Grade   5","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Kindergarten","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Grade   1","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Grade   2","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Grade   3","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Grade   4","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Grade   5","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Kindergarten",0.0
"Berlin School District","Mary E. Griswold School","=""0070511""","Grade   1","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Grade   2","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Grade   3",0.0
"Berlin School District","Mary E. Griswold School","=""0070511""","Grade   4","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Grade   5",0.0
"Berlin School District","Richard D. Hubbard School","=""0070111""","Kindergarten",0.0
"Berlin School District","Richard D. Hubbard School","=""0070111""","Grade   1","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Grade   2",0.0
"Berlin School District","Richard D. Hubbard School","=""0070111""","Grade   3",0.0
"Berlin School District","Richard D. Hubbard School","=""0070111""","Grade   4","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Grade   5","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Grade   6","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Grade   7","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Grade   8",3.7
"Berlin School District","Berlin High School","=""0076111""","Grade   9",3.8
"Berlin School District","Berlin High School","=""0076111""","Grade 10",4.2
"Berlin School District","Berlin High School","=""0076111""","Grade 11",8.4
"Berlin School District","Berlin High School","=""0076111""","Grade 12",7.8
"Bethany School District","Bethany Community School","=""0080111""","Kindergarten","*"
"Bethany School District","Bethany Community School","=""0080111""","Grade   1","*"
"Bethany School District","Bethany Community School","=""0080111""","Grade   2","*"
"Bethany School District","Bethany Community School","=""0080111""","Grade   3","*"
"Bethany School District","Bethany Community School","=""0080111""","Grade   4","*"
"Bethany School District","Bethany Community School","=""0080111""","Grade   5",0.0
"Bethany School District","Bethany Community School","=""0080111""","Grade   6",11.1
"Bethel School District","Anna H. Rockwell School","=""0090411""","Kindergarten","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Grade   1","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Grade   2","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Grade   3",4.8
"Bethel School District","Frank A. Berry School","=""0090111""","Kindergarten","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Grade   1","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Grade   2","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Grade   3","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Grade   4",13.6
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Grade   5",14.4
"Bethel School District","Bethel Middle School","=""0095111""","Grade   6",4.2
"Bethel School District","Bethel Middle School","=""0095111""","Grade   7",2.8
"Bethel School District","Bethel Middle School","=""0095111""","Grade   8",4.6
"Bethel School District","Bethel High School","=""0096111""","Grade   9",6.7
"Bethel School District","Bethel High School","=""0096111""","Grade 10",6.1
"Bethel School District","Bethel High School","=""0096111""","Grade 11",12.1
"Bethel School District","Bethel High School","=""0096111""","Grade 12",13.4
"Bloomfield School District","Laurel School","=""0110611""","Kindergarten",10.1
"Bloomfield School District","Laurel School","=""0110611""","Grade   1",4.9
"Bloomfield School District","Laurel School","=""0110611""","Grade   2",14.2
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Kindergarten",11.7
"Bloomfield School District","Metacomet School","=""0110511""","Grade   3",4.1
"Bloomfield School District","Metacomet School","=""0110511""","Grade   4",6.2
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Grade   5","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Grade   6","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Grade   6","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Grade   7","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Grade   8",18.8
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Grade   9","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Grade 10","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Grade 11","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Grade 12","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Grade   7","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Grade   8","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Grade   9",11.5
"Bloomfield School District","Bloomfield High School","=""0116111""","Grade 10",9.6
"Bloomfield School District","Bloomfield High School","=""0116111""","Grade 11",9.5
"Bloomfield School District","Bloomfield High School","=""0116111""","Grade 12",5.1
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Grade   9","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Grade 10","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Grade 11","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Grade 12","*"
"Bloomfield School District","SAGE","=""3480415""","Grade   9","*"
"Bolton School District","Bolton Center School","=""0120111""","Kindergarten","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   1","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   2","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   3","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   4","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   5","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   6","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   7","*"
"Bolton School District","Bolton Center School","=""0120111""","Grade   8","*"
"Bolton School District","Bolton High School","=""0126111""","Grade   9",0.0
"Bolton School District","Bolton High School","=""0126111""","Grade 10","*"
"Bolton School District","Bolton High School","=""0126111""","Grade 11","*"
"Bolton School District","Bolton High School","=""0126111""","Grade 12","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Kindergarten",27.6
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Grade   1","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Grade   2","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Kindergarten","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   1","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   2","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   3","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   4",0.0
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   5","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   6",0.0
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   7","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Grade   8","*"
"Branford School District","John B. Sliney School","=""0141611""","Kindergarten","*"
"Branford School District","John B. Sliney School","=""0141611""","Grade   1","*"
"Branford School District","John B. Sliney School","=""0141611""","Grade   2","*"
"Branford School District","John B. Sliney School","=""0141611""","Grade   3","*"
"Branford School District","John B. Sliney School","=""0141611""","Grade   4","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Kindergarten",11.6
"Branford School District","Mary R. Tisko School","=""0141511""","Grade   1","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Grade   2","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Grade   3","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Grade   4","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Kindergarten",17.1
"Branford School District","Mary T. Murphy School","=""0141411""","Grade   1",10.0
"Branford School District","Mary T. Murphy School","=""0141411""","Grade   2","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Grade   3","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Grade   4",10.6
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Grade   5",4.9
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Grade   6",6.7
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Grade   7",8.4
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Grade   8",8.8
"Branford School District","Branford High School Horizons Program","=""0140211""","Grade   9","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Grade 10","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Grade 11","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Grade 12","*"
"Branford School District","Branford High School","=""0146111""","Grade   9",7.6
"Branford School District","Branford High School","=""0146111""","Grade 10",6.8
"Branford School District","Branford High School","=""0146111""","Grade 11",11.2
"Branford School District","Branford High School","=""0146111""","Grade 12",16.2
"Branford School District","Bridgeport Detention Center","=""3480115""","Grade   9","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Kindergarten","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Grade   1","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Grade   2","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Grade   3","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Kindergarten","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   1","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   2","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   3","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   4","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   5","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   6","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   7","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   8",7.8
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade   9","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade 10",14.0
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade 11","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Grade 12","*"
"Bridgeport School District","Barnum School","=""0150111""","Kindergarten",34.1
"Bridgeport School District","Barnum School","=""0150111""","Grade   1",24.5
"Bridgeport School District","Barnum School","=""0150111""","Grade   2",25.0
"Bridgeport School District","Barnum School","=""0150111""","Grade   3",22.8
"Bridgeport School District","Barnum School","=""0150111""","Grade   4",21.3
"Bridgeport School District","Barnum School","=""0150111""","Grade   5",17.5
"Bridgeport School District","Barnum School","=""0150111""","Grade   6",24.4
"Bridgeport School District","Barnum School","=""0150111""","Grade   7",37.0
"Bridgeport School District","Barnum School","=""0150111""","Grade   8",13.8
"Bridgeport School District","Beardsley School","=""0150211""","Kindergarten",18.4
"Bridgeport School District","Beardsley School","=""0150211""","Grade   1",17.5
"Bridgeport School District","Beardsley School","=""0150211""","Grade   2","*"
"Bridgeport School District","Beardsley School","=""0150211""","Grade   3",13.3
"Bridgeport School District","Beardsley School","=""0150211""","Grade   4",11.3
"Bridgeport School District","Beardsley School","=""0150211""","Grade   5","*"
"Bridgeport School District","Beardsley School","=""0150211""","Grade   6",21.9
"Bridgeport School District","Black Rock School","=""0150311""","Kindergarten","*"
"Bridgeport School District","Black Rock School","=""0150311""","Grade   1",9.7
"Bridgeport School District","Black Rock School","=""0150311""","Grade   2","*"
"Bridgeport School District","Black Rock School","=""0150311""","Grade   3","*"
"Bridgeport School District","Black Rock School","=""0150311""","Grade   4","*"
"Bridgeport School District","Black Rock School","=""0150311""","Grade   5","*"
"Bridgeport School District","Black Rock School","=""0150311""","Grade   6","*"
"Bridgeport School District","Black Rock School","=""0150311""","Grade   7","*"
"Bridgeport School District","Black Rock School","=""0150311""","Grade   8","*"
"Bridgeport School District","Blackham School","=""0154011""","Kindergarten",15.2
"Bridgeport School District","Blackham School","=""0154011""","Grade   1",15.2
"Bridgeport School District","Blackham School","=""0154011""","Grade   2",12.4
"Bridgeport School District","Blackham School","=""0154011""","Grade   3",12.1
"Bridgeport School District","Blackham School","=""0154011""","Grade   4",15.0
"Bridgeport School District","Blackham School","=""0154011""","Grade   5",14.7
"Bridgeport School District","Blackham School","=""0154011""","Grade   6",11.2
"Bridgeport School District","Blackham School","=""0154011""","Grade   7",9.7
"Bridgeport School District","Blackham School","=""0154011""","Grade   8",8.1
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Kindergarten","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   1","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   2","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   3","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   4","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   5","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   6","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   7","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   8","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade   9","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade 10","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade 11","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Grade 12","*"
"Bridgeport School District","Bryant School","=""0150411""","Kindergarten",16.7
"Bridgeport School District","Bryant School","=""0150411""","Grade   1",16.4
"Bridgeport School District","Bryant School","=""0150411""","Grade   2","*"
"Bridgeport School District","Bryant School","=""0150411""","Grade   3","*"
"Bridgeport School District","Bryant School","=""0150411""","Grade   4",12.1
"Bridgeport School District","Bryant School","=""0150411""","Grade   5",13.7
"Bridgeport School District","Bryant School","=""0150411""","Grade   6",15.4
"Bridgeport School District","Cesar Batalla School","=""0151411""","Kindergarten",16.5
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   1",15.4
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   2",9.0
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   3",14.6
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   4",10.5
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   5",5.4
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   6",10.8
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   7",16.4
"Bridgeport School District","Cesar Batalla School","=""0151411""","Grade   8",11.2
"Bridgeport School District","Classical Studies Academy","=""0152111""","Kindergarten",15.8
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   1","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   2",0.0
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   3","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   4","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   5","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   6","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   7","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Grade   8",0.0
"Bridgeport School District","Columbus School","=""0150511""","Kindergarten",39.7
"Bridgeport School District","Columbus School","=""0150511""","Grade   1",27.1
"Bridgeport School District","Columbus School","=""0150511""","Grade   2",15.6
"Bridgeport School District","Columbus School","=""0150511""","Grade   3",18.4
"Bridgeport School District","Columbus School","=""0150511""","Grade   4",26.2
"Bridgeport School District","Columbus School","=""0150511""","Grade   5",17.5
"Bridgeport School District","Columbus School","=""0150511""","Grade   6",41.2
"Bridgeport School District","Columbus School","=""0150511""","Grade   7",11.5
"Bridgeport School District","Columbus School","=""0150511""","Grade   8",20.8
"Bridgeport School District","Cross School","=""0153911""","Kindergarten",29.5
"Bridgeport School District","Cross School","=""0153911""","Grade   1",29.5
"Bridgeport School District","Cross School","=""0153911""","Grade   2",24.5
"Bridgeport School District","Cross School","=""0153911""","Grade   3",12.8
"Bridgeport School District","Cross School","=""0153911""","Grade   4",18.8
"Bridgeport School District","Cross School","=""0153911""","Grade   5",20.0
"Bridgeport School District","Cross School","=""0153911""","Grade   6",48.1
"Bridgeport School District","Cross School","=""0153911""","Grade   7",39.4
"Bridgeport School District","Cross School","=""0153911""","Grade   8",58.1
"Bridgeport School District","Curiale School","=""0154211""","Kindergarten",25.7
"Bridgeport School District","Curiale School","=""0154211""","Grade   1",27.9
"Bridgeport School District","Curiale School","=""0154211""","Grade   2",15.5
