"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, English Learner Status"

"Organization","School","School Code","English Learner Status","% Chronically Absent"
"Bridgeport School District","Roosevelt School","=""0152611""","Non-ELL",27.8
"Bridgeport School District","Waltersville School","=""0153011""","ELL",16.9
"Bridgeport School District","Waltersville School","=""0153011""","Non-ELL",18.3
"Bridgeport School District","Winthrop School","=""0153611""","ELL","*"
"Bridgeport School District","Winthrop School","=""0153611""","Non-ELL","*"
"Bridgeport School District","Skane Center","=""0154411""","Non-ELL","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","ELL","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Non-ELL","*"
"Bristol School District","Bristol Central High School","=""0176111""","ELL",32.3
"Bristol School District","Bristol Central High School","=""0176111""","Non-ELL",16.0
"Bristol School District","Bristol Eastern High School","=""0176211""","ELL",48.5
"Bristol School District","Bristol Eastern High School","=""0176211""","Non-ELL",16.3
"Bristol School District","Chippens Hill Middle School","=""0175111""","ELL",40.0
"Bristol School District","Chippens Hill Middle School","=""0175111""","Non-ELL",9.9
"Bristol School District","Clara T. O'Connell School","=""0170711""","ELL","*"
"Bristol School District","Clara T. O'Connell School","=""0170711""","Non-ELL","*"
"Bristol School District","Edgewood School","=""0170311""","ELL","*"
"Bristol School District","Edgewood School","=""0170311""","Non-ELL",9.4
"Bristol School District","Ellen P. Hubbell School","=""0171411""","ELL","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Non-ELL","*"
"Bristol School District","Greene-Hills School","=""0170511""","ELL","*"
"Bristol School District","Greene-Hills School","=""0170511""","Non-ELL","*"
"Bristol School District","Ivy Drive School","=""0171911""","ELL","*"
"Bristol School District","Ivy Drive School","=""0171911""","Non-ELL","*"
"Bristol School District","John J. Jennings School","=""0170611""","ELL","*"
"Bristol School District","John J. Jennings School","=""0170611""","Non-ELL","*"
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","ELL","*"
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Non-ELL","*"
"Bristol School District","Mountain View School","=""0171711""","ELL","*"
"Bristol School District","Mountain View School","=""0171711""","Non-ELL","*"
"Bristol School District","Northeast Middle School","=""0175211""","ELL","*"
"Bristol School District","Northeast Middle School","=""0175211""","Non-ELL","*"
"Bristol School District","South Side School","=""0171111""","ELL","*"
"Bristol School District","South Side School","=""0171111""","Non-ELL","*"
"Bristol School District","Stafford School","=""0171211""","ELL","*"
"Bristol School District","Stafford School","=""0171211""","Non-ELL","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Non-ELL","*"
"Brookfield School District","Brookfield High School","=""0186111""","ELL","*"
"Brookfield School District","Brookfield High School","=""0186111""","Non-ELL","*"
"Brookfield School District","Center Elementary School","=""0180311""","ELL","*"
"Brookfield School District","Center Elementary School","=""0180311""","Non-ELL","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","ELL","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Non-ELL","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","ELL","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Non-ELL","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","ELL","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Non-ELL","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","ELL","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Non-ELL","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Non-ELL",10.7
"Canterbury School District","Canterbury Elementary School","=""0220211""","Non-ELL",3.4
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Non-ELL",4.2
"Canton School District","Canton High School","=""0236111""","ELL","*"
"Canton School District","Canton High School","=""0236111""","Non-ELL","*"
"Canton School District","Canton Intermediate School","=""0230311""","ELL","*"
"Canton School District","Canton Intermediate School","=""0230311""","Non-ELL","*"
"Canton School District","Canton Middle School","=""0235111""","ELL","*"
"Canton School District","Canton Middle School","=""0235111""","Non-ELL","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","ELL","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Non-ELL","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","ELL","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Non-ELL","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","ELL","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Non-ELL","*"
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""","ELL","*"
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""","Non-ELL","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELL","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","ELL","*"
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""","Non-ELL","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","ELL","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""","Non-ELL","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELL","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-ELL","*"
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","ELL","*"
"Capitol Region Education Council","Montessori Magnet School","=""2413114""","Non-ELL","*"
"Capitol Region Education Council","Museum Academy","=""2410514""","ELL","*"
"Capitol Region Education Council","Museum Academy","=""2410514""","Non-ELL","*"
"Capitol Region Education Council","Public Safety Academy","=""2415214""","ELL","*"
"Capitol Region Education Council","Public Safety Academy","=""2415214""","Non-ELL","*"
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","ELL","*"
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""","Non-ELL","*"
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","ELL","*"
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""","Non-ELL","*"
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","ELL","*"
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""","Non-ELL","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Non-ELL","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Non-ELL",60.6
"Capitol Region Education Council","Integrated Program Models","=""2419414""","Non-ELL","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","Non-ELL",56.7
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Non-ELL","*"
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","Non-ELL","*"
"Capitol Region Education Council","River Street School","=""2419314""","Non-ELL",14.7
"Capitol Region Education Council","Soundbridge","=""2419114""","Non-ELL","*"
"Chaplin School District","Chaplin Elementary School","=""0240211""","Non-ELL",9.6
"Cheshire School District","Chapman School","=""0250111""","ELL","*"
"Cheshire School District","Chapman School","=""0250111""","Non-ELL","*"
"Cheshire School District","Cheshire High School","=""0256111""","ELL","*"
"Cheshire School District","Cheshire High School","=""0256111""","Non-ELL","*"
"Cheshire School District","Darcey School","=""0250211""","ELL","*"
"Cheshire School District","Darcey School","=""0250211""","Non-ELL","*"
"Cheshire School District","Dodd Middle School","=""0255111""","ELL","*"
"Cheshire School District","Dodd Middle School","=""0255111""","Non-ELL","*"
"Cheshire School District","Doolittle School","=""0250611""","ELL","*"
"Cheshire School District","Doolittle School","=""0250611""","Non-ELL","*"
"Cheshire School District","Highland School","=""0250411""","ELL","*"
"Cheshire School District","Highland School","=""0250411""","Non-ELL","*"
"Cheshire School District","Norton School","=""0250511""","ELL","*"
"Cheshire School District","Norton School","=""0250511""","Non-ELL","*"
"Cheshire School District","Humiston School","=""0259011""","Non-ELL",29.6
"Chester School District","Chester Elementary School","=""0260111""","ELL","*"
"Chester School District","Chester Elementary School","=""0260111""","Non-ELL","*"
"Clinton School District","Abraham Pierson School","=""0270111""","ELL","*"
"Clinton School District","Abraham Pierson School","=""0270111""","Non-ELL","*"
"Clinton School District","Jared Eliot School","=""0275111""","ELL","*"
"Clinton School District","Jared Eliot School","=""0275111""","Non-ELL","*"
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","ELL","*"
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""","Non-ELL","*"
"Clinton School District","The Morgan School","=""0276111""","ELL","*"
"Clinton School District","The Morgan School","=""0276111""","Non-ELL","*"
"Colchester School District","Bacon Academy","=""0286111""","ELL","*"
"Colchester School District","Bacon Academy","=""0286111""","Non-ELL","*"
"Colchester School District","Colchester Elementary School","=""0280411""","ELL","*"
"Colchester School District","Colchester Elementary School","=""0280411""","Non-ELL","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","ELL","*"
"Colchester School District","Jack Jackter Intermediate School","=""0280211""","Non-ELL","*"
"Colchester School District","William J. Johnston Middle School","=""0285111""","ELL","*"
"Colchester School District","William J. Johnston Middle School","=""0285111""","Non-ELL","*"
"Colebrook School District","Colebrook Consolidated School","=""0290111""","Non-ELL","*"
"Columbia School District","Horace W. Porter School","=""0300111""","Non-ELL",6.9
"Common Ground High School District","Common Ground High School","=""2686113""","ELL","*"
"Common Ground High School District","Common Ground High School","=""2686113""","Non-ELL","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","ELL","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""","Non-ELL","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","ELL","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""","Non-ELL","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","ELL","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""","Non-ELL","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","ELL",18.3
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""","Non-ELL",18.6
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELL","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-ELL","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","ELL","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""","Non-ELL","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","ELL","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""","Non-ELL","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","ELL","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""","Non-ELL","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","ELL",0.0
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""","Non-ELL",2.5
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","ELL","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""","Non-ELL","*"
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","ELL","*"
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""","Non-ELL","*"
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","ELL","*"
"Connecticut Technical High School System","Platt Technical High School","=""9002616""","Non-ELL","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","ELL","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""","Non-ELL","*"
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","ELL","*"
"Connecticut Technical High School System","Windham Technical High School","=""9002416""","Non-ELL","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""","Non-ELL",12.9
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""","Non-ELL",11.6
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""","Non-ELL",13.2
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""","Non-ELL","*"
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","Non-ELL","*"
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""","Non-ELL",9.2
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""","Non-ELL",39.8
"Cornwall School District","Cornwall Consolidated School","=""0310111""","Non-ELL",5.7
"Coventry School District","Coventry High School","=""0326111""","ELL","*"
"Coventry School District","Coventry High School","=""0326111""","Non-ELL","*"
"Coventry School District","Capt. Nathan Hale School","=""0325111""","Non-ELL",4.8
"Coventry School District","Coventry Grammar School","=""0320211""","Non-ELL",5.5
"Coventry School District","George Hersey Robertson School","=""0320411""","Non-ELL",3.0
"Cromwell School District","Cromwell High School","=""0336111""","ELL","*"
"Cromwell School District","Cromwell High School","=""0336111""","Non-ELL","*"
"Cromwell School District","Cromwell Middle School","=""0335111""","ELL","*"
"Cromwell School District","Cromwell Middle School","=""0335111""","Non-ELL","*"
"Cromwell School District","Edna C. Stevens School","=""0330211""","ELL","*"
"Cromwell School District","Edna C. Stevens School","=""0330211""","Non-ELL","*"
"Cromwell School District","Woodside Intermediate School","=""0330311""","ELL","*"
"Cromwell School District","Woodside Intermediate School","=""0330311""","Non-ELL","*"
"Danbury School District","Alternative Center For Excellence","=""0346211""","ELL","*"
"Danbury School District","Alternative Center For Excellence","=""0346211""","Non-ELL","*"
"Danbury School District","Broadview Middle School","=""0345111""","ELL",12.8
"Danbury School District","Broadview Middle School","=""0345111""","Non-ELL",10.2
"Danbury School District","Danbury High School","=""0346111""","ELL",41.1
"Danbury School District","Danbury High School","=""0346111""","Non-ELL",22.5
"Danbury School District","Ellsworth Avenue School","=""0341411""","ELL","*"
"Danbury School District","Ellsworth Avenue School","=""0341411""","Non-ELL","*"
"Danbury School District","Great Plain School","=""0341111""","ELL",7.1
"Danbury School District","Great Plain School","=""0341111""","Non-ELL",4.7
"Danbury School District","Hayestown Avenue School","=""0340211""","ELL",9.4
"Danbury School District","Hayestown Avenue School","=""0340211""","Non-ELL",7.4
"Danbury School District","King Street Intermediate School","=""0341711""","ELL","*"
"Danbury School District","King Street Intermediate School","=""0341711""","Non-ELL","*"
"Danbury School District","King Street Primary School","=""0341311""","ELL",4.4
"Danbury School District","King Street Primary School","=""0341311""","Non-ELL",5.1
"Danbury School District","Mill Ridge Primary School","=""0340511""","ELL",11.4
"Danbury School District","Mill Ridge Primary School","=""0340511""","Non-ELL",6.0
"Danbury School District","Morris Street School","=""0340611""","ELL",4.3
"Danbury School District","Morris Street School","=""0340611""","Non-ELL",4.5
"Danbury School District","Park Avenue School","=""0340811""","ELL",7.7
"Danbury School District","Park Avenue School","=""0340811""","Non-ELL",8.1
"Danbury School District","Pembroke School","=""0341511""","ELL","*"
"Danbury School District","Pembroke School","=""0341511""","Non-ELL","*"
"Danbury School District","Rogers Park Middle School","=""0345211""","ELL",10.0
"Danbury School District","Rogers Park Middle School","=""0345211""","Non-ELL",11.2
"Danbury School District","Shelter Rock School","=""0341211""","ELL",8.5
"Danbury School District","Shelter Rock School","=""0341211""","Non-ELL",7.0
"Danbury School District","South Street School","=""0341011""","ELL",6.0
"Danbury School District","South Street School","=""0341011""","Non-ELL",4.6
"Danbury School District","Stadley Rough School","=""0341611""","ELL",8.0
"Danbury School District","Stadley Rough School","=""0341611""","Non-ELL",5.8
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","ELL",0.0
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Non-ELL",3.8
"Darien School District","Darien High School","=""0356111""","ELL","*"
"Darien School District","Darien High School","=""0356111""","Non-ELL","*"
"Darien School District","Hindley Elementary School","=""0350211""","ELL","*"
"Darien School District","Hindley Elementary School","=""0350211""","Non-ELL","*"
"Darien School District","Holmes Elementary School","=""0350711""","ELL","*"
"Darien School District","Holmes Elementary School","=""0350711""","Non-ELL","*"
"Darien School District","Middlesex Middle School","=""0355111""","ELL","*"
"Darien School District","Middlesex Middle School","=""0355111""","Non-ELL","*"
"Darien School District","Ox Ridge Elementary School","=""0351311""","ELL","*"
"Darien School District","Ox Ridge Elementary School","=""0351311""","Non-ELL","*"
"Darien School District","Royle Elementary School","=""0350511""","ELL","*"
"Darien School District","Royle Elementary School","=""0350511""","Non-ELL","*"
"Darien School District","Tokeneke Elementary School","=""0350611""","Non-ELL",2.9
"Deep River School District","Deep River Elementary School","=""0360111""","ELL","*"
"Deep River School District","Deep River Elementary School","=""0360111""","Non-ELL","*"
"Department of Mental Health and Addiction Services","Connecticut Valley Hospital","=""3370215""","Non-ELL","*"
"Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","=""3370515""","Non-ELL","*"
"Derby School District","Bradley School","=""0370611""","ELL","*"
"Derby School District","Bradley School","=""0370611""","Non-ELL","*"
"Derby School District","Derby High School","=""0376111""","ELL","*"
"Derby School District","Derby High School","=""0376111""","Non-ELL","*"
"Derby School District","Derby Middle School","=""0375011""","ELL","*"
"Derby School District","Derby Middle School","=""0375011""","Non-ELL","*"
