"Chronic Absenteeism, 2014-15"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",4.1
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",15.5
"Bridgeport School District","Classical Studies Academy","=""0152111""",4.4
"Bridgeport School District","Cross School","=""0153911""",28.2
"Bridgeport School District","Hooker School","=""0151311""",12.9
"Bridgeport School District","Black Rock School","=""0150311""",10.9
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""",4.6
"Bridgeport School District","High Horizons Magnet School","=""0154511""",3.9
"Bridgeport School District","Park City Magnet School","=""0151711""",5.7
"Bridgeport School District","Multicultural Magnet School","=""0154611""","*"
"Bridgeport School District","Waltersville School","=""0153011""",19.7
"Bridgeport School District","Madison School","=""0152011""",12.0
"Bridgeport School District","Roosevelt School","=""0152611""",25.0
"Bridgeport School District","Barnum School","=""0150111""",21.7
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""",30.1
"Bridgeport School District","Winthrop School","=""0153611""",4.8
"Bridgeport School District","Curiale School","=""0154211""",27.0
"Bridgeport School District","Geraldine Johnson School","=""0153211""",8.8
"Bridgeport School District","Luis Munoz Marin School","=""0151011""",25.8
"Bridgeport School District","Columbus School","=""0150511""",24.3
"Bridgeport School District","Read School","=""0152511""",14.7
"Bridgeport School District","Bassick High School","=""0156111""",42.9
"Bridgeport School District","Blackham School","=""0154011""",13.9
"Bridgeport School District","Harding High School","=""0156311""",50.6
"Bridgeport School District","Cesar Batalla School","=""0151411""",14.0
"Bridgeport School District","Central High School","=""0156211""",19.1
"Bristol School District","Greene-Hills GOAL","=""0170911""","*"
"Bristol School District","South Side Extended Resource","=""0173011""","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","*"
"Bristol School District","Ivy Drive GOAL","=""0172611""","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","*"
"Bristol School District","South Side GOAL","=""0173111""","*"
"Bristol School District","Mt. View GOAL","=""0172511""","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","*"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","*"
"Bristol School District","CHMS GOAL","=""0173411""","*"
"Bristol School District","Community/Vocational Program","=""0179211""","*"
"Bristol School District","Stafford Autism","=""0173211""","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""",60.0
"Bristol School District","Bristol Preparatory Academy","=""0173311""",44.7
"Bristol School District","Mountain View School","=""0171711""",2.7
"Bristol School District","Edgewood School","=""0170311""",8.1
"Bristol School District","Ivy Drive School","=""0171911""",4.9
"Bristol School District","Ellen P. Hubbell School","=""0171411""",5.8
"Bristol School District","Northeast Middle School","=""0175211""",6.0
"Bristol School District","Stafford School","=""0171211""",18.8
"Bristol School District","South Side School","=""0171111""",8.7
"Bristol School District","Chippens Hill Middle School","=""0175111""",9.7
"Bristol School District","Greene-Hills School","=""0170511""",7.5
"Bristol School District","West Bristol School","=""0172011""",10.4
"Bristol School District","Bristol Central High School","=""0176111""",15.5
"Bristol School District","Bristol Eastern High School","=""0176211""",12.7
"Brookfield School District","Center Elementary School","=""0180311""",2.3
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""",2.7
"Brookfield School District","Whisconier Middle School","=""0185311""",3.3
"Brookfield School District","Brookfield High School","=""0186111""",6.0
"Brooklyn School District","Brooklyn Middle School","=""0195111""",5.7
"Brooklyn School District","Brooklyn Elementary School","=""0190111""",4.6
"Canaan School District","Lee H. Kellogg School","=""0210111""","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""",3.3
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""",3.5
"Canton School District","Canton Academy","=""0230411""","*"
"Canton School District","Canton Middle School","=""0235111""",5.1
"Canton School District","Canton Intermediate School","=""0230311""",14.7
"Canton School District","Cherry Brook Primary School","=""0230211""",14.4
"Canton School District","Canton High School","=""0236111""",2.3
"Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","=""2410914""","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","*"
"Capitol Region Education Council","Integrated Program Models","=""2419414""","*"
"Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*"
"Capitol Region Education Council","Soundbridge @ Wethersfield High School","=""2411014""","*"
"Capitol Region Education Council","Soundbridge @ Museum Academy","=""2411214""","*"
"Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""",0.0
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""",24.1
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""",25.3
"Capitol Region Education Council","River Street School","=""2419314""",17.0
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""",14.3
"Capitol Region Education Council","Discovery Academy","=""2418114""",9.1
"Capitol Region Education Council","Montessori Magnet School","=""2413114""",10.6
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""",8.6
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",17.2
"Capitol Region Education Council","Museum Academy","=""2410514""",8.8
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""",15.1
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""",12.3
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""",9.4
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""",7.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",44.7
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""",14.9
"Capitol Region Education Council","Public Safety Academy","=""2415214""",28.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""",15.1
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""",8.9
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""",8.9
"Chaplin School District","Chaplin Elementary School","=""0240211""",11.4
"Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","*"
"Cheshire School District","Humiston Alternative School","=""0250911""",90.3
"Cheshire School District","Darcey School","=""0250211""",0.0
"Cheshire School District","Chapman School","=""0250111""","*"
"Cheshire School District","Norton School","=""0250511""","*"
"Cheshire School District","Doolittle School","=""0250611""",1.8
"Cheshire School District","Dodd Middle School","=""0255111""",0.0
"Cheshire School District","Highland School","=""0250411""",1.8
"Cheshire School District","Cheshire High School","=""0256111""",8.2
"Chester School District","Chester Elementary School","=""0260111""","*"
"Clinton School District","Abraham Pierson School","=""0270111""",1.9
"Clinton School District","Jared Eliot School","=""0275111""",4.7
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""",3.1
"Clinton School District","The Morgan School","=""0276111""",14.7
"Colchester School District","Bacon Academy Alternative Education","=""0280511""","*"
"Colchester School District","Colchester Elementary School","=""0280411""",4.8
"Colchester School District","Jack Jackter Intermediate School","=""0280211""",1.9
"Colchester School District","William J. Johnston Middle School","=""0285111""",6.7
"Colchester School District","Bacon Academy","=""0286111""",2.6
"Colebrook School District","Colebrook Consolidated School","=""0290111""","*"
"Columbia School District","Horace W. Porter School","=""0300111""",4.8
"Common Ground High School District","Common Ground High School","=""2686113""",15.3
"Connecticut Technical High School System","J. M. Wright Technical High School","=""9002116""",11.4
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""",19.6
"Connecticut Technical High School System","Windham Technical High School","=""9002416""",6.5
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""",31.9
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""",19.3
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""",15.9
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""",13.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""",15.6
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""",12.0
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""",9.7
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""",14.9
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""",4.1
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""",7.6
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""",12.2
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""",14.4
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""",15.4
"Connecticut Technical High School System","Platt Technical High School","=""9002616""",11.5
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","*"
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""",24.1
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""",18.7
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""",41.9
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""",7.2
"Cornwall School District","Cornwall Consolidated School","=""0310111""","*"
"Coventry School District","Coventry Academy","=""0320111""","*"
"Coventry School District","George Hersey Robertson School","=""0320411""",4.4
"Coventry School District","Coventry Grammar School","=""0320211""",4.6
"Coventry School District","Capt. Nathan Hale School","=""0325111""",6.2
"Coventry School District","Coventry High School","=""0326111""",9.7
"Cromwell School District","Edna C. Stevens School","=""0330211""",3.0
"Cromwell School District","Cromwell Middle School","=""0335111""",3.3
"Cromwell School District","Woodside Intermediate School","=""0330311""",2.7
"Cromwell School District","Cromwell High School","=""0336111""",1.4
"Danbury School District","Alternative Center For Excellence","=""0346211""",62.4
"Danbury School District","Mill Ridge Primary School","=""0340511""",5.1
"Danbury School District","Great Plain School","=""0341111""",5.2
"Danbury School District","South Street School","=""0341011""",7.1
"Danbury School District","Morris Street School","=""0340611""",2.7
"Danbury School District","King Street Intermediate School","=""0341711""",7.0
"Danbury School District","Pembroke School","=""0341511""",5.6
"Danbury School District","King Street Primary School","=""0341311""",5.2
"Danbury School District","Westside Middle School Academy","=""0340311""",1.5
"Danbury School District","Hayestown Avenue School","=""0340211""",5.5
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",4.2
"Danbury School District","Ellsworth Avenue School","=""0341411""",4.1
"Danbury School District","Stadley Rough School","=""0341611""",7.0
"Danbury School District","Shelter Rock School","=""0341211""",4.7
"Danbury School District","Park Avenue School","=""0340811""",6.4
"Danbury School District","Rogers Park Middle School","=""0345211""",3.0
"Danbury School District","Broadview Middle School","=""0345111""",5.1
"Danbury School District","Danbury High School","=""0346111""",11.4
"Darien School District","Royle Elementary School","=""0350511""",4.7
"Darien School District","Ox Ridge Elementary School","=""0351311""",2.9
"Darien School District","Tokeneke Elementary School","=""0350611""",1.6
"Darien School District","Holmes Elementary School","=""0350711""","*"
"Darien School District","Hindley Elementary School","=""0350211""",3.2
"Darien School District","Middlesex Middle School","=""0355111""",5.0
"Darien School District","Darien High School","=""0356111""",6.0
"Deep River School District","Deep River Elementary School","=""0360111""","*"
"Department of Mental Health and Addiction Services","Connecticut Mental Health Center","=""3370415""","*"
"Department of Mental Health and Addiction Services","Connecticut Valley Hospital","=""3370215""","*"
"Derby School District","Derby Middle School","=""0375011""",17.0
"Derby School District","Irving School","=""0370411""",19.9
"Derby School District","Derby High School","=""0376111""",25.1
"Derby School District","Bradley School","=""0370611""",4.6
"East Granby School District","R. Dudley Seymour School","=""0400211""",6.0
"East Granby School District","Allgrove School","=""0400111""",6.3
"East Granby School District","East Granby Middle School","=""0405111""",5.7
"East Granby School District","East Granby High School","=""0406111""",10.2
"East Haddam School District","East Haddam Elementary School","=""0410111""",4.7
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""",10.8
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""",3.9
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","*"
"East Hampton School District","Center School","=""0420311""",4.6
"East Hampton School District","East Hampton Middle School","=""0425111""",6.3
"East Hampton School District","East Hampton High School","=""0426111""",8.8
"East Hampton School District","Memorial School","=""0420111""",8.0
"East Hartford School District","Stevens Alternate High school","=""0436411""",88.5
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",7.1
"East Hartford School District","Connecticut IB Academy","=""0436311""",3.5
"East Hartford School District","Woodland School","=""0439011""",59.7
"East Hartford School District","Hockanum School","=""0430511""",5.8
"East Hartford School District","Silver Lane School","=""0431211""",21.1
"East Hartford School District","Anna E. Norris School","=""0430911""",20.5
"East Hartford School District","Joseph O. Goodwin School","=""0430411""",13.9
"East Hartford School District","Governor William Pitkin School","=""0432011""",9.0
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""",15.0
"East Hartford School District","Dr. John A. Langford School","=""0432211""",15.9
"East Hartford School District","Robert J. O'Brien School","=""0431811""",16.5
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""",8.9
"East Hartford School District","East Hartford Middle School","=""0435111""",11.9
"East Hartford School District","East Hartford High School","=""0436211""",15.1
"East Haven School District","Momauguin School","=""0440711""",9.2
"East Haven School District","D. C. Moore School","=""0441411""",4.9
"East Haven School District","Grove J. Tuttle School","=""0441011""",4.9
"East Haven School District","Overbrook Elementary School","=""0441811""",9.7
"East Haven School District","Dominick H. Ferrara School","=""0441311""",6.9
"East Haven School District","Carbone School/East Haven Academy","=""0441711""",15.6
"East Haven School District","Deer Run School","=""0440111""",7.9
"East Haven School District","Joseph Melillo Middle School","=""0445111""",0.0
"East Haven School District","East Haven High School","=""0446111""",20.7
"East Lyme School District","Medically Fragile Program (WAVES)","=""0450711""","*"
"East Lyme School District","Post High School Transition Program","=""0450511""","*"
"East Lyme School District","Coastal Connections","=""0450611""","*"
"East Lyme School District","Niantic Center School","=""0450211""","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""",5.8
"East Lyme School District","Flanders School","=""0450111""",4.6
"East Lyme School District","East Lyme Middle School","=""0455111""",6.9
"East Lyme School District","East Lyme High School","=""0456111""",4.9
"East Windsor School District","East Windsor Middle School","=""0475411""",10.0
"East Windsor School District","East Windsor High School","=""0476111""",13.5
"East Windsor School District","Broad Brook Elementary School","=""0470111""",8.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""",29.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",13.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""",53.4
"Eastford School District","Eastford Elementary School","=""0390111""",5.8
"Easton School District","Helen Keller Middle School","=""0465111""",2.8
"Easton School District","Samuel Staples Elementary School","=""0460111""",2.2
"Education Connection","Education Connection Special Education","=""2429014""",65.4
"Ellington School District","Center School","=""0480111""",3.9
"Ellington School District","Crystal Lake School","=""0480211""","*"
"Ellington School District","Ellington Middle School","=""0485111""",9.0
"Ellington School District","Windermere Intermediate School","=""0480711""",3.2
"Ellington School District","Windermere School","=""0480611""",5.5
"Ellington School District","Ellington High School","=""0486111""",3.2
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""",4.5
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","*"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","*"
"Enfield School District","Nathan Hale School","=""0491111""",8.1
"Enfield School District","Hazardville Memorial School","=""0490411""",7.6
"Enfield School District","Enfield Street School","=""0490211""",10.3
"Enfield School District","Edgar H. Parkman School","=""0491311""",7.9
"Enfield School District","Henry Barnard School","=""0491811""",8.9
"Enfield School District","Eli Whitney School","=""0491611""",4.2
"Enfield School District","Prudence Crandall School","=""0491511""",5.1
"Enfield School District","Enfield High School","=""0496111""",17.4
"Enfield School District","Enrico Fermi High School","=""0496211""",13.3
"Enfield School District","John F. Kennedy Middle School","=""0495211""",15.8
"Essex School District","Essex Elementary School","=""0500111""",2.7
"Explorations District","Explorations","=""2726113""",28.4
"Fairfield School District","Walter Fitzgerald Campus","=""0510311""",76.3
"Fairfield School District","Dwight Elementary School","=""0510111""","*"
"Fairfield School District","Jennings School","=""0511711""",4.0
"Fairfield School District","Burr Elementary School","=""0510211""",2.3
"Fairfield School District","Riverfield School","=""0511211""",2.0
"Fairfield School District","Holland Hill School","=""0510411""",2.9
"Fairfield School District","Mill Hill School","=""0510711""",1.7
"Fairfield School District","North Stratfield School","=""0511611""",2.1
"Fairfield School District","McKinley School","=""0510611""",4.0
"Fairfield School District","Stratfield School","=""0511411""",2.4
"Fairfield School District","Sherman School","=""0511311""",1.9
"Fairfield School District","Osborn Hill School","=""0511811""",2.4
"Fairfield School District","Tomlinson Middle School","=""0515111""",4.1
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""",5.6
"Fairfield School District","Fairfield Woods Middle School","=""0515211""",2.6
"Fairfield School District","Fairfield Warde High School","=""0516211""",4.2
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""",4.7
"Farmington School District","Farmington Alternative High School","=""0520611""","*"
"Farmington School District","Union School","=""0520111""",3.0
"Farmington School District","West District School","=""0520311""",3.7
"Farmington School District","Noah Wallace School","=""0520211""",3.9
"Farmington School District","East Farms School","=""0520411""",2.7
"Farmington School District","Irving A. Robbins Middle School","=""0525111""",2.3
"Farmington School District","West Woods Upper Elementary School","=""0520511""",3.1
"Farmington School District","Farmington High School","=""0526111""",10.8
"Franklin School District","Franklin Elementary School","=""0530111""",4.4
"Glastonbury School District","Alternate Program","=""0541311""","*"
"Glastonbury School District","PRIDE-Hebron Avenue","=""0541111""","*"
"Glastonbury School District","PRIDE-Nayaug","=""0541211""","*"
"Glastonbury School District","LINKS Transition","=""0541411""","*"
"Glastonbury School District","Links Academy","=""0540111""",51.9
"Glastonbury School District","Eastbury School","=""0540311""","*"
"Glastonbury School District","Naubuc School","=""0540711""",2.6
"Glastonbury School District","Hebron Avenue School","=""0540411""","*"
"Glastonbury School District","Hopewell School","=""0540611""","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""",3.7
"Glastonbury School District","Gideon Welles School","=""0540811""",1.9
"Glastonbury School District","Nayaug Elementary School","=""0540911""",1.8
"Glastonbury School District","Smith Middle School","=""0545211""",2.0
"Glastonbury School District","Glastonbury High School","=""0546111""",4.1
"Granby School District","Wells Road Intermediate School","=""0560311""",3.2
"Granby School District","Kelly Lane Intermediate School","=""0560411""",4.5
"Granby School District","Granby Memorial Middle School","=""0565111""",3.4
"Granby School District","Frank M. Kearns Primary School","=""0560111""",6.2
"Granby School District","Granby Memorial High School","=""0566111""",4.9
"Great Oaks Charter School District","Great Oaks Charter School","=""2940113""",21.1
"Greenwich School District","Community Connections","=""0571211""","*"
"Greenwich School District","Alternative High School Programs","=""0571411""",68.3
"Greenwich School District","Parkway School","=""0571111""",3.3
"Greenwich School District","New Lebanon School","=""0570611""","*"
"Greenwich School District","Hamilton Avenue School","=""0570511""",4.4
"Greenwich School District","North Street School","=""0570811""","*"
"Greenwich School District","Julian Curtiss School","=""0570311""",3.0
"Greenwich School District","International School At Dundee","=""0571311""","*"
"Greenwich School District","Old Greenwich School","=""0570911""","*"
"Greenwich School District","Glenville School","=""0570411""",1.9
"Greenwich School District","Cos Cob School","=""0570211""",1.4
"Greenwich School District","North Mianus School","=""0570711""",1.2
"Greenwich School District","Riverside School","=""0571011""",1.8
"Greenwich School District","Western Middle School","=""0575311""",5.0
"Greenwich School District","Central Middle School","=""0575111""",3.1
"Greenwich School District","Eastern Middle School","=""0575211""",2.2
"Greenwich School District","Greenwich High School","=""0576111""",3.4
"Griswold School District","Griswold Alternative School","=""0580111""","*"
"Griswold School District","Griswold Middle School","=""0585111""",10.8
"Griswold School District","Griswold High School","=""0586211""",13.4
"Griswold School District","Griswold Elementary School","=""0580311""",5.4
"Groton School District","Virtual Learning Academy","=""0590611""","*"
"Groton School District","New Beginnings Alternative Program","=""0590211""","*"
"Groton School District","Charles Barnum School","=""0591811""",8.3
"Groton School District","Pleasant Valley School","=""0591211""",9.4
"Groton School District","S. B. Butler School","=""0590111""",2.1
"Groton School District","Mary Morrisson School","=""0591711""",10.8
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""",11.2
"Groton School District","Claude Chester School","=""0590311""",11.6
"Groton School District","Northeast Academy Elementary School","=""0591911""",3.1
"Groton School District","Carl C. Cutler Middle School","=""0595311""",7.5
"Groton School District","West Side Middle School","=""0595211""",11.5
"Groton School District","Robert E. Fitch High School","=""0596111""",19.2
"Guilford School District","Calvin Leete School","=""0600411""","*"
"Guilford School District","Guilford Lakes School","=""0600211""",3.4
"Guilford School District","Melissa Jones School","=""0600311""",3.2
"Guilford School District","A. W. Cox School","=""0600611""",3.1
"Guilford School District","A. Baldwin Middle School","=""0600711""",4.9
"Guilford School District","E. C. Adams Middle School","=""0605111""",5.2
"Guilford School District","Guilford High School","=""0606111""",6.4
"Hamden School District","Alice Peck Learning Center","=""0628011""","*"
"Hamden School District","Hamden Collaborative Learning Center","=""0620511""",80.3
"Hamden School District","Helen Street School","=""0620411""",13.0
"Hamden School District","Dunbar Hill School","=""0620311""",7.8
"Hamden School District","Church Street School","=""0620211""",12.6
"Hamden School District","Shepherd Glen School","=""0620111""",11.3
"Hamden School District","Ridge Hill School","=""0621111""",13.5
"Hamden School District","West Woods School","=""0621411""",4.0
"Hamden School District","Spring Glen School","=""0621011""",5.5
"Hamden School District","Bear Path School","=""0621211""",3.8
"Hamden School District","Hamden Middle School","=""0625211""",12.8
"Hamden School District","Hamden High School","=""0626111""",23.2
"Hampton School District","Hampton Elementary School","=""0630111""",6.8
"Hartford School District","EDP - Bulkeley High School","=""0648311""","*"
"Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","*"
"Hartford School District","EDP - McDonough Expeditionary Learning School","=""0648111""","*"
"Hartford School District","MDP - Moylan School","=""0648511""","*"
"Hartford School District","High Step Transition","=""0648411""","*"
"Hartford School District","MDP - Batchelder School","=""0644811""","*"
"Hartford School District","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","*"
"Hartford School District","Autism Program - Clark School","=""0644511""","*"
"Hartford School District","EDP - Betances Early Reading Lab","=""0645811""","*"
"Hartford School District","MDP - Bulkeley High School","=""0645011""","*"
"Hartford School District","MDP - HPHS Law and Government Academy","=""0644911""",42.9
"Hartford School District","Autism Program - Fred D. Wish Museum School","=""0644211""",39.1
"Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",95.8
"Hartford School District","EDP - M.D. Fox","=""0645911""",41.9
"Hartford School District","Capital Community College Magnet Academy","=""0643911""",31.0
"Hartford School District","New Visions Program","=""0642711""",87.1
"Hartford School District","Renzulli Academy","=""0644011""",10.9
"Hartford School District","OPPortunity High School","=""0647811""",75.5
"Hartford School District","Montessori Magnet at Moylan School","=""0640511""",12.8
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""",39.8
"Hartford School District","Betances Early Reading Lab Magnet School","=""0642811""",15.7
"Hartford School District","Montessori Magnet School at Annie Fisher","=""0643711""",10.7
