"Chronic Absenteeism, 2014-15"
", All Schools, Free/Reduced Price Meal Eligibility"

"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Free Lunch",19.6
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Free Lunch",50.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible For Free Lunch",77.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Free Lunch",13.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Not Eligible For Lunch",5.2
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Reduced Lunch",12.7
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Eligible For Free Lunch","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Not Eligible For Lunch",5.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Free Lunch","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Not Eligible For Lunch",4.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Eligible For Free Lunch","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Not Eligible For Lunch","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Eligible For Free Lunch",0.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Not Eligible For Lunch",0.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Eligible For Free Lunch","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Not Eligible For Lunch",3.5
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Eligible For Free Lunch","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Not Eligible For Lunch",4.7
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Eligible For Free Lunch","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Not Eligible For Lunch","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Free Lunch","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Not Eligible For Lunch",8.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Eligible For Free Lunch","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Not Eligible For Lunch",1.8
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Eligible For Free Lunch","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Not Eligible For Lunch","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Eligible For Free Lunch","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Not Eligible For Lunch","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Eligible For Free Lunch","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Not Eligible For Lunch","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Eligible For Reduced Lunch","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Eligible For Free Lunch","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Not Eligible For Lunch","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Eligible For Reduced Lunch","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Eligible For Free Lunch","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Not Eligible For Lunch",3.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Eligible For Reduced Lunch","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Free Lunch","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Not Eligible For Lunch",3.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Reduced Lunch","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Eligible For Free Lunch","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Not Eligible For Lunch",4.5
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Eligible For Reduced Lunch","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Eligible For Free Lunch","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Not Eligible For Lunch","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Eligible For Reduced Lunch","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Eligible For Free Lunch","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Not Eligible For Lunch","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Free Lunch",17.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Eligible For Free Lunch",6.9
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Eligible For Free Lunch",10.7
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Free Lunch","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Eligible For Free Lunch",9.6
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Free Lunch","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Eligible For Free Lunch","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Eligible For Reduced Lunch","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Free Lunch","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Not Eligible For Lunch","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Reduced Lunch","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Eligible For Free Lunch","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Not Eligible For Lunch","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Eligible For Reduced Lunch","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Free Lunch","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Not Eligible For Lunch","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Reduced Lunch","*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Eligible For Free Lunch",31.9
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Not Eligible For Lunch","*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Eligible For Reduced Lunch","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Eligible For Free Lunch","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Not Eligible For Lunch","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Eligible For Reduced Lunch","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Free Lunch","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Not Eligible For Lunch",13.2
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Reduced Lunch","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Eligible For Free Lunch",58.6
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Not Eligible For Lunch","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Eligible For Reduced Lunch","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Eligible For Free Lunch","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Not Eligible For Lunch",5.7
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Eligible For Reduced Lunch","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Eligible For Free Lunch","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Not Eligible For Lunch",3.2
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Eligible For Reduced Lunch","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Eligible For Free Lunch","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Not Eligible For Lunch","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Eligible For Reduced Lunch","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Eligible For Free Lunch",11.1
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Not Eligible For Lunch","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Eligible For Reduced Lunch","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Eligible For Free Lunch","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Not Eligible For Lunch","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Eligible For Reduced Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Eligible For Free Lunch",4.1
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Not Eligible For Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Eligible For Reduced Lunch","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Eligible For Free Lunch",15.5
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Eligible For Free Lunch",21.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Free Lunch",42.9
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Eligible For Free Lunch",17.7
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Eligible For Free Lunch",4.1
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Eligible For Free Lunch",10.9
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Eligible For Free Lunch",13.9
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Eligible For Free Lunch",29.2
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Eligible For Free Lunch",19.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Eligible For Free Lunch",14.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Free Lunch",19.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Eligible For Free Lunch",14.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Eligible For Free Lunch",4.4
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Eligible For Free Lunch","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Not Eligible For Lunch","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Eligible For Free Lunch",28.2
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Eligible For Free Lunch",27.0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Eligible For Free Lunch",28.7
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Eligible For Free Lunch",14.0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Eligible For Free Lunch",8.8
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Eligible For Free Lunch",13.8
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Eligible For Free Lunch",12.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Free Lunch",50.6
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Eligible For Free Lunch",3.9
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Eligible For Free Lunch",12.9
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Eligible For Free Lunch",3.2
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Eligible For Free Lunch",4.6
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Eligible For Free Lunch",30.1
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Eligible For Free Lunch",25.8
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Eligible For Free Lunch",12.0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Eligible For Free Lunch","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Eligible For Free Lunch",5.7
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Eligible For Free Lunch",14.7
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Eligible For Free Lunch",25.0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Eligible For Free Lunch",19.7
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Eligible For Free Lunch",4.8
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Free Lunch",28.9
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Not Eligible For Lunch",6.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",17.2
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",25.9
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",7.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",17.6
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Eligible For Free Lunch",50.0
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Eligible For Free Lunch",21.3
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Eligible For Free Lunch",18.9
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Eligible For Free Lunch",10.6
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Eligible For Free Lunch",10.8
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Eligible For Free Lunch",10.9
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Eligible For Free Lunch",12.2
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Eligible For Free Lunch",16.8
"Bristol School District","=""0170011""","South Side School","=""0171111""","Not Eligible For Lunch",2.9
"Bristol School District","=""0170011""","South Side School","=""0171111""","Eligible For Reduced Lunch",0.0
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Eligible For Free Lunch","*"
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Eligible For Free Lunch",28.5
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Eligible For Reduced Lunch","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Eligible For Free Lunch",14.8
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Not Eligible For Lunch","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Eligible For Reduced Lunch","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Free Lunch","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Not Eligible For Lunch",5.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Reduced Lunch","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Eligible For Free Lunch","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Not Eligible For Lunch","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Eligible For Reduced Lunch","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Eligible For Free Lunch","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Not Eligible For Lunch","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Eligible For Reduced Lunch","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Eligible For Free Lunch","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Not Eligible For Lunch",2.9
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Eligible For Reduced Lunch","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Eligible For Free Lunch","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Not Eligible For Lunch","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Eligible For Reduced Lunch","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Eligible For Free Lunch","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Not Eligible For Lunch","*"
