"Chronic Absenteeism, 2014-15"
"State of Connecticut, All Schools, Free/Reduced Price Meal Eligibility"

"Organization","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Branford School District","Mary T. Murphy School","=""0141411""","Eligible For Reduced Lunch","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Eligible For Free Lunch","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Not Eligible For Lunch","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Eligible For Reduced Lunch","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Eligible For Free Lunch",4.1
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Not Eligible For Lunch","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Eligible For Free Lunch",15.5
"Bridgeport School District","Barnum School","=""0150111""","Eligible For Free Lunch",21.7
"Bridgeport School District","Bassick High School","=""0156111""","Eligible For Free Lunch",42.9
"Bridgeport School District","Beardsley School","=""0150211""","Eligible For Free Lunch",17.7
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Eligible For Free Lunch",4.1
"Bridgeport School District","Black Rock School","=""0150311""","Eligible For Free Lunch",10.9
"Bridgeport School District","Blackham School","=""0154011""","Eligible For Free Lunch",13.9
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Eligible For Free Lunch",29.2
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Eligible For Free Lunch",19.0
"Bridgeport School District","Bryant School","=""0150411""","Eligible For Free Lunch",14.0
"Bridgeport School District","Central High School","=""0156211""","Eligible For Free Lunch",19.1
"Bridgeport School District","Cesar Batalla School","=""0151411""","Eligible For Free Lunch",14.0
"Bridgeport School District","Classical Studies Academy","=""0152111""","Eligible For Free Lunch",4.4
"Bridgeport School District","Columbus School","=""0150511""","Eligible For Free Lunch","*"
"Bridgeport School District","Columbus School","=""0150511""","Not Eligible For Lunch","*"
"Bridgeport School District","Cross School","=""0153911""","Eligible For Free Lunch",28.2
"Bridgeport School District","Curiale School","=""0154211""","Eligible For Free Lunch",27.0
"Bridgeport School District","Dunbar School","=""0154111""","Eligible For Free Lunch",28.7
"Bridgeport School District","Edison School","=""0150711""","Eligible For Free Lunch",14.0
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Eligible For Free Lunch",8.8
"Bridgeport School District","Hall School","=""0151111""","Eligible For Free Lunch",13.8
"Bridgeport School District","Hallen School","=""0151211""","Eligible For Free Lunch",12.3
"Bridgeport School District","Harding High School","=""0156311""","Eligible For Free Lunch",50.6
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Eligible For Free Lunch",3.9
"Bridgeport School District","Hooker School","=""0151311""","Eligible For Free Lunch",12.9
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Eligible For Free Lunch",3.2
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Eligible For Free Lunch",4.6
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Eligible For Free Lunch",30.1
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Eligible For Free Lunch",25.8
"Bridgeport School District","Madison School","=""0152011""","Eligible For Free Lunch",12.0
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Eligible For Free Lunch","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Eligible For Free Lunch",5.7
"Bridgeport School District","Read School","=""0152511""","Eligible For Free Lunch",14.7
"Bridgeport School District","Roosevelt School","=""0152611""","Eligible For Free Lunch",25.0
"Bridgeport School District","Waltersville School","=""0153011""","Eligible For Free Lunch",19.7
"Bridgeport School District","Winthrop School","=""0153611""","Eligible For Free Lunch",4.8
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Free Lunch","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Not Eligible For Lunch","*"
"Bristol School District","Bristol Central High School","=""0176111""","Eligible For Free Lunch",28.9
"Bristol School District","Bristol Central High School","=""0176111""","Not Eligible For Lunch",6.8
"Bristol School District","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",17.2
"Bristol School District","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",25.9
"Bristol School District","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",7.1
"Bristol School District","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",17.6
"Bristol School District","Bristol Preparatory Academy","=""0173311""","Eligible For Free Lunch",50.0
"Bristol School District","Bristol Preparatory Academy","=""0173311""","Not Eligible For Lunch","*"
"Bristol School District","Bristol Preparatory Academy","=""0173311""","Eligible For Reduced Lunch","*"
"Bristol School District","CHMS GOAL","=""0173411""","Eligible For Free Lunch","*"
"Bristol School District","CHMS GOAL","=""0173411""","Not Eligible For Lunch","*"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","Eligible For Free Lunch","*"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","Not Eligible For Lunch","*"
"Bristol School District","Chippens Hill Middle School","=""0175111""","Eligible For Free Lunch",21.3
"Bristol School District","Chippens Hill Middle School","=""0175111""","Not Eligible For Lunch","*"
"Bristol School District","Chippens Hill Middle School","=""0175111""","Eligible For Reduced Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Eligible For Free Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Not Eligible For Lunch","*"
"Bristol School District","Edgewood School","=""0170311""","Eligible For Free Lunch",18.9
"Bristol School District","Edgewood School","=""0170311""","Not Eligible For Lunch","*"
"Bristol School District","Edgewood School","=""0170311""","Eligible For Reduced Lunch","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Eligible For Free Lunch",10.6
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Not Eligible For Lunch","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Eligible For Reduced Lunch","*"
"Bristol School District","Greene-Hills GOAL","=""0170911""","Eligible For Free Lunch","*"
"Bristol School District","Greene-Hills School","=""0170511""","Eligible For Free Lunch",10.8
"Bristol School District","Greene-Hills School","=""0170511""","Not Eligible For Lunch","*"
"Bristol School District","Greene-Hills School","=""0170511""","Eligible For Reduced Lunch","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","Eligible For Free Lunch","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","Eligible For Reduced Lunch","*"
"Bristol School District","Ivy Drive GOAL","=""0172611""","Eligible For Free Lunch","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","Eligible For Free Lunch","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","Not Eligible For Lunch","*"
"Bristol School District","Ivy Drive School","=""0171911""","Eligible For Free Lunch",10.9
"Bristol School District","Ivy Drive School","=""0171911""","Not Eligible For Lunch","*"
"Bristol School District","Ivy Drive School","=""0171911""","Eligible For Reduced Lunch","*"
"Bristol School District","Mountain View School","=""0171711""","Eligible For Free Lunch","*"
"Bristol School District","Mountain View School","=""0171711""","Not Eligible For Lunch","*"
"Bristol School District","Mountain View School","=""0171711""","Eligible For Reduced Lunch","*"
"Bristol School District","Mt. View GOAL","=""0172511""","Eligible For Free Lunch","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","Eligible For Free Lunch","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","Not Eligible For Lunch","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","Eligible For Reduced Lunch","*"
"Bristol School District","Northeast Middle School","=""0175211""","Eligible For Free Lunch",12.2
"Bristol School District","Northeast Middle School","=""0175211""","Not Eligible For Lunch","*"
"Bristol School District","Northeast Middle School","=""0175211""","Eligible For Reduced Lunch","*"
"Bristol School District","South Side Extended Resource","=""0173011""","Eligible For Free Lunch","*"
"Bristol School District","South Side Extended Resource","=""0173011""","Not Eligible For Lunch","*"
"Bristol School District","South Side GOAL","=""0173111""","Eligible For Free Lunch","*"
"Bristol School District","South Side GOAL","=""0173111""","Not Eligible For Lunch","*"
"Bristol School District","South Side GOAL","=""0173111""","Eligible For Reduced Lunch","*"
"Bristol School District","South Side School","=""0171111""","Eligible For Free Lunch",16.8
"Bristol School District","South Side School","=""0171111""","Not Eligible For Lunch",2.9
"Bristol School District","South Side School","=""0171111""","Eligible For Reduced Lunch",0.0
"Bristol School District","Stafford Autism","=""0173211""","Eligible For Free Lunch","*"
"Bristol School District","Stafford Autism","=""0173211""","Not Eligible For Lunch","*"
"Bristol School District","Stafford School","=""0171211""","Eligible For Free Lunch",28.5
"Bristol School District","Stafford School","=""0171211""","Not Eligible For Lunch","*"
"Bristol School District","Stafford School","=""0171211""","Eligible For Reduced Lunch","*"
"Bristol School District","West Bristol School","=""0172011""","Eligible For Free Lunch",14.8
"Bristol School District","West Bristol School","=""0172011""","Not Eligible For Lunch","*"
"Bristol School District","West Bristol School","=""0172011""","Eligible For Reduced Lunch","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","Not Eligible For Lunch","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","Eligible For Reduced Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Eligible For Free Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Not Eligible For Lunch",5.2
"Brookfield School District","Brookfield High School","=""0186111""","Eligible For Reduced Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Eligible For Free Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Not Eligible For Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Eligible For Reduced Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Eligible For Free Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Not Eligible For Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Eligible For Reduced Lunch","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Eligible For Free Lunch","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Not Eligible For Lunch",2.9
"Brookfield School District","Whisconier Middle School","=""0185311""","Eligible For Reduced Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Eligible For Free Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Not Eligible For Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Eligible For Reduced Lunch","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Eligible For Free Lunch","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Not Eligible For Lunch","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Eligible For Reduced Lunch","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Eligible For Free Lunch","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Not Eligible For Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Eligible For Free Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Not Eligible For Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Eligible For Reduced Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Eligible For Free Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Not Eligible For Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Eligible For Reduced Lunch","*"
"Canton School District","Canton High School","=""0236111""","Eligible For Free Lunch","*"
"Canton School District","Canton High School","=""0236111""","Not Eligible For Lunch","*"
"Canton School District","Canton High School","=""0236111""","Eligible For Reduced Lunch","*"
"Canton School District","Canton Intermediate School","=""0230311""","Eligible For Free Lunch","*"
"Canton School District","Canton Intermediate School","=""0230311""","Not Eligible For Lunch",13.1
"Canton School District","Canton Intermediate School","=""0230311""","Eligible For Reduced Lunch","*"
"Canton School District","Canton Middle School","=""0235111""","Eligible For Free Lunch","*"
"Canton School District","Canton Middle School","=""0235111""","Not Eligible For Lunch","*"
"Canton School District","Canton Middle School","=""0235111""","Eligible For Reduced Lunch","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Eligible For Free Lunch","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Not Eligible For Lunch",11.8
"Canton School District","Cherry Brook Primary School","=""0230211""","Eligible For Reduced Lunch","*"
"Canton School District","Canton Academy","=""0230411""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""","Not Eligible For Lunch",20.0
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Eligible For Free Lunch",27.9
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""","Eligible For Free Lunch",20.3
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Eligible For Free Lunch",19.0
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Discovery Academy","=""2418114""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Discovery Academy","=""2418114""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Discovery Academy","=""2418114""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Eligible For Reduced Lunch","*"
