"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"Ansonia School District","Ansonia High School","=""0026111""","White",10.8
"Ansonia School District","Ansonia Middle School","=""0025111""","American Indian or Alaska Native","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Asian","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Black or African American","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Hispanic/Latino of any race",16.8
"Ansonia School District","Ansonia Middle School","=""0025111""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Two or More Races","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","White",12.4
"Ansonia School District","Mead School","=""0020311""","American Indian or Alaska Native","*"
"Ansonia School District","Mead School","=""0020311""","Asian","*"
"Ansonia School District","Mead School","=""0020311""","Black or African American","*"
"Ansonia School District","Mead School","=""0020311""","Hispanic/Latino of any race",12.5
"Ansonia School District","Mead School","=""0020311""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","Mead School","=""0020311""","Two or More Races","*"
"Ansonia School District","Mead School","=""0020311""","White",7.1
"Ansonia School District","Prendergast School","=""0020811""","American Indian or Alaska Native","*"
"Ansonia School District","Prendergast School","=""0020811""","Asian","*"
"Ansonia School District","Prendergast School","=""0020811""","Black or African American","*"
"Ansonia School District","Prendergast School","=""0020811""","Hispanic/Latino of any race",11.1
"Ansonia School District","Prendergast School","=""0020811""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","Prendergast School","=""0020811""","Two or More Races","*"
"Ansonia School District","Prendergast School","=""0020811""","White",6.8
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Asian","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Black or African American","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Hispanic/Latino of any race",16.0
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Two or More Races","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","White",12.2
"Area Cooperative Educational Services","Village School","=""2449514""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Asian","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Black or African American",27.6
"Area Cooperative Educational Services","Village School","=""2449514""","Hispanic/Latino of any race",57.6
"Area Cooperative Educational Services","Village School","=""2449514""","Native Hawaiian or Other Pacific Islander","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Two or More Races","*"
"Area Cooperative Educational Services","Village School","=""2449514""","White",25.7
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Asian","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Black or African American",9.5
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Hispanic/Latino of any race",14.8
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Two or More Races","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","White",10.1
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Asian","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Black or African American","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Hispanic/Latino of any race","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Two or More Races","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","White","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Asian","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Black or African American",37.8
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Hispanic/Latino of any race",46.8
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Two or More Races","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","White",36.1
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Asian","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Black or African American",50.0
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Hispanic/Latino of any race",55.3
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Two or More Races","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","White","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Asian","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Black or African American",71.1
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Hispanic/Latino of any race",71.4
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Two or More Races","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","White",70.8
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Asian","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Black or African American","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Hispanic/Latino of any race","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Two or More Races","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","White","*"
"Ashford School District","Ashford School","=""0030111""","Asian","*"
"Ashford School District","Ashford School","=""0030111""","Hispanic/Latino of any race","*"
"Ashford School District","Ashford School","=""0030111""","Two or More Races","*"
"Ashford School District","Ashford School","=""0030111""","White","*"
"Avon School District","Avon High School","=""0046111""","American Indian or Alaska Native","*"
"Avon School District","Avon High School","=""0046111""","Asian","*"
"Avon School District","Avon High School","=""0046111""","Black or African American",17.6
"Avon School District","Avon High School","=""0046111""","Hispanic/Latino of any race","*"
"Avon School District","Avon High School","=""0046111""","Native Hawaiian or Other Pacific Islander","*"
"Avon School District","Avon High School","=""0046111""","Two or More Races","*"
"Avon School District","Avon High School","=""0046111""","White",3.3
"Avon School District","Avon Middle School","=""0045111""","American Indian or Alaska Native","*"
"Avon School District","Avon Middle School","=""0045111""","Asian","*"
"Avon School District","Avon Middle School","=""0045111""","Black or African American","*"
"Avon School District","Avon Middle School","=""0045111""","Hispanic/Latino of any race","*"
"Avon School District","Avon Middle School","=""0045111""","Two or More Races","*"
"Avon School District","Avon Middle School","=""0045111""","White",5.3
"Avon School District","Pine Grove School","=""0040411""","American Indian or Alaska Native","*"
"Avon School District","Pine Grove School","=""0040411""","Asian",7.2
"Avon School District","Pine Grove School","=""0040411""","Black or African American","*"
"Avon School District","Pine Grove School","=""0040411""","Hispanic/Latino of any race","*"
"Avon School District","Pine Grove School","=""0040411""","Native Hawaiian or Other Pacific Islander","*"
"Avon School District","Pine Grove School","=""0040411""","Two or More Races","*"
"Avon School District","Pine Grove School","=""0040411""","White",2.7
"Avon School District","Roaring Brook School","=""0040311""","American Indian or Alaska Native","*"
"Avon School District","Roaring Brook School","=""0040311""","Asian","*"
"Avon School District","Roaring Brook School","=""0040311""","Black or African American","*"
"Avon School District","Roaring Brook School","=""0040311""","Hispanic/Latino of any race",14.3
"Avon School District","Roaring Brook School","=""0040311""","Two or More Races",0.0
"Avon School District","Roaring Brook School","=""0040311""","White",4.7
"Avon School District","Thompson Brook School","=""0040511""","American Indian or Alaska Native","*"
"Avon School District","Thompson Brook School","=""0040511""","Asian","*"
"Avon School District","Thompson Brook School","=""0040511""","Black or African American","*"
"Avon School District","Thompson Brook School","=""0040511""","Hispanic/Latino of any race",0.0
"Avon School District","Thompson Brook School","=""0040511""","Two or More Races","*"
"Avon School District","Thompson Brook School","=""0040511""","White",4.8
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Asian","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Black or African American","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Hispanic/Latino of any race","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Two or More Races","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","White","*"
"Berlin School District","Berlin High School","=""0076111""","American Indian or Alaska Native","*"
"Berlin School District","Berlin High School","=""0076111""","Asian","*"
"Berlin School District","Berlin High School","=""0076111""","Black or African American","*"
"Berlin School District","Berlin High School","=""0076111""","Hispanic/Latino of any race",23.4
"Berlin School District","Berlin High School","=""0076111""","Native Hawaiian or Other Pacific Islander","*"
"Berlin School District","Berlin High School","=""0076111""","Two or More Races","*"
"Berlin School District","Berlin High School","=""0076111""","White",7.9
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","American Indian or Alaska Native","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Asian",0.0
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Black or African American",0.0
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Hispanic/Latino of any race","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Two or More Races","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","White",3.4
"Berlin School District","Mary E. Griswold School","=""0070511""","American Indian or Alaska Native","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Asian","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Black or African American","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Hispanic/Latino of any race","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Two or More Races",0.0
"Berlin School District","Mary E. Griswold School","=""0070511""","White","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Asian","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Black or African American","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Hispanic/Latino of any race","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Two or More Races","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","White",1.6
"Berlin School District","Richard D. Hubbard School","=""0070111""","Asian","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Black or African American","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Hispanic/Latino of any race","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Two or More Races","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","White","*"
"Bethany School District","Bethany Community School","=""0080111""","American Indian or Alaska Native","*"
"Bethany School District","Bethany Community School","=""0080111""","Asian","*"
"Bethany School District","Bethany Community School","=""0080111""","Black or African American","*"
"Bethany School District","Bethany Community School","=""0080111""","Hispanic/Latino of any race","*"
"Bethany School District","Bethany Community School","=""0080111""","Two or More Races","*"
"Bethany School District","Bethany Community School","=""0080111""","White",4.4
"Bethel School District","Anna H. Rockwell School","=""0090411""","Asian","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Black or African American","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Hispanic/Latino of any race","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Two or More Races","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","White",3.3
"Bethel School District","Bethel High School","=""0096111""","Asian","*"
"Bethel School District","Bethel High School","=""0096111""","Black or African American","*"
"Bethel School District","Bethel High School","=""0096111""","Hispanic/Latino of any race",12.5
"Bethel School District","Bethel High School","=""0096111""","Two or More Races","*"
"Bethel School District","Bethel High School","=""0096111""","White",9.7
"Bethel School District","Bethel Middle School","=""0095111""","Asian","*"
"Bethel School District","Bethel Middle School","=""0095111""","Black or African American","*"
"Bethel School District","Bethel Middle School","=""0095111""","Hispanic/Latino of any race","*"
"Bethel School District","Bethel Middle School","=""0095111""","Two or More Races","*"
"Bethel School District","Bethel Middle School","=""0095111""","White",5.0
"Bethel School District","Frank A. Berry School","=""0090111""","Asian","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Black or African American","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Hispanic/Latino of any race","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Native Hawaiian or Other Pacific Islander","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Two or More Races","*"
"Bethel School District","Frank A. Berry School","=""0090111""","White","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Asian","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Black or African American","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Hispanic/Latino of any race",16.4
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Native Hawaiian or Other Pacific Islander","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Two or More Races","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","White",15.5
"Bloomfield School District","Bloomfield High School","=""0116111""","American Indian or Alaska Native","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Asian","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Black or African American",7.7
"Bloomfield School District","Bloomfield High School","=""0116111""","Hispanic/Latino of any race","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Two or More Races","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","White","*"
"Bloomfield School District","Laurel School","=""0110611""","American Indian or Alaska Native","*"
"Bloomfield School District","Laurel School","=""0110611""","Asian","*"
"Bloomfield School District","Laurel School","=""0110611""","Black or African American",4.0
"Bloomfield School District","Laurel School","=""0110611""","Hispanic/Latino of any race","*"
"Bloomfield School District","Laurel School","=""0110611""","Two or More Races","*"
"Bloomfield School District","Laurel School","=""0110611""","White","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Asian","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Black or African American","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Hispanic/Latino of any race","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Two or More Races","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","White","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Asian","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Black or African American",5.1
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Hispanic/Latino of any race","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Two or More Races","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","White","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Asian","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Black or African American",8.1
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Hispanic/Latino of any race","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Two or More Races","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","White",10.3
"Bloomfield School District","Metacomet School","=""0110511""","Asian","*"
"Bloomfield School District","Metacomet School","=""0110511""","Black or African American","*"
"Bloomfield School District","Metacomet School","=""0110511""","Hispanic/Latino of any race","*"
"Bloomfield School District","Metacomet School","=""0110511""","Native Hawaiian or Other Pacific Islander","*"
"Bloomfield School District","Metacomet School","=""0110511""","Two or More Races","*"
"Bloomfield School District","Metacomet School","=""0110511""","White","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Asian","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Black or African American",18.4
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Hispanic/Latino of any race","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Two or More Races","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","White","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Black or African American","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Hispanic/Latino of any race","*"
"Bolton School District","Bolton Center School","=""0120111""","Asian","*"
"Bolton School District","Bolton Center School","=""0120111""","Black or African American",25.0
"Bolton School District","Bolton Center School","=""0120111""","Hispanic/Latino of any race","*"
"Bolton School District","Bolton Center School","=""0120111""","Two or More Races","*"
"Bolton School District","Bolton Center School","=""0120111""","White",3.9
"Bolton School District","Bolton High School","=""0126111""","Asian","*"
"Bolton School District","Bolton High School","=""0126111""","Black or African American","*"
"Bolton School District","Bolton High School","=""0126111""","Hispanic/Latino of any race","*"
"Bolton School District","Bolton High School","=""0126111""","Two or More Races","*"
"Bolton School District","Bolton High School","=""0126111""","White",2.4
"Bozrah School District","Fields Memorial School","=""0130111""","American Indian or Alaska Native","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Asian","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Black or African American","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Hispanic/Latino of any race","*"
"Bozrah School District","Fields Memorial School","=""0130111""","White",7.0
"Branford School District","Branford High School","=""0146111""","American Indian or Alaska Native","*"
"Branford School District","Branford High School","=""0146111""","Asian","*"
"Branford School District","Branford High School","=""0146111""","Black or African American",20.0
"Branford School District","Branford High School","=""0146111""","Hispanic/Latino of any race",18.8
"Branford School District","Branford High School","=""0146111""","Two or More Races","*"
"Branford School District","Branford High School","=""0146111""","White",14.3
"Branford School District","Francis Walsh Intermediate School","=""0145111""","American Indian or Alaska Native","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Asian",0.0
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Black or African American","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Hispanic/Latino of any race","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Two or More Races","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","White",7.5
"Branford School District","John B. Sliney School","=""0141611""","American Indian or Alaska Native","*"
"Branford School District","John B. Sliney School","=""0141611""","Asian","*"
"Branford School District","John B. Sliney School","=""0141611""","Black or African American","*"
"Branford School District","John B. Sliney School","=""0141611""","Hispanic/Latino of any race","*"
"Branford School District","John B. Sliney School","=""0141611""","Two or More Races","*"
"Branford School District","John B. Sliney School","=""0141611""","White","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Asian","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Black or African American","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Hispanic/Latino of any race","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Two or More Races","*"
"Branford School District","Mary R. Tisko School","=""0141511""","White",4.4
"Branford School District","Mary T. Murphy School","=""0141411""","Asian","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Black or African American","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Hispanic/Latino of any race","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Two or More Races","*"
"Branford School District","Mary T. Murphy School","=""0141411""","White",8.0
"Brass City Charter School District","Brass City Charter School","=""2900113""","Black or African American","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Hispanic/Latino of any race","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Two or More Races","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","White","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","American Indian or Alaska Native","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Asian","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Black or African American",2.7
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Hispanic/Latino of any race",3.4
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Two or More Races","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","White","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","American Indian or Alaska Native","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Asian","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Black or African American",6.7
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Hispanic/Latino of any race",16.9
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Two or More Races","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","White",14.1
"Bridgeport School District","Beardsley School","=""0150211""","American Indian or Alaska Native","*"
"Bridgeport School District","Beardsley School","=""0150211""","Asian","*"
"Bridgeport School District","Beardsley School","=""0150211""","Black or African American","*"
"Bridgeport School District","Beardsley School","=""0150211""","Hispanic/Latino of any race",24.9
"Bridgeport School District","Beardsley School","=""0150211""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Beardsley School","=""0150211""","Two or More Races","*"
"Bridgeport School District","Beardsley School","=""0150211""","White","*"
"Bridgeport School District","Blackham School","=""0154011""","American Indian or Alaska Native","*"
"Bridgeport School District","Blackham School","=""0154011""","Asian",13.5
"Bridgeport School District","Blackham School","=""0154011""","Black or African American",15.8
"Bridgeport School District","Blackham School","=""0154011""","Hispanic/Latino of any race",17.4
"Bridgeport School District","Blackham School","=""0154011""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Blackham School","=""0154011""","Two or More Races","*"
"Bridgeport School District","Blackham School","=""0154011""","White",20.3
"Bridgeport School District","Bryant School","=""0150411""","American Indian or Alaska Native","*"
"Bridgeport School District","Bryant School","=""0150411""","Asian","*"
"Bridgeport School District","Bryant School","=""0150411""","Black or African American",16.8
"Bridgeport School District","Bryant School","=""0150411""","Hispanic/Latino of any race",18.2
"Bridgeport School District","Bryant School","=""0150411""","Two or More Races","*"
"Bridgeport School District","Bryant School","=""0150411""","White","*"
"Bridgeport School District","Central High School","=""0156211""","American Indian or Alaska Native","*"
"Bridgeport School District","Central High School","=""0156211""","Asian",20.6
"Bridgeport School District","Central High School","=""0156211""","Black or African American",30.0
"Bridgeport School District","Central High School","=""0156211""","Hispanic/Latino of any race",33.6
"Bridgeport School District","Central High School","=""0156211""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Central High School","=""0156211""","Two or More Races","*"
"Bridgeport School District","Central High School","=""0156211""","White",39.9
"Bridgeport School District","Cesar Batalla School","=""0151411""","American Indian or Alaska Native","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","Asian","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","Black or African American",17.4
"Bridgeport School District","Cesar Batalla School","=""0151411""","Hispanic/Latino of any race",16.8
"Bridgeport School District","Cesar Batalla School","=""0151411""","Two or More Races","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","White","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","American Indian or Alaska Native","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Asian","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Black or African American","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Hispanic/Latino of any race","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Two or More Races","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","White","*"
"Bridgeport School District","Columbus School","=""0150511""","American Indian or Alaska Native","*"
"Bridgeport School District","Columbus School","=""0150511""","Asian","*"
"Bridgeport School District","Columbus School","=""0150511""","Black or African American",28.6
"Bridgeport School District","Columbus School","=""0150511""","Hispanic/Latino of any race",27.4
"Bridgeport School District","Columbus School","=""0150511""","Two or More Races","*"
"Bridgeport School District","Columbus School","=""0150511""","White","*"
"Bridgeport School District","Cross School","=""0153911""","American Indian or Alaska Native","*"
"Bridgeport School District","Cross School","=""0153911""","Asian","*"
"Bridgeport School District","Cross School","=""0153911""","Black or African American",24.6
"Bridgeport School District","Cross School","=""0153911""","Hispanic/Latino of any race","*"
"Bridgeport School District","Cross School","=""0153911""","Two or More Races","*"
"Bridgeport School District","Cross School","=""0153911""","White","*"
"Bridgeport School District","Curiale School","=""0154211""","American Indian or Alaska Native","*"
"Bridgeport School District","Curiale School","=""0154211""","Asian","*"
"Bridgeport School District","Curiale School","=""0154211""","Black or African American",25.7
"Bridgeport School District","Curiale School","=""0154211""","Hispanic/Latino of any race",34.9
"Bridgeport School District","Curiale School","=""0154211""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Curiale School","=""0154211""","Two or More Races","*"
"Bridgeport School District","Curiale School","=""0154211""","White",31.7
"Bridgeport School District","Geraldine Johnson School","=""0153211""","American Indian or Alaska Native","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Asian","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Black or African American",5.8
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Hispanic/Latino of any race",8.1
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Two or More Races","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","White","*"
"Bridgeport School District","Hall School","=""0151111""","American Indian or Alaska Native","*"
"Bridgeport School District","Hall School","=""0151111""","Asian","*"
"Bridgeport School District","Hall School","=""0151111""","Black or African American","*"
"Bridgeport School District","Hall School","=""0151111""","Hispanic/Latino of any race",24.5
"Bridgeport School District","Hall School","=""0151111""","White","*"
"Bridgeport School District","Harding High School","=""0156311""","American Indian or Alaska Native","*"
"Bridgeport School District","Harding High School","=""0156311""","Asian","*"
"Bridgeport School District","Harding High School","=""0156311""","Black or African American",36.8
"Bridgeport School District","Harding High School","=""0156311""","Hispanic/Latino of any race",50.2
"Bridgeport School District","Harding High School","=""0156311""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Harding High School","=""0156311""","White",40.6
"Bridgeport School District","High Horizons Magnet School","=""0154511""","American Indian or Alaska Native","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Asian","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Black or African American","*"
