"Chronic Absenteeism, 2012-13"
", All Schools, Grade"

"District","District Code","School","School Code","Grade","% Chronically Absent"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade   8",17.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Kindergarten",17.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   1",12.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   2",14.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   3","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   4",12.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   5","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade   6",15.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Kindergarten",19.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   1",14.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   2","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   3",7.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   4",12.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   5","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade   6",10.5
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   6","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   7","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 10","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 11","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Grade 12","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Kindergarten","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   1","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   2","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   3","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   4",40.7
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   5",39.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   6","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   7",40.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Grade   8",52.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   6",12.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   7",10.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   8",11.7
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Kindergarten","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   1","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   2","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   3","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   4","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   5",33.3
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   6",35.0
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   7",50.0
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade 12","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 10","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 11",58.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 12",33.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade   8","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 10",81.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 11",69.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 12",80.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade   9","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade 10","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade 11","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade 12",17.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Kindergarten","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   1","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   2",15.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   3",8.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   4",8.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   5","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   6",9.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   7","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   8","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Kindergarten","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   1","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   2","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   3","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   4","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   5","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   6","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   7","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade   8",13.2
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade   9",6.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 11",4.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 12","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade   7",3.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade   8",6.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Kindergarten",9.1
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade   1",6.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade   2",7.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade   3","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade   4","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Kindergarten",7.6
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade   1",6.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade   2","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade   3",5.3
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade   4","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Grade   5",6.0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Grade   6",6.3
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Kindergarten","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade   1","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade   2","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade   3","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade   4","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade   5","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade   6","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Grade   9",5.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Grade 10",7.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Grade 11",5.9
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Grade 12",9.5
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Grade   6",4.7
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Grade   7",8.3
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Grade   8",11.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Kindergarten",9.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Grade   1","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Grade   2","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Grade   3","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Grade   4","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Grade   5","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Kindergarten","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Grade   1","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Grade   2","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Grade   3","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Grade   4","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Grade   5","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Kindergarten",0.0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Grade   1","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Grade   2","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Grade   3",0.0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Grade   4","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Grade   5","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Kindergarten","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Grade   1","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Grade   2","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Grade   3","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Grade   4",8.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Grade   5","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Grade   6","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Kindergarten",10.3
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Grade   1","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Grade   2","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Grade   3","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Grade   9",6.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Grade 10",8.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Grade 11",9.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Grade 12",10.6
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Grade   6",7.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Grade   7",8.7
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Grade   8",9.4
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Kindergarten","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Grade   1","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Grade   2","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Grade   3","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Grade   4",4.8
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Grade   5",6.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Grade   9",12.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Grade 10",6.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Grade 11",9.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Grade 12",5.1
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Grade   5","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Grade   6","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Grade   7",5.7
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Grade   8",6.6
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Grade   6","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Grade   7","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Grade   9","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Grade 10",24.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Grade 11","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Grade 12",21.9
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Kindergarten",10.3
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Grade   1",5.8
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Grade   2",6.3
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Grade 10","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Grade 11","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Grade 12","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Grade   3","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Grade   4","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Kindergarten",10.2
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Kindergarten",14.6
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   1","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   2","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   3","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   4","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   5","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   6","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   7","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Grade   8","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Grade   9","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Grade 10","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Grade 11","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Grade 12","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Kindergarten","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   1","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   2","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   3","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   4","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   5","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   6","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   7","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Grade   8","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Grade   9",5.7
"Branford School District","=""0140011""","Branford High School","=""0146111""","Grade 10",10.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","Grade 11",14.1
"Branford School District","=""0140011""","Branford High School","=""0146111""","Grade 12",12.8
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Grade   5",3.8
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Grade   6",6.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Grade   7",5.3
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Grade   8",11.8
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Kindergarten",11.0
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Grade   1","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Grade   2","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Grade   3","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Grade   4","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Kindergarten","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Grade   1","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Grade   2",9.0
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Grade   3","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Grade   4","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Kindergarten","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Grade   1","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Grade   2","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Grade   3","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Grade   4","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Kindergarten","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade   1",0.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade   2",0.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade   5","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade   6",0.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade   7","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade   8","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade   9",11.8
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Grade 10",0.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Kindergarten",31.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   1",27.8
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   2",17.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   3",22.5
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   4",26.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   5",19.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   6",25.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   7",23.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Grade   8",20.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Grade   9",34.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Grade 10",44.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Grade 11",46.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Grade 12",30.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Kindergarten",27.1
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Grade   1",20.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Grade   2",16.3
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Grade   3",13.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Grade   4","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Grade   5",16.7
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Grade   6","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Kindergarten",25.9
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Grade   1",21.7
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Grade   2",20.4
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Grade   3",23.7
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Grade   4","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Grade   5",12.5
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Grade   6","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Grade   7","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Kindergarten",22.7
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   1",17.6
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   2",17.1
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   3","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   4",12.8
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   5",18.1
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   6","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   7",14.8
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Grade   8",16.8
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Kindergarten","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   1","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   2","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   3","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   4","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   5","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   6","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   7","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   8","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade   9","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade 10","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Grade 11","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Kindergarten",36.7
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Grade   1",19.4
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Grade   2",18.3
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Grade   3",24.2
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Grade   4",15.1
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Grade   5","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Grade   6","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Grade   9",49.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Grade 10",60.9
