"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, Free/Reduced Price Meal Eligibility"

"Organization","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Bolton School District","Bolton High School","=""0126111""","Not Eligible For Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Eligible For Free Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Eligible For Reduced Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Not Eligible For Lunch",5.1
"Branford School District","Branford High School","=""0146111""","Eligible For Free Lunch","*"
"Branford School District","Branford High School","=""0146111""","Eligible For Reduced Lunch","*"
"Branford School District","Branford High School","=""0146111""","Not Eligible For Lunch",9.1
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Eligible For Free Lunch",13.3
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Eligible For Reduced Lunch",7.4
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Not Eligible For Lunch",6.4
"Branford School District","John B. Sliney School","=""0141611""","Eligible For Free Lunch",10.8
"Branford School District","John B. Sliney School","=""0141611""","Eligible For Reduced Lunch",0.0
"Branford School District","John B. Sliney School","=""0141611""","Not Eligible For Lunch",2.4
"Branford School District","Mary R. Tisko School","=""0141511""","Eligible For Free Lunch","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Eligible For Reduced Lunch","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Not Eligible For Lunch",3.0
"Branford School District","Mary T. Murphy School","=""0141411""","Eligible For Free Lunch","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Eligible For Reduced Lunch","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Not Eligible For Lunch",3.9
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Eligible For Free Lunch","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Eligible For Reduced Lunch",0.0
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Not Eligible For Lunch","*"
"Bridgeport School District","Barnum School","=""0150111""","Eligible For Free Lunch",22.7
"Bridgeport School District","Barnum School","=""0150111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Barnum School","=""0150111""","Not Eligible For Lunch","*"
"Bridgeport School District","Bassick High School","=""0156111""","Eligible For Free Lunch",39.3
"Bridgeport School District","Bassick High School","=""0156111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Bassick High School","=""0156111""","Not Eligible For Lunch","*"
"Bridgeport School District","Beardsley School","=""0150211""","Eligible For Free Lunch",18.2
"Bridgeport School District","Beardsley School","=""0150211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Beardsley School","=""0150211""","Not Eligible For Lunch","*"
"Bridgeport School District","Black Rock School","=""0150311""","Eligible For Free Lunch",13.1
"Bridgeport School District","Black Rock School","=""0150311""","Not Eligible For Lunch","*"
"Bridgeport School District","Blackham School","=""0154011""","Eligible For Free Lunch",13.5
"Bridgeport School District","Blackham School","=""0154011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Blackham School","=""0154011""","Not Eligible For Lunch","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Eligible For Free Lunch","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Bryant School","=""0150411""","Eligible For Free Lunch",16.7
"Bridgeport School District","Central High School","=""0156211""","Eligible For Free Lunch",23.0
"Bridgeport School District","Central High School","=""0156211""","Eligible For Reduced Lunch",18.3
"Bridgeport School District","Central High School","=""0156211""","Not Eligible For Lunch",10.6
"Bridgeport School District","Cesar Batalla School","=""0151411""","Eligible For Free Lunch","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Cesar Batalla School","=""0151411""","Not Eligible For Lunch","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Eligible For Free Lunch",6.1
"Bridgeport School District","Classical Studies Academy","=""0152111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Not Eligible For Lunch","*"
"Bridgeport School District","Columbus School","=""0150511""","Eligible For Free Lunch",21.7
"Bridgeport School District","Columbus School","=""0150511""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Columbus School","=""0150511""","Not Eligible For Lunch","*"
"Bridgeport School District","Cross School","=""0153911""","Eligible For Free Lunch","*"
"Bridgeport School District","Cross School","=""0153911""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Cross School","=""0153911""","Not Eligible For Lunch","*"
"Bridgeport School District","Curiale School","=""0154211""","Eligible For Free Lunch","*"
"Bridgeport School District","Curiale School","=""0154211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Curiale School","=""0154211""","Not Eligible For Lunch","*"
"Bridgeport School District","Dunbar School","=""0154111""","Eligible For Free Lunch","*"
"Bridgeport School District","Dunbar School","=""0154111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Edison School","=""0150711""","Eligible For Free Lunch",11.1
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Eligible For Free Lunch",8.6
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Not Eligible For Lunch","*"
"Bridgeport School District","Hall School","=""0151111""","Eligible For Free Lunch","*"
"Bridgeport School District","Hall School","=""0151111""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Hallen School","=""0151211""","Eligible For Free Lunch","*"
"Bridgeport School District","Hallen School","=""0151211""","Not Eligible For Lunch","*"
"Bridgeport School District","Harding High School","=""0156311""","Eligible For Free Lunch",46.1
"Bridgeport School District","Harding High School","=""0156311""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Harding High School","=""0156311""","Not Eligible For Lunch","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Eligible For Free Lunch",3.0
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Eligible For Reduced Lunch","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Not Eligible For Lunch","*"
"Bridgeport School District","Hooker School","=""0151311""","Eligible For Free Lunch","*"
"Bridgeport School District","Hooker School","=""0151311""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Hooker School","=""0151311""","Not Eligible For Lunch","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Eligible For Free Lunch","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Not Eligible For Lunch","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Eligible For Free Lunch",23.4
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Not Eligible For Lunch","*"
"Bridgeport School District","Longfellow School","=""0151911""","Eligible For Free Lunch","*"
"Bridgeport School District","Longfellow School","=""0151911""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Eligible For Free Lunch","*"
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Madison School","=""0152011""","Eligible For Free Lunch",11.0
"Bridgeport School District","Make The Grade","=""0159511""","Eligible For Free Lunch",62.8
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Eligible For Free Lunch",1.5
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Not Eligible For Lunch","*"
"Bridgeport School District","Park City Academy","=""0159211""","Eligible For Free Lunch",76.3
"Bridgeport School District","Park City Magnet School","=""0151711""","Eligible For Free Lunch",3.4
"Bridgeport School District","Park City Magnet School","=""0151711""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Not Eligible For Lunch","*"
"Bridgeport School District","Read School","=""0152511""","Eligible For Free Lunch","*"
"Bridgeport School District","Read School","=""0152511""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Eligible For Free Lunch","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Skane Center","=""0154411""","Eligible For Free Lunch","*"
"Bridgeport School District","Waltersville School","=""0153011""","Eligible For Free Lunch","*"
"Bridgeport School District","Waltersville School","=""0153011""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Waltersville School","=""0153011""","Not Eligible For Lunch","*"
"Bridgeport School District","Winthrop School","=""0153611""","Eligible For Free Lunch",9.4
"Bridgeport School District","Winthrop School","=""0153611""","Eligible For Reduced Lunch","*"
"Bridgeport School District","Winthrop School","=""0153611""","Not Eligible For Lunch","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Free Lunch","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Reduced Lunch","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Not Eligible For Lunch","*"
"Bristol School District","Bristol Central High School","=""0176111""","Eligible For Free Lunch",32.7
"Bristol School District","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",15.1
"Bristol School District","Bristol Central High School","=""0176111""","Not Eligible For Lunch",8.4
"Bristol School District","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",33.3
"Bristol School District","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",24.5
"Bristol School District","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",10.6
"Bristol School District","Chippens Hill Middle School","=""0175111""","Eligible For Free Lunch",21.8
"Bristol School District","Chippens Hill Middle School","=""0175111""","Eligible For Reduced Lunch","*"
"Bristol School District","Chippens Hill Middle School","=""0175111""","Not Eligible For Lunch","*"
"Bristol School District","Clara T. O'Connell School","=""0170711""","Eligible For Free Lunch","*"
"Bristol School District","Clara T. O'Connell School","=""0170711""","Eligible For Reduced Lunch",0.0
"Bristol School District","Clara T. O'Connell School","=""0170711""","Not Eligible For Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Eligible For Free Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Eligible For Reduced Lunch","*"
"Bristol School District","Community/Vocational Program","=""0179211""","Not Eligible For Lunch","*"
"Bristol School District","Edgewood School","=""0170311""","Eligible For Free Lunch",19.0
"Bristol School District","Edgewood School","=""0170311""","Eligible For Reduced Lunch","*"
"Bristol School District","Edgewood School","=""0170311""","Not Eligible For Lunch",3.7
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Eligible For Free Lunch",15.1
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Eligible For Reduced Lunch","*"
"Bristol School District","Ellen P. Hubbell School","=""0171411""","Not Eligible For Lunch","*"
"Bristol School District","Greene-Hills School","=""0170511""","Eligible For Free Lunch",8.7
"Bristol School District","Greene-Hills School","=""0170511""","Eligible For Reduced Lunch","*"
"Bristol School District","Greene-Hills School","=""0170511""","Not Eligible For Lunch","*"
"Bristol School District","Ivy Drive School","=""0171911""","Eligible For Free Lunch","*"
"Bristol School District","Ivy Drive School","=""0171911""","Eligible For Reduced Lunch","*"
"Bristol School District","Ivy Drive School","=""0171911""","Not Eligible For Lunch","*"
"Bristol School District","John J. Jennings School","=""0170611""","Eligible For Free Lunch","*"
"Bristol School District","John J. Jennings School","=""0170611""","Eligible For Reduced Lunch","*"
"Bristol School District","John J. Jennings School","=""0170611""","Not Eligible For Lunch",3.4
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Eligible For Free Lunch",16.0
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Eligible For Reduced Lunch","*"
"Bristol School District","Memorial Boulevard Middle School","=""0175311""","Not Eligible For Lunch","*"
"Bristol School District","Mountain View School","=""0171711""","Eligible For Free Lunch","*"
"Bristol School District","Mountain View School","=""0171711""","Eligible For Reduced Lunch","*"
"Bristol School District","Mountain View School","=""0171711""","Not Eligible For Lunch",4.2
"Bristol School District","Northeast Middle School","=""0175211""","Eligible For Free Lunch",20.6
"Bristol School District","Northeast Middle School","=""0175211""","Eligible For Reduced Lunch","*"
"Bristol School District","Northeast Middle School","=""0175211""","Not Eligible For Lunch","*"
"Bristol School District","South Side School","=""0171111""","Eligible For Free Lunch",18.3
"Bristol School District","South Side School","=""0171111""","Eligible For Reduced Lunch","*"
"Bristol School District","South Side School","=""0171111""","Not Eligible For Lunch","*"
"Bristol School District","Stafford School","=""0171211""","Eligible For Free Lunch",23.1
"Bristol School District","Stafford School","=""0171211""","Eligible For Reduced Lunch","*"
"Bristol School District","Stafford School","=""0171211""","Not Eligible For Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Eligible For Free Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Eligible For Reduced Lunch","*"
"Brookfield School District","Brookfield High School","=""0186111""","Not Eligible For Lunch",6.2
"Brookfield School District","Center Elementary School","=""0180311""","Eligible For Free Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Eligible For Reduced Lunch","*"
"Brookfield School District","Center Elementary School","=""0180311""","Not Eligible For Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Eligible For Free Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Eligible For Reduced Lunch","*"
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""","Not Eligible For Lunch","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Eligible For Free Lunch","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Eligible For Reduced Lunch","*"
"Brookfield School District","Whisconier Middle School","=""0185311""","Not Eligible For Lunch",3.4
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Eligible For Free Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Eligible For Reduced Lunch","*"
"Brooklyn School District","Brooklyn Elementary School","=""0190111""","Not Eligible For Lunch","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Eligible For Free Lunch",19.8
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Eligible For Reduced Lunch","*"
"Brooklyn School District","Brooklyn Middle School","=""0195111""","Not Eligible For Lunch","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Eligible For Free Lunch","*"
"Canaan School District","Lee H. Kellogg School","=""0210111""","Not Eligible For Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Eligible For Free Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Eligible For Reduced Lunch","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""","Not Eligible For Lunch",2.9
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Eligible For Free Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Eligible For Reduced Lunch","*"
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""","Not Eligible For Lunch",4.2
"Canton School District","Canton High School","=""0236111""","Eligible For Free Lunch","*"
"Canton School District","Canton High School","=""0236111""","Eligible For Reduced Lunch","*"
"Canton School District","Canton High School","=""0236111""","Not Eligible For Lunch",4.5
"Canton School District","Canton Intermediate School","=""0230311""","Eligible For Free Lunch","*"
"Canton School District","Canton Intermediate School","=""0230311""","Eligible For Reduced Lunch","*"
"Canton School District","Canton Intermediate School","=""0230311""","Not Eligible For Lunch",3.5
"Canton School District","Canton Middle School","=""0235111""","Eligible For Free Lunch","*"
"Canton School District","Canton Middle School","=""0235111""","Eligible For Reduced Lunch","*"
"Canton School District","Canton Middle School","=""0235111""","Not Eligible For Lunch","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Eligible For Free Lunch","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Eligible For Reduced Lunch","*"
"Canton School District","Cherry Brook Primary School","=""0230211""","Not Eligible For Lunch",3.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Eligible For Free Lunch",29.6
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Eligible For Reduced Lunch",34.4
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""","Not Eligible For Lunch",8.4
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Eligible For Free Lunch","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""","Not Eligible For Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Eligible For Free Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""","Not Eligible For Lunch",6.1
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""","Eligible For Free Lunch",19.3
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""","Eligible For Reduced Lunch","*"
"Capitol Region Education Council","Great Path Academy at MCC","=""2416314""","Not Eligible For Lunch","*"
