"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Special Education","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Non-Special Education",4.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Special Education",10.2
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Non-Special Education",3.6
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Special Education",0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",6.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",19.8
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Non-Special Education",6.8
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Special Education",17.9
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Non-Special Education","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Special Education","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Non-Special Education","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Special Education","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Non-Special Education","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Special Education","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Non-Special Education","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Special Education","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Non-Special Education",5.2
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Special Education",13.3
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",6.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",21.6
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Non-Special Education",6.2
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Special Education",18.2
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Non-Special Education","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Special Education","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Non-Special Education",2.5
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Special Education",13.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",8.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",20.0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Non-Special Education","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Special Education","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Non-Special Education","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Special Education","*"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Non-Special Education","*"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Special Education","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Non-Special Education","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Special Education","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-Special Education","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Special Education","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Non-Special Education","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Special Education","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Non-Special Education","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Special Education","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Non-Special Education","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Special Education","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",9.2
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",17.7
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Non-Special Education",6.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Special Education",17.2
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Non-Special Education","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Special Education","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Non-Special Education","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Special Education","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Non-Special Education","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Special Education","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Non-Special Education","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Special Education","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Non-Special Education",21.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Special Education",29.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",39.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",35.9
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Non-Special Education",19.1
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Special Education",14.6
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Non-Special Education",11.7
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Special Education","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Non-Special Education",13.5
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Special Education",14.9
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Special Education","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Non-Special Education",16.2
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Special Education",24.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",21.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",29.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Non-Special Education",13.9
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Special Education",27.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Non-Special Education",6.4
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Special Education",0.0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Non-Special Education",20.7
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Special Education",28.6
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Non-Special Education",25.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Special Education",37.7
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Non-Special Education",22.4
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Special Education",26.2
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Non-Special Education",26.6
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Special Education",34.1
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Special Education","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Non-Special Education",7.8
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Special Education",12.4
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Non-Special Education",11.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Special Education",27.3
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Special Education","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",42.9
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",58.2
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Special Education","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Non-Special Education",5.6
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Special Education",15.8
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Special Education","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Non-Special Education",19.8
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Special Education",40.0
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Non-Special Education",25.1
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Special Education",40.6
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Non-Special Education",23.9
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Special Education",39.3
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Non-Special Education",9.9
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Special Education",17.9
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Special Education","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Special Education","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Special Education","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Non-Special Education",1.6
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Special Education",20.0
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Non-Special Education",13.7
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Special Education",26.7
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Non-Special Education",26.6
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Special Education",45.2
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Non-Special Education","*"
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Special Education","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Non-Special Education",17.9
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Special Education",19.4
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Non-Special Education",8.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Special Education",20.8
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Special Education",26.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",14.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",30.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",14.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",29.9
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Non-Special Education",10.6
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Special Education",11.0
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Non-Special Education",17.3
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Special Education",17.3
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Special Education","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Non-Special Education",9.6
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Special Education","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Non-Special Education",7.5
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Special Education",13.3
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Non-Special Education","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Special Education","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Non-Special Education",5.2
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Special Education",15.7
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Non-Special Education","*"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Special Education","*"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Non-Special Education",5.5
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Special Education",18.1
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Non-Special Education","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Special Education","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Non-Special Education",6.3
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Special Education",8.9
"Bristol School District","=""0170011""","South Side School","=""0171111""","Non-Special Education",8.1
"Bristol School District","=""0170011""","South Side School","=""0171111""","Special Education",12.5
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Non-Special Education",12.5
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Special Education",20.9
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",5.8
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",18.3
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Non-Special Education","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Special Education","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Non-Special Education","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Special Education","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Non-Special Education","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Special Education","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Non-Special Education",3.4
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Special Education",20.6
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Non-Special Education",8.0
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Special Education",15.5
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Non-Special Education","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Special Education","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Non-Special Education","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Special Education","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Non-Special Education","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Special Education","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",3.8
"Canton School District","=""0230011""","Canton High School","=""0236111""","Special Education",13.6
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Non-Special Education","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Special Education","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Non-Special Education","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Special Education","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Non-Special Education","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education",15.9
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Special Education",30.3
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-Special Education",12.8
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Special Education",30.0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",53.7
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",57.1
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","Special Education","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Special Education","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education",7.3
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education",10.9
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-Special Education",21.2
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Special Education",34.3
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","Non-Special Education",12.9
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","Special Education",21.6
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","Special Education","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","Special Education",14.7
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","Special Education","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","Special Education","*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","Non-Special Education","*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","Special Education",0.0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Non-Special Education","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Special Education","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Non-Special Education","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Special Education","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-Special Education",6.6
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Special Education",19.2
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","Non-Special Education","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","Special Education","*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Non-Special Education",4.6
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Special Education",13.3
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Non-Special Education","*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Special Education","*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Non-Special Education",2.4
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Special Education","*"
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","Non-Special Education","*"
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","Special Education","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Non-Special Education","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Special Education","*"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Non-Special Education","*"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Special Education","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Non-Special Education","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Special Education","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Non-Special Education","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Special Education","*"
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Non-Special Education","*"
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Special Education","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-Special Education",18.9
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Special Education",41.3
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-Special Education","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Special Education","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Non-Special Education","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Special Education","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Non-Special Education",1.0
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Special Education",0.0
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Non-Special Education",5.0
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Special Education",7.1
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Non-Special Education","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Special Education","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Non-Special Education",6.2
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Special Education",15.0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-Special Education","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-Special Education",18.5
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Special Education",19.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Non-Special Education","*"
