"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""",27.7
"Bridgeport School District","Winthrop School","=""0153611""",9.1
"Bridgeport School District","Curiale School","=""0154211""",28.4
"Bridgeport School District","Geraldine Johnson School","=""0153211""",10.0
"Bridgeport School District","Read School","=""0152511""",13.0
"Bridgeport School District","Columbus School","=""0150511""",33.1
"Bridgeport School District","Luis Munoz Marin School","=""0151011""",29.2
"Bridgeport School District","Blackham School","=""0154011""",15.7
"Bridgeport School District","Cesar Batalla School","=""0151411""",17.6
"Bridgeport School District","Bassick High School","=""0156111""",39.4
"Bridgeport School District","Harding High School","=""0156311""",49.3
"Bridgeport School District","Central High School","=""0156211""",55.2
"Bristol School District","Community/Vocational Program","=""0179211""","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""",47.6
"Bristol School District","Mountain View School","=""0171711""",6.2
"Bristol School District","Edgewood School","=""0170311""",8.4
"Bristol School District","Ellen P. Hubbell School","=""0171411""",8.5
"Bristol School District","Ivy Drive School","=""0171911""",6.3
"Bristol School District","Stafford School","=""0171211""",10.3
"Bristol School District","South Side School","=""0171111""",5.2
"Bristol School District","Northeast Middle School","=""0175211""",5.2
"Bristol School District","Chippens Hill Middle School","=""0175111""",7.0
"Bristol School District","Greene-Hills School","=""0170511""",8.6
"Bristol School District","West Bristol School","=""0172011""",10.2
"Bristol School District","Bristol Central High School","=""0176111""",14.0
"Bristol School District","Bristol Eastern High School","=""0176211""",15.3
"Brookfield School District","Center Elementary School","=""0180311""",2.6
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""",1.3
"Brookfield School District","Whisconier Middle School","=""0185311""",3.1
"Brookfield School District","Brookfield High School","=""0186111""",0.9
"Brooklyn School District","Brooklyn Middle School","=""0195111""",6.1
"Brooklyn School District","Brooklyn Elementary School","=""0190111""",7.5
"Canaan School District","Lee H. Kellogg School","=""0210111""","*"
"Canterbury School District","Canterbury Elementary School","=""0220211""",6.1
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""",7.0
"Canton School District","Canton Middle School","=""0235111""",5.9
"Canton School District","Canton Intermediate School","=""0230311""",4.2
"Canton School District","Cherry Brook Primary School","=""0230211""",4.6
"Canton School District","Canton High School","=""0236111""",4.0
"Capitol Region Education Council","Integrated Program Models","=""2419414""","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*"
"Capitol Region Education Council","Soundbridge","=""2419114""",25.0
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""",55.3
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""",18.0
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""","*"
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""",27.6
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""",6.5
"Capitol Region Education Council","CREC Discovery Academy","=""2418114""",14.7
"Capitol Region Education Council","River Street School","=""2419314""",17.6
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",8.5
"Capitol Region Education Council","Museum Academy","=""2410514""",11.5
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""",12.8
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""",12.0
"Capitol Region Education Council","Montessori Magnet School","=""2413114""",9.8
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","=""2416514""",13.4
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""",7.0
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""",6.4
"Capitol Region Education Council","Public Safety Academy","=""2415214""",21.6
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",52.3
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""",11.3
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""",6.4
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""",8.0
"Chaplin School District","Chaplin Elementary School","=""0240211""",8.3
"Cheshire School District","Humiston School","=""0259011""",25.9
"Cheshire School District","Darcey School","=""0250211""",0.0
"Cheshire School District","Chapman School","=""0250111""","*"
"Cheshire School District","Norton School","=""0250511""",0.0
"Cheshire School District","Doolittle School","=""0250611""",0.0
"Cheshire School District","Dodd Middle School","=""0255111""",5.9
"Cheshire School District","Highland School","=""0250411""",0.0
"Cheshire School District","Cheshire High School","=""0256111""",9.0
"Chester School District","Chester Elementary School","=""0260111""",9.2
"Clinton School District","Abraham Pierson School","=""0270111""",3.6
"Clinton School District","Jared Eliot School","=""0275111""",5.4
"Clinton School District","The Morgan School","=""0276111""",14.8
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""",5.0
"Colchester School District","Colchester Elementary School","=""0280411""",3.6
"Colchester School District","Jack Jackter Intermediate School","=""0280211""",1.8
"Colchester School District","William J. Johnston Middle School","=""0285111""",6.1
"Colchester School District","Bacon Academy","=""0286111""",10.2
"Colebrook School District","Colebrook Consolidated School","=""0290111""","*"
"Columbia School District","Horace W. Porter School","=""0300111""",4.1
"Common Ground High School District","Common Ground High School","=""2686113""",14.5
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""",24.8
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""",13.4
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""",19.1
"Connecticut Technical High School System","Windham Technical High School","=""9002416""",10.8
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""",17.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""",8.1
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""",7.6
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""",13.6
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""",11.4
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""",7.2
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""",12.2
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""",6.4
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""",10.9
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""",11.6
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""",14.2
"Connecticut Technical High School System","Platt Technical High School","=""9002616""",10.2
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","*"
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""",21.8
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""",22.8
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""",42.6
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""",7.0
"Cornwall School District","Cornwall Consolidated School","=""0310111""","*"
"Coventry School District","Coventry Grammar School","=""0320211""",5.1
"Coventry School District","George Hersey Robertson School","=""0320411""",3.0
"Coventry School District","Capt. Nathan Hale School","=""0325111""",2.9
"Coventry School District","Coventry High School","=""0326111""",14.2
"Cromwell School District","Woodside Intermediate School","=""0330311""",0.0
"Cromwell School District","Edna C. Stevens School","=""0330211""",0.0
"Cromwell School District","Cromwell Middle School","=""0335111""",6.5
"Cromwell School District","Cromwell High School","=""0336111""",10.3
"Danbury School District","Alternative Center For Excellence","=""0346211""",75.6
"Danbury School District","Great Plain School","=""0341111""",4.8
"Danbury School District","King Street Intermediate School","=""0341711""",4.7
"Danbury School District","Pembroke School","=""0341511""",8.1
"Danbury School District","South Street School","=""0341011""",5.0
"Danbury School District","King Street Primary School","=""0341311""",5.3
"Danbury School District","Mill Ridge Primary School","=""0340511""",7.4
"Danbury School District","Ellsworth Avenue School","=""0341411""",3.2
"Danbury School District","Shelter Rock School","=""0341211""",5.8
"Danbury School District","Hayestown Avenue School","=""0340211""",11.0
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",6.1
"Danbury School District","Morris Street School","=""0340611""",6.3
"Danbury School District","Park Avenue School","=""0340811""",7.9
"Danbury School District","Stadley Rough School","=""0341611""",7.5
"Danbury School District","Broadview Middle School","=""0345111""",9.0
"Danbury School District","Rogers Park Middle School","=""0345211""",10.8
"Danbury School District","Danbury High School","=""0346111""",18.4
"Darien School District","Royle Elementary School","=""0350511""",4.4
"Darien School District","Holmes Elementary School","=""0350711""",1.6
"Darien School District","Tokeneke Elementary School","=""0350611""",3.1
"Darien School District","Ox Ridge Elementary School","=""0351311""",2.3
"Darien School District","Hindley Elementary School","=""0350211""",3.1
"Darien School District","Middlesex Middle School","=""0355111""",4.9
"Darien School District","Darien High School","=""0356111""",3.6
"Deep River School District","Deep River Elementary School","=""0360111""",3.4
"Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","=""3370515""","*"
"Department of Mental Health and Addiction Services","Connecticut Valley Hospital","=""3370215""","*"
"Derby School District","Bradley School","=""0370611""",9.7
"Derby School District","Derby High School","=""0376111""",20.8
"Derby School District","Derby Middle School","=""0375011""",13.9
"Derby School District","Irving School","=""0370411""",12.6
"East Granby School District","Allgrove School","=""0400111""",7.0
"East Granby School District","R. Dudley Seymour School","=""0400211""",4.0
"East Granby School District","East Granby Middle School","=""0405111""",3.7
"East Granby School District","East Granby High School","=""0406111""",11.1
"East Haddam School District","East Haddam Elementary School","=""0410111""",5.9
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""",10.2
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""",5.7
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","*"
"East Hampton School District","Center School","=""0420311""",5.6
"East Hampton School District","East Hampton Middle School","=""0425111""",7.4
"East Hampton School District","East Hampton High School","=""0426111""",5.0
"East Hampton School District","Memorial School","=""0420111""",5.0
"East Hartford School District","Connecticut IB Academy","=""0436311""",4.3
"East Hartford School District","Stevens Alternate High school","=""0436411""",49.2
"East Hartford School District","Woodland School","=""0439011""",59.1
"East Hartford School District","Silver Lane School","=""0431211""",19.9
"East Hartford School District","Hockanum School","=""0430511""",16.2
"East Hartford School District","Anna E. Norris School","=""0430911""",21.2
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",7.0
"East Hartford School District","Joseph O. Goodwin School","=""0430411""",12.5
"East Hartford School District","Governor William Pitkin School","=""0432011""",6.7
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""",13.0
"East Hartford School District","Dr. John A. Langford School","=""0432211""",13.2
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""",8.1
"East Hartford School District","Robert J. O'Brien School","=""0431811""",13.4
"East Hartford School District","East Hartford Middle School","=""0435111""",32.2
"East Hartford School District","East Hartford High School","=""0436211""",16.0
"East Haven School District","Pathways","=""0449011""",54.2
"East Haven School District","Momauguin School","=""0440711""",12.5
"East Haven School District","D. C. Moore School","=""0441411""",4.9
"East Haven School District","Grove J. Tuttle School","=""0441011""",4.7
"East Haven School District","Overbrook Elementary School","=""0441811""",11.5
"East Haven School District","Dominick H. Ferrara School","=""0441311""",10.0
"East Haven School District","Carbone School/East Haven Academy","=""0441711""",9.4
"East Haven School District","Deer Run School","=""0440111""",7.1
"East Haven School District","Joseph Melillo Middle School","=""0445111""",16.7
"East Haven School District","East Haven High School","=""0446111""",26.1
"East Lyme School District","Niantic Center School","=""0450211""","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""",5.7
"East Lyme School District","Flanders School","=""0450111""",4.2
"East Lyme School District","East Lyme Middle School","=""0455111""",5.9
"East Lyme School District","East Lyme High School","=""0456111""",4.5
"East Windsor School District","East Windsor High School","=""0476111""",9.7
"East Windsor School District","East Windsor Middle School","=""0475411""",12.0
"East Windsor School District","Broad Brook Elementary School","=""0470111""",8.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Adolescent Principal Referred Expulsion Program","=""2539214""","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""",54.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""",100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",63.4
"Eastford School District","Eastford Elementary School","=""0390111""",5.9
"Easton School District","Helen Keller Middle School","=""0465111""",3.1
"Easton School District","Samuel Staples Elementary School","=""0460111""",3.3
"Education Connection","Education Connection Special Education","=""2429014""",58.1
"Ellington School District","Center School","=""0480111""",2.9
"Ellington School District","Crystal Lake School","=""0480211""","*"
"Ellington School District","Windermere Intermediate School","=""0480711""",3.8
"Ellington School District","Ellington Middle School","=""0485111""",6.7
"Ellington School District","Windermere School","=""0480611""",7.9
"Ellington School District","Ellington High School","=""0486111""",6.8
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""",3.5
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","*"
"Enfield School District","Nathan Hale School","=""0491111""",7.1
"Enfield School District","Enfield Street School","=""0490211""",12.0
"Enfield School District","Hazardville Memorial School","=""0490411""",10.0
"Enfield School District","Henry Barnard School","=""0491811""",8.0
"Enfield School District","Edgar H. Parkman School","=""0491311""",4.4
"Enfield School District","Eli Whitney School","=""0491611""",6.7
"Enfield School District","Prudence Crandall School","=""0491511""",6.1
"Enfield School District","Enfield High School","=""0496111""",15.9
"Enfield School District","Enrico Fermi High School","=""0496211""",13.4
"Enfield School District","John F. Kennedy Middle School","=""0495211""",14.1
"Essex School District","Essex Elementary School","=""0500111""",2.1
"Explorations District","Explorations","=""2726113""",39.5
"Fairfield School District","Dwight Elementary School","=""0510111""","*"
"Fairfield School District","Jennings School","=""0511711""",0.0
"Fairfield School District","Holland Hill School","=""0510411""",2.0
"Fairfield School District","Riverfield School","=""0511211""","*"
"Fairfield School District","Burr Elementary School","=""0510211""","*"
"Fairfield School District","Mill Hill School","=""0510711""","*"
"Fairfield School District","McKinley School","=""0510611""","*"
"Fairfield School District","Sherman School","=""0511311""","*"
"Fairfield School District","North Stratfield School","=""0511611""",1.3
"Fairfield School District","Stratfield School","=""0511411""","*"
"Fairfield School District","Osborn Hill School","=""0511811""","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""",5.7
"Fairfield School District","Fairfield Woods Middle School","=""0515211""",5.3
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""",4.9
"Fairfield School District","Fairfield Warde High School","=""0516211""",6.0
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""",6.5
"Farmington School District","Union School","=""0520111""",5.1
"Farmington School District","Noah Wallace School","=""0520211""",5.6
"Farmington School District","West District School","=""0520311""",4.1
"Farmington School District","East Farms School","=""0520411""",4.4
"Farmington School District","West Woods Upper Elementary School","=""0520511""",5.6
"Farmington School District","Irving A. Robbins Middle School","=""0525111""",6.1
"Farmington School District","Farmington High School","=""0526111""",9.7
"Franklin School District","Franklin Elementary School","=""0530111""",8.5
"Glastonbury School District","Eastbury School","=""0540311""","*"
"Glastonbury School District","Naubuc School","=""0540711""",4.1
"Glastonbury School District","Hopewell School","=""0540611""",2.6
"Glastonbury School District","Hebron Avenue School","=""0540411""",2.4
"Glastonbury School District","Buttonball Lane School","=""0540211""",2.0
"Glastonbury School District","Gideon Welles School","=""0540811""",2.5
"Glastonbury School District","Nayaug Elementary School","=""0540911""",3.7
"Glastonbury School District","Smith Middle School","=""0545211""",2.6
"Glastonbury School District","Glastonbury High School","=""0546111""",4.4
"Granby School District","Wells Road Intermediate School","=""0560311""",4.2
"Granby School District","Kelly Lane Intermediate School","=""0560411""",2.5
"Granby School District","Granby Memorial Middle School","=""0565111""",7.9
"Granby School District","Frank M. Kearns Primary School","=""0560111""",6.0
"Granby School District","Granby Memorial High School","=""0566111""",3.6
"Greenwich School District","Parkway School","=""0571111""",10.9
"Greenwich School District","New Lebanon School","=""0570611""",8.0
"Greenwich School District","Julian Curtiss School","=""0570311""",6.8
"Greenwich School District","Hamilton Avenue School","=""0570511""",8.7
"Greenwich School District","International School At Dundee","=""0571311""",6.5
"Greenwich School District","North Street School","=""0570811""",5.9
"Greenwich School District","Old Greenwich School","=""0570911""",5.3
"Greenwich School District","Glenville School","=""0570411""",5.9
"Greenwich School District","Cos Cob School","=""0570211""",5.4
"Greenwich School District","North Mianus School","=""0570711""",6.3
"Greenwich School District","Riverside School","=""0571011""",4.7
"Greenwich School District","Western Middle School","=""0575311""",7.6
"Greenwich School District","Central Middle School","=""0575111""",9.8
"Greenwich School District","Eastern Middle School","=""0575211""",6.3
"Greenwich School District","Greenwich High School","=""0576111""",10.5
"Griswold School District","Griswold Middle School","=""0585111""",9.0
"Griswold School District","Griswold High School","=""0586211""",15.5
"Griswold School District","Griswold Elementary School","=""0580311""",7.2
"Groton School District","Mary Morrisson School","=""0591711""",8.2
"Groton School District","Charles Barnum School","=""0591811""",9.0
"Groton School District","S. B. Butler School","=""0590111""",5.8
"Groton School District","Pleasant Valley School","=""0591211""",9.5
"Groton School District","Catherine Kolnaski Magnet School","=""0590311""",19.7
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""",19.7
"Groton School District","Northeast Academy Elementary School","=""0591911""",4.5
"Groton School District","Carl C. Cutler Middle School","=""0595311""",7.8
"Groton School District","West Side Middle School","=""0595211""",11.8
"Groton School District","Robert E. Fitch High School","=""0596111""",23.2
"Guilford School District","Calvin Leete School","=""0600411""",3.4
"Guilford School District","A. W. Cox School","=""0600611""","*"
"Guilford School District","Guilford Lakes School","=""0600211""",4.5
"Guilford School District","Melissa Jones School","=""0600311""",4.0
"Guilford School District","A. Baldwin Middle School","=""0600711""",5.3
"Guilford School District","E. C. Adams Middle School","=""0605111""",8.6
"Guilford School District","Guilford High School","=""0606111""",11.0
"Hamden School District","Alice Peck Learning Center","=""0628011""","*"
"Hamden School District","Helen Street School","=""0620411""",8.0
"Hamden School District","Dunbar Hill School","=""0620311""",11.9
"Hamden School District","Ridge Hill School","=""0621111""",14.1
"Hamden School District","Shepherd Glen School","=""0620111""",13.2
"Hamden School District","Church Street School","=""0620211""",13.0
"Hamden School District","Spring Glen School","=""0621011""",6.7
"Hamden School District","West Woods School","=""0621411""",7.3
"Hamden School District","Bear Path School","=""0621211""",4.1
"Hamden School District","Hamden Middle School","=""0625211""",16.1
"Hamden School District","Hamden High School","=""0626111""",23.7
"Hampton School District","Hampton Elementary School","=""0630111""","*"
"Hartford School District","Hartford Transitional Learning Academy (Elementary)","=""0649011""",58.3
"Hartford School District","Dr. Joseph Bellizzi Middle School","=""0645311""","*"
"Hartford School District","STEM Magnet School at Dwight","=""0643811""",24.7
"Hartford School District","OPPortunity High School","=""0647811""",60.2
"Hartford School District","Renzulli Academy","=""0644011""",15.5
"Hartford School District","Montessori Magnet School at Annie Fisher","=""0643711""",9.8
"Hartford School District","Breakthrough II Elementary School","=""0643511""",15.5
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""",64.5
"Hartford School District","Great Path Academy High School at MCC","=""0647911""",16.5
"Hartford School District","Dr. Ramon E. Betances Early Reading Lab","=""0642811""",38.3
"Hartford School District","Breakthrough Magnet School","=""0643311""",4.7
"Hartford School District","Simpson-Waverly School","=""0642611""",29.1
"Hartford School District","Culinary Arts Academy","=""0646011""",68.9
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""",15.7
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""",5.5
"Hartford School District","High School Inc.","=""0647611""",46.8
"Hartford School District","Milner Elementary School","=""0641911""",34.6
"Hartford School District","M. L. King School","=""0641611""",21.6
"Hartford School District","Fred D. Wish Museum School","=""0642211""",27.5
"Hartford School District","Bulkeley High School Upper School","=""0647111""",50.7
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""",44.1
"Hartford School District","Clark School","=""0642411""",46.1
"Hartford School District","University High of Science and Engineering","=""0646711""",10.7
"Hartford School District","Global Communications Academy","=""0643611""",20.3
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""",61.6
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""",62.6
"Hartford School District","Sanchez School","=""0643011""",27.4
"Hartford School District","SAND School","=""0640111""",39.6
"Hartford School District","Parkville Community School","=""0641511""",18.9
"Hartford School District","M. D. Fox Elementary School","=""0640811""",23.5
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",9.5
"Hartford School District","Noah Webster Micro Society School","=""0642011""",7.7
"Hartford School District","HPHS Law and Government Academy","=""0647411""",51.7
"Hartford School District","Batchelder School","=""0640411""",23.8
"Hartford School District","Bulkeley High School Lower School","=""0646111""",44.2
"Hartford School District","Burns Latino Studies Academy","=""0640611""",44.9
"Hartford School District","Asian Studies Academy","=""0640711""",29.2
"Hartford School District","West Middle School","=""0642111""",19.8
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""",14.3
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""",21.3
"Hartford School District","Capital Preparatory Magnet School","=""0646911""",3.5
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",16.1
"Hartford School District","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",9.4
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""",15.9
"Hartford School District","Classical Magnet School","=""0646411""",3.1
"Hartford School District","Kennelly School","=""0641011""",21.3
"Hartford School District","Burr School","=""0642311""",18.6
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""",4.4
"Hartland School District","Hartland School","=""0650111""",5.6
"Hebron School District","Gilead Hill School","=""0670211""",3.8
"Hebron School District","Hebron Elementary School","=""0670111""",3.3
"Highville Charter School District","Highville Charter School","=""2860113""",5.7
"Integrated Day Charter School District","Integrated Day Charter School","=""2640113""",7.6
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","=""2655113""",9.7
"Jumoke Academy District","Jumoke Academy","=""2610113""",6.1
"Kent School District","Kent Center School","=""0680111""",4.2
"Killingly School District","Killingly Memorial School","=""0690311""",11.6
"Killingly School District","Killingly Central School","=""0690111""",14.4
"Killingly School District","Killingly Intermediate School","=""0695211""",11.9
"Killingly School District","Killingly High School","=""0696111""",22.6
"Learn","Learn Special Education","=""2459014""",19.4
"Learn","Three Rivers Middle College Magnet School","=""2456214""",48.5
"Learn","Dual Language & Arts Magnet Middle School","=""2455014""",11.0
"Learn","The Friendship School","=""2450214""",24.2
"Learn","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",12.3
"Learn","Connecticut River Academy","=""2456014""",36.9
"Learn","Regional Multicultural Magnet School","=""2450114""",40.6
"Lebanon School District","Lebanon Middle School","=""0715111""",5.0
"Lebanon School District","Lebanon Elementary School","=""0710111""",6.4
"Lebanon School District","Lyman Memorial High School","=""0716211""",25.9
"Ledyard School District","Gales Ferry School","=""0720211""",14.4
"Ledyard School District","Juliet W. Long School","=""0720311""",9.5
"Ledyard School District","Gallup Hill School","=""0720411""",8.0
"Ledyard School District","Ledyard Middle School","=""0725111""",6.0
"Ledyard School District","Ledyard Center School","=""0720111""",7.4
"Ledyard School District","Ledyard High School","=""0726111""",7.3
"Lisbon School District","Community Connection - The Big Picture High School","=""0736011""","*"
"Lisbon School District","Lisbon Central School","=""0730111""",6.2
"Litchfield School District","Center School","=""0740211""",7.0
"Litchfield School District","Litchfield Intermediate School","=""0740311""",4.7
"Litchfield School District","Litchfield High School","=""0746111""",9.1
"Madison School District","Kathleen H. Ryerson Elementary School","=""0760311""",3.1
