"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, Race/Ethnicity"

"",,,,"% Chronically Absent",,,,
"Area Cooperative Educational Services","Mill Road School","=""2449414""","White",31.4,"*",36.1,24.2,"*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","American Indian or Alaska Native","*","*","*","*","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Asian","*",0.0,"*","*","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Black or African American","*","*","*",14.1,9.8
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Hispanic/Latino of any race",11.5,14.8,16.0,15.7,11.9
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","White",12.1,10.2,12.2,11.5,8.0
"Area Cooperative Educational Services","Village School","=""2449514""","American Indian or Alaska Native","*","*","*","*","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Asian","*","*","*","*","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Black or African American","*","*",27.6,37.9,"*"
"Area Cooperative Educational Services","Village School","=""2449514""","Hispanic/Latino of any race",41.9,58.8,57.6,50.0,30.0
"Area Cooperative Educational Services","Village School","=""2449514""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Two or More Races","N/A","N/A","*","*","*"
"Area Cooperative Educational Services","Village School","=""2449514""","White",24.4,26.0,25.7,22.9,22.2
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Asian","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Black or African American",46.5,51.4,50.0,43.3,"*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Hispanic/Latino of any race",37.5,36.4,55.3,56.8,47.1
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","White",26.5,33.3,"*",32.6,34.0
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","American Indian or Alaska Native","*","*","*","*","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Asian","*","*","*","*","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Black or African American",6.2,5.8,9.5,7.5,5.6
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Hispanic/Latino of any race",9.5,13.5,14.8,15.3,17.1
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","White",7.3,7.8,10.1,6.0,6.1
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Asian","*","*","*","*","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Black or African American","*","*","*","*","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Hispanic/Latino of any race","*","*","*","*","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","White","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Asian","*","*","*","N/A","N/A"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Black or African American",64.6,70.7,71.1,68.8,"*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Hispanic/Latino of any race",80.8,77.8,71.4,77.8,86.1
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","White","*","*",70.8,"*","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Asian","N/A","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Black or African American","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Hispanic/Latino of any race","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","White",22.2,"*","*","*","*"
"Ashford School District","Ashford School","=""0030111""","Asian","*","*","*","*","*"
"Ashford School District","Ashford School","=""0030111""","Black or African American","*","*","N/A","*","*"
"Ashford School District","Ashford School","=""0030111""","Hispanic/Latino of any race","*","*","*","*","*"
"Ashford School District","Ashford School","=""0030111""","Two or More Races","*","*","*","*","*"
"Ashford School District","Ashford School","=""0030111""","White",8.8,6.8,"*",6.4,4.8
"Avon School District","Avon High School","=""0046111""","American Indian or Alaska Native","*","*","*","*","*"
"Avon School District","Avon High School","=""0046111""","Asian","*","*","*","*","*"
"Avon School District","Avon High School","=""0046111""","Black or African American","*","*",17.6,"*",28.6
"Avon School District","Avon High School","=""0046111""","Hispanic/Latino of any race",0.0,"*","*",9.2,"*"
"Avon School District","Avon High School","=""0046111""","Native Hawaiian or Other Pacific Islander","*","*","*","N/A","N/A"
"Avon School District","Avon High School","=""0046111""","Two or More Races","*","*","*","*","*"
"Avon School District","Avon High School","=""0046111""","White",2.9,4.2,3.3,4.0,4.2
"Avon School District","Pine Grove School","=""0040411""","American Indian or Alaska Native","*","*","*","*","*"
"Avon School District","Pine Grove School","=""0040411""","Asian",12.9,10.0,7.2,0.0,"*"
"Avon School District","Pine Grove School","=""0040411""","Black or African American","*","*","*",0.0,"*"
"Avon School District","Pine Grove School","=""0040411""","Hispanic/Latino of any race","*",16.2,"*",0.0,"*"
"Avon School District","Pine Grove School","=""0040411""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Avon School District","Pine Grove School","=""0040411""","Two or More Races","*","*","*","*","*"
"Avon School District","Pine Grove School","=""0040411""","White",3.6,2.9,2.7,0.0,3.7
"Avon School District","Thompson Brook School","=""0040511""","American Indian or Alaska Native","*","*","*","*","*"
"Avon School District","Thompson Brook School","=""0040511""","Asian","*","*","*","*","*"
"Avon School District","Thompson Brook School","=""0040511""","Black or African American","*","*","*","*","*"
"Avon School District","Thompson Brook School","=""0040511""","Hispanic/Latino of any race","*","*",0.0,"*","*"
"Avon School District","Thompson Brook School","=""0040511""","Two or More Races",0.0,"*","*","*","*"
"Avon School District","Thompson Brook School","=""0040511""","White",5.2,6.3,4.8,4.1,2.6
"Avon School District","Avon Middle School","=""0045111""","American Indian or Alaska Native","N/A","*","*","*","N/A"
"Avon School District","Avon Middle School","=""0045111""","Asian",0.0,"*","*",0.0,"*"
"Avon School District","Avon Middle School","=""0045111""","Black or African American","*","*","*","*","*"
"Avon School District","Avon Middle School","=""0045111""","Hispanic/Latino of any race","*","*","*",0.0,0.0
"Avon School District","Avon Middle School","=""0045111""","Two or More Races","*",0.0,"*","*","*"
"Avon School District","Avon Middle School","=""0045111""","White",6.0,5.3,5.3,"*",3.7
"Avon School District","Roaring Brook School","=""0040311""","American Indian or Alaska Native","N/A","*","*","*","*"
"Avon School District","Roaring Brook School","=""0040311""","Asian","*","*","*","*",6.0
"Avon School District","Roaring Brook School","=""0040311""","Black or African American","*","*","*","*","*"
"Avon School District","Roaring Brook School","=""0040311""","Hispanic/Latino of any race","*","*",14.3,"*","*"
"Avon School District","Roaring Brook School","=""0040311""","Two or More Races",0.0,"*",0.0,"*","*"
"Avon School District","Roaring Brook School","=""0040311""","White",3.7,3.9,4.7,3.2,5.0
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Asian","*","*","*","*","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Black or African American","*","*","*","*","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Hispanic/Latino of any race","*","*","*","*","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Two or More Races","*","*","*","*","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","White",3.3,3.5,"*",2.1,4.4
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","White","N/A","N/A","N/A","N/A","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","American Indian or Alaska Native","*","*","*","N/A","N/A"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Asian","*","*",0.0,0.0,"*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Black or African American","*","*",0.0,"*","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Hispanic/Latino of any race","*",24.0,"*","*","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Two or More Races","*","*","*","*",0.0
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","White",6.8,6.4,3.4,2.2,2.3
"Berlin School District","Mary E. Griswold School","=""0070511""","American Indian or Alaska Native","*","*","*","*","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Asian","*","*","*","*","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Black or African American","*","*","*","*","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Hispanic/Latino of any race","*","*","*","*","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Two or More Races","*",0.0,0.0,0.0,"*"
"Berlin School District","Mary E. Griswold School","=""0070511""","White",2.8,"*","*","*","*"
"Berlin School District","Berlin High School","=""0076111""","American Indian or Alaska Native","N/A","N/A","*","*","*"
"Berlin School District","Berlin High School","=""0076111""","Asian",0.0,"*","*","*","*"
"Berlin School District","Berlin High School","=""0076111""","Black or African American","*","*","*",24.0,"*"
"Berlin School District","Berlin High School","=""0076111""","Hispanic/Latino of any race",16.9,20.9,23.4,44.6,20.8
"Berlin School District","Berlin High School","=""0076111""","Native Hawaiian or Other Pacific Islander","N/A","*","*","*","*"
"Berlin School District","Berlin High School","=""0076111""","Two or More Races","*","*","*","*","*"
"Berlin School District","Berlin High School","=""0076111""","White",7.2,5.8,7.9,10.7,4.6
"Berlin School District","Emma Hart Willard School","=""0070411""","Asian",0.0,"*","*",0.0,"*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Black or African American","*","*","*","*","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Hispanic/Latino of any race","*","*","*","*","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Two or More Races","*","*","*","*","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","White",2.6,2.9,1.6,"*",2.2
"Berlin School District","Richard D. Hubbard School","=""0070111""","Asian","*","N/A","*","*","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Black or African American","*","*","*","*","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Hispanic/Latino of any race","*","*","*","*","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Two or More Races","*","*","*","*","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","White","*","*","*","*","*"
"Bethany School District","Bethany Community School","=""0080111""","American Indian or Alaska Native","*","*","*","*","*"
"Bethany School District","Bethany Community School","=""0080111""","Asian",0.0,"*","*","*","*"
"Bethany School District","Bethany Community School","=""0080111""","Black or African American","*","*","*","*","*"
"Bethany School District","Bethany Community School","=""0080111""","Hispanic/Latino of any race","*","*","*","*","*"
"Bethany School District","Bethany Community School","=""0080111""","Two or More Races","N/A","*","*","*","*"
"Bethany School District","Bethany Community School","=""0080111""","White","*",5.4,4.4,4.6,5.0
"Bethel School District","Bethel High School","=""0096111""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Bethel School District","Bethel High School","=""0096111""","Asian","*","*","*",0.0,"*"
"Bethel School District","Bethel High School","=""0096111""","Black or African American","*","*","*",0.0,"*"
"Bethel School District","Bethel High School","=""0096111""","Hispanic/Latino of any race",11.4,12.4,12.5,"*",9.2
"Bethel School District","Bethel High School","=""0096111""","Two or More Races","*","*","*",0.0,"*"
"Bethel School District","Bethel High School","=""0096111""","White",7.2,7.9,9.7,"*",9.5
"Bethel School District","Frank A. Berry School","=""0090111""","American Indian or Alaska Native","*","N/A","N/A","N/A","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Asian","*","*","*","*","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Black or African American","*","*","*","*","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Hispanic/Latino of any race",0.0,"*","*",0.0,"*"
"Bethel School District","Frank A. Berry School","=""0090111""","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A"
"Bethel School District","Frank A. Berry School","=""0090111""","Two or More Races","*","*","*","*","*"
"Bethel School District","Frank A. Berry School","=""0090111""","White","*","*","*",3.6,"*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Asian","*","*","*","*","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Black or African American","*","*","*","*","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Hispanic/Latino of any race",9.6,"*","*","*","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Two or More Races","*","*","*","*","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","White",4.5,4.7,3.3,4.7,2.7
"Bethel School District","Bethel Middle School","=""0095111""","Asian","*","*","*","*","*"
"Bethel School District","Bethel Middle School","=""0095111""","Black or African American","*","*","*","*","*"
"Bethel School District","Bethel Middle School","=""0095111""","Hispanic/Latino of any race","*","*","*",7.6,"*"
"Bethel School District","Bethel Middle School","=""0095111""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*"
"Bethel School District","Bethel Middle School","=""0095111""","Two or More Races","*","*","*","*","*"
"Bethel School District","Bethel Middle School","=""0095111""","White",7.8,8.9,5.0,5.3,3.5
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Asian","*","*","*","*","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Black or African American","*","*","*","*","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Hispanic/Latino of any race","*","*",16.4,"*","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Two or More Races","*","*","*","*","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","White",2.7,6.0,15.5,2.5,16.7
"Bloomfield School District","Bloomfield High School","=""0116111""","American Indian or Alaska Native","*","*","*","*","N/A"
"Bloomfield School District","Bloomfield High School","=""0116111""","Asian","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Black or African American",9.8,7.1,7.7,9.8,9.1
"Bloomfield School District","Bloomfield High School","=""0116111""","Hispanic/Latino of any race","*",22.5,"*",15.8,"*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","N/A"
"Bloomfield School District","Bloomfield High School","=""0116111""","Two or More Races","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","White","*","*","*","*","*"
"Bloomfield School District","J. P. Vincent School","=""0110311""","American Indian or Alaska Native","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Asian","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Black or African American",6.7,"N/A","N/A","N/A","N/A"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Hispanic/Latino of any race","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Native Hawaiian or Other Pacific Islander","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Two or More Races","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","J. P. Vincent School","=""0110311""","White","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","Metacomet School","=""0110511""","American Indian or Alaska Native","*","*","N/A","N/A","*"
"Bloomfield School District","Metacomet School","=""0110511""","Asian","*","*","*","*","*"
"Bloomfield School District","Metacomet School","=""0110511""","Black or African American","*","*","*",4.6,3.3
"Bloomfield School District","Metacomet School","=""0110511""","Hispanic/Latino of any race","*","*","*","*","*"
"Bloomfield School District","Metacomet School","=""0110511""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","N/A"
"Bloomfield School District","Metacomet School","=""0110511""","Two or More Races","*","*","*","*","*"
"Bloomfield School District","Metacomet School","=""0110511""","White","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Asian","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Black or African American","*","*","*","*",3.4
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Hispanic/Latino of any race","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Two or More Races","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","White","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Asian","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Black or African American",6.5,"*",5.1,"*","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Hispanic/Latino of any race",31.8,"*","*","*","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Two or More Races","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","White","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","=""0116211""","Asian","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","=""0116211""","Black or African American","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","=""0116211""","Hispanic/Latino of any race","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","=""0116211""","Two or More Races","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","=""0116211""","White","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","American Indian or Alaska Native","N/A","*","N/A","*","N/A"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Asian","*","*","*","*","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Black or African American","*","*",18.4,"*","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Hispanic/Latino of any race","*","*","*","*","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Two or More Races","*","*","*","*","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","White","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","American Indian or Alaska Native","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Asian","N/A","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Black or African American","N/A",13.0,8.1,8.8,11.4
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Hispanic/Latino of any race","N/A","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Two or More Races","N/A","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","White","N/A","*",10.3,12.5,16.9
"Bloomfield School District","Laurel School","=""0110611""","American Indian or Alaska Native","N/A","N/A","*","*","*"
"Bloomfield School District","Laurel School","=""0110611""","Asian","N/A","*","*","*","*"
"Bloomfield School District","Laurel School","=""0110611""","Black or African American","N/A",7.8,4.0,4.6,6.8
"Bloomfield School District","Laurel School","=""0110611""","Hispanic/Latino of any race","N/A","*","*",28.6,35.3
"Bloomfield School District","Laurel School","=""0110611""","Native Hawaiian or Other Pacific Islander","N/A","*","N/A","N/A","N/A"
"Bloomfield School District","Laurel School","=""0110611""","Two or More Races","N/A","*","*","*","*"
"Bloomfield School District","Laurel School","=""0110611""","White","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Black or African American","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Hispanic/Latino of any race","N/A","*","*","N/A","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","White","N/A","*","N/A","*","*"
"Bloomfield School District","SAGE","=""3480415""","Hispanic/Latino of any race","N/A","N/A","N/A","N/A","*"
"Bolton School District","Bolton Center School","=""0120111""","Asian","*","*","*","*","*"
"Bolton School District","Bolton Center School","=""0120111""","Black or African American","*","*",25.0,"*","*"
"Bolton School District","Bolton Center School","=""0120111""","Hispanic/Latino of any race",0.0,"*","*",26.7,"*"
"Bolton School District","Bolton Center School","=""0120111""","Two or More Races","*","*","*","*","*"
"Bolton School District","Bolton Center School","=""0120111""","White",1.9,2.9,3.9,3.4,2.5
"Bolton School District","Bolton High School","=""0126111""","Asian","*","*","*","*","*"
"Bolton School District","Bolton High School","=""0126111""","Black or African American","*","*","*","*","*"
"Bolton School District","Bolton High School","=""0126111""","Hispanic/Latino of any race","*","*","*","*","*"
"Bolton School District","Bolton High School","=""0126111""","Two or More Races","*","*","*","*","*"
"Bolton School District","Bolton High School","=""0126111""","White","*",2.2,2.4,3.3,"*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Black or African American","N/A","N/A","N/A",29.6,20.1
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Two or More Races","N/A","N/A","N/A","*","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","White","N/A","N/A","N/A","*","*"
"Bozrah School District","Fields Memorial School","=""0130111""","American Indian or Alaska Native","*","*","*","N/A","N/A"
"Bozrah School District","Fields Memorial School","=""0130111""","Asian","*","*","*","*","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Black or African American","*","*","*","*","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Hispanic/Latino of any race","*","*","*","*","*"
