"Chronic Absenteeism, 2014-15"
", All Schools, English Learner Status"

"District","District Code","School","School Code","English Learner Status","% Chronically Absent"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Non-ELL","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELL","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Non-ELL","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELL","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Non-ELL","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","ELL","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Non-ELL","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Non-ELL",10.5
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELL","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","ELL","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","ELL",16.2
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Non-ELL",22.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",37.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",44.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","ELL","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","ELL","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","ELL","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Non-ELL",11.5
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","ELL",10.1
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Non-ELL",14.7
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","ELL","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","ELL","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","ELL",11.3
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Non-ELL",14.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",13.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",19.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","ELL",12.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Non-ELL",15.4
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","ELL","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","ELL",15.2
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Non-ELL",27.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","ELL","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","ELL",24.8
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Non-ELL",27.5
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","ELL","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","ELL","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","ELL","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","ELL","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","ELL","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",44.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",52.7
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Non-ELL",3.9
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","ELL","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","ELL","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","ELL","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","ELL",30.0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Non-ELL",30.1
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","ELL",24.0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Non-ELL",26.7
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","ELL","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","ELL","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","ELL","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Non-ELL","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","ELL",6.2
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Non-ELL",15.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","ELL",22.0
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Non-ELL",25.7
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","ELL",21.4
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Non-ELL",19.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","ELL","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Non-ELL","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Non-ELL",60.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELL",35.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-ELL",15.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELL",33.3
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-ELL",12.2
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Non-ELL",44.7
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Non-ELL","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","ELL","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Non-ELL","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Non-ELL","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Non-ELL","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","ELL","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Non-ELL",7.6
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","ELL","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Non-ELL","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Non-ELL","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","ELL","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Non-ELL","*"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Non-ELL","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Non-ELL","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Non-ELL","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","ELL","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Non-ELL","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","ELL","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Non-ELL","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Non-ELL","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Non-ELL","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Non-ELL","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","ELL","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Non-ELL","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","Non-ELL","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Non-ELL","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","ELL","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Non-ELL","*"
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Non-ELL","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","ELL","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Non-ELL","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","ELL",12.8
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Non-ELL",10.3
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELL","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-ELL","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","ELL","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Non-ELL","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","ELL","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Non-ELL","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","ELL","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Non-ELL","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","ELL","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Non-ELL","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","ELL","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Non-ELL","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","ELL","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Non-ELL","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Non-ELL",3.3
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Non-ELL",3.5
"Canton School District","=""0230011""","Canton Academy","=""0230411""","Non-ELL","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELL","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-ELL","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","ELL","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Non-ELL","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Non-ELL",5.1
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","ELL","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELL","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","ELL",48.4
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","Non-ELL",19.3
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","ELL","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","ELL","*"
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","ELL","*"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","ELL","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELL","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","ELL","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","ELL","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","ELL","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELL","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","ELL",22.2
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","Non-ELL",9.3
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","ELL",24.0
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","Non-ELL",7.5
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELL","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","ELL","*"
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","Non-ELL",24.1
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","Non-ELL",17.0
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELL","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","ELL","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","Non-ELL","*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","ELL","*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","Non-ELL","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","ELL","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Non-ELL","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","ELL","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Non-ELL","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELL","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-ELL","*"
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","Non-ELL","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","ELL","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","Non-ELL","*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","ELL","*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Non-ELL","*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","ELL","*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Non-ELL","*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","ELL","*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Non-ELL",1.7
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Non-ELL",90.3
"Cheshire School District","=""0250011""","Norton School","=""0250511""","ELL","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Non-ELL","*"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Non-ELL","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","ELL","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Non-ELL","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","ELL","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Non-ELL","*"
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","ELL",0.0
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Non-ELL",3.3
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELL","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-ELL","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELL","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-ELL","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Non-ELL","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","ELL","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Non-ELL","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","ELL","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Non-ELL","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","ELL","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Non-ELL","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Non-ELL","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Non-ELL",4.8
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELL","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-ELL","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELL",19.0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-ELL",15.1
