"Per Pupil Expenditures, Trend"
"All Districts"

"",,"Year",,,,
,="Administration and Support Services",2838,2792,2983,3124,3274
,="Plant Operation and Management",2367,2370,2552,2433,2311
,="Transportation",777,836,921,1003,1021
,="Other",245,230,235,275,314
,="Total Expenditures",17318,17641,18556,19764,19521
="Bolton School District",="Instructional Staff and Services",8219,8343,8491,8802,8904
,="Instructional Supplies and Equipment",231,247,106,475,296
,="Instruction and Educational Media Services",592,587,603,542,670
,="Student Support Services",991,981,1102,1127,1192
,="Administration and Support Services",1553,1767,1729,1974,2287
,="Plant Operation and Management",1160,1252,1308,1342,1714
,="Transportation",789,785,888,855,866
,="Other",251,228,241,273,270
,="Total Expenditures",14108,14505,14996,15843,16296
="Booker T. Washington Academy District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,7046
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,504
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,324
,="Student Support Services",N/A,N/A,N/A,N/A,475
,="Administration and Support Services",N/A,N/A,N/A,N/A,5789
,="Plant Operation and Management",N/A,N/A,N/A,N/A,3178
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,40
,="Total Expenditures",N/A,N/A,N/A,N/A,17461
="Bozrah School District",="Instructional Staff and Services",9573,9617,9697,10365,11496
,="Instructional Supplies and Equipment",510,312,387,664,403
,="Instruction and Educational Media Services",148,160,158,149,208
,="Student Support Services",819,836,868,863,1056
,="Administration and Support Services",1860,1829,1802,1799,2059
,="Plant Operation and Management",1324,1460,1495,1675,2051
,="Transportation",989,944,877,837,993
,="Other",0,74,42,0,66
,="Total Expenditures",17367,17019,16998,18145,20273
="Branford School District",="Instructional Staff and Services",8640,9132,9374,9280,9837
,="Instructional Supplies and Equipment",391,281,292,367,327
,="Instruction and Educational Media Services",556,574,658,722,798
,="Student Support Services",895,933,977,1045,1162
,="Administration and Support Services",1214,1344,1392,1579,1802
,="Plant Operation and Management",1178,1242,1312,1507,1436
,="Transportation",809,809,853,872,877
,="Other",286,305,339,356,376
,="Total Expenditures",14407,15062,15592,16123,16842
="Brass City Charter School District",="Instructional Staff and Services",N/A,N/A,N/A,4707,6809
,="Instructional Supplies and Equipment",N/A,N/A,N/A,1060,1154
,="Instruction and Educational Media Services",N/A,N/A,N/A,204,135
,="Student Support Services",N/A,N/A,N/A,128,104
,="Administration and Support Services",N/A,N/A,N/A,2847,3331
,="Plant Operation and Management",N/A,N/A,N/A,1362,1447
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,996,848
,="Total Expenditures",N/A,N/A,N/A,11312,13844
="Bridgeport Achievement First District",="Instructional Staff and Services",5341,6707,6121,6772,6491
,="Instructional Supplies and Equipment",1156,392,448,591,463
,="Instruction and Educational Media Services",2218,285,371,334,425
,="Student Support Services",996,1091,1187,1148,717
,="Administration and Support Services",2739,4012,3381,3141,2771
,="Plant Operation and Management",345,546,498,481,513
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",692,696,626,669,644
,="Total Expenditures",13569,13848,12780,13304,12279
="Bridgeport School District",="Instructional Staff and Services",8816,8111,8393,8511,7704
,="Instructional Supplies and Equipment",201,192,335,564,426
,="Instruction and Educational Media Services",252,237,233,194,335
,="Student Support Services",883,971,923,889,922
,="Administration and Support Services",1134,1247,1333,1321,1758
,="Plant Operation and Management",1227,1303,1371,1218,1251
,="Transportation",682,688,703,811,879
,="Other",48,46,46,50,43
,="Total Expenditures",13795,13364,13761,14010,13887
="Bristol School District",="Instructional Staff and Services",7627,7829,7585,8041,8418
,="Instructional Supplies and Equipment",171,124,119,166,146
,="Instruction and Educational Media Services",654,515,543,495,543
,="Student Support Services",623,852,829,904,958
,="Administration and Support Services",1109,944,984,1001,1006
,="Plant Operation and Management",1204,1151,1079,1214,1264
,="Transportation",614,595,689,768,854
,="Other",241,333,364,360,349
,="Total Expenditures",12679,12852,12654,13348,13833
="Brookfield School District",="Instructional Staff and Services",8041,7950,8441,8792,8287
,="Instructional Supplies and Equipment",150,124,156,215,135
,="Instruction and Educational Media Services",624,676,703,747,651
,="Student Support Services",869,928,969,970,1027
,="Administration and Support Services",1403,1440,1418,1626,1886
,="Plant Operation and Management",1141,935,1325,1038,1090
,="Transportation",644,649,678,742,867
,="Other",230,344,302,255,330
,="Total Expenditures",12996,13208,14203,14494,14727
="Brooklyn School District",="Instructional Staff and Services",7870,7771,7806,7980,7885
,="Instructional Supplies and Equipment",175,141,108,172,229
,="Instruction and Educational Media Services",184,183,205,246,301
,="Student Support Services",746,782,776,901,1065
,="Administration and Support Services",976,979,1027,1043,1108
,="Plant Operation and Management",1130,1313,1310,1315,1460
,="Transportation",805,847,844,885,854
,="Other",78,1,0,0,42
,="Total Expenditures",12694,12887,13069,13554,13706
="Canaan School District",="Instructional Staff and Services",15577,14770,17448,16630,16722
,="Instructional Supplies and Equipment",538,378,534,565,414
,="Instruction and Educational Media Services",649,335,558,506,950
,="Student Support Services",1357,1257,1475,1363,1385
,="Administration and Support Services",3155,3078,3873,3659,3862
,="Plant Operation and Management",2089,2237,2559,3369,2954
,="Transportation",799,799,970,1011,1128
,="Other",170,207,168,162,154
,="Total Expenditures",23960,21753,26640,26605,26309
="Canterbury School District",="Instructional Staff and Services",8779,9243,10076,10738,10841
,="Instructional Supplies and Equipment",422,224,223,279,190
,="Instruction and Educational Media Services",139,143,161,162,236
,="Student Support Services",841,911,977,1091,1009
,="Administration and Support Services",1626,1481,1689,1853,1828
,="Plant Operation and Management",2569,2230,4127,2422,2560
,="Transportation",1241,1255,1170,1135,991
,="Other",50,56,81,73,69
,="Total Expenditures",17016,17051,20059,19760,19134
="Canton School District",="Instructional Staff and Services",6672,7257,7429,7643,8049
,="Instructional Supplies and Equipment",246,210,211,442,416
,="Instruction and Educational Media Services",302,314,343,346,344
,="Student Support Services",1669,1691,1821,1914,2082
,="Administration and Support Services",1328,1481,1632,1644,1696
,="Plant Operation and Management",1448,1396,1342,1335,1497
,="Transportation",723,800,904,926,922
,="Other",348,265,262,544,698
,="Total Expenditures",13098,13796,14155,14866,15774
="Chaplin School District",="Instructional Staff and Services",10522,10435,10865,11673,12361
,="Instructional Supplies and Equipment",432,478,343,546,244
,="Instruction and Educational Media Services",1030,833,751,788,674
,="Student Support Services",1391,1422,1398,1642,1738
,="Administration and Support Services",1894,1897,1926,1851,2093
,="Plant Operation and Management",1665,1839,1559,1564,1855
,="Transportation",670,670,690,691,761
,="Other",29,184,65,76,64
,="Total Expenditures",18176,18290,18158,18825,19744
="Charter School for Young Children on Asylum Hill District",="Instructional Staff and Services",7918,N/A,N/A,N/A,N/A
,"Instructional Supplies and Equipment",696,N/A,N/A,N/A,N/A
,"Instruction and Educational Media Services",38,N/A,N/A,N/A,N/A
,"Student Support Services",723,N/A,N/A,N/A,N/A
,"Administration and Support Services",2079,N/A,N/A,N/A,N/A
,"Plant Operation and Management",2612,N/A,N/A,N/A,N/A
,"Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",268,N/A,N/A,N/A,N/A
,"Total Expenditures",14334,N/A,N/A,N/A,N/A
"Cheshire School District","Instructional Staff and Services",7541,7584,7915,8170,8795
,="Instructional Supplies and Equipment",247,215,238,340,235
,="Instruction and Educational Media Services",455,487,543,565,591
,="Student Support Services",830,820,852,865,885
,="Administration and Support Services",1252,1274,1318,1352,1420
,="Plant Operation and Management",1310,1244,1331,1376,1381
,="Transportation",777,806,811,842,797
,="Other",183,200,209,213,220
,="Total Expenditures",13023,13068,13670,14139,14864
="Chester School District",="Instructional Staff and Services",8785,9010,9201,9871,10039
,="Instructional Supplies and Equipment",233,368,254,562,425
,="Instruction and Educational Media Services",134,116,112,168,200
,="Student Support Services",2352,2308,2315,2665,2881
,="Administration and Support Services",2439,2423,2484,2772,2716
,="Plant Operation and Management",1394,1502,1833,2115,2056
,="Transportation",234,266,273,260,266
,="Other",0,0,135,185,291
,="Total Expenditures",15304,15944,16242,18109,18714
="Clinton School District",="Instructional Staff and Services",9414,9381,9787,9880,10929
,="Instructional Supplies and Equipment",605,709,458,575,204
,="Instruction and Educational Media Services",321,291,229,335,350
,="Student Support Services",1044,981,1066,1022,1047
,="Administration and Support Services",1294,1275,1320,1513,1580
,="Plant Operation and Management",1043,1198,1144,1227,1435
,="Transportation",701,690,783,748,789
,="Other",76,76,56,81,72
,="Total Expenditures",15099,15175,15288,15751,16660
="Colchester School District",="Instructional Staff and Services",7182,7329,7729,8287,8468
,="Instructional Supplies and Equipment",175,169,161,385,270
,="Instruction and Educational Media Services",173,250,237,313,313
,="Student Support Services",874,976,1080,1188,1178
,="Administration and Support Services",1206,1217,1342,1557,1711
,="Plant Operation and Management",1083,1225,1284,1365,1598
,="Transportation",793,840,868,874,933
,="Other",119,150,156,176,174
,="Total Expenditures",12047,12589,13264,14370,14913
="Colebrook School District",="Instructional Staff and Services",9946,11518,10295,11016,12834
,="Instructional Supplies and Equipment",92,188,262,194,229
,="Instruction and Educational Media Services",271,398,149,164,233
,="Student Support Services",326,378,389,396,436
,="Administration and Support Services",2327,2643,3141,3041,3277
,="Plant Operation and Management",1518,1599,1729,2059,2307
,="Transportation",380,425,441,480,600
,="Other",106,153,148,143,105
,="Total Expenditures",16310,17941,16872,17734,19042
="Columbia School District",="Instructional Staff and Services",7463,7280,7178,8349,8534
,="Instructional Supplies and Equipment",471,145,288,349,305
,="Instruction and Educational Media Services",276,327,202,222,233
,="Student Support Services",3217,3124,3232,3661,3874
,="Administration and Support Services",1669,1789,1936,1682,1645
,="Plant Operation and Management",783,1075,1178,2797,2868
,="Transportation",950,1064,931,994,1011
,="Other",758,789,814,808,804
,="Total Expenditures",16755,16787,16897,19551,19950
="Common Ground High School District",="Instructional Staff and Services",6245,6751,6010,5794,6649
,="Instructional Supplies and Equipment",933,354,396,289,241
,="Instruction and Educational Media Services",1204,1542,1599,2139,2893
,="Student Support Services",528,693,1153,1470,984
,="Administration and Support Services",3008,2429,3278,3104,3195
,="Plant Operation and Management",1005,1235,699,784,902
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",1150,1354,1343,1381,1450
,="Total Expenditures",14129,14417,14549,14998,16353
="Cornwall School District",="Instructional Staff and Services",13897,15810,16150,16605,20597
,="Instructional Supplies and Equipment",736,664,643,560,514
,="Instruction and Educational Media Services",958,1082,817,697,995
,="Student Support Services",1404,1563,1559,1276,1273
,="Administration and Support Services",3066,3395,3960,3660,4271
,="Plant Operation and Management",2767,3085,3051,3001,3635
,="Transportation",1441,1531,1602,1729,1876
,="Other",0,0,7,6,9
,="Total Expenditures",24268,27294,27759,27931,34241
="Coventry School District",="Instructional Staff and Services",8373,9302,9285,9516,10070
,="Instructional Supplies and Equipment",223,240,357,500,319
,="Instruction and Educational Media Services",80,101,113,243,216
,="Student Support Services",776,764,838,959,952
,="Administration and Support Services",1253,1344,1396,1571,1693
,="Plant Operation and Management",1416,1646,1330,1546,1589
,="Transportation",868,1017,1019,985,984
,="Other",226,170,35,18,14
,="Total Expenditures",13673,15121,14649,15457,15742
="Cromwell School District",="Instructional Staff and Services",8321,8562,8679,9091,8870
,="Instructional Supplies and Equipment",249,378,294,262,260
,="Instruction and Educational Media Services",164,154,184,157,167
,="Student Support Services",663,694,666,735,727
,="Administration and Support Services",1436,1366,1406,1436,1541
,="Plant Operation and Management",1986,1453,1410,1416,1395
,="Transportation",447,528,553,587,556
,="Other",161,171,188,199,210
,="Total Expenditures",13572,13228,13342,13736,13863
="Danbury School District",="Instructional Staff and Services",8221,8105,8143,8312,8387
,="Instructional Supplies and Equipment",333,217,276,329,350
,="Instruction and Educational Media Services",354,217,172,186,201
,="Student Support Services",641,637,622,643,582
,="Administration and Support Services",1025,1189,1192,1216,1242
,="Plant Operation and Management",874,958,714,1023,1030
,="Transportation",588,667,591,609,645
,="Other",83,68,85,90,85
,="Total Expenditures",12099,11998,12154,12891,13007
="Darien School District",="Instructional Staff and Services",10339,10719,11054,11029,11718
,="Instructional Supplies and Equipment",248,261,264,333,404
,="Instruction and Educational Media Services",661,698,809,905,896
,="Student Support Services",575,600,533,565,551
,="Administration and Support Services",1331,1353,1347,1613,1581
,="Plant Operation and Management",1465,1464,1579,1734,1763
,="Transportation",544,614,600,634,678
,="Other",297,259,257,272,275
,="Total Expenditures",15952,16578,17061,17900,18918
="Deep River School District",="Instructional Staff and Services",8037,7998,8844,9334,9483
,="Instructional Supplies and Equipment",162,195,254,364,213
,="Instruction and Educational Media Services",157,156,178,228,264
,="Student Support Services",1896,2185,2275,2474,2541
,="Administration and Support Services",1900,1962,2000,2148,2173
,="Plant Operation and Management",1465,1350,1418,1548,1752
,="Transportation",397,510,414,419,376
,="Other",0,0,57,67,271
,="Total Expenditures",14819,14949,15574,17137,17865
="Derby School District",="Instructional Staff and Services",7385,7509,7420,7876,8524
,="Instructional Supplies and Equipment",162,196,222,353,689
,="Instruction and Educational Media Services",123,82,121,59,9
,="Student Support Services",895,1031,1000,1257,1313
,="Administration and Support Services",1725,1574,1694,1655,1811
,="Plant Operation and Management",1422,1597,1377,1423,4263
,="Transportation",543,590,563,504,554
,="Other",159,164,124,164,148
,="Total Expenditures",12715,13026,12753,13421,17177
="East Granby School District",="Instructional Staff and Services",8964,9747,9792,9442,9810
,="Instructional Supplies and Equipment",508,704,597,655,671
,="Instruction and Educational Media Services",843,812,743,1048,1032
,="Student Support Services",866,859,972,970,973
,="Administration and Support Services",1901,2008,2173,2164,2138
,="Plant Operation and Management",1573,1601,1685,1819,1910
,="Transportation",562,595,617,688,874
,="Other",224,231,293,302,229
,="Total Expenditures",15055,15994,16181,16461,17677
="East Haddam School District",="Instructional Staff and Services",8042,8452,8651,9299,9872
,="Instructional Supplies and Equipment",439,274,369,251,531
,="Instruction and Educational Media Services",296,308,266,336,372
,="Student Support Services",748,819,863,963,1007
,="Administration and Support Services",1481,1619,1616,1902,1975
,="Plant Operation and Management",1736,1922,1867,2094,2389
,="Transportation",887,905,912,1033,1077
,="Other",19,39,1,7,5
,="Total Expenditures",14246,15041,15028,16357,17625
="East Hampton School District",="Instructional Staff and Services",8388,8525,8823,9032,9672
,="Instructional Supplies and Equipment",272,211,201,227,206
,="Instruction and Educational Media Services",411,410,396,477,483
,="Student Support Services",928,910,919,987,982
,="Administration and Support Services",1483,1641,1833,1816,1947
,="Plant Operation and Management",1480,1361,1483,1432,1352
,="Transportation",754,711,709,744,682
,="Other",9,313,944,10,8
,="Total Expenditures",13909,14116,15107,14509,14970
="East Hartford School District",="Instructional Staff and Services",9043,9053,9320,9357,9052
,="Instructional Supplies and Equipment",276,257,199,387,259
,="Instruction and Educational Media Services",219,182,301,145,369
,="Student Support Services",437,529,558,949,1345
,="Administration and Support Services",1537,1654,1701,1662,1955
,="Plant Operation and Management",1364,1223,1365,1677,1757
,="Transportation",625,601,659,656,619
,="Other",96,98,101,14,12
,="Total Expenditures",12509,12410,12939,13484,13834
="East Haven School District",="Instructional Staff and Services",7442,7888,7927,8458,9519
,="Instructional Supplies and Equipment",116,103,122,376,362
,="Instruction and Educational Media Services",79,95,41,85,253
,="Student Support Services",1222,1253,1303,1509,1460
,="Administration and Support Services",2032,2217,1987,2018,2094
,="Plant Operation and Management",1417,1172,1136,1255,1342
,="Transportation",672,735,759,773,831
,="Other",296,253,278,317,347
,="Total Expenditures",13378,13949,13681,14930,15518
="East Lyme School District",="Instructional Staff and Services",8110,8354,8488,8981,9289
,="Instructional Supplies and Equipment",127,161,164,176,95
,="Instruction and Educational Media Services",550,577,626,662,617
,="Student Support Services",577,806,828,857,888
,="Administration and Support Services",1144,1269,1380,1386,1466
,="Plant Operation and Management",1608,1753,1753,2084,1981
,="Transportation",572,516,635,607,617
,="Other",240,263,278,306,403
,="Total Expenditures",13354,14026,14493,15236,15515
="East Windsor School District",="Instructional Staff and Services",9046,9335,9286,10161,10510
,="Instructional Supplies and Equipment",377,416,248,147,250
,="Instruction and Educational Media Services",258,278,343,343,505
,="Student Support Services",539,558,1044,1396,1547
,="Administration and Support Services",2377,2466,2755,2620,3125
,="Plant Operation and Management",1465,1339,1036,1285,1170
,="Transportation",867,936,1098,1164,1124
,="Other",66,68,74,64,149
,="Total Expenditures",15095,15439,15426,16359,17837
="Eastford School District",="Instructional Staff and Services",9739,9313,9805,10945,12156
,="Instructional Supplies and Equipment",371,365,490,445,241
,="Instruction and Educational Media Services",316,330,449,908,701
,="Student Support Services",1508,1610,1600,1887,1986
,="Administration and Support Services",1578,2091,2061,2442,2902
,="Plant Operation and Management",1570,1487,1742,1786,2090
,="Transportation",772,876,1046,1147,1185
,="Other",0,0,0,0,0
,="Total Expenditures",16369,17584,19178,21839,24309
="Easton School District",="Instructional Staff and Services",9234,9947,10392,11103,11727
,="Instructional Supplies and Equipment",167,181,205,308,210
,="Instruction and Educational Media Services",324,411,436,442,404
,="Student Support Services",173,181,188,210,204
,="Administration and Support Services",1615,1739,1890,2198,2195
,="Plant Operation and Management",1489,1371,1553,1629,1567
,="Transportation",710,700,737,780,755
,="Other",6,0,1,0,4
,="Total Expenditures",14359,15287,16068,17431,17990
="Ellington School District",="Instructional Staff and Services",6774,6949,7033,7751,7634
,="Instructional Supplies and Equipment",151,200,213,323,267
,="Instruction and Educational Media Services",306,327,334,606,593
,="Student Support Services",871,882,988,983,1410
,="Administration and Support Services",844,913,945,1012,1082
,="Plant Operation and Management",1137,1084,1281,1250,1295
,="Transportation",656,649,693,718,703
,="Other",140,164,166,167,183
,="Total Expenditures",11172,11436,11825,12804,13173
="Elm City College Preparatory School District",="Instructional Staff and Services",5361,7621,6302,6571,6046
,="Instructional Supplies and Equipment",972,331,380,489,1579
,="Instruction and Educational Media Services",2090,539,733,413,499
,="Student Support Services",1238,825,1336,1517,1371
,="Administration and Support Services",2747,3789,3985,3602,4673
,="Plant Operation and Management",301,414,591,581,782
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",653,653,614,663,644
,="Total Expenditures",13398,14287,14029,13954,15794
="Elm City Montessori School District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,8536
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,5365
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,2135
,="Student Support Services",N/A,N/A,N/A,N/A,3376
,="Administration and Support Services",N/A,N/A,N/A,N/A,3196
,="Plant Operation and Management",N/A,N/A,N/A,N/A,1934
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,587
,="Total Expenditures",N/A,N/A,N/A,N/A,25129
="Enfield School District",="Instructional Staff and Services",7874,7981,9043,9323,9251
,="Instructional Supplies and Equipment",191,195,117,183,185
,="Instruction and Educational Media Services",118,136,151,218,265
,="Student Support Services",902,901,185,213,207
,="Administration and Support Services",1439,1515,1648,1938,2042
,="Plant Operation and Management",1008,1208,1292,1427,1418
,="Transportation",558,665,725,769,807
,="Other",168,200,171,198,229
,="Total Expenditures",12381,12754,13310,14033,14177
="Essex School District",="Instructional Staff and Services",7389,7902,8416,8733,9642
,="Instructional Supplies and Equipment",271,233,269,301,317
,="Instruction and Educational Media Services",192,201,139,169,163
,="Student Support Services",1393,1735,1881,1987,2330
,="Administration and Support Services",1610,1741,1787,1870,2103
,="Plant Operation and Management",1043,1228,1274,1344,1565
,="Transportation",296,315,343,310,337
,="Other",2,28,65,57,204
,="Total Expenditures",12974,14227,15547,16112,17944
="Explorations District",="Instructional Staff and Services",7481,8157,8613,8631,9216
,="Instructional Supplies and Equipment",160,134,76,115,121
,="Instruction and Educational Media Services",235,193,436,292,365
,="Student Support Services",640,749,1212,795,779
,="Administration and Support Services",2873,3287,3361,2467,2307
,="Plant Operation and Management",2363,2464,2301,2505,2626
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",128,137,90,75,65
,="Total Expenditures",14056,15382,16881,15647,16088
="Fairfield School District",="Instructional Staff and Services",8021,8211,8378,8628,9154
,="Instructional Supplies and Equipment",209,184,169,131,132
,="Instruction and Educational Media Services",1025,924,987,965,1032
,="Student Support Services",1074,1108,1132,1167,1223
,="Administration and Support Services",1656,1677,1720,1712,1795
,="Plant Operation and Management",1502,1559,1588,1565,1560
,="Transportation",748,743,772,774,807
,="Other",208,189,197,200,197
,="Total Expenditures",14815,14981,15381,15660,16407
="Farmington School District",="Instructional Staff and Services",8470,8891,9699,9693,9898
,="Instructional Supplies and Equipment",184,279,258,439,396
,="Instruction and Educational Media Services",396,443,489,974,627
,="Student Support Services",903,962,954,1020,1129
,="Administration and Support Services",1053,1148,1021,1065,1120
,="Plant Operation and Management",1342,1523,1208,1286,2004
,="Transportation",587,617,634,632,677
,="Other",60,61,51,52,38
,="Total Expenditures",13534,14459,14785,15518,16183
="Franklin School District",="Instructional Staff and Services",7768,8408,8027,8902,9784
,="Instructional Supplies and Equipment",21,239,120,10,139
,="Instruction and Educational Media Services",19,69,132,118,804
,="Student Support Services",710,767,751,817,1024
,="Administration and Support Services",1505,1754,1776,2072,2272
,="Plant Operation and Management",1461,1816,1860,2216,2021
,="Transportation",659,874,904,1156,888
,="Other",136,82,0,42,0
,="Total Expenditures",13713,15020,14816,16672,17601
="Glastonbury School District",="Instructional Staff and Services",7384,7587,7904,8358,8817
,="Instructional Supplies and Equipment",269,405,239,405,527
,="Instruction and Educational Media Services",685,749,748,808,857
,="Student Support Services",733,770,824,881,948
,="Administration and Support Services",1454,1454,1513,1765,1687
,="Plant Operation and Management",1386,1443,1542,1609,1776
,="Transportation",675,729,742,765,858
,="Other",161,178,209,203,219
,="Total Expenditures",13011,13538,13841,14767,15741
="Granby School District",="Instructional Staff and Services",7062,7373,7495,7696,8113
,="Instructional Supplies and Equipment",481,448,399,407,506
,="Instruction and Educational Media Services",382,451,461,464,544
,="Student Support Services",748,842,937,986,1126
,="Administration and Support Services",1358,1328,1426,1440,1587
,="Plant Operation and Management",1450,1428,1594,1643,1671
,="Transportation",644,716,646,658,705
,="Other",249,257,275,306,330
,="Total Expenditures",12263,12710,13205,13645,14656
="Great Oaks Charter School District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,4986
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,1419
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,3584
,="Student Support Services",N/A,N/A,N/A,N/A,296
,="Administration and Support Services",N/A,N/A,N/A,N/A,3437
,="Plant Operation and Management",N/A,N/A,N/A,N/A,1080
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,577
,="Total Expenditures",N/A,N/A,N/A,N/A,15378
="Greenwich School District",="Instructional Staff and Services",12187,11989,12250,14124,14835
,="Instructional Supplies and Equipment",358,357,405,361,352
,="Instruction and Educational Media Services",299,322,388,463,476
,="Student Support Services",1225,1242,1228,1401,1440
,="Administration and Support Services",1718,1657,1697,1891,2075
,="Plant Operation and Management",1865,1495,1468,1602,1553
,="Transportation",507,522,515,554,571
,="Other",0,0,0,0,0
,="Total Expenditures",18698,18196,18494,21059,21964
