"Sanction Counts, 2015-16"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"Bloomfield School District","=""""","Laurel School","=""""",61,23,0,"*"
"Bloomfield School District","=""""","Learning Academy at Bloomfield","=""""",0,"*",0,0
"Bloomfield School District","=""""","Metacomet School","=""""",12,19,0,0
"Bloomfield School District","=""""","Wintonbury Early Childhood Magnet School","=""""","*","*",0,0
"Bolton School District","=""""","Bolton Center School","=""""",19,"*",0,0
"Bolton School District","=""""","Bolton High School","=""""",38,9,0,"*"
"Booker T. Washington Academy District","=""""","Booker T. Washington Academy","=""""",50,"*",0,6
"Bozrah School District","=""""","Fields Memorial School","=""""","*","*",0,"*"
"Branford School District","=""""","Branford High School","=""""",117,63,"*","*"
"Branford School District","=""""","Branford High School Horizons Program","=""""",35,24,"*","*"
"Branford School District","=""""","Francis Walsh Intermediate School","=""""",94,23,0,0
"Branford School District","=""""","John B. Sliney School","=""""","*","*",0,0
"Brass City Charter School District","=""""","Brass City Charter School","=""""","*",9,0,0
"Bridgeport Achievement First District","=""""","Achievement First Bridgeport Academy","=""""",504,285,9,70
"Bridgeport School District","=""""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""""",289,22,"*",0
"Bridgeport School District","=""""","Barnum School","=""""",58,75,"*","*"
"Bridgeport School District","=""""","Bassick High School","=""""",619,405,"*","*"
"Bridgeport School District","=""""","Beardsley School","=""""",40,41,0,0
"Bridgeport School District","=""""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""""",165,76,"*",0
"Bridgeport School District","=""""","Black Rock School","=""""",43,17,0,0
"Bridgeport School District","=""""","Blackham School","=""""",111,65,0,0
"Bridgeport School District","=""""","Bridgeport Learning Center","=""""",0,14,0,0
"Bridgeport School District","=""""","Bridgeport Military Academy","=""""",193,185,"*","*"
"Bridgeport School District","=""""","Bryant School","=""""",22,28,0,0
"Bridgeport School District","=""""","Central High School","=""""",964,315,30,0
"Bridgeport School District","=""""","Cesar Batalla School","=""""",258,121,"*","*"
"Bridgeport School District","=""""","Classical Studies Academy","=""""","*",41,0,0
"Bridgeport School District","=""""","Columbus School","=""""",136,37,"*",0
"Bridgeport School District","=""""","Cross School","=""""",201,220,"*",0
"Bridgeport School District","=""""","Curiale School","=""""",152,132,"*","*"
"Bridgeport School District","=""""","Dunbar School","=""""",48,93,"*",0
"Bridgeport School District","=""""","Edison School","=""""","*","*",0,0
"Bridgeport School District","=""""","Geraldine Johnson School","=""""",48,80,"*",0
"Bridgeport School District","=""""","Hall School","=""""","*","*",0,0
"Bridgeport School District","=""""","Hallen School","=""""",13,13,0,0
"Bridgeport School District","=""""","Harding High School","=""""",222,499,11,0
"Bridgeport School District","=""""","High Horizons Magnet School","=""""",39,24,0,0
"Bridgeport School District","=""""","Hooker School","=""""",55,53,0,"*"
"Bridgeport School District","=""""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""""",234,46,"*","*"
"Bridgeport School District","=""""","Interdistrict Discovery Magnet School","=""""","*","*",0,0
"Bridgeport School District","=""""","Jettie S. Tisdale School","=""""",226,203,"*",0
"Bridgeport School District","=""""","Luis Munoz Marin School","=""""",100,182,0,0
"Bridgeport School District","=""""","Madison School","=""""",62,"*",0,"*"
"Bridgeport School District","=""""","Multicultural Magnet School","=""""",9,0,0,0
"Bridgeport School District","=""""","Park City Magnet School","=""""",23,0,0,0
"Bridgeport School District","=""""","Read School","=""""",242,125,0,"*"
"Bridgeport School District","=""""","Roosevelt School","=""""",343,166,"*",0
"Bridgeport School District","=""""","Waltersville School","=""""",137,85,0,0
"Bridgeport School District","=""""","Winthrop School","=""""",22,17,"*","*"
"Bristol School District","=""""","Alternative Special Education Program (ASEP)","=""""",0,"*",0,0
"Bristol School District","=""""","Bristol Central High School","=""""",130,74,"*",0
"Bristol School District","=""""","Bristol Eastern High School","=""""",366,51,"*",0
"Bristol School District","=""""","Bristol Preparatory Academy","=""""","*",14,0,0
"Bristol School District","=""""","CHMS GOAL","=""""",8,10,0,0
"Bristol School District","=""""","Chippens Hill Middle School","=""""",174,62,"*",0
"Bristol School District","=""""","Chms Goal","=""""","*",6,0,0
"Bristol School District","=""""","Edgewood School","=""""",19,9,0,"*"
"Bristol School District","=""""","Ellen P. Hubbell School","=""""",20,18,"*",13
"Bristol School District","=""""","Extended Resource Self-Contained","=""""",0,"*",0,0
"Bristol School District","=""""","Greene-Hills School","=""""",38,33,0,12
"Bristol School District","=""""","Ivy Drive GOAL","=""""","*","*",0,0
"Bristol School District","=""""","Ivy Drive School","=""""",31,7,0,"*"
"Bristol School District","=""""","Mountain View School","=""""",7,"*",0,0
"Bristol School District","=""""","Mt. View GOAL","=""""",0,13,0,0
"Bristol School District","=""""","Northeast MS/GOAL","=""""",8,7,0,0
"Bristol School District","=""""","Northeast Middle School","=""""",34,20,"*",0
"Bristol School District","=""""","South Side Extended Resource","=""""","*","*",0,0
"Bristol School District","=""""","South Side GOAL","=""""","*","*",0,0
"Bristol School District","=""""","South Side School","=""""",42,8,0,"*"
"Bristol School District","=""""","Stafford School","=""""",28,31,0,21
"Bristol School District","=""""","West Bristol School","=""""",84,101,0,0
"Brookfield School District","=""""","Brookfield High School","=""""",33,39,0,0
"Brookfield School District","=""""","Center Elementary School","=""""","*",0,0,0
"Brookfield School District","=""""","Whisconier Middle School","=""""",41,"*",0,0
"Brooklyn School District","=""""","Brooklyn Elementary School","=""""",7,16,0,40
"Brooklyn School District","=""""","Brooklyn Middle School","=""""",67,"*",0,17
"Canaan School District","=""""","Lee H. Kellogg School","=""""",0,"*",0,0
"Canterbury School District","=""""","Canterbury Elementary School","=""""",0,0,0,"*"
"Canterbury School District","=""""","Dr. Helen Baldwin Middle School","=""""",0,11,0,"*"
"Canton School District","=""""","Canton Academy","=""""",0,"*",0,0
"Canton School District","=""""","Canton High School","=""""",10,11,0,0
"Canton School District","=""""","Canton Intermediate School","=""""",18,"*",0,0
"Canton School District","=""""","Canton Middle School","=""""",25,7,0,0
"Capital Preparatory Harbor School Inc. District","=""""","Capital Preparatory Harbor School Inc.","=""""",0,93,"*",0
"Capitol Region Education Council","=""""","Academy of Aerospace and Engineering","=""""",228,66,"*",28
"Capitol Region Education Council","=""""","Discovery Academy","=""""",17,0,0,0
"Capitol Region Education Council","=""""","Greater Hartford Academy of  the Arts High School - Full Time","=""""",127,10,0,0
"Capitol Region Education Council","=""""","Greater Hartford Academy of the Arts Magnet Middle","=""""",23,28,0,"*"
"Capitol Region Education Council","=""""","International Magnet School for Global Citizenship","=""""",7,0,0,0
"Capitol Region Education Council","=""""","Medical Professions and Teacher Preparation Academy","=""""",377,59,0,0
"Capitol Region Education Council","=""""","Metropolitan Learning Center for Global and International Studies","=""""",355,40,"*",0
"Capitol Region Education Council","=""""","Montessori Magnet School","=""""","*",0,0,0
"Capitol Region Education Council","=""""","Museum Academy","=""""","*",0,0,"*"
"Capitol Region Education Council","=""""","Public Safety Academy","=""""",288,109,0,0
"Capitol Region Education Council","=""""","Reggio Magnet School of the Arts","=""""",17,0,0,0
"Capitol Region Education Council","=""""","Two Rivers Magnet High School","=""""",139,56,"*",0
"Capitol Region Education Council","=""""","Two Rivers Magnet Middle School","=""""",103,46,0,"*"
"Capitol Region Education Council","=""""","University of Hartford Magnet School","=""""",0,"*",0,0
"Chaplin School District","=""""","Chaplin Elementary School","=""""","*",0,0,0
"Cheshire School District","=""""","Chapman School","=""""",0,"*",0,"*"
"Cheshire School District","=""""","Cheshire High School","=""""",113,74,"*","*"
"Cheshire School District","=""""","Dodd Middle School","=""""",30,7,0,"*"
"Cheshire School District","=""""","Doolittle School","=""""",7,0,0,7
"Cheshire School District","=""""","Highland School","=""""","*","*",0,18
"Cheshire School District","=""""","Humiston Alternative School","=""""",16,7,0,0
"Cheshire School District","=""""","Norton School","=""""","*","*",0,0
"Clinton School District","=""""","Abraham Pierson School","=""""",6,"*",0,0
"Clinton School District","=""""","Jared Eliot School","=""""",12,"*",0,0
"Clinton School District","=""""","Lewin G. Joel Jr. School","=""""",6,"*",0,"*"
"Clinton School District","=""""","The Morgan School","=""""",58,25,"*",0
"Colchester School District","=""""","Bacon Academy","=""""",61,34,"*",0
"Colchester School District","=""""","Colchester Elementary School","=""""","*",0,0,"*"
"Colchester School District","=""""","Jack Jackter Intermediate School","=""""",16,"*",0,0
"Colchester School District","=""""","William J. Johnston Middle School","=""""",39,"*",0,"*"
"Colebrook School District","=""""","Colebrook Consolidated School","=""""","*",0,0,0
"Columbia School District","=""""","Horace W. Porter School","=""""",14,0,0,0
"Common Ground High School District","=""""","Common Ground High School","=""""","*",13,"*",0
"Connecticut Technical High School System","=""""","A. I. Prince Technical High School","=""""",159,101,9,"*"
"Connecticut Technical High School System","=""""","Bullard-Havens Technical High School","=""""",40,70,6,0
"Connecticut Technical High School System","=""""","E. C. Goodwin Technical High School","=""""",153,75,0,0
"Connecticut Technical High School System","=""""","Eli Whitney Technical High School","=""""",124,87,"*",0
"Connecticut Technical High School System","=""""","Ella T. Grasso Southeastern Technical High School","=""""",96,35,"*","*"
"Connecticut Technical High School System","=""""","Emmett O'Brien Technical High School","=""""",77,22,12,0
"Connecticut Technical High School System","=""""","H. C. Wilcox Technical High School","=""""",83,11,0,0
"Connecticut Technical High School System","=""""","H. H. Ellis Technical High School","=""""",51,11,"*",0
"Connecticut Technical High School System","=""""","Henry Abbott Technical High School","=""""",90,53,9,0
"Connecticut Technical High School System","=""""","Howell Cheney Technical High School","=""""",162,58,"*",0
"Connecticut Technical High School System","=""""","J. M. Wright Technical High School","=""""",70,31,"*",0
"Connecticut Technical High School System","=""""","Norwich Technical High School","=""""",132,23,"*","*"
"Connecticut Technical High School System","=""""","Oliver Wolcott Technical High School","=""""",49,55,6,0
"Connecticut Technical High School System","=""""","Platt Technical High School","=""""",141,63,"*",0
"Connecticut Technical High School System","=""""","Vinal Technical High School","=""""",54,74,"*",0
"Connecticut Technical High School System","=""""","W. F. Kaynor Technical High School","=""""",93,32,"*",0
"Connecticut Technical High School System","=""""","Windham Technical High School","=""""",110,6,0,0
"Cooperative Educational Services","=""""","Developmental Learning Center (DLC)","=""""",0,"*",0,0
"Cooperative Educational Services","=""""","Six-Six Magnet School","=""""","*","*",0,0
"Cooperative Educational Services","=""""","Therapeutic Day Program","=""""",0,78,0,0
"Cornwall School District","=""""","Cornwall Consolidated School","=""""",9,0,0,0
"Coventry School District","=""""","Capt. Nathan Hale School","=""""",14,"*",0,0
"Coventry School District","=""""","Coventry Academy","=""""",0,6,"*",0
"Coventry School District","=""""","Coventry High School","=""""",16,20,"*",0
"Coventry School District","=""""","George Hersey Robertson School","=""""",9,"*",0,"*"
"Cromwell School District","=""""","Cromwell High School","=""""",87,52,0,"*"
"Cromwell School District","=""""","Cromwell Middle School","=""""",66,7,0,7
"Cromwell School District","=""""","Edna C. Stevens School","=""""",14,"*",0,7
"Cromwell School District","=""""","Woodside Intermediate School","=""""",18,"*",0,"*"
"Danbury School District","=""""","Alternative Center For Excellence","=""""",0,62,"*",0
"Danbury School District","=""""","Broadview Middle School","=""""",49,50,0,0
"Danbury School District","=""""","Danbury High School","=""""",1191,277,"*","*"
"Danbury School District","=""""","Great Plain School","=""""","*",0,0,0
"Danbury School District","=""""","King Street Intermediate School","=""""",0,11,0,0
"Danbury School District","=""""","Park Avenue School","=""""",0,8,0,0
"Danbury School District","=""""","Rogers Park Middle School","=""""",194,62,0,"*"
"Danbury School District","=""""","Shelter Rock School","=""""",0,"*",0,0
"Danbury School District","=""""","South Street School","=""""","*","*",0,0
"Danbury School District","=""""","Stadley Rough School","=""""","*","*",0,0
"Danbury School District","=""""","Westside Middle School Academy","=""""",65,14,"*","*"
"Darien School District","=""""","Darien High School","=""""",34,"*","*",0
"Darien School District","=""""","Middlesex Middle School","=""""","*","*",0,0
"Darien School District","=""""","Ox Ridge Elementary School","=""""","*","*",0,0
"Deep River School District","=""""","Deep River Elementary School","=""""",10,"*",0,"*"
"Derby School District","=""""","Bradley School","=""""","*",15,0,0
"Derby School District","=""""","Derby High School","=""""",73,29,"*",0
"Derby School District","=""""","Derby Middle School","=""""",72,51,12,"*"
"Derby School District","=""""","Irving School","=""""","*",28,0,"*"
"East Granby School District","=""""","East Granby High School","=""""",35,35,0,0
"East Granby School District","=""""","East Granby Middle School","=""""",18,"*",0,0
"East Granby School District","=""""","R. Dudley Seymour School","=""""","*","*",0,0
"East Haddam School District","=""""","Nathan Hale-Ray High School","=""""",13,10,0,0
"East Haddam School District","=""""","Nathan Hale-Ray Middle School","=""""",11,"*",0,0
"East Hampton School District","=""""","Center School","=""""","*",0,0,"*"
"East Hampton School District","=""""","East Hampton High School","=""""",60,13,0,0
"East Hampton School District","=""""","East Hampton Middle School","=""""",38,0,0,0
"East Hampton School District","=""""","The Learning Center at East Hampton","=""""",0,"*",0,0
"East Hartford School District","=""""","Anna E. Norris School","=""""",0,30,0,6
"East Hartford School District","=""""","Connecticut IB Academy","=""""",25,11,0,6
"East Hartford School District","=""""","Dr. Franklin H. Mayberry School","=""""",14,9,0,0
"East Hartford School District","=""""","Dr. John A. Langford School","=""""",14,18,0,15
"East Hartford School District","=""""","Dr. Thomas S. O'Connell School","=""""",14,"*",0,"*"
"East Hartford School District","=""""","East Hartford High School","=""""",1439,364,8,0
"East Hartford School District","=""""","East Hartford Middle School","=""""",366,224,"*","*"
"East Hartford School District","=""""","Governor William Pitkin School","=""""",0,"*",0,0
"East Hartford School District","=""""","Hockanum School","=""""","*",0,0,0
"East Hartford School District","=""""","Joseph O. Goodwin School","=""""",7,0,0,0
"East Hartford School District","=""""","Robert J. O'Brien School","=""""",33,10,0,0
"East Hartford School District","=""""","Silver Lane School","=""""",9,"*",0,0
"East Hartford School District","=""""","Stevens Alternate High school","=""""","*",41,"*",10
"East Hartford School District","=""""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""""",13,18,0,"*"
"East Haven School District","=""""","Carbone School/East Haven Academy","=""""",31,"*",0,0
"East Haven School District","=""""","Deer Run School","=""""","*","*",0,0
"East Haven School District","=""""","East Haven High School","=""""",252,72,"*","*"
"East Haven School District","=""""","Joseph Melillo Middle School","=""""",37,198,0,"*"
"East Lyme School District","=""""","Coastal Connections","=""""",12,"*",0,0
"East Lyme School District","=""""","East Lyme High School","=""""",61,15,9,0
"East Lyme School District","=""""","East Lyme Middle School","=""""",57,15,0,6
"East Lyme School District","=""""","Lillie B. Haynes School","=""""","*",0,0,0
"East Windsor School District","=""""","Broad Brook Elementary School","=""""","*","*","*",13
"East Windsor School District","=""""","East Windsor High School","=""""",54,27,"*",0
"East Windsor School District","=""""","East Windsor Middle School","=""""",77,28,"*",19
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""""","Arts at the Capitol Theater Magnet School (ACT)","=""""",0,"*",0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""""","EASTCONN Special Education","=""""",26,12,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""""","EastConn Special Education","=""""",6,"*",0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""""","Quinebaug Middle College","=""""","*",40,0,0
"Eastford School District","=""""","Eastford Elementary School","=""""","*","*",0,"*"
"Easton School District","=""""","Helen Keller Middle School","=""""",11,0,0,0
"Easton School District","=""""","Samuel Staples Elementary School","=""""","*",0,0,0
"Education Connection","=""""","Education Connection Special Education","=""""",11,40,0,0
"Education Connection","=""""","GFLC/ACCESS School","=""""","*","*",0,0
"Ellington School District","=""""","Center School","=""""",17,"*",0,0
"Ellington School District","=""""","Crystal Lake School","=""""","*",0,0,0
"Ellington School District","=""""","Ellington High School","=""""",126,23,7,"*"
"Ellington School District","=""""","Ellington Middle School","=""""",19,16,0,"*"
"Ellington School District","=""""","Windermere Intermediate School","=""""",19,"*",0,"*"
"Ellington School District","=""""","Windermere School","=""""",26,"*",0,"*"
"Elm City College Preparatory School District","=""""","Elm City College Preparatory School","=""""",158,185,"*",25
"Enfield School District","=""""","Edgar H. Parkman School","=""""",10,6,0,0
"Enfield School District","=""""","Eli Whitney School","=""""",23,0,0,0
"Enfield School District","=""""","Enfield High School","=""""",239,58,6,0
"Enfield School District","=""""","Enfield Street School","=""""","*",0,0,0
"Enfield School District","=""""","Enrico Fermi High School","=""""",234,109,"*",0
"Enfield School District","=""""","John F. Kennedy Middle School","=""""",192,108,"*",0
"Enfield School District","=""""","Nathan Hale School","=""""","*",0,0,0
"Enfield School District","=""""","Prudence Crandall - Educational Counseling Program (ECP)","=""""","*","*",0,0
"Enfield School District","=""""","Prudence Crandall School","=""""",7,"*",0,0
"Explorations District","=""""","Explorations","=""""",12,16,0,0
"Fairfield School District","=""""","Fairfield Ludlowe High School","=""""",74,"*","*",0
"Fairfield School District","=""""","Fairfield Warde High School","=""""",102,8,0,0
"Fairfield School District","=""""","Fairfield Woods Middle School","=""""",16,"*",0,0
"Fairfield School District","=""""","Roger Ludlowe Middle School","=""""",23,0,0,0
"Fairfield School District","=""""","Tomlinson Middle School","=""""",43,21,"*","*"
"Fairfield School District","=""""","Walter Fitzgerald Campus","=""""",17,21,0,0
"Farmington School District","=""""","East Farms School","=""""","*","*",0,0
"Farmington School District","=""""","Farmington Alternative High School","=""""",9,"*",0,0
"Farmington School District","=""""","Farmington High School","=""""",20,16,"*",0
"Farmington School District","=""""","Irving A. Robbins Middle School","=""""",16,"*",0,0
"Farmington School District","=""""","Noah Wallace School","=""""",0,"*",0,0
"Farmington School District","=""""","Union School","=""""","*",0,0,"*"
"Farmington School District","=""""","West District School","=""""","*",0,0,0
"Farmington School District","=""""","West Woods Upper Elementary School","=""""","*",0,0,"*"
"Franklin School District","=""""","Franklin Elementary School","=""""","*","*",0,0
"Glastonbury School District","=""""","Eastbury School","=""""","*",0,0,0
"Glastonbury School District","=""""","Gideon Welles School","=""""",16,6,0,0
"Glastonbury School District","=""""","Glastonbury High School","=""""",67,16,0,0
"Glastonbury School District","=""""","Hopewell School","=""""","*",0,0,0
"Glastonbury School District","=""""","Nayaug Elementary School","=""""",0,0,0,"*"
"Glastonbury School District","=""""","Smith Middle School","=""""",11,"*",0,0
"Granby School District","=""""","Frank M. Kearns Primary School","=""""",6,0,0,"*"
"Granby School District","=""""","Granby Memorial High School","=""""",52,"*","*","*"
"Granby School District","=""""","Granby Memorial Middle School","=""""",39,"*",0,0
"Granby School District","=""""","Kelly Lane Intermediate School","=""""","*",0,0,"*"
"Granby School District","=""""","Wells Road Intermediate School","=""""","*","*",0,"*"
"Great Oaks Charter School District","=""""","Great Oaks Charter School","=""""",101,99,0,39
"Greenwich School District","=""""","Alternative High School Programs","=""""","*",10,"*",0
"Greenwich School District","=""""","Central Middle School","=""""",0,"*",0,0
"Greenwich School District","=""""","Eastern Middle School","=""""","*","*",0,0
"Greenwich School District","=""""","Glenville School","=""""","*","*",0,0
"Greenwich School District","=""""","Greenwich Alternative High School","=""""",0,"*",0,0
"Greenwich School District","=""""","Greenwich High School","=""""",58,17,"*",0
"Greenwich School District","=""""","Hamilton Avenue School","=""""",0,"*",0,0
"Greenwich School District","=""""","Julian Curtiss School","=""""",6,"*",0,0
"Greenwich School District","=""""","New Lebanon School","=""""",0,7,0,0
"Greenwich School District","=""""","Old Greenwich School","=""""","*",0,0,0
"Greenwich School District","=""""","Western Middle School","=""""",11,"*",0,0
"Griswold School District","=""""","Griswold Alternative School","=""""","*","*",0,0
"Griswold School District","=""""","Griswold Elementary School","=""""","*",0,0,0
"Griswold School District","=""""","Griswold High School","=""""",111,33,"*",0
"Griswold School District","=""""","Griswold Middle School","=""""",33,25,"*",0
"Groton School District","=""""","Carl C. Cutler Middle School","=""""",56,10,0,0
"Groton School District","=""""","Catherine Kolnaski Magnet School","=""""",7,12,0,0
"Groton School District","=""""","Charles Barnum School","=""""","*",8,0,0
"Groton School District","=""""","Claude Chester School","=""""",31,"*",0,"*"
"Groton School District","=""""","Mary Morrisson School","=""""","*","*",0,"*"
"Groton School District","=""""","New Beginnings Alternative Program","=""""",42,39,0,0
"Groton School District","=""""","Northeast Academy Elementary School","=""""","*","*",0,0
"Groton School District","=""""","Pleasant Valley School","=""""","*",0,0,0
"Groton School District","=""""","Robert E. Fitch High School","=""""",394,151,"*",0
"Groton School District","=""""","S. B. Butler School","=""""","*","*",0,0
"Groton School District","=""""","Virtual Learning Academy","=""""","*",9,"*",0
"Groton School District","=""""","West Side Middle School","=""""",90,53,0,0
"Guilford School District","=""""","A. Baldwin Middle School","=""""","*",0,0,0
"Guilford School District","=""""","A. W. Cox School","=""""","*",0,0,0
"Guilford School District","=""""","E. C. Adams Middle School","=""""",25,8,0,0
"Guilford School District","=""""","Guilford High School","=""""",31,34,"*",0
"Guilford School District","=""""","Melissa Jones School","=""""","*","*",0,0
"Hamden School District","=""""","Bear Path School","=""""",24,7,"*","*"
"Hamden School District","=""""","Church Street School","=""""",35,20,0,10
"Hamden School District","=""""","Dunbar Hill School","=""""",12,14,"*",0
"Hamden School District","=""""","Hamden Collaborative Learning Center","=""""","*",73,"*",0
"Hamden School District","=""""","Hamden High School","=""""",244,99,"*",0
"Hamden School District","=""""","Hamden Middle School","=""""",189,103,"*",11
"Hamden School District","=""""","Helen Street School","=""""",27,"*",0,0
"Hamden School District","=""""","Ridge Hill School","=""""","*",14,0,0
"Hamden School District","=""""","Shepherd Glen School","=""""",25,9,0,"*"
"Hamden School District","=""""","Spring Glen School","=""""","*",11,0,10
"Hamden School District","=""""","West Woods School","=""""",6,6,0,0
"Hampton School District","=""""","Hampton Elementary School","=""""","*",0,0,0
"Hartford School District","=""""","Asian Studies Academy","=""""",49,110,0,0
"Hartford School District","=""""","Autism Program - Sarah J. Rawson Elementary School","=""""",0,"*",0,0
"Hartford School District","=""""","Batchelder School","=""""",122,61,"*","*"
"Hartford School District","=""""","Breakthrough II Elementary School","=""""",6,"*",0,0
"Hartford School District","=""""","Breakthrough Magnet School","=""""",0,"*",0,0
"Hartford School District","=""""","Bulkeley High School Lower School","=""""",53,64,"*",0
"Hartford School District","=""""","Bulkeley High School Upper School","=""""",17,132,"*",0
"Hartford School District","=""""","Burns Latino Studies Academy","=""""",376,236,0,"*"
"Hartford School District","=""""","Burr School","=""""",289,27,"*","*"
"Hartford School District","=""""","Capital Preparatory Magnet School","=""""",0,59,0,0
"Hartford School District","=""""","Clark School","=""""",66,96,0,0
"Hartford School District","=""""","Classical Magnet School","=""""",428,146,"*",7
"Hartford School District","=""""","Culinary Arts Academy","=""""",29,252,6,0
"Hartford School District","=""""","Dr. James H Naylor/CCSU Leadership Academy","=""""","*",51,0,0
"Hartford School District","=""""","Dr. Ramon E. Betances Early Reading Lab","=""""","*",7,0,0
"Hartford School District","=""""","EDP - Betances Early Reading Lab","=""""",0,"*",0,0
"Hartford School District","=""""","EDP - Bulkeley High School","=""""",0,11,"*",0
"Hartford School District","=""""","EDP - HPHS Academy of Engineering and Green Technology","=""""",0,19,0,0
"Hartford School District","=""""","EDP - M.D. Fox","=""""","*",56,0,0
"Hartford School District","=""""","EDP - McDonough Expeditionary Learning School","=""""",0,7,0,0
"Hartford School District","=""""","Environmental Sciences Magnet School at Mary M Hooker","=""""",12,14,"*",0
"Hartford School District","=""""","Expeditionary Learning Academy at Moylan School","=""""","*",7,0,0
"Hartford School District","=""""","Fred D. Wish Museum School","=""""",56,101,0,"*"
"Hartford School District","=""""","Global Communications Academy","=""""",272,170,7,"*"
"Hartford School District","=""""","Great Path Academy High School at MCC","=""""",37,39,"*","*"
"Hartford School District","=""""","HPHS Academy of Engineering and Green Technology","=""""",98,59,"*",0
"Hartford School District","=""""","HPHS Academy of Nursing and Health Science","=""""",245,140,6,0
"Hartford School District","=""""","HPHS Law and Government Academy","=""""",29,59,"*",0
"Hartford School District","=""""","Hartford Magnet Trinity College Academy","=""""",125,96,"*",0
"Hartford School District","=""""","High School Inc.","=""""",55,87,"*",0
"Hartford School District","=""""","Journalism and Media Academy Magnet School","=""""",91,60,"*",0
"Hartford School District","=""""","Kennelly School","=""""",101,171,"*",0
"Hartford School District","=""""","LC - Burns","=""""",13,18,0,"*"
"Hartford School District","=""""","M. D. Fox Elementary School","=""""",96,51,"*",0
"Hartford School District","=""""","M. L. King School","=""""",25,53,0,0
"Hartford School District","=""""","McDonough Expeditionary Learning School","=""""",114,68,"*",0
"Hartford School District","=""""","Milner Elementary School","=""""","*",198,"*",0
"Hartford School District","=""""","Montessori Magnet School at Annie Fisher","=""""",14,"*",0,"*"
"Hartford School District","=""""","Montessori Magnet at Moylan School","=""""","*","*",0,"*"
"Hartford School District","=""""","Noah Webster Micro Society School","=""""",46,27,0,0
"Hartford School District","=""""","Parkville Community School","=""""",115,51,0,27
"Hartford School District","=""""","Pathways Academy of Technology and Design","=""""",130,96,"*",0
"Hartford School District","=""""","R.J. Kinsella Magnet School of Performing Arts","=""""",72,41,0,"*"
"Hartford School District","=""""","Renzulli Academy","=""""","*",0,0,0
"Hartford School District","=""""","SAND School","=""""",62,28,"*",0
"Hartford School District","=""""","STEM Magnet School at Annie Fisher","=""""",68,16,0,"*"
