"Classes Taught by High Quality Teachers, 2014-15"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,,"Percent of Classes Taught byHighly Qualified Teachers"
"Bristol School District",="0170011","Bristol Eastern High School",="0176211","Middle",100.0
"Bristol School District",="0170011","Bristol Preparatory Academy",="0173311","High",100.0
"Bristol School District",="0170011","Chippens Hill Middle School",="0175111","Middle",100.0
"Bristol School District",="0170011","Community/Vocational Program",="0179211","Middle",100.0
"Bristol School District",="0170011","Edgewood School",="0170311","Middle",100.0
"Bristol School District",="0170011","Ellen P. Hubbell School",="0171411","Middle",100.0
"Bristol School District",="0170011","Greene-Hills School",="0170511","Middle",100.0
"Bristol School District",="0170011","Ivy Drive School",="0171911","Middle",100.0
"Bristol School District",="0170011","Mountain View School",="0171711","Middle",100.0
"Bristol School District",="0170011","Northeast Middle School",="0175211","Middle",100.0
"Bristol School District",="0170011","South Side School",="0171111","Middle",100.0
"Bristol School District",="0170011","Stafford School",="0171211","Middle",100.0
"Bristol School District",="0170011","West Bristol School",="0172011","Middle",100.0
"Brookfield School District",="0180011","Brookfield High School",="0186111","Low",98.3
"Brookfield School District",="0180011","Center Elementary School",="0180311","Low",100.0
"Brookfield School District",="0180011","Huckleberry Hill Elementary School",="0180411","Low",100.0
"Brookfield School District",="0180011","Whisconier Middle School",="0185311","Low",97.9
"Brooklyn School District",="0190011","Brooklyn Elementary School",="0190111","Middle",100.0
"Brooklyn School District",="0190011","Brooklyn Middle School",="0195111","Middle",99.0
"Canaan School District",="0210011","Lee H. Kellogg School",="0210111","Low",100.0
"Canterbury School District",="0220011","Canterbury Elementary School",="0220211","Middle",100.0
"Canterbury School District",="0220011","Dr. Helen Baldwin Middle School",="0225111","Middle",100.0
"Canton School District",="0230011","Canton Academy",="0230411","Low",100.0
"Canton School District",="0230011","Canton High School",="0236111","Low",100.0
"Canton School District",="0230011","Canton Intermediate School",="0230311","Low",100.0
"Canton School District",="0230011","Canton Middle School",="0235111","Low",100.0
"Canton School District",="0230011","Cherry Brook Primary School",="0230211","Middle",100.0
"Capitol Region Education Council",="2410014","Academy of Aerospace and Engineering",="2415114","Middle",100.0
"Capitol Region Education Council",="2410014","Academy of Aerospace and Engineering Elementary",="2410714","Middle",100.0
"Capitol Region Education Council",="2410014","Academy of Science and Innovation",="2416514","Middle",100.0
"Capitol Region Education Council",="2410014","Ana Grace Academy of the Arts Elementary School",="2410614","Middle",100.0
"Capitol Region Education Council",="2410014","Discovery Academy",="2418114","Middle",100.0
"Capitol Region Education Council",="2410014","Farmington Valley Regional Diagnostic Center",="2419214","Middle",100.0
"Capitol Region Education Council",="2410014","Glastonbury/East Hartford Magnet School",="2410114","Middle",100.0
"Capitol Region Education Council",="2410014","Greater Hartford Academy of  the Arts High School - Full Time",="2416414","Middle",100.0
"Capitol Region Education Council",="2410014","Greater Hartford Academy of the Arts Magnet Middle",="2415314","Middle",100.0
"Capitol Region Education Council",="2410014","Integrated Program Models",="2419414","High",100.0
"Capitol Region Education Council",="2410014","International Magnet School for Global Citizenship",="2410414","Middle",100.0
"Capitol Region Education Council",="2410014","John J. Allison Polaris Center",="2419014","High",100.0
"Capitol Region Education Council",="2410014","Metropolitan Learning Center for Global and International Studies",="2416114","Middle",95.2
"Capitol Region Education Council",="2410014","Montessori Magnet School",="2413114","Middle",98.3
"Capitol Region Education Council",="2410014","Museum Academy",="2410514","Middle",100.0
"Capitol Region Education Council",="2410014","Public Safety Academy",="2415214","High",97.9
"Capitol Region Education Council",="2410014","Reggio Magnet School of the Arts",="2410314","Middle",100.0
"Capitol Region Education Council",="2410014","River Street Early Learning Center (Site 2)",="2419514","Middle",100.0
"Capitol Region Education Council",="2410014","River Street School",="2419314","Middle",100.0
"Capitol Region Education Council",="2410014","Soundbridge",="2419114","Middle",94.6
"Capitol Region Education Council",="2410014","Soundbridge @ Museum Academy",="2411214","Middle",100.0
"Capitol Region Education Council",="2410014","Strive (Southern Transition Real-World and Independent Vocational Education Program",="2419714","Low",100.0
"Capitol Region Education Council",="2410014","Two Rivers Magnet High School",="2416714","Middle",100.0
"Capitol Region Education Council",="2410014","Two Rivers Magnet Middle School",="2415014","Middle",100.0
"Capitol Region Education Council",="2410014","University of Hartford Magnet School",="2410214","Middle",100.0
"Chaplin School District",="0240011","Chaplin Elementary School",="0240211","Middle",100.0
"Cheshire School District",="0250011","Chapman School",="0250111","Low",100.0
"Cheshire School District",="0250011","Cheshire High School",="0256111","Low",100.0
"Cheshire School District",="0250011","Cheshire Quinnipiac University Transition Collaborative",="0250311","Low",100.0
"Cheshire School District",="0250011","Darcey School",="0250211","Low",100.0
"Cheshire School District",="0250011","Dodd Middle School",="0255111","Low",100.0
"Cheshire School District",="0250011","Doolittle School",="0250611","Low",100.0
"Cheshire School District",="0250011","Highland School",="0250411","Low",100.0
"Cheshire School District",="0250011","Norton School",="0250511","Low",100.0
"Chester School District",="0260011","Chester Elementary School",="0260111","Middle",100.0
"Clinton School District",="0270011","Abraham Pierson School",="0270111","Middle",100.0
"Clinton School District",="0270011","Jared Eliot School",="0275111","Middle",100.0
"Clinton School District",="0270011","Lewin G. Joel Jr. School",="0270311","Middle",100.0
"Clinton School District",="0270011","The Morgan School",="0276111","Middle",100.0
"Colchester School District",="0280011","Bacon Academy",="0286111","Middle",100.0
"Colchester School District",="0280011","Colchester Elementary School",="0280411","Middle",100.0
"Colchester School District",="0280011","Jack Jackter Intermediate School",="0280211","Middle",100.0
"Colchester School District",="0280011","William J. Johnston Middle School",="0285111","Middle",100.0
"Colebrook School District",="0290011","Colebrook Consolidated School",="0290111","Middle",100.0
"Columbia School District",="0300011","Horace W. Porter School",="0300111","Middle",98.9
"Common Ground High School District",="2680013","Common Ground High School",="2686113","Middle",100.0
"Connecticut Technical High School System",="9000016","A. I. Prince Technical High School",="9001516","High",99.7
"Connecticut Technical High School System",="9000016","Bristol Technical Education Center",="9009216","Middle",100.0
"Connecticut Technical High School System",="9000016","Bullard-Havens Technical High School",="9001116","Middle",93.4
"Connecticut Technical High School System",="9000016","E. C. Goodwin Technical High School",="9001916","Middle",100.0
"Connecticut Technical High School System",="9000016","Eli Whitney Technical High School",="9001416","High",96.9
"Connecticut Technical High School System",="9000016","Ella T. Grasso Southeastern Technical High School",="9002716","Middle",98.9
"Connecticut Technical High School System",="9000016","Emmett O'Brien Technical High School",="9002516","Middle",100.0
"Connecticut Technical High School System",="9000016","H. C. Wilcox Technical High School",="9001716","Middle",98.4
"Connecticut Technical High School System",="9000016","H. H. Ellis Technical High School",="9001316","Middle",96.8
"Connecticut Technical High School System",="9000016","Henry Abbott Technical High School",="9001216","Middle",100.0
"Connecticut Technical High School System",="9000016","Howell Cheney Technical High School",="9001616","Middle",100.0
"Connecticut Technical High School System",="9000016","J. M. Wright Technical High School",="9002116","Middle",100.0
"Connecticut Technical High School System",="9000016","Norwich Technical High School",="9002016","Middle",97.7
"Connecticut Technical High School System",="9000016","Oliver Wolcott Technical High School",="9002216","Middle",98.6
"Connecticut Technical High School System",="9000016","Platt Technical High School",="9002616","Middle",100.0
"Connecticut Technical High School System",="9000016","Vinal Technical High School",="9001816","Middle",98.5
"Connecticut Technical High School System",="9000016","W. F. Kaynor Technical High School",="9002316","Middle",100.0
"Connecticut Technical High School System",="9000016","Windham Technical High School",="9002416","Middle",100.0
"Cooperative Educational Services",="2430014","Developmental Learning Center (DLC)",="2439214","Middle",100.0
"Cooperative Educational Services",="2430014","Preschool-Primary Learning Center (PLC)",="2439114","Middle",100.0
"Cooperative Educational Services",="2430014","Six-Six Magnet School",="2430114","Middle",100.0
"Cooperative Educational Services",="2430014","Therapeutic Day Program",="2439414","Middle",100.0
"Cornwall School District",="0310011","Cornwall Consolidated School",="0310111","Middle",100.0
"Coventry School District",="0320011","Capt. Nathan Hale School",="0325111","Middle",100.0
"Coventry School District",="0320011","Coventry Academy",="0320111","High",100.0
"Coventry School District",="0320011","Coventry Grammar School",="0320211","Middle",100.0
"Coventry School District",="0320011","Coventry High School",="0326111","Middle",97.2
"Coventry School District",="0320011","George Hersey Robertson School",="0320411","Middle",100.0
"Cromwell School District",="0330011","Cromwell High School",="0336111","Middle",100.0
"Cromwell School District",="0330011","Cromwell Middle School",="0335111","Middle",100.0
"Cromwell School District",="0330011","Edna C. Stevens School",="0330211","Middle",98.2
"Cromwell School District",="0330011","Woodside Intermediate School",="0330311","Middle",100.0
"Danbury School District",="0340011","Alternative Center For Excellence",="0346211","High",89.4
"Danbury School District",="0340011","Broadview Middle School",="0345111","Middle",100.0
"Danbury School District",="0340011","Danbury High School",="0346111","Middle",100.0
"Danbury School District",="0340011","Ellsworth Avenue School",="0341411","High",98.3
"Danbury School District",="0340011","Great Plain School",="0341111","Middle",100.0
"Danbury School District",="0340011","Hayestown Avenue School",="0340211","Middle",100.0
"Danbury School District",="0340011","King Street Intermediate School",="0341711","Middle",100.0
"Danbury School District",="0340011","King Street Primary School",="0341311","Middle",100.0
"Danbury School District",="0340011","Mill Ridge Primary School",="0340511","Middle",100.0
"Danbury School District",="0340011","Morris Street School",="0340611","High",100.0
"Danbury School District",="0340011","Park Avenue School",="0340811","High",100.0
"Danbury School District",="0340011","Pembroke School",="0341511","Middle",92.1
"Danbury School District",="0340011","Rogers Park Middle School",="0345211","High",100.0
"Danbury School District",="0340011","Shelter Rock School",="0341211","Middle",100.0
"Danbury School District",="0340011","South Street School",="0341011","High",100.0
"Danbury School District",="0340011","Stadley Rough School",="0341611","Middle",100.0
"Danbury School District",="0340011","Western CT Academy of International Studies Elementary Magnet School",="0341911","Middle",100.0
"Danbury School District",="0340011","Westside Middle School Academy",="0340311","Middle",100.0
"Darien School District",="0350011","Darien High School",="0356111","Low",100.0
"Darien School District",="0350011","Hindley Elementary School",="0350211","Low",100.0
"Darien School District",="0350011","Holmes Elementary School",="0350711","Low",100.0
"Darien School District",="0350011","Middlesex Middle School",="0355111","Low",100.0
"Darien School District",="0350011","Ox Ridge Elementary School",="0351311","Low",100.0
"Darien School District",="0350011","Royle Elementary School",="0350511","Low",100.0
"Darien School District",="0350011","Tokeneke Elementary School",="0350611","Low",100.0
"Deep River School District",="0360011","Deep River Elementary School",="0360111","Middle",100.0
"Derby School District",="0370011","Bradley School",="0370611","Middle",100.0
"Derby School District",="0370011","Derby High School",="0376111","Middle",100.0
"Derby School District",="0370011","Derby Middle School",="0375011","Middle",95.6
"Derby School District",="0370011","Irving School",="0370411","High",100.0
"East Granby School District",="0400011","Allgrove School",="0400111","Low",100.0
"East Granby School District",="0400011","East Granby High School",="0406111","Low",100.0
"East Granby School District",="0400011","East Granby Middle School",="0405111","Low",100.0
"East Granby School District",="0400011","R. Dudley Seymour School",="0400211","Low",100.0
"East Haddam School District",="0410011","East Haddam Elementary School",="0410111","Middle",100.0
"East Haddam School District",="0410011","Nathan Hale-Ray High School",="0416111","Middle",100.0
"East Haddam School District",="0410011","Nathan Hale-Ray Middle School",="0415111","Middle",100.0
"East Hampton School District",="0420011","Center School",="0420311","Low",100.0
"East Hampton School District",="0420011","East Hampton High School",="0426111","Middle",100.0
"East Hampton School District",="0420011","East Hampton Middle School",="0425111","Middle",100.0
"East Hampton School District",="0420011","Memorial School",="0420111","Middle",100.0
"East Hampton School District",="0420011","The Learning Center at East Hampton",="0429011","Middle",100.0
"East Hartford School District",="0430011","Anna E. Norris School",="0430911","High",100.0
"East Hartford School District",="0430011","Connecticut IB Academy",="0436311","Middle",100.0
"East Hartford School District",="0430011","Dr. Franklin H. Mayberry School",="0430611","High",100.0
"East Hartford School District",="0430011","Dr. John A. Langford School",="0432211","High",100.0
"East Hartford School District",="0430011","Dr. Thomas S. O'Connell School",="0431011","Middle",100.0
"East Hartford School District",="0430011","East Hartford High School",="0436211","Middle",100.0
"East Hartford School District",="0430011","East Hartford Middle School",="0435111","High",100.0
"East Hartford School District",="0430011","Governor William Pitkin School",="0432011","Middle",100.0
"East Hartford School District",="0430011","Hockanum School",="0430511","High",100.0
"East Hartford School District",="0430011","Joseph O. Goodwin School",="0430411","Middle",100.0
"East Hartford School District",="0430011","Robert J. O'Brien School",="0431811","High",100.0
"East Hartford School District",="0430011","Silver Lane School",="0431211","High",100.0
"East Hartford School District",="0430011","Stevens Alternate High School",="0436411","High",100.0
"East Hartford School District",="0430011","Sunset Ridge School Elementary Academy for Arts and World Languages",="0432411","High",100.0
"East Hartford School District",="0430011","Willowbrook Early Childhood",="0438011","High",100.0
"East Hartford School District",="0430011","Woodland School",="0439011","Middle",100.0
"East Haven School District",="0440011","Carbone School/East Haven Academy",="0441711","Middle",100.0
"East Haven School District",="0440011","D. C. Moore School",="0441411","Middle",100.0
"East Haven School District",="0440011","Deer Run School",="0440111","Middle",100.0
"East Haven School District",="0440011","Dominick H. Ferrara School",="0441311","Middle",100.0
"East Haven School District",="0440011","East Haven High School",="0446111","Middle",100.0
"East Haven School District",="0440011","Grove J. Tuttle School",="0441011","Middle",100.0
"East Haven School District",="0440011","Joseph Melillo Middle School",="0445111","Middle",100.0
"East Haven School District",="0440011","Momauguin School",="0440711","Middle",100.0
"East Haven School District",="0440011","Overbrook Elementary School",="0441811","Middle",100.0
"East Lyme School District",="0450011","East Lyme High School",="0456111","Low",100.0
"East Lyme School District",="0450011","East Lyme Middle School",="0455111","Middle",100.0
"East Lyme School District",="0450011","Flanders School",="0450111","Middle",100.0
"East Lyme School District",="0450011","Lillie B. Haynes School",="0450411","Middle",100.0
"East Lyme School District",="0450011","Niantic Center School",="0450211","Middle",100.0
"East Windsor School District",="0470011","Broad Brook Elementary School",="0470111","Middle",100.0
"East Windsor School District",="0470011","East Windsor High School",="0476111","Middle",100.0
"East Windsor School District",="0470011","East Windsor Middle School",="0475411","Middle",93.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","Arts at the Capitol Theater Magnet School (ACT)",="2536014","Middle",100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","EastConn Special Education",="2539014","Middle",90.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","Quinebaug Middle College",="2536114","Middle",83.0
"Eastford School District",="0390011","Eastford Elementary School",="0390111","Middle",100.0
"Easton School District",="0460011","Helen Keller Middle School",="0465111","Low",100.0
"Easton School District",="0460011","Samuel Staples Elementary School",="0460111","Low",98.9
"EdAdvance",="2420014","The ACCESS School at The Danuta M. Thibodeau Education Center",="2429014","Middle",100.0
"Ellington School District",="0480011","Center School",="0480111","Low",100.0
"Ellington School District",="0480011","Crystal Lake School",="0480211","Low",100.0
"Ellington School District",="0480011","Ellington High School",="0486111","Low",100.0
"Ellington School District",="0480011","Ellington Middle School",="0485111","Low",100.0
"Ellington School District",="0480011","Windermere Intermediate School",="0480711","Low",98.3
"Ellington School District",="0480011","Windermere School",="0480611","Low",100.0
"Elm City College Preparatory School District",="2890013","Elm City College Preparatory School",="2890113","High",55.3
"Enfield School District",="0490011","Edgar H. Parkman School",="0491311","Middle",100.0
"Enfield School District",="0490011","Eli Whitney School",="0491611","Middle",91.6
"Enfield School District",="0490011","Enfield High School",="0496111","Middle",100.0
"Enfield School District",="0490011","Enfield Street School",="0490211","Middle",100.0
"Enfield School District",="0490011","Enfield Transitional Learning Academy",="0499011","Middle",100.0
"Enfield School District",="0490011","Enrico Fermi High School",="0496211","Middle",96.6
"Enfield School District",="0490011","Hazardville Memorial School",="0490411","Middle",98.3
"Enfield School District",="0490011","Henry Barnard School",="0491811","Middle",100.0
"Enfield School District",="0490011","John F. Kennedy Middle School",="0495211","Middle",100.0
"Enfield School District",="0490011","Nathan Hale School",="0491111","Middle",100.0
"Enfield School District",="0490011","Prudence Crandall School",="0491511","Middle",100.0
"Essex School District",="0500011","Essex Elementary School",="0500111","Low",100.0
"Explorations District",="2720013","Explorations",="2726113","Middle",100.0
"Fairfield School District",="0510011","Burr Elementary School",="0510211","Low",100.0
"Fairfield School District",="0510011","Dwight Elementary School",="0510111","Low",100.0
"Fairfield School District",="0510011","Fairfield Ludlowe High School",="0516011","Low",100.0
"Fairfield School District",="0510011","Fairfield Warde High School",="0516211","Middle",100.0
"Fairfield School District",="0510011","Fairfield Woods Middle School",="0515211","Low",100.0
"Fairfield School District",="0510011","Holland Hill School",="0510411","Middle",100.0
"Fairfield School District",="0510011","Jennings School",="0511711","Low",100.0
"Fairfield School District",="0510011","McKinley School",="0510611","Middle",100.0
"Fairfield School District",="0510011","Mill Hill School",="0510711","Low",100.0
"Fairfield School District",="0510011","North Stratfield School",="0511611","Low",100.0
"Fairfield School District",="0510011","Osborn Hill School",="0511811","Low",100.0
"Fairfield School District",="0510011","Riverfield School",="0511211","Low",100.0
"Fairfield School District",="0510011","Roger Ludlowe Middle School",="0515311","Low",100.0
"Fairfield School District",="0510011","Sherman School",="0511311","Low",100.0
"Fairfield School District",="0510011","Stratfield School",="0511411","Low",100.0
"Fairfield School District",="0510011","Tomlinson Middle School",="0515111","Middle",100.0
"Fairfield School District",="0510011","Walter Fitzgerald Campus",="0510311","Middle",100.0
"Farmington School District",="0520011","East Farms School",="0520411","Low",100.0
"Farmington School District",="0520011","Farmington Alternative High School",="0520611","Middle",100.0
"Farmington School District",="0520011","Farmington High School",="0526111","Low",100.0
"Farmington School District",="0520011","Irving A. Robbins Middle School",="0525111","Low",99.3
"Farmington School District",="0520011","Noah Wallace School",="0520211","Low",97.6
"Farmington School District",="0520011","Union School",="0520111","Middle",100.0
"Farmington School District",="0520011","West District School",="0520311","Low",100.0
"Farmington School District",="0520011","West Woods Upper Elementary School",="0520511","Low",100.0
"Franklin School District",="0530011","Franklin Elementary School",="0530111","Middle",100.0
"Glastonbury School District",="0540011","Buttonball Lane School",="0540211","Low",100.0
"Glastonbury School District",="0540011","Eastbury School",="0540311","Low",100.0
"Glastonbury School District",="0540011","Gideon Welles School",="0540811","Low",100.0
"Glastonbury School District",="0540011","Glastonbury High School",="0546111","Low",97.9
"Glastonbury School District",="0540011","Hebron Avenue School",="0540411","Low",100.0
"Glastonbury School District",="0540011","Hopewell School",="0540611","Low",98.4
"Glastonbury School District",="0540011","Links Academy",="0540111","Middle",100.0
"Glastonbury School District",="0540011","Naubuc School",="0540711","Middle",100.0
"Glastonbury School District",="0540011","Nayaug Elementary School",="0540911","Low",100.0
"Glastonbury School District",="0540011","Pride-Hebron Avenue",="0541111","Middle",100.0
"Glastonbury School District",="0540011","Pride-Nayaug",="0541211","Low",100.0
"Glastonbury School District",="0540011","Smith Middle School",="0545211","Low",100.0
"Granby School District",="0560011","Frank M. Kearns Primary School",="0560111","Low",100.0
"Granby School District",="0560011","Granby Memorial High School",="0566111","Low",100.0
"Granby School District",="0560011","Granby Memorial Middle School",="0565111","Low",100.0
"Granby School District",="0560011","Kelly Lane Primary School",="0560411","Low",100.0
"Granby School District",="0560011","Wells Road Intermediate School",="0560311","Low",100.0
"Great Oaks Charter School District",="2940013","Great Oaks Charter School",="2940113","High",100.0
"Greenwich School District",="0570011","Central Middle School",="0575111","Low",97.1
"Greenwich School District",="0570011","Cos Cob School",="0570211","Low",100.0
"Greenwich School District",="0570011","Eastern Middle School",="0575211","Low",98.2
"Greenwich School District",="0570011","Glenville School",="0570411","Low",100.0
"Greenwich School District",="0570011","Greenwich High School",="0576111","Middle",97.3
"Greenwich School District",="0570011","Hamilton Avenue School",="0570511","Middle",94.1
"Greenwich School District",="0570011","International School At Dundee",="0571311","Low",94.9
"Greenwich School District",="0570011","Julian Curtiss School",="0570311","Middle",97.6
"Greenwich School District",="0570011","New Lebanon School",="0570611","Middle",100.0
"Greenwich School District",="0570011","North Mianus School",="0570711","Low",100.0
"Greenwich School District",="0570011","North Street School",="0570811","Low",100.0
"Greenwich School District",="0570011","Old Greenwich School",="0570911","Low",100.0
"Greenwich School District",="0570011","Parkway School",="0571111","Low",97.2
"Greenwich School District",="0570011","Riverside School",="0571011","Low",100.0
"Greenwich School District",="0570011","Western Middle School",="0575311","Middle",100.0
"Griswold School District",="0580011","Griswold Alternative School",="0580111","High",100.0
"Griswold School District",="0580011","Griswold Elementary School",="0580311","Middle",98.7
"Griswold School District",="0580011","Griswold High School",="0586211","Middle",99.0
"Griswold School District",="0580011","Griswold Middle School",="0585111","Middle",100.0
"Groton School District",="0590011","Carl C. Cutler Middle School",="0595311","Middle",100.0
"Groton School District",="0590011","Catherine Kolnaski Magnet School",="0592011","High",100.0
"Groton School District",="0590011","Charles Barnum School",="0591811","Middle",100.0
